time,enrolled,available,waitlisted,total
2022-05-20T04:26:24,0,150,0,150
2022-05-20T04:37:03,0,150,0,150
2022-05-20T04:47:20,0,150,0,150
2022-05-20T04:57:36,0,150,0,150
2022-05-20T05:07:53,0,150,0,150
2022-05-20T05:18:07,0,150,0,150
2022-05-20T05:28:23,0,150,0,150
2022-05-20T05:38:39,0,150,0,150
2022-05-20T05:48:54,0,150,0,150
2022-05-20T05:59:10,0,150,0,150
2022-05-20T06:09:25,0,150,0,150
2022-05-20T06:19:40,0,150,0,150
2022-05-20T06:29:56,0,150,0,150
2022-05-20T06:40:10,0,150,0,150
2022-05-20T06:50:24,0,150,0,150
2022-05-20T07:00:37,0,150,0,150
2022-05-20T07:10:54,0,150,0,150
2022-05-20T07:21:08,0,150,0,150
2022-05-20T07:31:21,0,150,0,150
2022-05-20T07:41:35,0,150,0,150
2022-05-20T07:51:50,0,150,0,150
2022-05-20T08:02:04,0,150,0,150
2022-05-20T08:12:18,0,150,0,150
2022-05-20T08:22:33,0,150,0,150
2022-05-20T08:32:48,0,150,0,150
2022-05-20T08:43:03,0,150,0,150
2022-05-20T08:53:17,0,150,0,150
2022-05-20T09:03:33,0,150,0,150
2022-05-20T09:14:00,0,150,0,150
2022-05-20T09:24:16,0,150,0,150
2022-05-20T09:34:32,0,150,0,150
2022-05-20T09:44:48,0,150,0,150
2022-05-20T09:55:04,0,150,0,150
2022-05-20T10:05:21,0,150,0,150
2022-05-20T10:15:36,0,150,0,150
2022-05-20T10:25:52,0,150,0,150
2022-05-20T10:36:08,0,150,0,150
2022-05-20T10:46:24,0,150,0,150
2022-05-20T10:56:52,0,150,0,150
2022-05-20T11:07:09,0,150,0,150
2022-05-20T11:17:25,0,150,0,150
2022-05-20T11:27:41,0,150,0,150
2022-05-20T11:37:57,0,150,0,150
2022-05-20T11:48:13,0,150,0,150
2022-05-20T11:58:43,0,150,0,150
2022-05-20T12:08:58,0,150,0,150
2022-05-20T12:19:14,0,150,0,150
2022-05-20T12:29:29,0,150,0,150
2022-05-20T12:39:44,0,150,0,150
2022-05-20T12:49:59,0,150,0,150
2022-05-20T13:00:16,0,150,0,150
2022-05-20T13:10:43,0,150,0,150
2022-05-20T13:20:59,0,150,0,150
2022-05-20T13:31:15,0,150,0,150
2022-05-20T13:41:32,0,150,0,150
2022-05-20T13:51:48,0,150,0,150
2022-05-20T14:02:04,0,150,0,150
2022-05-20T14:12:30,0,150,0,150
2022-05-20T14:22:45,0,150,0,150
2022-05-20T14:33:01,0,150,0,150
2022-05-20T14:43:17,0,150,0,150
2022-05-20T14:53:32,0,150,0,150
2022-05-20T15:03:47,0,150,0,150
2022-05-20T15:14:13,0,150,0,150
2022-05-20T15:24:29,0,150,0,150
2022-05-20T15:34:44,0,150,0,150
2022-05-20T15:44:59,0,150,0,150
2022-05-20T15:55:14,0,150,0,150
2022-05-20T16:05:29,0,150,0,150
2022-05-20T16:15:44,0,150,0,150
2022-05-20T16:26:09,0,150,0,150
2022-05-20T16:36:24,0,150,0,150
2022-05-20T16:46:38,0,150,0,150
2022-05-20T16:56:52,0,150,0,150
2022-05-20T17:07:07,0,150,0,150
2022-05-20T17:17:21,0,150,0,150
2022-05-20T17:27:35,0,150,0,150
2022-05-20T17:37:49,0,150,0,150
2022-05-20T17:48:03,0,150,0,150
2022-05-20T17:58:17,0,150,0,150
2022-05-20T18:08:31,0,150,0,150
2022-05-20T18:18:54,0,150,0,150
2022-05-20T18:29:07,0,150,0,150
2022-05-20T18:39:20,0,150,0,150
2022-05-20T18:49:34,0,150,0,150
2022-05-20T18:59:47,0,150,0,150
2022-05-20T19:10:01,0,150,0,150
2022-05-20T19:20:15,0,150,0,150
2022-05-20T19:30:29,0,150,0,150
2022-05-20T19:40:44,0,150,0,150
2022-05-20T19:50:57,0,150,0,150
2022-05-20T20:01:21,0,150,0,150
2022-05-20T20:11:34,0,150,0,150
2022-05-20T20:21:48,0,150,0,150
2022-05-20T20:32:02,0,150,0,150
2022-05-20T20:42:15,0,150,0,150
2022-05-20T20:52:29,0,150,0,150
2022-05-20T21:02:42,0,150,0,150
2022-05-20T21:12:56,0,150,0,150
2022-05-20T21:23:10,0,150,0,150
2022-05-20T21:33:34,0,150,0,150
2022-05-20T21:43:47,0,150,0,150
2022-05-20T21:54:01,0,150,0,150
2022-05-20T22:04:16,0,150,0,150
2022-05-20T22:14:29,0,150,0,150
2022-05-20T22:24:44,0,150,0,150
2022-05-20T22:34:58,0,150,0,150
2022-05-20T22:45:11,0,150,0,150
2022-05-20T22:55:24,0,150,0,150
2022-05-20T23:05:38,0,150,0,150
2022-05-20T23:16:03,0,150,0,150
2022-05-20T23:26:17,0,150,0,150
2022-05-20T23:36:30,0,150,0,150
2022-05-20T23:46:44,0,150,0,150
2022-05-20T23:56:57,0,150,0,150
2022-05-21T00:07:12,0,150,0,150
2022-05-21T00:17:29,0,150,0,150
2022-05-21T00:27:45,0,150,0,150
2022-05-21T00:38:01,0,150,0,150
2022-05-21T00:48:16,0,150,0,150
2022-05-21T00:58:32,0,150,0,150
2022-05-21T01:08:47,0,150,0,150
2022-05-21T01:19:02,0,150,0,150
2022-05-21T01:29:17,0,150,0,150
2022-05-21T01:39:32,0,150,0,150
2022-05-21T01:49:47,0,150,0,150
2022-05-21T02:00:12,0,150,0,150
2022-05-21T02:10:26,0,150,0,150
2022-05-21T02:20:39,0,150,0,150
2022-05-21T02:30:52,0,150,0,150
2022-05-21T02:41:06,0,150,0,150
2022-05-21T02:51:18,0,150,0,150
2022-05-21T03:01:31,0,150,0,150
2022-05-21T03:11:45,0,150,0,150
2022-05-21T03:22:04,0,150,0,150
2022-05-21T03:32:19,0,150,0,150
2022-05-21T03:42:35,0,150,0,150
2022-05-21T03:52:50,0,150,0,150
2022-05-21T04:03:06,0,150,0,150
