time,enrolled,available,waitlisted,total
2022-05-20T04:26:27,0,34,0,34
2022-05-20T04:37:07,0,34,0,34
2022-05-20T04:47:24,0,34,0,34
2022-05-20T04:57:40,0,34,0,34
2022-05-20T05:07:56,0,34,0,34
2022-05-20T05:18:11,0,34,0,34
2022-05-20T05:28:27,0,34,0,34
2022-05-20T05:38:43,0,34,0,34
2022-05-20T05:48:58,0,34,0,34
2022-05-20T05:59:14,0,34,0,34
2022-05-20T06:09:29,0,34,0,34
2022-05-20T06:19:43,0,34,0,34
2022-05-20T06:30:00,0,34,0,34
2022-05-20T06:40:14,0,34,0,34
2022-05-20T06:50:28,0,34,0,34
2022-05-20T07:00:44,0,34,0,34
2022-05-20T07:10:58,0,34,0,34
2022-05-20T07:21:11,0,34,0,34
2022-05-20T07:31:25,0,34,0,34
2022-05-20T07:41:39,0,34,0,34
2022-05-20T07:51:53,0,34,0,34
2022-05-20T08:02:07,0,34,0,34
2022-05-20T08:12:22,0,34,0,34
2022-05-20T08:22:36,0,34,0,34
2022-05-20T08:32:52,0,34,0,34
2022-05-20T08:43:06,0,34,0,34
2022-05-20T08:53:21,0,34,0,34
2022-05-20T09:03:36,0,34,0,34
2022-05-20T09:14:04,0,34,0,34
2022-05-20T09:24:20,0,34,0,34
2022-05-20T09:34:35,0,34,0,34
2022-05-20T09:44:51,0,34,0,34
2022-05-20T09:55:08,0,34,0,34
2022-05-20T10:05:24,0,34,0,34
2022-05-20T10:15:40,0,34,0,34
2022-05-20T10:25:55,0,34,0,34
2022-05-20T10:36:12,0,34,0,34
2022-05-20T10:46:27,0,34,0,34
2022-05-20T10:56:56,0,34,0,34
2022-05-20T11:07:13,0,34,0,34
2022-05-20T11:17:29,0,34,0,34
2022-05-20T11:27:45,0,34,0,34
2022-05-20T11:38:01,0,34,0,34
2022-05-20T11:48:17,0,34,0,34
2022-05-20T11:58:46,0,34,0,34
2022-05-20T12:09:02,0,34,0,34
2022-05-20T12:19:17,1,33,0,34
2022-05-20T12:29:33,1,33,0,34
2022-05-20T12:39:48,1,33,0,34
2022-05-20T12:50:03,1,33,0,34
2022-05-20T13:00:20,1,33,0,34
2022-05-20T13:10:47,1,33,0,34
2022-05-20T13:21:03,1,33,0,34
2022-05-20T13:31:19,1,33,0,34
2022-05-20T13:41:36,1,33,0,34
2022-05-20T13:51:52,1,33,0,34
2022-05-20T14:02:08,1,33,0,34
2022-05-20T14:12:34,1,33,0,34
2022-05-20T14:22:49,1,33,0,34
2022-05-20T14:33:05,1,33,0,34
2022-05-20T14:43:20,1,33,0,34
2022-05-20T14:53:36,1,33,0,34
2022-05-20T15:03:51,1,33,0,34
2022-05-20T15:14:17,1,33,0,34
2022-05-20T15:24:32,1,33,0,34
2022-05-20T15:34:48,1,33,0,34
2022-05-20T15:45:03,1,33,0,34
2022-05-20T15:55:18,1,33,0,34
2022-05-20T16:05:33,1,33,0,34
2022-05-20T16:15:48,1,33,0,34
2022-05-20T16:26:13,1,33,0,34
2022-05-20T16:36:28,2,32,0,34
2022-05-20T16:46:42,2,32,0,34
2022-05-20T16:56:56,2,32,0,34
2022-05-20T17:07:11,2,32,0,34
2022-05-20T17:17:25,2,32,0,34
2022-05-20T17:27:38,2,32,0,34
2022-05-20T17:37:52,2,32,0,34
2022-05-20T17:48:07,2,32,0,34
2022-05-20T17:58:21,2,32,0,34
2022-05-20T18:08:34,2,32,0,34
2022-05-20T18:18:57,2,32,0,34
2022-05-20T18:29:11,2,32,0,34
2022-05-20T18:39:24,2,32,0,34
2022-05-20T18:49:37,2,32,0,34
2022-05-20T18:59:51,2,32,0,34
2022-05-20T19:10:05,2,32,0,34
2022-05-20T19:20:19,2,32,0,34
2022-05-20T19:30:33,2,32,0,34
2022-05-20T19:40:48,2,32,0,34
2022-05-20T19:51:01,2,32,0,34
2022-05-20T20:01:25,2,32,0,34
2022-05-20T20:11:38,2,32,0,34
2022-05-20T20:21:52,2,32,0,34
2022-05-20T20:32:06,2,32,0,34
2022-05-20T20:42:19,2,32,0,34
2022-05-20T20:52:32,2,32,0,34
2022-05-20T21:02:46,2,32,0,34
2022-05-20T21:13:00,2,32,0,34
2022-05-20T21:23:14,2,32,0,34
2022-05-20T21:33:38,2,32,0,34
2022-05-20T21:43:51,2,32,0,34
2022-05-20T21:54:05,2,32,0,34
2022-05-20T22:04:19,2,32,0,34
2022-05-20T22:14:33,2,32,0,34
2022-05-20T22:24:48,2,32,0,34
2022-05-20T22:35:01,2,32,0,34
2022-05-20T22:45:15,2,32,0,34
2022-05-20T22:55:28,2,32,0,34
2022-05-20T23:05:42,2,32,0,34
2022-05-20T23:16:07,2,32,0,34
2022-05-20T23:26:20,2,32,0,34
2022-05-20T23:36:34,2,32,0,34
2022-05-20T23:46:48,2,32,0,34
2022-05-20T23:57:01,2,32,0,34
2022-05-21T00:07:16,2,32,0,34
2022-05-21T00:17:32,2,32,0,34
2022-05-21T00:27:48,2,32,0,34
2022-05-21T00:38:04,2,32,0,34
2022-05-21T00:48:20,2,32,0,34
2022-05-21T00:58:36,2,32,0,34
2022-05-21T01:08:50,2,32,0,34
