time,enrolled,available,waitlisted,total
2022-05-20T04:26:32,0,37,0,37
2022-05-20T04:37:11,0,37,0,37
2022-05-20T04:47:28,0,37,0,37
2022-05-20T04:57:44,0,37,0,37
2022-05-20T05:08:01,0,37,0,37
2022-05-20T05:18:15,0,37,0,37
2022-05-20T05:28:31,0,37,0,37
2022-05-20T05:38:47,0,37,0,37
2022-05-20T05:49:02,0,37,0,37
2022-05-20T05:59:18,0,37,0,37
2022-05-20T06:09:33,0,37,0,37
2022-05-20T06:19:48,0,37,0,37
2022-05-20T06:30:04,0,37,0,37
2022-05-20T06:40:18,0,37,0,37
2022-05-20T06:50:32,0,37,0,37
2022-05-20T07:00:48,0,37,0,37
2022-05-20T07:11:02,0,37,0,37
2022-05-20T07:21:16,0,37,0,37
2022-05-20T07:31:29,0,37,0,37
2022-05-20T07:41:43,0,37,0,37
2022-05-20T07:51:58,0,37,0,37
2022-05-20T08:02:11,0,37,0,37
2022-05-20T08:12:26,0,37,0,37
2022-05-20T08:22:40,0,37,0,37
2022-05-20T08:32:56,0,37,0,37
2022-05-20T08:43:10,0,37,0,37
2022-05-20T08:53:25,0,37,0,37
2022-05-20T09:03:41,0,37,0,37
2022-05-20T09:14:08,0,37,0,37
2022-05-20T09:24:24,0,37,0,37
2022-05-20T09:34:40,0,37,0,37
2022-05-20T09:44:56,0,37,0,37
2022-05-20T09:55:12,0,37,0,37
2022-05-20T10:05:29,0,37,0,37
2022-05-20T10:15:44,0,37,0,37
2022-05-20T10:25:59,0,37,0,37
2022-05-20T10:36:16,0,37,0,37
2022-05-20T10:46:32,0,37,0,37
2022-05-20T10:57:00,0,37,0,37
2022-05-20T11:07:17,0,37,0,37
2022-05-20T11:17:33,0,37,0,37
2022-05-20T11:27:49,0,37,0,37
2022-05-20T11:38:05,0,37,0,37
2022-05-20T11:48:21,0,37,0,37
2022-05-20T11:58:50,0,37,0,37
2022-05-20T12:09:06,0,37,0,37
2022-05-20T12:19:22,0,37,0,37
2022-05-20T12:29:37,0,37,0,37
2022-05-20T12:39:52,0,37,0,37
2022-05-20T12:50:08,0,37,0,37
2022-05-20T13:00:24,0,37,0,37
2022-05-20T13:10:51,0,37,0,37
2022-05-20T13:21:07,0,37,0,37
2022-05-20T13:31:23,0,37,0,37
2022-05-20T13:41:40,0,37,0,37
2022-05-20T13:51:56,0,37,0,37
2022-05-20T14:02:12,0,37,0,37
2022-05-20T14:12:38,0,37,0,37
2022-05-20T14:22:53,0,37,0,37
2022-05-20T14:33:09,0,37,0,37
2022-05-20T14:43:24,0,37,0,37
2022-05-20T14:53:40,0,37,0,37
2022-05-20T15:03:55,0,37,0,37
2022-05-20T15:14:21,0,37,0,37
2022-05-20T15:24:37,0,37,0,37
2022-05-20T15:34:52,0,37,0,37
2022-05-20T15:45:07,0,37,0,37
2022-05-20T15:55:22,0,37,0,37
2022-05-20T16:05:37,0,37,0,37
2022-05-20T16:15:52,0,37,0,37
2022-05-20T16:26:17,0,37,0,37
2022-05-20T16:36:32,0,37,0,37
2022-05-20T16:46:46,0,37,0,37
2022-05-20T16:57:00,0,37,0,37
2022-05-20T17:07:15,0,37,0,37
2022-05-20T17:17:29,0,37,0,37
2022-05-20T17:27:43,0,37,0,37
2022-05-20T17:37:57,0,37,0,37
2022-05-20T17:48:11,0,37,0,37
2022-05-20T17:58:25,0,37,0,37
2022-05-20T18:08:39,0,37,0,37
2022-05-20T18:19:01,0,37,0,37
2022-05-20T18:29:15,0,37,0,37
2022-05-20T18:39:28,0,37,0,37
2022-05-20T18:49:41,0,37,0,37
2022-05-20T18:59:55,0,37,0,37
2022-05-20T19:10:09,0,37,0,37
2022-05-20T19:20:23,0,37,0,37
2022-05-20T19:30:37,0,37,0,37
2022-05-20T19:40:52,0,37,0,37
2022-05-20T19:51:05,0,37,0,37
2022-05-20T20:01:29,0,37,0,37
2022-05-20T20:11:42,0,37,0,37
2022-05-20T20:21:56,0,37,0,37
2022-05-20T20:32:10,0,37,0,37
2022-05-20T20:42:23,0,37,0,37
2022-05-20T20:52:37,0,37,0,37
2022-05-20T21:02:50,0,37,0,37
2022-05-20T21:13:04,0,37,0,37
2022-05-20T21:23:18,0,37,0,37
2022-05-20T21:33:42,1,36,0,37
2022-05-20T21:43:55,1,36,0,37
2022-05-20T21:54:09,1,36,0,37
2022-05-20T22:04:24,1,36,0,37
2022-05-20T22:14:37,1,36,0,37
2022-05-20T22:24:52,1,36,0,37
2022-05-20T22:35:06,1,36,0,37
2022-05-20T22:45:19,1,36,0,37
2022-05-20T22:55:32,1,36,0,37
2022-05-20T23:05:46,1,36,0,37
2022-05-20T23:16:11,1,36,0,37
2022-05-20T23:26:25,1,36,0,37
2022-05-20T23:36:38,1,36,0,37
2022-05-20T23:46:52,1,36,0,37
2022-05-20T23:57:05,1,36,0,37
2022-05-21T00:07:20,1,36,0,37
2022-05-21T00:17:37,1,36,0,37
2022-05-21T00:27:52,1,36,0,37
2022-05-21T00:38:09,1,36,0,37
2022-05-21T00:48:24,1,36,0,37
2022-05-21T00:58:40,1,36,0,37
2022-05-21T01:08:54,1,36,0,37
2022-05-21T01:19:10,1,36,0,37
2022-05-21T01:29:24,1,36,0,37
2022-05-21T01:39:40,1,36,0,37
2022-05-21T01:49:55,1,36,0,37
2022-05-21T02:00:19,1,36,0,37
2022-05-21T02:10:33,1,36,0,37
2022-05-21T02:20:47,1,36,0,37
2022-05-21T02:31:00,1,36,0,37
2022-05-21T02:41:13,1,36,0,37
2022-05-21T02:51:26,1,36,0,37
2022-05-21T03:01:39,1,36,0,37
2022-05-21T03:11:53,1,36,0,37
2022-05-21T03:22:12,1,36,0,37
2022-05-21T03:32:27,1,36,0,37
2022-05-21T03:42:43,1,36,0,37
2022-05-21T03:52:58,1,36,0,37
2022-05-21T04:03:14,1,36,0,37
2022-05-21T04:18:33,1,36,0,37
2022-05-21T04:28:50,1,36,0,37
2022-05-21T04:40:31,1,36,0,37
2022-05-21T04:50:46,1,36,0,37
2022-05-21T05:01:02,1,36,0,37
2022-05-21T05:11:18,1,36,0,37
2022-05-21T05:21:34,1,36,0,37
2022-05-21T05:31:49,1,36,0,37
2022-05-21T05:42:05,1,36,0,37
2022-05-21T05:52:21,1,36,0,37
2022-05-21T06:02:37,1,36,0,37
