time,enrolled,available,waitlisted,total
2022-05-20T04:26:35,0,146,0,146
2022-05-20T04:37:15,0,146,0,146
2022-05-20T04:47:32,0,146,0,146
2022-05-20T04:57:48,0,146,0,146
2022-05-20T05:08:04,0,146,0,146
2022-05-20T05:18:19,0,146,0,146
2022-05-20T05:28:35,0,146,0,146
2022-05-20T05:38:51,0,146,0,146
2022-05-20T05:49:06,0,146,0,146
2022-05-20T05:59:22,0,146,0,146
2022-05-20T06:09:37,0,146,0,146
2022-05-20T06:19:51,0,146,0,146
2022-05-20T06:30:08,0,146,0,146
2022-05-20T06:40:22,0,146,0,146
2022-05-20T06:50:35,0,146,0,146
2022-05-20T07:00:52,0,146,0,146
2022-05-20T07:11:06,0,146,0,146
2022-05-20T07:21:19,0,146,0,146
2022-05-20T07:31:33,0,146,0,146
2022-05-20T07:41:47,0,146,0,146
2022-05-20T07:52:01,0,146,0,146
2022-05-20T08:02:15,0,146,0,146
2022-05-20T08:12:30,0,146,0,146
2022-05-20T08:22:44,0,146,0,146
2022-05-20T08:33:00,0,146,0,146
2022-05-20T08:43:14,0,146,0,146
2022-05-20T08:53:29,0,146,0,146
2022-05-20T09:03:44,0,146,0,146
2022-05-20T09:14:12,0,146,0,146
2022-05-20T09:24:28,0,146,0,146
2022-05-20T09:34:43,0,146,0,146
2022-05-20T09:44:59,0,146,0,146
2022-05-20T09:55:15,0,146,0,146
2022-05-20T10:05:32,0,146,0,146
2022-05-20T10:15:48,0,146,0,146
2022-05-20T10:26:03,0,146,0,146
2022-05-20T10:36:20,0,146,0,146
2022-05-20T10:46:35,0,146,0,146
2022-05-20T10:57:04,0,146,0,146
2022-05-20T11:07:21,0,146,0,146
2022-05-20T11:17:37,0,146,0,146
2022-05-20T11:27:53,0,146,0,146
2022-05-20T11:38:09,0,146,0,146
2022-05-20T11:48:25,0,146,0,146
2022-05-20T11:58:54,0,146,0,146
2022-05-20T12:09:10,0,146,0,146
2022-05-20T12:19:25,0,146,0,146
2022-05-20T12:29:40,0,146,0,146
2022-05-20T12:39:56,0,146,0,146
2022-05-20T12:50:11,0,146,0,146
2022-05-20T13:00:38,0,146,0,146
