time,enrolled,available,waitlisted,total
2022-05-20T04:26:41,0,20,0,20
2022-05-20T04:37:21,0,20,0,20
2022-05-20T04:47:38,0,20,0,20
2022-05-20T04:57:54,0,20,0,20
2022-05-20T05:08:10,0,20,0,20
2022-05-20T05:18:25,0,20,0,20
2022-05-20T05:28:40,0,20,0,20
2022-05-20T05:38:56,0,20,0,20
2022-05-20T05:49:12,0,20,0,20
2022-05-20T05:59:28,0,20,0,20
2022-05-20T06:09:43,0,20,0,20
2022-05-20T06:19:57,0,20,0,20
2022-05-20T06:30:14,0,20,0,20
2022-05-20T06:40:28,0,20,0,20
2022-05-20T06:50:41,0,20,0,20
2022-05-20T07:00:58,0,20,0,20
2022-05-20T07:11:12,0,20,0,20
2022-05-20T07:21:25,0,20,0,20
2022-05-20T07:31:39,0,20,0,20
2022-05-20T07:41:53,0,20,0,20
2022-05-20T07:52:07,0,20,0,20
2022-05-20T08:02:21,0,20,0,20
2022-05-20T08:12:35,0,20,0,20
2022-05-20T08:22:50,0,20,0,20
2022-05-20T08:33:06,0,20,0,20
2022-05-20T08:43:20,0,20,0,20
2022-05-20T08:53:34,0,20,0,20
2022-05-20T09:03:50,0,20,0,20
2022-05-20T09:14:18,0,20,0,20
2022-05-20T09:24:34,0,20,0,20
2022-05-20T09:34:49,0,20,0,20
2022-05-20T09:45:05,0,20,0,20
2022-05-20T09:55:21,0,20,0,20
2022-05-20T10:05:38,0,20,0,20
2022-05-20T10:15:54,0,20,0,20
2022-05-20T10:26:09,0,20,0,20
2022-05-20T10:36:25,0,20,0,20
2022-05-20T10:46:41,0,20,0,20
2022-05-20T10:57:10,0,20,0,20
2022-05-20T11:07:27,0,20,0,20
2022-05-20T11:17:43,0,20,0,20
2022-05-20T11:27:59,0,20,0,20
2022-05-20T11:38:14,0,20,0,20
2022-05-20T11:48:31,0,20,0,20
2022-05-20T11:59:00,0,20,0,20
2022-05-20T12:09:16,0,20,0,20
2022-05-20T12:19:31,0,20,0,20
2022-05-20T12:29:46,0,20,0,20
2022-05-20T12:40:02,0,20,0,20
2022-05-20T12:50:17,0,20,0,20
2022-05-20T13:00:44,0,20,0,20
2022-05-20T13:11:00,0,20,0,20
2022-05-20T13:21:17,0,20,0,20
2022-05-20T13:31:33,0,20,0,20
2022-05-20T13:41:50,0,20,0,20
2022-05-20T13:52:05,0,20,0,20
2022-05-20T14:02:21,0,20,0,20
2022-05-20T14:12:48,0,20,0,20
2022-05-20T14:23:03,0,20,0,20
2022-05-20T14:33:19,0,20,0,20
2022-05-20T14:43:34,0,20,0,20
2022-05-20T14:53:50,0,20,0,20
2022-05-20T15:04:05,0,20,0,20
2022-05-20T15:14:31,0,20,0,20
2022-05-20T15:24:46,0,20,0,20
2022-05-20T15:35:02,0,20,0,20
2022-05-20T15:45:17,0,20,0,20
2022-05-20T15:55:31,0,20,0,20
2022-05-20T16:05:47,0,20,0,20
2022-05-20T16:16:01,0,20,0,20
2022-05-20T16:26:27,0,20,0,20
2022-05-20T16:36:41,0,20,0,20
2022-05-20T16:46:55,0,20,0,20
2022-05-20T16:57:10,0,20,0,20
2022-05-20T17:07:24,0,20,0,20
2022-05-20T17:17:38,0,20,0,20
2022-05-20T17:27:52,0,20,0,20
2022-05-20T17:38:06,0,20,0,20
2022-05-20T17:48:21,0,20,0,20
2022-05-20T17:58:34,0,20,0,20
2022-05-20T18:08:48,0,20,0,20
2022-05-20T18:19:11,0,20,0,20
2022-05-20T18:29:25,0,20,0,20
2022-05-20T18:39:38,0,20,0,20
2022-05-20T18:49:51,0,20,0,20
2022-05-20T19:00:05,0,20,0,20
2022-05-20T19:10:19,0,20,0,20
2022-05-20T19:20:33,0,20,0,20
2022-05-20T19:30:47,0,20,0,20
2022-05-20T19:41:01,0,20,0,20
2022-05-20T19:51:15,0,20,0,20
2022-05-20T20:01:38,0,20,0,20
2022-05-20T20:11:52,0,20,0,20
2022-05-20T20:22:06,0,20,0,20
2022-05-20T20:32:20,0,20,0,20
2022-05-20T20:42:32,0,20,0,20
2022-05-20T20:52:46,0,20,0,20
2022-05-20T21:03:00,0,20,0,20
2022-05-20T21:13:14,0,20,0,20
2022-05-20T21:23:27,0,20,0,20
2022-05-20T21:33:51,0,20,0,20
2022-05-20T21:44:05,0,20,0,20
2022-05-20T21:54:18,0,20,0,20
2022-05-20T22:04:33,0,20,0,20
2022-05-20T22:14:47,0,20,0,20
2022-05-20T22:25:02,0,20,0,20
2022-05-20T22:35:15,0,20,0,20
2022-05-20T22:45:28,0,20,0,20
2022-05-20T22:55:42,0,20,0,20
2022-05-20T23:05:56,0,20,0,20
2022-05-20T23:16:21,0,20,0,20
2022-05-20T23:26:34,0,20,0,20
2022-05-20T23:36:48,0,20,0,20
2022-05-20T23:47:01,0,20,0,20
2022-05-20T23:57:15,0,20,0,20
2022-05-21T00:07:30,0,20,0,20
2022-05-21T00:17:46,0,20,0,20
2022-05-21T00:28:02,0,20,0,20
2022-05-21T00:38:18,0,20,0,20
2022-05-21T00:48:34,0,20,0,20
2022-05-21T00:58:49,0,20,0,20
2022-05-21T01:09:04,0,20,0,20
2022-05-21T01:19:20,0,20,0,20
2022-05-21T01:29:34,0,20,0,20
2022-05-21T01:39:50,0,20,0,20
2022-05-21T01:50:05,0,20,0,20
2022-05-21T02:00:29,0,20,0,20
2022-05-21T02:10:43,0,20,0,20
2022-05-21T02:20:57,0,20,0,20
2022-05-21T02:31:10,0,20,0,20
2022-05-21T02:41:23,0,20,0,20
2022-05-21T02:51:36,0,20,0,20
2022-05-21T03:01:48,0,20,0,20
2022-05-21T03:12:03,0,20,0,20
2022-05-21T03:22:22,0,20,0,20
2022-05-21T03:32:37,0,20,0,20
2022-05-21T03:42:53,0,20,0,20
2022-05-21T03:53:08,0,20,0,20
2022-05-21T04:03:23,0,20,0,20
2022-05-21T04:18:42,0,20,0,20
2022-05-21T04:29:00,0,20,0,20
2022-05-21T04:40:40,0,20,0,20
2022-05-21T04:50:56,0,20,0,20
2022-05-21T05:01:12,0,20,0,20
2022-05-21T05:11:27,0,20,0,20
2022-05-21T05:21:43,0,20,0,20
2022-05-21T05:31:59,0,20,0,20
2022-05-21T05:42:15,0,20,0,20
2022-05-21T05:52:31,0,20,0,20
2022-05-21T06:02:46,0,20,0,20
2022-05-21T06:13:01,0,20,0,20
2022-05-21T06:23:18,0,20,0,20
2022-05-21T06:33:33,0,20,0,20
2022-05-21T06:43:49,0,20,0,20
2022-05-21T06:54:04,0,20,0,20
2022-05-21T07:04:19,0,20,0,20
2022-05-21T07:14:35,0,20,0,20
2022-05-21T07:24:50,0,20,0,20
2022-05-21T07:35:05,0,20,0,20
2022-05-21T07:45:20,0,20,0,20
2022-05-21T07:55:35,0,20,0,20
2022-05-21T08:05:49,0,20,0,20
2022-05-21T08:16:06,0,20,0,20
2022-05-21T08:26:20,0,20,0,20
2022-05-21T08:36:35,0,20,0,20
2022-05-21T08:47:12,0,20,0,20
2022-05-21T08:57:26,0,20,0,20
2022-05-21T09:07:39,0,20,0,20
2022-05-21T09:17:52,0,20,0,20
2022-05-21T09:28:05,0,20,0,20
2022-05-21T09:38:18,0,20,0,20
2022-05-21T09:48:31,0,20,0,20
2022-05-21T09:58:45,0,20,0,20
2022-05-21T10:08:58,0,20,0,20
2022-05-21T10:19:12,0,20,0,20
2022-05-21T10:29:25,0,20,0,20
2022-05-21T10:39:38,0,20,0,20
2022-05-21T10:49:51,0,20,0,20
2022-05-21T11:00:04,0,20,0,20
2022-05-21T11:10:18,0,20,0,20
2022-05-21T11:20:43,0,20,0,20
2022-05-21T11:30:57,0,20,0,20
2022-05-21T11:41:10,0,20,0,20
2022-05-21T11:51:24,0,20,0,20
2022-05-21T12:01:37,0,20,0,20
2022-05-21T12:11:52,0,20,0,20
2022-05-21T12:22:06,0,20,0,20
2022-05-21T12:32:18,0,20,0,20
2022-05-21T12:42:52,0,20,0,20
2022-05-21T12:53:05,0,20,0,20
2022-05-21T13:03:19,0,20,0,20
2022-05-21T13:13:33,0,20,0,20
2022-05-21T13:23:46,0,20,0,20
2022-05-21T13:34:00,0,20,0,20
2022-05-21T13:44:13,0,20,0,20
2022-05-21T13:54:26,0,20,0,20
2022-05-21T14:04:39,0,20,0,20
2022-05-21T14:15:03,0,20,0,20
2022-05-21T14:25:16,0,20,0,20
2022-05-21T14:35:30,0,20,0,20
2022-05-21T14:45:43,0,20,0,20
2022-05-21T14:55:59,0,20,0,20
2022-05-21T15:06:13,0,20,0,20
2022-05-21T15:16:26,0,20,0,20
2022-05-21T15:26:49,0,20,0,20
2022-05-21T15:37:04,0,20,0,20
2022-05-21T15:47:17,0,20,0,20
2022-05-21T15:57:30,0,20,0,20
2022-05-21T16:07:44,0,20,0,20
2022-05-21T16:17:57,0,20,0,20
2022-05-21T16:28:11,0,20,0,20
2022-05-21T16:38:24,0,20,0,20
2022-05-21T16:48:38,0,20,0,20
2022-05-21T16:58:51,0,20,0,20
2022-05-21T17:09:23,0,20,0,20
2022-05-21T17:19:37,0,20,0,20
2022-05-21T17:29:51,0,20,0,20
2022-05-21T17:40:04,0,20,0,20
2022-05-21T17:50:17,0,20,0,20
2022-05-21T18:00:31,0,20,0,20
2022-05-21T18:10:44,0,20,0,20
2022-05-21T18:20:57,0,20,0,20
2022-05-21T18:31:11,0,20,0,20
2022-05-21T18:41:25,0,20,0,20
