time,enrolled,available,waitlisted,total
2022-05-18T04:30:07,0,741,0,741
2022-05-18T04:40:41,0,741,0,741
2022-05-18T04:50:51,0,741,0,741
2022-05-18T05:01:00,0,741,0,741
2022-05-18T05:11:12,0,741,0,741
2022-05-18T05:21:21,0,741,0,741
2022-05-18T05:31:34,0,741,0,741
2022-05-18T05:41:43,0,741,0,741
2022-05-18T05:51:53,0,741,0,741
2022-05-18T06:02:04,0,741,0,741
2022-05-18T06:12:16,0,741,0,741
2022-05-18T06:22:24,0,741,0,741
2022-05-18T06:32:32,0,741,0,741
2022-05-18T06:42:40,0,741,0,741
2022-05-18T06:52:47,0,741,0,741
2022-05-18T07:02:55,0,741,0,741
2022-05-18T07:13:04,0,741,0,741
2022-05-18T07:23:12,0,741,0,741
2022-05-18T07:33:20,0,741,0,741
2022-05-18T07:43:28,0,741,0,741
2022-05-18T07:53:36,0,741,0,741
2022-05-18T08:03:44,0,741,0,741
2022-05-18T08:13:52,0,741,0,741
2022-05-18T08:24:00,0,741,0,741
2022-05-18T08:34:09,0,741,0,741
2022-05-18T08:44:18,0,741,0,741
2022-05-18T08:54:27,0,741,0,741
2022-05-18T09:04:37,0,741,0,741
2022-05-18T09:14:57,0,741,0,741
2022-05-18T09:25:06,0,741,0,741
2022-05-18T09:35:16,0,741,0,741
2022-05-18T09:45:24,0,741,0,741
2022-05-18T09:55:34,0,741,0,741
2022-05-18T10:05:46,0,741,0,741
2022-05-18T10:15:57,0,741,0,741
2022-05-18T10:26:09,0,741,0,741
2022-05-18T10:36:19,0,741,0,741
2022-05-18T10:46:41,0,741,0,741
2022-05-18T10:56:51,0,741,0,741
2022-05-18T11:07:02,0,741,0,741
2022-05-18T11:17:11,0,741,0,741
2022-05-18T11:27:20,0,741,0,741
2022-05-18T11:37:29,0,741,0,741
2022-05-18T11:47:37,0,741,0,741
2022-05-18T11:57:57,0,741,0,741
2022-05-18T12:08:05,0,741,0,741
2022-05-18T12:18:13,0,741,0,741
2022-05-18T12:28:24,0,741,0,741
2022-05-18T12:38:34,0,741,0,741
2022-05-18T12:48:44,0,741,0,741
2022-05-18T12:58:54,0,741,0,741
2022-05-18T13:09:05,0,741,0,741
2022-05-18T13:19:26,0,741,0,741
2022-05-18T13:29:35,0,741,0,741
2022-05-18T13:39:46,0,741,0,741
2022-05-18T13:49:57,0,741,0,741
2022-05-18T14:00:08,0,741,0,741
2022-05-18T14:10:18,0,741,0,741
2022-05-18T14:20:29,0,741,0,741
2022-05-18T14:30:50,0,741,0,741
2022-05-18T14:41:01,0,741,0,741
2022-05-18T14:51:11,0,741,0,741
2022-05-18T15:01:22,0,741,0,741
2022-05-18T15:11:34,0,741,0,741
2022-05-18T15:21:44,0,741,0,741
2022-05-18T15:31:55,0,741,0,741
2022-05-18T15:42:16,0,741,0,741
2022-05-18T15:52:27,0,741,0,741
2022-05-18T16:02:38,0,741,0,741
2022-05-18T16:12:49,0,741,0,741
2022-05-18T16:23:00,0,741,0,741
2022-05-18T16:33:09,0,741,0,741
2022-05-18T16:43:19,0,741,0,741
2022-05-18T16:53:29,0,741,0,741
2022-05-18T17:03:49,0,741,0,741
2022-05-18T17:14:00,0,741,0,741
2022-05-18T17:24:09,0,741,0,741
2022-05-18T17:34:18,0,741,0,741
2022-05-18T17:44:28,0,741,0,741
2022-05-18T17:54:37,0,741,0,741
2022-05-18T18:04:46,0,741,0,741
2022-05-18T18:14:56,0,741,0,741
2022-05-18T18:25:06,0,741,0,741
2022-05-18T18:35:27,0,741,0,741
2022-05-18T18:45:35,0,741,0,741
2022-05-18T18:55:44,0,741,0,741
2022-05-18T19:05:53,0,741,0,741
2022-05-18T19:16:02,0,741,0,741
2022-05-18T19:26:11,0,741,0,741
2022-05-18T19:36:20,0,741,0,741
2022-05-18T19:46:29,0,741,0,741
