time,enrolled,available,waitlisted,total
2022-05-20T04:26:58,0,189,0,189
2022-05-20T04:37:38,0,189,0,189
2022-05-20T04:47:55,0,189,0,189
2022-05-20T04:58:11,0,189,0,189
2022-05-20T05:08:27,0,189,0,189
2022-05-20T05:18:42,0,189,0,189
2022-05-20T05:28:57,0,189,0,189
2022-05-20T05:39:13,0,189,0,189
2022-05-20T05:49:29,0,189,0,189
2022-05-20T05:59:45,0,189,0,189
2022-05-20T06:09:59,0,189,0,189
2022-05-20T06:20:14,0,189,0,189
2022-05-20T06:30:31,0,189,0,189
2022-05-20T06:40:45,0,189,0,189
2022-05-20T06:50:58,0,189,0,189
2022-05-20T07:01:15,0,189,0,189
2022-05-20T07:11:28,0,189,0,189
2022-05-20T07:21:42,0,189,0,189
2022-05-20T07:31:55,0,189,0,189
2022-05-20T07:42:10,0,189,0,189
2022-05-20T07:52:24,0,189,0,189
2022-05-20T08:02:38,0,189,0,189
2022-05-20T08:12:52,0,189,0,189
2022-05-20T08:23:07,0,189,0,189
2022-05-20T08:33:22,0,189,0,189
2022-05-20T08:43:37,0,189,0,189
2022-05-20T08:53:51,0,189,0,189
2022-05-20T09:04:07,0,189,0,189
2022-05-20T09:14:35,0,189,0,189
2022-05-20T09:24:51,0,189,0,189
2022-05-20T09:35:06,0,189,0,189
2022-05-20T09:45:22,1,188,0,189
2022-05-20T09:55:38,1,188,0,189
2022-05-20T10:05:55,2,187,0,189
2022-05-20T10:16:11,2,187,0,189
2022-05-20T10:26:26,2,187,0,189
2022-05-20T10:36:42,2,187,0,189
2022-05-20T10:46:58,2,187,0,189
2022-05-20T10:57:27,2,187,0,189
2022-05-20T11:07:43,2,187,0,189
2022-05-20T11:18:00,2,187,0,189
2022-05-20T11:28:15,2,187,0,189
2022-05-20T11:38:31,2,187,0,189
2022-05-20T11:48:48,2,187,0,189
2022-05-20T11:59:17,2,187,0,189
2022-05-20T12:09:33,3,186,0,189
2022-05-20T12:19:48,3,186,0,189
2022-05-20T12:30:03,3,186,0,189
2022-05-20T12:40:18,3,186,0,189
2022-05-20T12:50:34,3,186,0,189
2022-05-20T13:01:01,3,186,0,189
2022-05-20T13:11:17,3,186,0,189
2022-05-20T13:21:34,3,186,0,189
2022-05-20T13:31:50,3,186,0,189
2022-05-20T13:42:07,3,186,0,189
2022-05-20T13:52:22,3,186,0,189
2022-05-20T14:02:39,3,186,0,189
2022-05-20T14:13:04,3,186,0,189
2022-05-20T14:23:20,3,186,0,189
2022-05-20T14:33:36,3,186,0,189
2022-05-20T14:43:51,3,186,0,189
2022-05-20T14:54:06,3,186,0,189
2022-05-20T15:04:22,3,186,0,189
2022-05-20T15:14:48,3,186,0,189
2022-05-20T15:25:03,3,186,0,189
2022-05-20T15:35:18,3,186,0,189
2022-05-20T15:45:34,3,186,0,189
2022-05-20T15:55:48,3,186,0,189
2022-05-20T16:06:03,3,186,0,189
2022-05-20T16:16:18,3,186,0,189
2022-05-20T16:26:44,3,186,0,189
2022-05-20T16:36:58,3,186,0,189
2022-05-20T16:47:12,3,186,0,189
2022-05-20T16:57:27,3,186,0,189
2022-05-20T17:07:41,3,186,0,189
2022-05-20T17:17:55,3,186,0,189
2022-05-20T17:28:09,3,186,0,189
2022-05-20T17:38:23,3,186,0,189
2022-05-20T17:48:37,3,186,0,189
2022-05-20T17:58:51,3,186,0,189
2022-05-20T18:09:05,3,186,0,189
2022-05-20T18:19:28,3,186,0,189
2022-05-20T18:29:41,3,186,0,189
2022-05-20T18:39:55,3,186,0,189
2022-05-20T18:50:08,3,186,0,189
2022-05-20T19:00:22,3,186,0,189
2022-05-20T19:10:36,3,186,0,189
2022-05-20T19:20:50,3,186,0,189
2022-05-20T19:31:03,3,186,0,189
2022-05-20T19:41:18,3,186,0,189
2022-05-20T19:51:32,3,186,0,189
2022-05-20T20:01:55,3,186,0,189
2022-05-20T20:12:09,3,186,0,189
2022-05-20T20:22:22,3,186,0,189
2022-05-20T20:32:36,3,186,0,189
2022-05-20T20:42:49,3,186,0,189
2022-05-20T20:53:03,3,186,0,189
2022-05-20T21:03:16,3,186,0,189
2022-05-20T21:13:30,3,186,0,189
2022-05-20T21:23:44,4,185,0,189
2022-05-20T21:34:08,5,184,0,189
2022-05-20T21:44:21,5,184,0,189
2022-05-20T21:54:35,6,183,0,189
2022-05-20T22:04:50,6,183,0,189
2022-05-20T22:15:03,6,183,0,189
2022-05-20T22:25:18,6,183,0,189
2022-05-20T22:35:32,6,183,0,189
2022-05-20T22:45:45,6,183,0,189
2022-05-20T22:55:58,6,183,0,189
2022-05-20T23:06:13,6,183,0,189
2022-05-20T23:16:37,6,183,0,189
2022-05-20T23:26:51,6,183,0,189
2022-05-20T23:37:05,6,183,0,189
2022-05-20T23:47:18,6,183,0,189
2022-05-20T23:57:31,6,183,0,189
2022-05-21T00:07:47,6,183,0,189
2022-05-21T00:18:03,6,183,0,189
2022-05-21T00:28:19,6,183,0,189
2022-05-21T00:38:35,6,183,0,189
2022-05-21T00:48:51,6,183,0,189
2022-05-21T00:59:06,6,183,0,189
2022-05-21T01:09:21,6,183,0,189
2022-05-21T01:19:37,7,182,0,189
2022-05-21T01:29:51,7,182,0,189
2022-05-21T01:40:07,7,182,0,189
2022-05-21T01:50:22,7,182,0,189
2022-05-21T02:00:46,7,182,0,189
2022-05-21T02:11:00,7,182,0,189
2022-05-21T02:21:13,7,182,0,189
2022-05-21T02:31:27,7,182,0,189
2022-05-21T02:41:40,7,182,0,189
2022-05-21T02:51:53,7,182,0,189
2022-05-21T03:02:05,7,182,0,189
2022-05-21T03:12:19,7,182,0,189
2022-05-21T03:22:39,7,182,0,189
2022-05-21T03:32:54,7,182,0,189
2022-05-21T03:43:10,7,182,0,189
2022-05-21T03:53:25,7,182,0,189
2022-05-21T04:03:40,7,182,0,189
2022-05-21T04:18:59,7,182,0,189
2022-05-21T04:29:17,7,182,0,189
2022-05-21T04:40:57,7,182,0,189
2022-05-21T04:51:13,7,182,0,189
2022-05-21T05:01:29,7,182,0,189
2022-05-21T05:11:44,7,182,0,189
2022-05-21T05:22:00,7,182,0,189
2022-05-21T05:32:16,7,182,0,189
2022-05-21T05:42:32,7,182,0,189
2022-05-21T05:52:48,7,182,0,189
2022-05-21T06:03:03,7,182,0,189
2022-05-21T06:13:18,7,182,0,189
