time,enrolled,available,waitlisted,total
2022-05-20T04:27:07,0,96,0,96
2022-05-20T04:37:46,0,96,0,96
2022-05-20T04:48:03,0,96,0,96
2022-05-20T04:58:19,0,96,0,96
2022-05-20T05:08:35,0,96,0,96
2022-05-20T05:18:50,0,96,0,96
2022-05-20T05:29:06,0,96,0,96
2022-05-20T05:39:22,0,96,0,96
2022-05-20T05:49:37,0,96,0,96
2022-05-20T05:59:53,0,96,0,96
2022-05-20T06:10:08,0,96,0,96
2022-05-20T06:20:22,0,96,0,96
2022-05-20T06:30:39,0,96,0,96
2022-05-20T06:40:53,0,96,0,96
2022-05-20T06:51:07,0,96,0,96
2022-05-20T07:01:23,0,96,0,96
2022-05-20T07:11:37,0,96,0,96
2022-05-20T07:21:50,0,96,0,96
2022-05-20T07:32:04,0,96,0,96
2022-05-20T07:42:18,0,96,0,96
2022-05-20T07:52:32,0,96,0,96
2022-05-20T08:02:46,0,96,0,96
2022-05-20T08:13:01,0,96,0,96
2022-05-20T08:23:15,0,96,0,96
2022-05-20T08:33:31,0,96,0,96
2022-05-20T08:43:45,0,96,0,96
2022-05-20T08:54:00,0,96,0,96
2022-05-20T09:04:16,0,96,0,96
2022-05-20T09:14:43,0,96,0,96
2022-05-20T09:24:59,0,96,0,96
2022-05-20T09:35:15,0,96,0,96
2022-05-20T09:45:31,0,96,0,96
2022-05-20T09:55:47,0,96,0,96
2022-05-20T10:06:04,0,96,0,96
2022-05-20T10:16:19,0,96,0,96
2022-05-20T10:26:35,0,96,0,96
2022-05-20T10:36:51,0,96,0,96
2022-05-20T10:47:07,0,96,0,96
2022-05-20T10:57:35,0,96,0,96
2022-05-20T11:07:52,0,96,0,96
2022-05-20T11:18:08,0,96,0,96
2022-05-20T11:28:24,0,96,0,96
2022-05-20T11:38:40,0,96,0,96
2022-05-20T11:48:56,0,96,0,96
2022-05-20T11:59:25,0,96,0,96
2022-05-20T12:09:41,0,96,0,96
2022-05-20T12:19:57,0,96,0,96
2022-05-20T12:30:12,0,96,0,96
2022-05-20T12:40:27,0,96,0,96
2022-05-20T12:50:42,0,96,0,96
2022-05-20T13:01:10,0,96,0,96
2022-05-20T13:11:26,0,96,0,96
2022-05-20T13:21:42,0,96,0,96
2022-05-20T13:31:58,0,96,0,96
2022-05-20T13:42:15,0,96,0,96
2022-05-20T13:52:31,0,96,0,96
2022-05-20T14:02:47,0,96,0,96
2022-05-20T14:13:13,0,96,0,96
2022-05-20T14:23:28,0,96,0,96
2022-05-20T14:33:44,0,96,0,96
2022-05-20T14:43:59,0,96,0,96
2022-05-20T14:54:15,0,96,0,96
2022-05-20T15:04:30,0,96,0,96
2022-05-20T15:14:56,0,96,0,96
2022-05-20T15:25:12,0,96,0,96
2022-05-20T15:35:27,0,96,0,96
2022-05-20T15:45:42,0,96,0,96
2022-05-20T15:55:57,0,96,0,96
2022-05-20T16:06:12,0,96,0,96
2022-05-20T16:16:27,0,96,0,96
2022-05-20T16:26:52,0,96,0,96
2022-05-20T16:37:07,0,96,0,96
2022-05-20T16:47:21,0,96,0,96
2022-05-20T16:57:35,0,96,0,96
2022-05-20T17:07:50,0,96,0,96
2022-05-20T17:18:04,0,96,0,96
2022-05-20T17:28:17,0,96,0,96
2022-05-20T17:38:31,0,96,0,96
2022-05-20T17:48:46,0,96,0,96
2022-05-20T17:59:00,0,96,0,96
2022-05-20T18:09:13,0,96,0,96
2022-05-20T18:19:36,0,96,0,96
2022-05-20T18:29:50,0,96,0,96
2022-05-20T18:40:03,0,96,0,96
2022-05-20T18:50:16,0,96,0,96
2022-05-20T19:00:30,0,96,0,96
2022-05-20T19:10:44,0,96,0,96
2022-05-20T19:20:58,0,96,0,96
2022-05-20T19:31:12,0,96,0,96
2022-05-20T19:41:27,0,96,0,96
2022-05-20T19:51:40,0,96,0,96
2022-05-20T20:02:04,0,96,0,96
2022-05-20T20:12:17,0,96,0,96
2022-05-20T20:22:31,0,96,0,96
2022-05-20T20:32:45,0,96,0,96
2022-05-20T20:42:58,0,96,0,96
2022-05-20T20:53:11,0,96,0,96
2022-05-20T21:03:25,0,96,0,96
2022-05-20T21:13:39,0,96,0,96
2022-05-20T21:23:53,0,96,0,96
2022-05-20T21:34:17,0,96,0,96
2022-05-20T21:44:30,0,96,0,96
2022-05-20T21:54:44,0,96,0,96
2022-05-20T22:04:58,0,96,0,96
2022-05-20T22:15:12,0,96,0,96
2022-05-20T22:25:27,0,96,0,96
2022-05-20T22:35:40,0,96,0,96
2022-05-20T22:45:54,0,96,0,96
2022-05-20T22:56:07,0,96,0,96
2022-05-20T23:06:21,0,96,0,96
2022-05-20T23:16:46,0,96,0,96
2022-05-20T23:26:59,0,96,0,96
2022-05-20T23:37:13,0,96,0,96
2022-05-20T23:47:27,0,96,0,96
2022-05-20T23:57:40,0,96,0,96
2022-05-21T00:07:55,0,96,0,96
2022-05-21T00:18:12,0,96,0,96
2022-05-21T00:28:27,0,96,0,96
2022-05-21T00:38:44,0,96,0,96
2022-05-21T00:48:59,0,96,0,96
2022-05-21T00:59:15,0,96,0,96
2022-05-21T01:09:29,0,96,0,96
2022-05-21T01:19:45,0,96,0,96
2022-05-21T01:30:00,0,96,0,96
2022-05-21T01:40:15,0,96,0,96
2022-05-21T01:50:30,0,96,0,96
2022-05-21T02:00:54,0,96,0,96
2022-05-21T02:11:08,0,96,0,96
2022-05-21T02:21:22,0,96,0,96
2022-05-21T02:31:35,0,96,0,96
2022-05-21T02:41:48,0,96,0,96
2022-05-21T02:52:01,0,96,0,96
2022-05-21T03:02:14,0,96,0,96
2022-05-21T03:12:28,0,96,0,96
2022-05-21T03:22:47,0,96,0,96
2022-05-21T03:33:02,0,96,0,96
2022-05-21T03:43:18,0,96,0,96
2022-05-21T03:53:33,0,96,0,96
2022-05-21T04:03:49,0,96,0,96
