time,enrolled,available,waitlisted,total
2022-05-18T04:30:37,0,120,0,120
2022-05-18T04:41:11,0,120,0,120
2022-05-18T04:51:21,0,120,0,120
2022-05-18T05:01:31,0,120,0,120
2022-05-18T05:11:42,0,120,0,120
2022-05-18T05:21:52,0,120,0,120
2022-05-18T05:32:04,0,120,0,120
2022-05-18T05:42:13,0,120,0,120
2022-05-18T05:52:24,0,120,0,120
2022-05-18T06:02:35,0,120,0,120
2022-05-18T06:12:46,0,120,0,120
2022-05-18T06:22:54,0,120,0,120
2022-05-18T06:33:02,0,120,0,120
2022-05-18T06:43:10,0,120,0,120
2022-05-18T06:53:17,0,120,0,120
2022-05-18T07:03:26,0,120,0,120
2022-05-18T07:13:34,0,120,0,120
2022-05-18T07:23:42,0,120,0,120
2022-05-18T07:33:50,0,120,0,120
2022-05-18T07:43:58,0,120,0,120
2022-05-18T07:54:06,0,120,0,120
2022-05-18T08:04:14,0,120,0,120
2022-05-18T08:14:22,0,120,0,120
2022-05-18T08:24:30,0,120,0,120
2022-05-18T08:34:39,0,120,0,120
2022-05-18T08:44:49,0,120,0,120
2022-05-18T08:54:57,0,120,0,120
2022-05-18T09:05:07,0,120,0,120
2022-05-18T09:15:28,0,120,0,120
2022-05-18T09:25:37,0,120,0,120
2022-05-18T09:35:46,0,120,0,120
2022-05-18T09:45:55,0,120,0,120
2022-05-18T09:56:05,0,120,0,120
2022-05-18T10:06:17,0,120,0,120
2022-05-18T10:16:28,0,120,0,120
2022-05-18T10:26:39,0,120,0,120
2022-05-18T10:36:49,0,120,0,120
2022-05-18T10:47:11,0,120,0,120
2022-05-18T10:57:21,0,120,0,120
2022-05-18T11:07:32,0,120,0,120
2022-05-18T11:17:41,0,120,0,120
2022-05-18T11:27:50,0,120,0,120
2022-05-18T11:37:59,0,120,0,120
2022-05-18T11:48:08,0,120,0,120
2022-05-18T11:58:27,0,120,0,120
2022-05-18T12:08:35,0,120,0,120
2022-05-18T12:18:44,0,120,0,120
2022-05-18T12:28:54,0,120,0,120
2022-05-18T12:39:04,0,120,0,120
2022-05-18T12:49:14,0,120,0,120
2022-05-18T12:59:25,0,120,0,120
2022-05-18T13:09:45,0,120,0,120
2022-05-18T13:19:56,0,120,0,120
2022-05-18T13:30:05,0,120,0,120
2022-05-18T13:40:17,0,120,0,120
2022-05-18T13:50:27,0,120,0,120
2022-05-18T14:00:38,0,120,0,120
2022-05-18T14:10:49,0,120,0,120
2022-05-18T14:20:59,0,120,0,120
2022-05-18T14:31:21,0,120,0,120
2022-05-18T14:41:31,0,120,0,120
2022-05-18T14:51:41,0,120,0,120
2022-05-18T15:01:52,0,120,0,120
2022-05-18T15:12:04,0,120,0,120
2022-05-18T15:22:15,0,120,0,120
2022-05-18T15:32:25,0,120,0,120
2022-05-18T15:42:46,0,120,0,120
2022-05-18T15:52:57,0,120,0,120
2022-05-18T16:03:08,0,120,0,120
2022-05-18T16:13:19,0,120,0,120
2022-05-18T16:23:30,0,120,0,120
2022-05-18T16:33:39,0,120,0,120
2022-05-18T16:43:49,0,120,0,120
2022-05-18T16:53:59,0,120,0,120
2022-05-18T17:04:19,0,120,0,120
2022-05-18T17:14:30,0,120,0,120
2022-05-18T17:24:39,0,120,0,120
2022-05-18T17:34:49,0,120,0,120
2022-05-18T17:44:58,0,120,0,120
2022-05-18T17:55:07,0,120,0,120
2022-05-18T18:05:16,0,120,0,120
2022-05-18T18:15:26,0,120,0,120
2022-05-18T18:25:37,0,120,0,120
2022-05-18T18:35:57,0,120,0,120
2022-05-18T18:46:05,0,120,0,120
2022-05-18T18:56:14,0,120,0,120
2022-05-18T19:06:23,0,120,0,120
2022-05-18T19:16:32,0,120,0,120
2022-05-18T19:26:42,0,120,0,120
2022-05-18T19:36:50,0,120,0,120
2022-05-18T19:46:59,0,120,0,120
2022-05-18T19:57:09,0,120,0,120
2022-05-18T20:07:17,0,120,0,120
2022-05-18T20:17:37,0,120,0,120
2022-05-18T20:27:46,0,120,0,120
2022-05-18T20:37:55,0,120,0,120
2022-05-18T20:48:04,0,120,0,120
2022-05-18T20:58:12,0,120,0,120
2022-05-18T21:08:23,0,120,0,120
2022-05-18T21:18:32,0,120,0,120
2022-05-18T21:28:41,0,120,0,120
2022-05-18T21:38:49,0,120,0,120
2022-05-18T21:48:58,0,120,0,120
2022-05-18T21:59:17,0,120,0,120
2022-05-18T22:09:26,0,120,0,120
2022-05-18T22:19:35,0,120,0,120
2022-05-18T22:29:44,0,120,0,120
2022-05-18T22:39:53,0,120,0,120
2022-05-18T22:50:02,0,120,0,120
2022-05-18T23:00:11,0,120,0,120
2022-05-18T23:10:21,0,120,0,120
2022-05-18T23:20:31,0,120,0,120
2022-05-18T23:30:54,0,120,0,120
2022-05-18T23:41:03,0,120,0,120
2022-05-18T23:51:12,0,120,0,120
