time,enrolled,available,waitlisted,total
2022-05-20T04:27:37,0,144,0,144
2022-05-20T04:38:16,0,144,0,144
2022-05-20T04:48:33,0,144,0,144
2022-05-20T04:58:49,0,144,0,144
2022-05-20T05:09:06,0,144,0,144
2022-05-20T05:19:20,0,144,0,144
2022-05-20T05:29:36,0,144,0,144
2022-05-20T05:39:52,0,144,0,144
2022-05-20T05:50:08,0,144,0,144
2022-05-20T06:00:23,0,144,0,144
2022-05-20T06:10:38,0,144,0,144
2022-05-20T06:20:53,0,144,0,144
2022-05-20T06:31:09,0,144,0,144
2022-05-20T06:41:23,0,144,0,144
2022-05-20T06:51:37,0,144,0,144
2022-05-20T07:01:53,0,144,0,144
2022-05-20T07:12:07,0,144,0,144
2022-05-20T07:22:21,0,144,0,144
2022-05-20T07:32:34,0,144,0,144
2022-05-20T07:42:49,0,144,0,144
2022-05-20T07:53:03,0,144,0,144
2022-05-20T08:03:17,0,144,0,144
2022-05-20T08:13:31,0,144,0,144
2022-05-20T08:23:46,0,144,0,144
2022-05-20T08:34:01,0,144,0,144
2022-05-20T08:44:16,0,144,0,144
2022-05-20T08:54:30,0,144,0,144
2022-05-20T09:04:46,0,144,0,144
2022-05-20T09:15:13,0,144,0,144
2022-05-20T09:25:29,0,144,0,144
2022-05-20T09:35:45,0,144,0,144
2022-05-20T09:46:01,0,144,0,144
2022-05-20T09:56:17,0,144,0,144
2022-05-20T10:06:34,0,144,0,144
2022-05-20T10:16:49,1,143,0,144
2022-05-20T10:27:05,1,143,0,144
2022-05-20T10:37:21,1,143,0,144
2022-05-20T10:47:37,1,143,0,144
2022-05-20T10:58:06,1,143,0,144
2022-05-20T11:08:22,1,143,0,144
2022-05-20T11:18:38,3,141,0,144
2022-05-20T11:28:54,4,140,0,144
2022-05-20T11:39:10,5,139,0,144
2022-05-20T11:49:26,5,139,0,144
2022-05-20T11:59:56,5,139,0,144
2022-05-20T12:10:12,5,139,0,144
2022-05-20T12:20:27,5,139,0,144
2022-05-20T12:30:42,5,139,0,144
2022-05-20T12:40:57,5,139,0,144
2022-05-20T12:51:13,5,139,0,144
2022-05-20T13:01:40,5,139,0,144
2022-05-20T13:11:56,5,139,0,144
2022-05-20T13:22:12,5,139,0,144
2022-05-20T13:32:29,6,138,0,144
2022-05-20T13:42:45,6,138,0,144
2022-05-20T13:53:01,6,138,0,144
2022-05-20T14:03:17,6,138,0,144
2022-05-20T14:13:43,6,138,0,144
2022-05-20T14:23:58,6,138,0,144
2022-05-20T14:34:14,6,138,0,144
2022-05-20T14:44:30,6,138,0,144
2022-05-20T14:54:45,6,138,0,144
2022-05-20T15:05:11,7,137,0,144
2022-05-20T15:15:27,7,137,0,144
2022-05-20T15:25:42,7,137,0,144
2022-05-20T15:35:57,7,137,0,144
2022-05-20T15:46:12,7,137,0,144
2022-05-20T15:56:27,7,137,0,144
2022-05-20T16:06:42,7,137,0,144
2022-05-20T16:16:57,7,137,0,144
2022-05-20T16:27:22,7,137,0,144
2022-05-20T16:37:37,7,137,0,144
2022-05-20T16:47:51,7,137,0,144
2022-05-20T16:58:05,7,137,0,144
2022-05-20T17:08:20,9,135,0,144
2022-05-20T17:18:34,9,135,0,144
2022-05-20T17:28:48,9,135,0,144
2022-05-20T17:39:02,9,135,0,144
2022-05-20T17:49:16,10,134,0,144
2022-05-20T17:59:30,10,134,0,144
2022-05-20T18:09:53,10,134,0,144
2022-05-20T18:20:06,10,134,0,144
2022-05-20T18:30:20,10,134,0,144
2022-05-20T18:40:33,10,134,0,144
2022-05-20T18:50:46,10,134,0,144
2022-05-20T19:01:00,10,134,0,144
2022-05-20T19:11:14,10,134,0,144
2022-05-20T19:21:28,10,134,0,144
2022-05-20T19:31:42,10,134,0,144
2022-05-20T19:41:57,10,134,0,144
2022-05-20T19:52:10,10,134,0,144
2022-05-20T20:02:34,10,134,0,144
2022-05-20T20:12:47,10,134,0,144
2022-05-20T20:23:01,10,134,0,144
2022-05-20T20:33:15,10,134,0,144
2022-05-20T20:43:28,11,133,0,144
2022-05-20T20:53:42,11,133,0,144
2022-05-20T21:03:55,11,133,0,144
2022-05-20T21:14:09,11,133,0,144
2022-05-20T21:24:23,11,133,0,144
2022-05-20T21:34:47,11,133,0,144
2022-05-20T21:45:00,11,133,0,144
2022-05-20T21:55:14,11,133,0,144
2022-05-20T22:05:29,11,133,0,144
2022-05-20T22:15:42,11,133,0,144
2022-05-20T22:25:57,11,133,0,144
2022-05-20T22:36:10,11,133,0,144
2022-05-20T22:46:24,11,133,0,144
2022-05-20T22:56:37,11,133,0,144
2022-05-20T23:06:51,11,133,0,144
2022-05-20T23:17:16,11,133,0,144
2022-05-20T23:27:30,11,133,0,144
2022-05-20T23:37:43,11,133,0,144
