time,enrolled,available,waitlisted,total
2022-05-20T04:27:44,0,135,0,135
2022-05-20T04:38:23,0,135,0,135
2022-05-20T04:48:40,0,135,0,135
2022-05-20T04:58:56,0,135,0,135
2022-05-20T05:09:12,0,135,0,135
2022-05-20T05:19:27,0,135,0,135
2022-05-20T05:29:42,0,135,0,135
2022-05-20T05:39:58,0,135,0,135
2022-05-20T05:50:14,0,135,0,135
2022-05-20T06:00:30,0,135,0,135
2022-05-20T06:10:44,0,135,0,135
2022-05-20T06:20:59,0,135,0,135
2022-05-20T06:31:16,0,135,0,135
2022-05-20T06:41:29,0,135,0,135
2022-05-20T06:51:43,0,135,0,135
2022-05-20T07:02:00,0,135,0,135
2022-05-20T07:12:13,0,135,0,135
2022-05-20T07:22:27,0,135,0,135
2022-05-20T07:32:40,0,135,0,135
2022-05-20T07:42:55,0,135,0,135
2022-05-20T07:53:09,0,135,0,135
2022-05-20T08:03:23,0,135,0,135
2022-05-20T08:13:37,0,135,0,135
2022-05-20T08:23:52,0,135,0,135
2022-05-20T08:34:07,0,135,0,135
2022-05-20T08:44:22,0,135,0,135
2022-05-20T08:54:36,0,135,0,135
2022-05-20T09:04:52,0,135,0,135
2022-05-20T09:15:20,0,135,0,135
2022-05-20T09:25:36,0,135,0,135
2022-05-20T09:35:51,0,135,0,135
2022-05-20T09:46:07,0,135,0,135
2022-05-20T09:56:23,0,135,0,135
2022-05-20T10:06:40,0,135,0,135
2022-05-20T10:16:56,0,135,0,135
2022-05-20T10:27:11,1,134,0,135
2022-05-20T10:37:27,1,134,0,135
2022-05-20T10:47:43,1,134,0,135
2022-05-20T10:58:12,1,134,0,135
2022-05-20T11:08:29,1,134,0,135
2022-05-20T11:18:45,0,135,0,135
2022-05-20T11:29:00,0,135,0,135
2022-05-20T11:39:16,0,135,0,135
2022-05-20T11:49:33,0,135,0,135
2022-05-20T12:00:02,0,135,0,135
2022-05-20T12:10:18,0,135,0,135
2022-05-20T12:20:33,0,135,0,135
2022-05-20T12:30:48,0,135,0,135
2022-05-20T12:41:04,0,135,0,135
2022-05-20T12:51:19,0,135,0,135
2022-05-20T13:01:46,0,135,0,135
2022-05-20T13:12:03,0,135,0,135
2022-05-20T13:22:19,0,135,0,135
2022-05-20T13:32:35,0,135,0,135
2022-05-20T13:42:52,0,135,0,135
2022-05-20T13:53:07,0,135,0,135
2022-05-20T14:03:24,0,135,0,135
2022-05-20T14:13:50,0,135,0,135
2022-05-20T14:24:05,0,135,0,135
2022-05-20T14:34:21,0,135,0,135
2022-05-20T14:44:36,0,135,0,135
2022-05-20T14:54:51,0,135,0,135
2022-05-20T15:05:17,0,135,0,135
2022-05-20T15:15:33,0,135,0,135
2022-05-20T15:25:48,0,135,0,135
