time,enrolled,available,waitlisted,total
2022-05-20T04:27:46,0,56,0,56
2022-05-20T04:38:25,0,56,0,56
2022-05-20T04:48:42,0,56,0,56
2022-05-20T04:58:58,0,56,0,56
2022-05-20T05:09:15,0,56,0,56
2022-05-20T05:19:29,0,56,0,56
2022-05-20T05:29:45,0,56,0,56
2022-05-20T05:40:01,0,56,0,56
2022-05-20T05:50:16,0,56,0,56
2022-05-20T06:00:33,0,56,0,56
2022-05-20T06:10:47,0,56,0,56
2022-05-20T06:21:02,0,56,0,56
2022-05-20T06:31:18,0,56,0,56
2022-05-20T06:41:32,0,56,0,56
2022-05-20T06:51:46,0,56,0,56
2022-05-20T07:02:02,0,56,0,56
2022-05-20T07:12:16,0,56,0,56
2022-05-20T07:22:30,0,56,0,56
2022-05-20T07:32:43,0,56,0,56
2022-05-20T07:42:57,0,56,0,56
2022-05-20T07:53:11,0,56,0,56
2022-05-20T08:03:25,0,56,0,56
2022-05-20T08:13:40,0,56,0,56
2022-05-20T08:23:55,0,56,0,56
2022-05-20T08:34:10,0,56,0,56
2022-05-20T08:44:25,0,56,0,56
2022-05-20T08:54:39,0,56,0,56
2022-05-20T09:04:55,0,56,0,56
2022-05-20T09:15:22,0,56,0,56
2022-05-20T09:25:38,0,56,0,56
2022-05-20T09:35:54,0,56,0,56
2022-05-20T09:46:10,0,56,0,56
2022-05-20T09:56:26,0,56,0,56
2022-05-20T10:06:43,0,56,0,56
2022-05-20T10:16:58,0,56,0,56
2022-05-20T10:27:14,0,56,0,56
2022-05-20T10:37:30,0,56,0,56
2022-05-20T10:47:46,0,56,0,56
2022-05-20T10:58:15,0,56,0,56
2022-05-20T11:08:31,0,56,0,56
2022-05-20T11:18:47,0,56,0,56
2022-05-20T11:29:03,0,56,0,56
2022-05-20T11:39:19,0,56,0,56
2022-05-20T11:49:35,0,56,0,56
2022-05-20T12:00:05,0,56,0,56
2022-05-20T12:10:21,0,56,0,56
2022-05-20T12:20:36,0,56,0,56
2022-05-20T12:30:51,0,56,0,56
2022-05-20T12:41:06,0,56,0,56
2022-05-20T12:51:22,0,56,0,56
