time,enrolled,available,waitlisted,total
2022-05-20T04:27:57,0,360,0,360
2022-05-20T04:38:36,0,360,0,360
2022-05-20T04:48:53,0,360,0,360
2022-05-20T04:59:09,0,360,0,360
2022-05-20T05:09:26,0,360,0,360
2022-05-20T05:19:40,0,360,0,360
2022-05-20T05:29:56,0,360,0,360
2022-05-20T05:40:12,0,360,0,360
2022-05-20T05:50:28,0,360,0,360
2022-05-20T06:00:44,0,360,0,360
2022-05-20T06:10:58,0,360,0,360
2022-05-20T06:21:13,0,360,0,360
2022-05-20T06:31:29,0,360,0,360
2022-05-20T06:41:43,0,360,0,360
2022-05-20T06:51:57,0,360,0,360
2022-05-20T07:02:13,0,360,0,360
2022-05-20T07:12:27,0,360,0,360
2022-05-20T07:22:41,0,360,0,360
2022-05-20T07:32:54,0,360,0,360
2022-05-20T07:43:09,0,360,0,360
2022-05-20T07:53:23,0,360,0,360
2022-05-20T08:03:36,0,360,0,360
2022-05-20T08:13:51,0,360,0,360
2022-05-20T08:24:06,0,360,0,360
2022-05-20T08:34:21,0,360,0,360
2022-05-20T08:44:36,0,360,0,360
2022-05-20T08:54:50,0,360,0,360
2022-05-20T09:05:06,0,360,0,360
2022-05-20T09:15:34,0,360,0,360
2022-05-20T09:25:49,0,360,0,360
2022-05-20T09:36:05,0,360,0,360
2022-05-20T09:46:21,0,360,0,360
2022-05-20T09:56:37,0,360,0,360
2022-05-20T10:06:54,0,360,0,360
2022-05-20T10:17:09,0,360,0,360
2022-05-20T10:27:25,0,360,0,360
2022-05-20T10:37:41,0,360,0,360
2022-05-20T10:47:57,0,360,0,360
2022-05-20T10:58:26,0,360,0,360
2022-05-20T11:08:42,0,360,0,360
2022-05-20T11:18:59,0,360,0,360
2022-05-20T11:29:14,0,360,0,360
2022-05-20T11:39:30,3,357,0,360
2022-05-20T11:49:47,3,357,0,360
2022-05-20T12:00:16,3,357,0,360
2022-05-20T12:10:32,3,357,0,360
2022-05-20T12:20:47,4,356,0,360
2022-05-20T12:31:02,4,356,0,360
2022-05-20T12:41:17,4,356,0,360
2022-05-20T12:51:33,4,356,0,360
2022-05-20T13:02:00,4,356,0,360
2022-05-20T13:12:16,4,356,0,360
2022-05-20T13:22:33,4,356,0,360
2022-05-20T13:32:49,4,356,0,360
2022-05-20T13:43:06,4,356,0,360
2022-05-20T13:53:21,4,356,0,360
2022-05-20T14:03:37,5,355,0,360
2022-05-20T14:14:03,5,355,0,360
2022-05-20T14:24:19,5,355,0,360
2022-05-20T14:34:34,5,355,0,360
2022-05-20T14:44:50,5,355,0,360
2022-05-20T14:55:05,5,355,0,360
2022-05-20T15:05:31,5,355,0,360
2022-05-20T15:15:47,6,354,0,360
2022-05-20T15:26:02,6,354,0,360
2022-05-20T15:36:17,6,354,0,360
2022-05-20T15:46:32,7,353,0,360
2022-05-20T15:56:47,7,353,0,360
2022-05-20T16:07:02,7,353,0,360
2022-05-20T16:17:17,7,353,0,360
2022-05-20T16:27:42,7,353,0,360
2022-05-20T16:37:57,7,353,0,360
2022-05-20T16:48:11,7,353,0,360
2022-05-20T16:58:25,7,353,0,360
2022-05-20T17:08:40,7,353,0,360
2022-05-20T17:18:54,7,353,0,360
2022-05-20T17:29:08,7,353,0,360
2022-05-20T17:39:22,7,353,0,360
2022-05-20T17:49:36,7,353,0,360
2022-05-20T17:59:50,7,353,0,360
