time,enrolled,available,waitlisted,total
2022-05-20T04:27:54,0,180,0,180
2022-05-20T04:38:33,0,180,0,180
2022-05-20T04:48:50,0,180,0,180
2022-05-20T04:59:06,0,180,0,180
2022-05-20T05:09:22,0,180,0,180
2022-05-20T05:19:37,0,180,0,180
2022-05-20T05:29:52,0,180,0,180
2022-05-20T05:40:08,0,180,0,180
2022-05-20T05:50:24,0,180,0,180
2022-05-20T06:00:40,0,180,0,180
2022-05-20T06:10:54,0,180,0,180
2022-05-20T06:21:09,0,180,0,180
2022-05-20T06:31:26,0,180,0,180
2022-05-20T06:41:39,0,180,0,180
2022-05-20T06:51:53,0,180,0,180
2022-05-20T07:02:10,0,180,0,180
2022-05-20T07:12:23,0,180,0,180
2022-05-20T07:22:37,0,180,0,180
2022-05-20T07:32:50,0,180,0,180
2022-05-20T07:43:05,0,180,0,180
2022-05-20T07:53:19,0,180,0,180
2022-05-20T08:03:33,0,180,0,180
2022-05-20T08:13:47,0,180,0,180
2022-05-20T08:24:02,0,180,0,180
2022-05-20T08:34:17,0,180,0,180
2022-05-20T08:44:32,0,180,0,180
2022-05-20T08:54:46,0,180,0,180
2022-05-20T09:05:02,0,180,0,180
2022-05-20T09:15:30,0,180,0,180
2022-05-20T09:25:46,0,180,0,180
2022-05-20T09:36:01,0,180,0,180
2022-05-20T09:46:17,0,180,0,180
2022-05-20T09:56:33,0,180,0,180
2022-05-20T10:06:50,0,180,0,180
2022-05-20T10:17:06,0,180,0,180
2022-05-20T10:27:21,0,180,0,180
2022-05-20T10:37:38,0,180,0,180
2022-05-20T10:47:53,1,179,0,180
2022-05-20T10:58:22,2,178,0,180
2022-05-20T11:08:39,2,178,0,180
2022-05-20T11:18:55,2,178,0,180
2022-05-20T11:29:11,3,177,0,180
2022-05-20T11:39:27,3,177,0,180
2022-05-20T11:49:43,3,177,0,180
2022-05-20T12:00:12,3,177,0,180
2022-05-20T12:10:28,3,177,0,180
2022-05-20T12:20:43,3,177,0,180
2022-05-20T12:30:58,3,177,0,180
2022-05-20T12:41:14,3,177,0,180
2022-05-20T12:51:29,3,177,0,180
2022-05-20T13:01:56,3,177,0,180
2022-05-20T13:12:13,3,177,0,180
2022-05-20T13:22:29,3,177,0,180
2022-05-20T13:32:45,3,177,0,180
2022-05-20T13:43:02,5,175,0,180
2022-05-20T13:53:17,5,175,0,180
2022-05-20T14:03:34,5,175,0,180
2022-05-20T14:14:00,5,175,0,180
2022-05-20T14:24:15,5,175,0,180
2022-05-20T14:34:31,5,175,0,180
2022-05-20T14:44:46,5,175,0,180
2022-05-20T14:55:01,5,175,0,180
2022-05-20T15:05:27,5,175,0,180
2022-05-20T15:15:43,5,175,0,180
2022-05-20T15:25:58,5,175,0,180
2022-05-20T15:36:13,5,175,0,180
2022-05-20T15:46:29,5,175,0,180
2022-05-20T15:56:43,5,175,0,180
2022-05-20T16:06:58,5,175,0,180
2022-05-20T16:17:13,5,175,0,180
2022-05-20T16:27:39,5,175,0,180
2022-05-20T16:37:53,5,175,0,180
2022-05-20T16:48:07,5,175,0,180
2022-05-20T16:58:21,5,175,0,180
2022-05-20T17:08:36,5,175,0,180
2022-05-20T17:18:50,5,175,0,180
2022-05-20T17:29:04,5,175,0,180
2022-05-20T17:39:18,5,175,0,180
2022-05-20T17:49:32,5,175,0,180
2022-05-20T17:59:46,5,175,0,180
2022-05-20T18:10:09,5,175,0,180
2022-05-20T18:20:23,5,175,0,180
2022-05-20T18:30:36,5,175,0,180
2022-05-20T18:40:50,5,175,0,180
2022-05-20T18:51:03,5,175,0,180
2022-05-20T19:01:17,5,175,0,180
2022-05-20T19:11:31,5,175,0,180
2022-05-20T19:21:45,5,175,0,180
2022-05-20T19:31:58,5,175,0,180
2022-05-20T19:42:13,5,175,0,180
2022-05-20T19:52:26,5,175,0,180
2022-05-20T20:02:50,5,175,0,180
2022-05-20T20:13:04,5,175,0,180
2022-05-20T20:23:17,5,175,0,180
2022-05-20T20:33:31,5,175,0,180
2022-05-20T20:43:44,5,175,0,180
2022-05-20T20:53:58,5,175,0,180
2022-05-20T21:04:11,5,175,0,180
2022-05-20T21:14:25,5,175,0,180
2022-05-20T21:24:39,5,175,0,180
2022-05-20T21:35:03,5,175,0,180
2022-05-20T21:45:16,5,175,0,180
2022-05-20T21:55:30,5,175,0,180
2022-05-20T22:05:45,5,175,0,180
2022-05-20T22:15:58,5,175,0,180
2022-05-20T22:26:13,5,175,0,180
2022-05-20T22:36:27,5,175,0,180
2022-05-20T22:46:40,5,175,0,180
2022-05-20T22:56:53,5,175,0,180
2022-05-20T23:07:08,5,175,0,180
2022-05-20T23:17:32,5,175,0,180
2022-05-20T23:27:46,5,175,0,180
2022-05-20T23:37:59,6,174,0,180
2022-05-20T23:48:13,6,174,0,180
2022-05-20T23:58:26,6,174,0,180
2022-05-21T00:08:42,6,174,0,180
2022-05-21T00:18:58,6,174,0,180
2022-05-21T00:29:14,6,174,0,180
2022-05-21T00:39:30,6,174,0,180
2022-05-21T00:49:46,6,174,0,180
2022-05-21T01:00:01,6,174,0,180
2022-05-21T01:10:16,6,174,0,180
2022-05-21T01:20:32,6,174,0,180
2022-05-21T01:30:46,6,174,0,180
2022-05-21T01:41:02,6,174,0,180
2022-05-21T01:51:17,6,174,0,180
2022-05-21T02:01:41,6,174,0,180
2022-05-21T02:11:55,6,174,0,180
2022-05-21T02:22:08,6,174,0,180
2022-05-21T02:32:22,6,174,0,180
2022-05-21T02:42:35,6,174,0,180
2022-05-21T02:52:47,6,174,0,180
2022-05-21T03:03:00,6,174,0,180
2022-05-21T03:13:15,6,174,0,180
2022-05-21T03:23:34,6,174,0,180
2022-05-21T03:33:49,6,174,0,180
2022-05-21T03:44:05,6,174,0,180
2022-05-21T03:54:20,6,174,0,180
2022-05-21T04:04:35,6,174,0,180
2022-05-21T04:19:55,6,174,0,180
2022-05-21T04:30:12,6,174,0,180
2022-05-21T04:41:52,6,174,0,180
2022-05-21T04:52:08,6,174,0,180
2022-05-21T05:02:24,6,174,0,180
2022-05-21T05:12:39,6,174,0,180
2022-05-21T05:22:55,6,174,0,180
2022-05-21T05:33:11,6,174,0,180
2022-05-21T05:43:27,6,174,0,180
2022-05-21T05:53:43,6,174,0,180
2022-05-21T06:03:58,6,174,0,180
2022-05-21T06:14:13,6,174,0,180
2022-05-21T06:24:30,6,174,0,180
2022-05-21T06:34:45,6,174,0,180
2022-05-21T06:45:01,6,174,0,180
2022-05-21T06:55:16,6,174,0,180
2022-05-21T07:05:32,6,174,0,180
2022-05-21T07:15:47,6,174,0,180
2022-05-21T07:26:02,6,174,0,180
2022-05-21T07:36:17,6,174,0,180
2022-05-21T07:46:32,6,174,0,180
2022-05-21T07:56:47,6,174,0,180
2022-05-21T08:07:01,6,174,0,180
2022-05-21T08:17:18,6,174,0,180
2022-05-21T08:27:32,6,174,0,180
2022-05-21T08:37:47,6,174,0,180
2022-05-21T08:48:24,6,174,0,180
2022-05-21T08:58:38,6,174,0,180
2022-05-21T09:08:51,6,174,0,180
2022-05-21T09:19:04,6,174,0,180
2022-05-21T09:29:17,6,174,0,180
2022-05-21T09:39:30,6,174,0,180
2022-05-21T09:49:43,6,174,0,180
2022-05-21T09:59:57,6,174,0,180
2022-05-21T10:10:10,6,174,0,180
2022-05-21T10:20:23,6,174,0,180
2022-05-21T10:30:36,6,174,0,180
2022-05-21T10:40:49,6,174,0,180
2022-05-21T10:51:03,6,174,0,180
2022-05-21T11:01:16,6,174,0,180
2022-05-21T11:11:30,6,174,0,180
2022-05-21T11:21:54,6,174,0,180
2022-05-21T11:32:08,6,174,0,180
2022-05-21T11:42:22,6,174,0,180
2022-05-21T11:52:35,6,174,0,180
2022-05-21T12:02:49,7,173,0,180
2022-05-21T12:13:04,7,173,0,180
2022-05-21T12:23:17,7,173,0,180
2022-05-21T12:33:30,7,173,0,180
2022-05-21T12:44:04,7,173,0,180
2022-05-21T12:54:17,7,173,0,180
2022-05-21T13:04:31,7,173,0,180
2022-05-21T13:14:44,7,173,0,180
2022-05-21T13:24:58,7,173,0,180
2022-05-21T13:35:11,7,173,0,180
2022-05-21T13:45:24,7,173,0,180
2022-05-21T13:55:38,7,173,0,180
2022-05-21T14:05:51,7,173,0,180
2022-05-21T14:16:15,7,173,0,180
2022-05-21T14:26:28,7,173,0,180
2022-05-21T14:36:42,7,173,0,180
2022-05-21T14:46:55,7,173,0,180
2022-05-21T14:57:10,7,173,0,180
2022-05-21T15:07:25,7,173,0,180
2022-05-21T15:17:38,7,173,0,180
2022-05-21T15:28:01,7,173,0,180
2022-05-21T15:38:15,7,173,0,180
2022-05-21T15:48:29,7,173,0,180
2022-05-21T15:58:42,7,173,0,180
2022-05-21T16:08:55,8,172,0,180
2022-05-21T16:19:09,8,172,0,180
2022-05-21T16:29:23,8,172,0,180
2022-05-21T16:39:36,8,172,0,180
2022-05-21T16:49:50,8,172,0,180
2022-05-21T17:00:03,8,172,0,180
2022-05-21T17:10:35,8,172,0,180
2022-05-21T17:20:49,8,172,0,180
2022-05-21T17:31:03,8,172,0,180
2022-05-21T17:41:16,8,172,0,180
2022-05-21T17:51:29,9,171,0,180
2022-05-21T18:01:42,9,171,0,180
2022-05-21T18:11:56,9,171,0,180
2022-05-21T18:22:10,9,171,0,180
2022-05-21T18:32:24,9,171,0,180
2022-05-21T18:42:37,9,171,0,180
2022-05-21T18:53:18,9,171,0,180
2022-05-21T19:03:31,9,171,0,180
2022-05-21T19:13:45,9,171,0,180
2022-05-21T19:23:58,9,171,0,180
2022-05-21T19:34:11,9,171,0,180
2022-05-21T19:44:26,9,171,0,180
2022-05-21T19:54:41,9,171,0,180
2022-05-21T20:04:55,9,171,0,180
2022-05-21T20:15:09,9,171,0,180
2022-05-21T20:25:22,9,171,0,180
2022-05-21T20:35:47,9,171,0,180
2022-05-21T20:46:01,9,171,0,180
2022-05-21T20:56:14,9,171,0,180
2022-05-21T21:06:27,9,171,0,180
2022-05-21T21:16:41,9,171,0,180
2022-05-21T21:26:54,9,171,0,180
2022-05-21T21:37:08,9,171,0,180
2022-05-21T21:47:21,9,171,0,180
2022-05-21T21:57:34,9,171,0,180
2022-05-21T22:07:48,10,170,0,180
2022-05-21T22:18:24,10,170,0,180
2022-05-21T22:28:37,10,170,0,180
2022-05-21T22:38:51,10,170,0,180
2022-05-21T22:49:04,10,170,0,180
2022-05-21T22:59:16,10,170,0,180
2022-05-21T23:09:30,10,170,0,180
2022-05-21T23:19:44,10,170,0,180
2022-05-21T23:29:57,10,170,0,180
2022-05-21T23:40:10,10,170,0,180
2022-05-21T23:50:22,10,170,0,180
2022-05-22T00:00:36,10,170,0,180
2022-05-22T00:10:50,10,170,0,180
2022-05-22T00:21:06,10,170,0,180
2022-05-22T00:31:31,10,170,0,180
2022-05-22T00:41:45,10,170,0,180
2022-05-22T00:51:58,10,170,0,180
2022-05-22T01:02:11,10,170,0,180
2022-05-22T01:12:24,10,170,0,180
2022-05-22T01:22:37,10,170,0,180
2022-05-22T01:32:49,10,170,0,180
2022-05-22T01:43:02,10,170,0,180
2022-05-22T01:53:15,10,170,0,180
2022-05-22T02:03:28,10,170,0,180
2022-05-22T02:13:41,10,170,0,180
2022-05-22T02:23:54,10,170,0,180
2022-05-22T02:34:11,10,170,0,180
2022-05-22T02:44:27,10,170,0,180
2022-05-22T02:54:42,10,170,0,180
2022-05-22T03:05:52,10,170,0,180
2022-05-22T03:16:08,10,170,0,180
2022-05-22T03:26:24,10,170,0,180
2022-05-22T03:36:39,10,170,0,180
2022-05-22T03:47:04,10,170,0,180
2022-05-22T03:57:19,10,170,0,180
2022-05-22T04:18:00,10,170,0,180
2022-05-22T04:28:45,10,170,0,180
2022-05-22T04:39:01,10,170,0,180
2022-05-22T04:49:17,10,170,0,180
2022-05-22T04:59:32,10,170,0,180
2022-05-22T05:09:49,10,170,0,180
2022-05-22T05:20:05,10,170,0,180
2022-05-22T05:30:19,10,170,0,180
2022-05-22T05:40:34,10,170,0,180
2022-05-22T05:50:50,10,170,0,180
2022-05-22T06:01:06,10,170,0,180
2022-05-22T06:11:21,10,170,0,180
2022-05-22T06:21:36,10,170,0,180
2022-05-22T06:31:51,10,170,0,180
2022-05-22T06:42:06,10,170,0,180
2022-05-22T06:52:20,10,170,0,180
2022-05-22T07:02:34,10,170,0,180
2022-05-22T07:12:47,10,170,0,180
2022-05-22T07:23:00,10,170,0,180
2022-05-22T07:33:14,10,170,0,180
2022-05-22T07:43:27,10,170,0,180
2022-05-22T07:53:40,10,170,0,180
2022-05-22T08:03:53,10,170,0,180
2022-05-22T08:14:06,10,170,0,180
2022-05-22T08:24:19,10,170,0,180
2022-05-22T08:34:33,10,170,0,180
2022-05-22T08:44:45,10,170,0,180
2022-05-22T08:54:58,10,170,0,180
