time,enrolled,available,waitlisted,total
2022-05-20T04:36:05,2,23,0,25
2022-05-20T04:46:21,2,23,0,25
2022-05-20T04:56:38,2,23,0,25
2022-05-20T05:06:54,2,23,0,25
2022-05-20T05:17:09,2,23,0,25
2022-05-20T05:27:25,2,23,0,25
2022-05-20T05:37:40,2,23,0,25
2022-05-20T05:47:56,2,23,0,25
2022-05-20T05:58:12,2,23,0,25
2022-05-20T06:08:27,2,23,0,25
2022-05-20T06:18:41,2,23,0,25
2022-05-20T06:28:58,2,23,0,25
2022-05-20T06:39:12,2,23,0,25
2022-05-20T06:49:26,2,23,0,25
2022-05-20T06:59:39,2,23,0,25
2022-05-20T07:09:56,2,23,0,25
2022-05-20T07:20:10,2,23,0,25
2022-05-20T07:30:23,2,23,0,25
2022-05-20T07:40:37,2,23,0,25
2022-05-20T07:50:52,2,23,0,25
2022-05-20T08:01:06,2,23,0,25
2022-05-20T08:11:20,2,23,0,25
2022-05-20T08:21:34,2,23,0,25
2022-05-20T08:31:50,2,23,0,25
2022-05-20T08:42:04,2,23,0,25
2022-05-20T08:52:19,2,23,0,25
2022-05-20T09:02:35,2,23,0,25
2022-05-20T09:13:02,2,23,0,25
2022-05-20T09:23:18,2,23,0,25
2022-05-20T09:33:33,3,22,0,25
2022-05-20T09:43:49,3,22,0,25
2022-05-20T09:54:05,3,22,0,25
2022-05-20T10:04:22,3,22,0,25
2022-05-20T10:14:38,3,22,0,25
2022-05-20T10:24:53,3,22,0,25
2022-05-20T10:35:10,3,22,0,25
2022-05-20T10:45:25,3,22,0,25
2022-05-20T10:55:54,3,22,0,25
2022-05-20T11:06:11,3,22,0,25
2022-05-20T11:16:27,3,22,0,25
2022-05-20T11:26:43,3,22,0,25
2022-05-20T11:36:59,3,22,0,25
2022-05-20T11:47:15,3,22,0,25
2022-05-20T11:57:44,3,22,0,25
2022-05-20T12:08:00,3,22,0,25
2022-05-20T12:18:15,3,22,0,25
2022-05-20T12:28:31,3,22,0,25
2022-05-20T12:38:46,3,22,0,25
2022-05-20T12:49:01,3,22,0,25
2022-05-20T12:59:17,3,22,0,25
2022-05-20T13:09:44,3,22,0,25
2022-05-20T13:20:01,3,22,0,25
2022-05-20T13:30:17,3,22,0,25
2022-05-20T13:40:34,3,22,0,25
2022-05-20T13:50:50,3,22,0,25
2022-05-20T14:01:06,4,21,0,25
2022-05-20T14:11:32,4,21,0,25
2022-05-20T14:21:47,4,21,0,25
2022-05-20T14:32:03,4,21,0,25
2022-05-20T14:42:18,4,21,0,25
2022-05-20T14:52:34,4,21,0,25
2022-05-20T15:02:49,4,21,0,25
2022-05-20T15:13:15,4,21,0,25
2022-05-20T15:23:31,4,21,0,25
2022-05-20T15:33:46,4,21,0,25
2022-05-20T15:44:01,4,21,0,25
2022-05-20T15:54:16,4,21,0,25
2022-05-20T16:04:31,4,21,0,25
2022-05-20T16:14:46,4,21,0,25
2022-05-20T16:25:11,4,21,0,25
2022-05-20T16:35:26,4,21,0,25
2022-05-20T16:45:40,4,21,0,25
