time,enrolled,available,waitlisted,total
2022-05-20T04:28:12,0,30,0,30
2022-05-20T04:38:51,0,30,0,30
2022-05-20T04:49:08,0,30,0,30
2022-05-20T04:59:24,0,30,0,30
2022-05-20T05:09:40,0,30,0,30
2022-05-20T05:19:55,0,30,0,30
2022-05-20T05:30:10,0,30,0,30
2022-05-20T05:40:26,0,30,0,30
2022-05-20T05:50:42,0,30,0,30
2022-05-20T06:00:58,0,30,0,30
2022-05-20T06:11:12,0,30,0,30
2022-05-20T06:21:29,0,30,0,30
2022-05-20T06:31:44,0,30,0,30
2022-05-20T06:41:57,0,30,0,30
2022-05-20T06:52:11,0,30,0,30
2022-05-20T07:02:28,0,30,0,30
2022-05-20T07:12:41,0,30,0,30
2022-05-20T07:22:55,0,30,0,30
2022-05-20T07:33:08,0,30,0,30
2022-05-20T07:43:23,0,30,0,30
2022-05-20T07:53:37,0,30,0,30
2022-05-20T08:03:51,0,30,0,30
2022-05-20T08:14:05,0,30,0,30
2022-05-20T08:24:20,0,30,0,30
2022-05-20T08:34:35,0,30,0,30
2022-05-20T08:44:50,0,30,0,30
2022-05-20T08:55:04,0,30,0,30
2022-05-20T09:05:20,0,30,0,30
2022-05-20T09:15:48,0,30,0,30
2022-05-20T09:26:04,0,30,0,30
2022-05-20T09:36:19,0,30,0,30
2022-05-20T09:46:35,0,30,0,30
2022-05-20T09:56:51,0,30,0,30
2022-05-20T10:07:08,1,29,0,30
2022-05-20T10:17:24,1,29,0,30
2022-05-20T10:27:39,1,29,0,30
2022-05-20T10:37:55,1,29,0,30
2022-05-20T10:48:11,1,29,0,30
2022-05-20T10:58:40,1,29,0,30
2022-05-20T11:08:57,1,29,0,30
2022-05-20T11:19:13,1,29,0,30
2022-05-20T11:29:28,1,29,0,30
2022-05-20T11:39:45,1,29,0,30
2022-05-20T11:50:01,1,29,0,30
2022-05-20T12:00:30,1,29,0,30
2022-05-20T12:10:46,1,29,0,30
2022-05-20T12:21:01,1,29,0,30
2022-05-20T12:31:16,1,29,0,30
2022-05-20T12:41:32,1,29,0,30
2022-05-20T12:51:47,1,29,0,30
2022-05-20T13:02:14,1,29,0,30
2022-05-20T13:12:31,1,29,0,30
2022-05-20T13:22:47,1,29,0,30
2022-05-20T13:33:03,1,29,0,30
2022-05-20T13:43:20,1,29,0,30
2022-05-20T13:53:36,1,29,0,30
2022-05-20T14:03:51,1,29,0,30
2022-05-20T14:14:18,1,29,0,30
2022-05-20T14:24:33,1,29,0,30
2022-05-20T14:34:49,1,29,0,30
2022-05-20T14:45:04,1,29,0,30
2022-05-20T14:55:19,1,29,0,30
2022-05-20T15:05:45,1,29,0,30
2022-05-20T15:16:01,1,29,0,30
