time,enrolled,available,waitlisted,total
2022-06-02T14:43:31,0,30,0,30
2022-06-02T14:54:02,0,30,0,30
2022-06-02T15:04:41,0,30,0,30
2022-06-02T15:15:15,0,30,0,30
2022-06-02T15:25:49,0,30,0,30
2022-06-02T15:36:33,0,30,0,30
2022-06-02T15:47:06,0,0,0,0
2022-06-02T15:57:39,0,0,0,0
2022-06-02T16:08:11,0,0,0,0
2022-06-02T16:18:44,0,0,0,0
2022-06-02T16:29:15,0,0,0,0
2022-06-02T16:39:42,0,0,0,0
2022-06-02T16:50:21,0,0,0,0
2022-06-02T17:00:46,0,0,0,0
2022-06-02T17:11:09,0,0,0,0
2022-06-02T17:21:31,0,0,0,0
2022-06-02T17:31:54,0,0,0,0
2022-06-02T17:42:16,0,0,0,0
2022-06-02T17:52:38,0,0,0,0
2022-06-02T18:03:11,0,0,0,0
2022-06-02T18:13:33,0,0,0,0
2022-06-02T18:23:55,0,0,0,0
2022-06-02T18:34:17,0,0,0,0
2022-06-02T18:44:39,0,0,0,0
2022-06-02T18:55:02,0,0,0,0
2022-06-02T19:05:24,0,0,0,0
2022-06-02T19:15:46,0,0,0,0
2022-06-02T19:26:19,0,0,0,0
2022-06-02T19:36:41,0,0,0,0
2022-06-02T19:47:02,0,0,0,0
2022-06-02T19:57:24,0,0,0,0
2022-06-02T20:07:46,0,0,0,0
2022-06-02T20:18:08,0,0,0,0
2022-06-02T20:28:31,0,0,0,0
2022-06-02T20:38:53,0,0,0,0
2022-06-02T20:49:16,0,0,0,0
2022-06-02T20:59:37,0,0,0,0
2022-06-02T21:10:11,0,0,0,0
2022-06-02T21:20:33,0,0,0,0
2022-06-02T21:30:54,0,0,0,0
2022-06-02T21:41:16,0,0,0,0
2022-06-02T21:51:38,0,0,0,0
2022-06-02T22:02:01,0,0,0,0
2022-06-02T22:12:22,0,0,0,0
2022-06-02T22:22:44,0,0,0,0
2022-06-02T22:33:09,0,0,0,0
2022-06-02T22:43:50,0,0,0,0
2022-06-02T22:54:16,0,0,0,0
2022-06-02T23:04:43,0,0,0,0
2022-06-02T23:15:10,0,0,0,0
2022-06-02T23:25:38,0,0,0,0
2022-06-02T23:36:05,0,0,0,0
2022-06-02T23:46:35,0,0,0,0
2022-06-02T23:57:06,0,0,0,0
2022-06-03T00:07:37,0,0,0,0
2022-06-03T00:18:26,0,0,0,0
2022-06-03T00:28:59,0,0,0,0
2022-06-03T00:39:32,0,0,0,0
2022-06-03T00:50:04,0,0,0,0
2022-06-03T01:00:34,0,0,0,0
2022-06-03T01:11:12,0,0,0,0
2022-06-03T01:21:40,0,0,0,0
2022-06-03T01:32:07,0,0,0,0
2022-06-03T01:42:32,0,0,0,0
2022-06-03T01:52:56,0,0,0,0
2022-06-03T02:03:20,0,0,0,0
2022-06-03T02:13:42,0,0,0,0
2022-06-03T02:24:03,0,0,0,0
2022-06-03T02:34:39,0,0,0,0
2022-06-03T02:45:02,0,0,0,0
2022-06-03T02:55:25,0,0,0,0
2022-06-03T03:05:49,0,0,0,0
2022-06-03T03:16:11,0,0,0,0
2022-06-03T03:26:32,0,0,0,0
2022-06-03T03:36:54,0,0,0,0
2022-06-03T03:47:17,0,0,0,0
2022-06-03T03:59:59,0,0,0,0
2022-06-03T04:10:46,0,0,0,0
2022-06-03T04:22:11,0,0,0,0
2022-06-03T04:32:57,0,0,0,0
2022-06-03T04:43:21,0,0,0,0
2022-06-03T04:53:45,0,0,0,0
2022-06-03T05:04:09,0,0,0,0
2022-06-03T05:14:35,0,0,0,0
2022-06-03T05:24:59,0,0,0,0
2022-06-03T05:35:22,0,0,0,0
2022-06-03T05:45:47,0,0,0,0
2022-06-03T05:56:12,0,0,0,0
2022-06-03T06:06:36,0,0,0,0
2022-06-03T06:16:59,0,0,0,0
2022-06-03T06:27:23,0,0,0,0
2022-06-03T06:37:46,0,0,0,0
2022-06-03T06:48:08,0,0,0,0
2022-06-03T06:58:29,0,0,0,0
2022-06-03T07:08:52,0,0,0,0
2022-06-03T07:19:15,0,0,0,0
2022-06-03T07:29:36,0,0,0,0
2022-06-03T07:39:58,0,0,0,0
2022-06-03T07:50:20,0,0,0,0
2022-06-03T08:00:42,0,0,0,0
2022-06-03T08:11:05,0,0,0,0
2022-06-03T08:21:27,0,0,0,0
2022-06-03T08:31:50,0,0,0,0
2022-06-03T08:42:12,0,0,0,0
2022-06-03T08:52:34,0,0,0,0
2022-06-03T09:02:58,0,0,0,0
2022-06-03T09:13:26,0,0,0,0
2022-06-03T09:23:51,0,0,0,0
2022-06-03T09:34:25,0,0,0,0
2022-06-03T09:44:49,0,0,0,0
2022-06-03T09:55:12,0,0,0,0
2022-06-03T10:05:36,0,0,0,0
2022-06-03T10:16:00,0,0,0,0
2022-06-03T10:26:24,0,0,0,0
2022-06-03T10:36:48,0,0,0,0
2022-06-03T10:47:13,0,0,0,0
2022-06-03T10:57:39,0,0,0,0
2022-06-03T11:08:04,0,0,0,0
2022-06-03T11:18:42,0,0,0,0
2022-06-03T11:29:07,0,0,0,0
2022-06-03T11:39:32,0,0,0,0
2022-06-03T11:49:56,0,0,0,0
2022-06-03T12:00:21,0,0,0,0
2022-06-03T12:10:45,0,0,0,0
2022-06-03T12:21:09,0,0,0,0
2022-06-03T12:31:34,0,0,0,0
2022-06-03T12:41:59,0,0,0,0
2022-06-03T12:52:23,0,0,0,0
2022-06-03T13:02:47,0,0,0,0
2022-06-03T13:13:12,0,0,0,0
