time,enrolled,available,waitlisted,total
2022-05-18T04:31:57,0,189,0,189
2022-05-18T04:42:31,0,189,0,189
2022-05-18T04:52:41,0,189,0,189
2022-05-18T05:02:52,0,189,0,189
2022-05-18T05:13:02,0,189,0,189
2022-05-18T05:23:13,0,189,0,189
2022-05-18T05:33:24,0,189,0,189
2022-05-18T05:43:33,0,189,0,189
2022-05-18T05:53:43,0,189,0,189
2022-05-18T06:03:57,0,189,0,189
2022-05-18T06:14:06,0,189,0,189
2022-05-18T06:24:14,0,189,0,189
2022-05-18T06:34:22,0,189,0,189
2022-05-18T06:44:30,0,189,0,189
2022-05-18T06:54:37,0,189,0,189
2022-05-18T07:04:45,0,189,0,189
2022-05-18T07:14:54,0,189,0,189
2022-05-18T07:25:02,0,189,0,189
2022-05-18T07:35:09,0,189,0,189
2022-05-18T07:45:18,0,189,0,189
2022-05-18T07:55:26,0,189,0,189
2022-05-18T08:05:34,0,189,0,189
2022-05-18T08:15:42,0,189,0,189
2022-05-18T08:25:50,0,189,0,189
2022-05-18T08:35:59,0,189,0,189
2022-05-18T08:46:09,0,189,0,189
2022-05-18T08:56:17,0,189,0,189
2022-05-18T09:06:27,0,189,0,189
2022-05-18T09:16:48,0,189,0,189
2022-05-18T09:26:56,0,189,0,189
2022-05-18T09:37:06,0,189,0,189
2022-05-18T09:47:14,0,189,0,189
2022-05-18T09:57:25,0,189,0,189
2022-05-18T10:07:37,0,189,0,189
2022-05-18T10:17:48,0,189,0,189
2022-05-18T10:27:59,0,189,0,189
2022-05-18T10:38:22,0,189,0,189
2022-05-18T10:48:31,0,189,0,189
2022-05-18T10:58:41,0,189,0,189
2022-05-18T11:08:52,0,189,0,189
2022-05-18T11:19:01,0,189,0,189
2022-05-18T11:29:10,0,189,0,189
2022-05-18T11:39:19,0,189,0,189
2022-05-18T11:49:27,0,189,0,189
2022-05-18T11:59:46,0,189,0,189
2022-05-18T12:09:55,0,189,0,189
2022-05-18T12:20:03,0,189,0,189
2022-05-18T12:30:14,0,189,0,189
2022-05-18T12:40:24,0,189,0,189
2022-05-18T12:50:34,0,189,0,189
2022-05-18T13:00:44,0,189,0,189
2022-05-18T13:11:05,0,189,0,189
2022-05-18T13:21:16,0,189,0,189
2022-05-18T13:31:25,0,189,0,189
2022-05-18T13:41:37,0,189,0,189
2022-05-18T13:51:47,0,189,0,189
2022-05-18T14:01:58,0,189,0,189
2022-05-18T14:12:08,0,189,0,189
2022-05-18T14:22:19,0,189,0,189
2022-05-18T14:32:41,0,189,0,189
2022-05-18T14:42:51,0,189,0,189
2022-05-18T14:53:01,0,189,0,189
2022-05-18T15:03:12,0,189,0,189
2022-05-18T15:13:24,0,189,0,189
2022-05-18T15:23:34,0,189,0,189
2022-05-18T15:33:45,0,189,0,189
2022-05-18T15:44:06,0,189,0,189
2022-05-18T15:54:17,0,189,0,189
2022-05-18T16:04:28,0,189,0,189
2022-05-18T16:14:39,0,189,0,189
2022-05-18T16:24:50,0,189,0,189
2022-05-18T16:34:59,0,189,0,189
2022-05-18T16:45:09,0,189,0,189
2022-05-18T16:55:19,0,189,0,189
2022-05-18T17:05:39,0,189,0,189
2022-05-18T17:15:50,0,189,0,189
2022-05-18T17:25:59,0,189,0,189
2022-05-18T17:36:08,0,189,0,189
2022-05-18T17:46:18,0,189,0,189
2022-05-18T17:56:27,0,189,0,189
2022-05-18T18:06:36,0,189,0,189
2022-05-18T18:16:46,0,189,0,189
2022-05-18T18:26:56,0,189,0,189
2022-05-18T18:37:16,0,189,0,189
2022-05-18T18:47:25,0,189,0,189
2022-05-18T18:57:34,0,189,0,189
2022-05-18T19:07:43,0,189,0,189
2022-05-18T19:17:52,0,189,0,189
2022-05-18T19:28:01,0,189,0,189
2022-05-18T19:38:10,0,189,0,189
2022-05-18T19:48:19,0,189,0,189
2022-05-18T19:58:28,0,189,0,189
2022-05-18T20:08:37,0,189,0,189
2022-05-18T20:18:57,0,189,0,189
2022-05-18T20:29:06,0,189,0,189
2022-05-18T20:39:14,0,189,0,189
2022-05-18T20:49:23,0,189,0,189
2022-05-18T20:59:32,0,189,0,189
2022-05-18T21:09:43,0,189,0,189
2022-05-18T21:19:51,0,189,0,189
2022-05-18T21:30:00,0,189,0,189
2022-05-18T21:40:09,0,189,0,189
2022-05-18T21:50:18,0,189,0,189
2022-05-18T22:00:37,0,189,0,189
2022-05-18T22:10:46,0,189,0,189
2022-05-18T22:20:55,0,189,0,189
2022-05-18T22:31:04,0,189,0,189
2022-05-18T22:41:13,0,189,0,189
2022-05-18T22:51:22,0,189,0,189
2022-05-18T23:01:31,0,189,0,189
2022-05-18T23:11:41,0,189,0,189
2022-05-18T23:21:51,0,189,0,189
2022-05-18T23:32:14,0,189,0,189
2022-05-18T23:42:23,0,189,0,189
2022-05-18T23:52:31,0,189,0,189
2022-05-19T00:02:41,0,189,0,189
2022-05-19T00:12:54,0,189,0,189
2022-05-19T00:23:05,0,189,0,189
2022-05-19T00:33:20,0,189,0,189
2022-05-19T00:43:35,0,189,0,189
2022-05-19T00:53:46,0,189,0,189
2022-05-19T01:03:56,0,189,0,189
2022-05-19T01:14:05,0,189,0,189
2022-05-19T01:24:15,0,189,0,189
2022-05-19T01:34:24,0,189,0,189
2022-05-19T01:44:34,0,189,0,189
2022-05-19T01:54:45,0,189,0,189
2022-05-19T02:05:05,0,189,0,189
2022-05-19T02:15:14,0,189,0,189
2022-05-19T02:25:23,0,189,0,189
2022-05-19T02:35:31,0,189,0,189
2022-05-19T02:45:39,0,189,0,189
2022-05-19T02:55:47,0,189,0,189
2022-05-19T03:05:56,0,189,0,189
