time,enrolled,available,waitlisted,total
2022-05-20T04:28:38,0,353,0,353
2022-05-20T04:39:17,0,353,0,353
2022-05-20T04:49:34,0,353,0,353
2022-05-20T04:59:50,0,353,0,353
2022-05-20T05:10:06,0,353,0,353
2022-05-20T05:20:21,0,353,0,353
2022-05-20T05:30:36,0,353,0,353
2022-05-20T05:40:52,0,353,0,353
2022-05-20T05:51:08,0,353,0,353
2022-05-20T06:01:24,0,353,0,353
2022-05-20T06:11:38,0,353,0,353
2022-05-20T06:21:55,0,353,0,353
2022-05-20T06:32:09,0,353,0,353
2022-05-20T06:42:23,0,353,0,353
2022-05-20T06:52:37,0,353,0,353
2022-05-20T07:02:53,0,353,0,353
2022-05-20T07:13:07,0,353,0,353
2022-05-20T07:23:21,0,353,0,353
2022-05-20T07:33:34,0,353,0,353
2022-05-20T07:43:49,0,353,0,353
2022-05-20T07:54:03,0,353,0,353
2022-05-20T08:04:17,0,353,0,353
2022-05-20T08:14:31,0,353,0,353
2022-05-20T08:24:46,0,353,0,353
2022-05-20T08:35:01,0,353,0,353
2022-05-20T08:45:16,0,353,0,353
2022-05-20T08:55:30,0,353,0,353
2022-05-20T09:05:46,0,353,0,353
2022-05-20T09:16:14,0,353,0,353
2022-05-20T09:26:30,1,352,0,353
2022-05-20T09:36:45,1,352,0,353
2022-05-20T09:47:01,1,352,0,353
2022-05-20T09:57:17,1,352,0,353
2022-05-20T10:07:34,2,351,0,353
2022-05-20T10:17:50,2,351,0,353
2022-05-20T10:28:05,2,351,0,353
2022-05-20T10:38:21,2,351,0,353
2022-05-20T10:48:37,2,351,0,353
2022-05-20T10:59:06,2,351,0,353
2022-05-20T11:09:23,2,351,0,353
2022-05-20T11:19:39,2,351,0,353
2022-05-20T11:29:54,2,351,0,353
2022-05-20T11:40:10,2,351,0,353
2022-05-20T11:50:27,3,350,0,353
2022-05-20T12:00:56,3,350,0,353
2022-05-20T12:11:12,3,350,0,353
2022-05-20T12:21:27,3,350,0,353
2022-05-20T12:31:42,3,350,0,353
2022-05-20T12:41:57,3,350,0,353
2022-05-20T12:52:13,3,350,0,353
2022-05-20T13:02:40,3,350,0,353
2022-05-20T13:12:57,3,350,0,353
2022-05-20T13:23:13,3,350,0,353
2022-05-20T13:33:29,3,350,0,353
2022-05-20T13:43:46,3,350,0,353
2022-05-20T13:54:01,3,350,0,353
2022-05-20T14:04:17,3,350,0,353
2022-05-20T14:14:43,3,350,0,353
2022-05-20T14:24:59,3,350,0,353
2022-05-20T14:35:15,3,350,0,353
2022-05-20T14:45:30,3,350,0,353
2022-05-20T14:55:45,3,350,0,353
2022-05-20T15:06:11,3,350,0,353
2022-05-20T15:16:27,4,349,0,353
2022-05-20T15:26:42,4,349,0,353
2022-05-20T15:36:57,4,349,0,353
2022-05-20T15:47:13,4,349,0,353
2022-05-20T15:57:27,4,349,0,353
2022-05-20T16:07:42,4,349,0,353
2022-05-20T16:17:57,4,349,0,353
2022-05-20T16:28:22,4,349,0,353
2022-05-20T16:38:37,5,348,0,353
2022-05-20T16:48:51,5,348,0,353
2022-05-20T16:59:05,5,348,0,353
2022-05-20T17:09:20,5,348,0,353
2022-05-20T17:19:34,5,348,0,353
2022-05-20T17:29:48,5,348,0,353
2022-05-20T17:40:02,6,347,0,353
2022-05-20T17:50:16,6,347,0,353
2022-05-20T18:00:30,6,347,0,353
2022-05-20T18:10:53,6,347,0,353
2022-05-20T18:21:07,6,347,0,353
2022-05-20T18:31:20,6,347,0,353
2022-05-20T18:41:33,6,347,0,353
2022-05-20T18:51:47,6,347,0,353
2022-05-20T19:02:00,6,347,0,353
2022-05-20T19:12:15,6,347,0,353
2022-05-20T19:22:29,6,347,0,353
2022-05-20T19:32:42,6,347,0,353
2022-05-20T19:42:57,6,347,0,353
2022-05-20T19:53:10,6,347,0,353
2022-05-20T20:03:34,6,347,0,353
2022-05-20T20:13:47,6,347,0,353
2022-05-20T20:24:01,6,347,0,353
2022-05-20T20:34:15,6,347,0,353
2022-05-20T20:44:28,6,347,0,353
2022-05-20T20:54:42,6,347,0,353
2022-05-20T21:04:55,7,346,0,353
2022-05-20T21:15:09,8,345,0,353
2022-05-20T21:25:33,8,345,0,353
2022-05-20T21:35:47,8,345,0,353
2022-05-20T21:46:00,8,345,0,353
2022-05-20T21:56:14,9,344,0,353
2022-05-20T22:06:29,10,343,0,353
2022-05-20T22:16:42,10,343,0,353
2022-05-20T22:26:57,10,343,0,353
2022-05-20T22:37:10,10,343,0,353
2022-05-20T22:47:24,10,343,0,353
2022-05-20T22:57:37,10,343,0,353
2022-05-20T23:07:52,10,343,0,353
2022-05-20T23:18:16,11,342,0,353
2022-05-20T23:28:30,11,342,0,353
2022-05-20T23:38:43,11,342,0,353
2022-05-20T23:48:57,11,342,0,353
2022-05-20T23:59:10,12,341,0,353
2022-05-21T00:09:26,12,341,0,353
2022-05-21T00:19:42,12,341,0,353
2022-05-21T00:29:58,12,341,0,353
2022-05-21T00:40:14,12,341,0,353
2022-05-21T00:50:30,12,341,0,353
2022-05-21T01:00:45,12,341,0,353
2022-05-21T01:11:01,12,341,0,353
2022-05-21T01:21:15,12,341,0,353
2022-05-21T01:31:30,12,341,0,353
2022-05-21T01:41:46,12,341,0,353
2022-05-21T01:52:00,12,341,0,353
2022-05-21T02:02:25,12,341,0,353
2022-05-21T02:12:39,12,341,0,353
2022-05-21T02:22:52,12,341,0,353
2022-05-21T02:33:05,12,341,0,353
2022-05-21T02:43:18,12,341,0,353
2022-05-21T02:53:31,12,341,0,353
