time,enrolled,available,waitlisted,total
2022-05-20T04:36:12,0,0,0,0
2022-05-20T04:46:28,0,0,0,0
2022-05-20T04:56:45,0,0,0,0
2022-05-20T05:07:01,0,0,0,0
2022-05-20T05:17:16,0,0,0,0
2022-05-20T05:27:32,0,0,0,0
2022-05-20T05:37:47,0,0,0,0
2022-05-20T05:48:03,0,0,0,0
2022-05-20T05:58:19,0,0,0,0
2022-05-20T06:08:34,0,0,0,0
2022-05-20T06:18:48,0,0,0,0
2022-05-20T06:29:05,0,0,0,0
2022-05-20T06:39:19,0,0,0,0
2022-05-20T06:49:33,0,0,0,0
2022-05-20T06:59:46,0,0,0,0
2022-05-20T07:10:03,0,0,0,0
2022-05-20T07:20:16,0,0,0,0
2022-05-20T07:30:30,0,0,0,0
2022-05-20T07:40:44,0,0,0,0
2022-05-20T07:50:59,0,0,0,0
2022-05-20T08:01:12,0,0,0,0
2022-05-20T08:11:27,0,0,0,0
2022-05-20T08:21:41,0,0,0,0
2022-05-20T08:31:57,0,0,0,0
2022-05-20T08:42:11,0,0,0,0
2022-05-20T08:52:26,0,0,0,0
2022-05-20T09:02:41,0,0,0,0
2022-05-20T09:13:09,0,0,0,0
2022-05-20T09:23:25,0,0,0,0
2022-05-20T09:33:40,0,0,0,0
2022-05-20T09:43:56,0,0,0,0
2022-05-20T09:54:12,0,0,0,0
2022-05-20T10:04:29,0,0,0,0
2022-05-20T10:14:45,0,0,0,0
2022-05-20T10:25:00,0,0,0,0
2022-05-20T10:35:17,0,0,0,0
2022-05-20T10:45:32,0,0,0,0
2022-05-20T10:56:01,0,0,0,0
2022-05-20T11:06:18,0,0,0,0
2022-05-20T11:16:34,0,0,0,0
2022-05-20T11:26:50,0,0,0,0
2022-05-20T11:37:06,0,0,0,0
2022-05-20T11:47:22,0,0,0,0
2022-05-20T11:57:51,0,0,0,0
2022-05-20T12:08:07,0,0,0,0
2022-05-20T12:18:22,0,0,0,0
2022-05-20T12:28:37,0,0,0,0
2022-05-20T12:38:53,0,0,0,0
2022-05-20T12:49:08,0,0,0,0
2022-05-20T12:59:24,0,0,0,0
2022-05-20T13:09:51,0,0,0,0
2022-05-20T13:20:08,0,0,0,0
2022-05-20T13:30:24,0,0,0,0
2022-05-20T13:40:41,0,0,0,0
2022-05-20T13:50:57,0,0,0,0
2022-05-20T14:01:13,0,0,0,0
2022-05-20T14:11:39,0,0,0,0
2022-05-20T14:21:54,0,0,0,0
2022-05-20T14:32:10,0,0,0,0
2022-05-20T14:42:25,0,0,0,0
2022-05-20T14:52:41,0,0,0,0
2022-05-20T15:02:56,0,0,0,0
2022-05-20T15:13:22,0,0,0,0
2022-05-20T15:23:37,0,0,0,0
2022-05-20T15:33:53,0,0,0,0
2022-05-20T15:44:08,0,0,0,0
2022-05-20T15:54:23,0,0,0,0
2022-05-20T16:04:38,0,0,0,0
2022-05-20T16:14:53,0,0,0,0
2022-05-20T16:25:18,0,0,0,0
2022-05-20T16:35:33,0,0,0,0
2022-05-20T16:45:47,0,0,0,0
2022-05-20T16:56:01,0,0,0,0
2022-05-20T17:06:16,0,0,0,0
2022-05-20T17:16:30,0,0,0,0
2022-05-20T17:26:43,0,0,0,0
2022-05-20T17:36:57,0,0,0,0
2022-05-20T17:47:12,0,0,0,0
2022-05-20T17:57:26,0,0,0,0
2022-05-20T18:07:40,0,0,0,0
2022-05-20T18:18:02,0,0,0,0
2022-05-20T18:28:16,0,0,0,0
2022-05-20T18:38:29,0,0,0,0
2022-05-20T18:48:42,0,0,0,0
2022-05-20T18:58:56,0,0,0,0
2022-05-20T19:09:10,0,0,0,0
2022-05-20T19:19:24,0,0,0,0
2022-05-20T19:29:38,0,0,0,0
2022-05-20T19:39:53,0,0,0,0
2022-05-20T19:50:06,0,0,0,0
2022-05-20T20:00:30,0,0,0,0
2022-05-20T20:10:43,0,0,0,0
