time,enrolled,available,waitlisted,total
2022-05-18T04:39:34,0,15,0,15
2022-05-18T04:49:44,0,15,0,15
2022-05-18T04:59:54,0,15,0,15
2022-05-18T05:10:05,0,15,0,15
2022-05-18T05:20:15,0,15,0,15
2022-05-18T05:30:27,0,15,0,15
2022-05-18T05:40:36,0,15,0,15
2022-05-18T05:50:46,0,15,0,15
2022-05-18T06:00:57,0,15,0,15
2022-05-18T06:11:09,0,15,0,15
2022-05-18T06:21:17,0,15,0,15
2022-05-18T06:31:26,0,15,0,15
2022-05-18T06:41:33,0,15,0,15
2022-05-18T06:51:41,0,15,0,15
2022-05-18T07:01:48,0,15,0,15
2022-05-18T07:11:58,0,15,0,15
2022-05-18T07:22:05,0,15,0,15
2022-05-18T07:32:13,0,15,0,15
2022-05-18T07:42:21,0,15,0,15
2022-05-18T07:52:29,0,15,0,15
2022-05-18T08:02:37,0,15,0,15
2022-05-18T08:12:45,0,15,0,15
2022-05-18T08:22:53,0,15,0,15
2022-05-18T08:33:02,0,15,0,15
2022-05-18T08:43:12,0,15,0,15
2022-05-18T08:53:21,0,15,0,15
2022-05-18T09:03:30,0,15,0,15
2022-05-18T09:13:51,0,15,0,15
2022-05-18T09:24:00,0,15,0,15
2022-05-18T09:34:09,0,15,0,15
2022-05-18T09:44:18,0,15,0,15
2022-05-18T09:54:27,0,15,0,15
2022-05-18T10:04:39,0,15,0,15
2022-05-18T10:14:51,0,15,0,15
2022-05-18T10:25:02,0,15,0,15
2022-05-18T10:35:12,0,15,0,15
2022-05-18T10:45:34,0,15,0,15
2022-05-18T10:55:44,0,15,0,15
2022-05-18T11:05:55,0,15,0,15
2022-05-18T11:16:04,0,15,0,15
2022-05-18T11:26:13,0,15,0,15
2022-05-18T11:36:22,0,15,0,15
2022-05-18T11:46:31,0,15,0,15
2022-05-18T11:56:50,0,15,0,15
2022-05-18T12:06:58,0,15,0,15
2022-05-18T12:17:07,0,15,0,15
2022-05-18T12:27:17,0,15,0,15
2022-05-18T12:37:27,0,15,0,15
2022-05-18T12:47:37,0,15,0,15
2022-05-18T12:57:48,0,15,0,15
2022-05-18T13:07:58,0,15,0,15
2022-05-18T13:18:19,0,15,0,15
2022-05-18T13:28:28,0,15,0,15
2022-05-18T13:38:40,0,15,0,15
2022-05-18T13:48:50,0,15,0,15
2022-05-18T13:59:01,0,15,0,15
2022-05-18T14:09:12,0,15,0,15
2022-05-18T14:19:22,0,15,0,15
2022-05-18T14:29:43,0,15,0,15
2022-05-18T14:39:54,0,15,0,15
2022-05-18T14:50:04,0,15,0,15
2022-05-18T15:00:15,0,15,0,15
2022-05-18T15:10:27,0,15,0,15
2022-05-18T15:20:38,0,15,0,15
2022-05-18T15:30:48,0,15,0,15
2022-05-18T15:41:09,0,15,0,15
2022-05-18T15:51:20,0,15,0,15
2022-05-18T16:01:31,0,15,0,15
2022-05-18T16:11:42,0,15,0,15
2022-05-18T16:21:53,0,15,0,15
2022-05-18T16:32:03,0,15,0,15
2022-05-18T16:42:13,0,15,0,15
2022-05-18T16:52:22,0,15,0,15
2022-05-18T17:02:43,0,15,0,15
2022-05-18T17:12:53,0,15,0,15
2022-05-18T17:23:03,0,15,0,15
2022-05-18T17:33:12,0,15,0,15
2022-05-18T17:43:21,0,15,0,15
2022-05-18T17:53:30,0,15,0,15
2022-05-18T18:03:40,0,15,0,15
2022-05-18T18:13:49,0,15,0,15
2022-05-18T18:24:00,0,15,0,15
2022-05-18T18:34:20,0,15,0,15
2022-05-18T18:44:29,0,15,0,15
2022-05-18T18:54:38,0,15,0,15
2022-05-18T19:04:47,0,15,0,15
2022-05-18T19:14:55,0,15,0,15
2022-05-18T19:25:05,0,15,0,15
2022-05-18T19:35:14,0,15,0,15
2022-05-18T19:45:23,0,15,0,15
2022-05-18T19:55:32,0,15,0,15
2022-05-18T20:05:41,0,15,0,15
2022-05-18T20:16:01,0,15,0,15
2022-05-18T20:26:09,0,15,0,15
2022-05-18T20:36:18,0,15,0,15
2022-05-18T20:46:27,0,15,0,15
2022-05-18T20:56:36,0,15,0,15
2022-05-18T21:06:46,0,15,0,15
2022-05-18T21:16:55,0,15,0,15
2022-05-18T21:27:04,0,15,0,15
2022-05-18T21:37:13,0,15,0,15
2022-05-18T21:47:22,0,15,0,15
2022-05-18T21:57:41,0,15,0,15
2022-05-18T22:07:50,0,15,0,15
2022-05-18T22:17:58,0,15,0,15
2022-05-18T22:28:07,0,15,0,15
2022-05-18T22:38:17,0,15,0,15
2022-05-18T22:48:25,0,15,0,15
2022-05-18T22:58:34,0,15,0,15
2022-05-18T23:08:44,0,15,0,15
2022-05-18T23:18:54,0,15,0,15
2022-05-18T23:29:06,0,15,0,15
2022-05-18T23:39:27,0,15,0,15
2022-05-18T23:49:36,0,15,0,15
2022-05-18T23:59:44,0,15,0,15
2022-05-19T00:09:56,0,15,0,15
2022-05-19T00:20:08,0,15,0,15
2022-05-19T00:30:21,0,15,0,15
2022-05-19T00:40:38,0,15,0,15
2022-05-19T00:50:49,0,15,0,15
2022-05-19T01:00:59,0,15,0,15
2022-05-19T01:11:09,0,15,0,15
2022-05-19T01:21:19,0,15,0,15
2022-05-19T01:31:28,0,15,0,15
2022-05-19T01:41:37,0,15,0,15
2022-05-19T01:51:48,0,15,0,15
2022-05-19T02:02:08,0,15,0,15
2022-05-19T02:12:18,0,15,0,15
2022-05-19T02:22:27,0,15,0,15
2022-05-19T02:32:35,0,15,0,15
2022-05-19T02:42:43,0,15,0,15
2022-05-19T02:52:51,0,15,0,15
2022-05-19T03:02:59,0,15,0,15
