time,enrolled,available,waitlisted,total
2022-05-20T04:36:15,1,19,0,20
2022-05-20T04:46:32,1,19,0,20
2022-05-20T04:56:49,1,19,0,20
2022-05-20T05:07:05,1,19,0,20
2022-05-20T05:17:20,1,19,0,20
2022-05-20T05:27:35,1,19,0,20
2022-05-20T05:37:51,1,19,0,20
2022-05-20T05:48:07,1,19,0,20
2022-05-20T05:58:22,1,19,0,20
2022-05-20T06:08:38,1,19,0,20
2022-05-20T06:18:52,1,19,0,20
2022-05-20T06:29:09,1,19,0,20
2022-05-20T06:39:23,1,19,0,20
2022-05-20T06:49:36,1,19,0,20
2022-05-20T06:59:50,1,19,0,20
2022-05-20T07:10:07,1,19,0,20
2022-05-20T07:20:20,1,19,0,20
2022-05-20T07:30:34,1,19,0,20
2022-05-20T07:40:48,1,19,0,20
2022-05-20T07:51:02,1,19,0,20
2022-05-20T08:01:16,1,19,0,20
2022-05-20T08:11:30,1,19,0,20
2022-05-20T08:21:45,1,19,0,20
2022-05-20T08:32:01,1,19,0,20
2022-05-20T08:42:15,1,19,0,20
2022-05-20T08:52:30,1,19,0,20
2022-05-20T09:02:45,1,19,0,20
2022-05-20T09:13:13,1,19,0,20
2022-05-20T09:23:28,2,18,0,20
2022-05-20T09:33:44,2,18,0,20
2022-05-20T09:44:00,2,18,0,20
2022-05-20T09:54:16,2,18,0,20
2022-05-20T10:04:33,2,18,0,20
2022-05-20T10:14:49,2,18,0,20
2022-05-20T10:25:04,2,18,0,20
2022-05-20T10:35:20,2,18,0,20
2022-05-20T10:45:36,2,18,0,20
2022-05-20T10:56:05,2,18,0,20
2022-05-20T11:06:21,2,18,0,20
2022-05-20T11:16:38,2,18,0,20
2022-05-20T11:26:54,2,18,0,20
2022-05-20T11:37:09,2,18,0,20
2022-05-20T11:47:26,2,18,0,20
2022-05-20T11:57:55,3,17,0,20
2022-05-20T12:08:11,3,17,0,20
2022-05-20T12:18:26,3,17,0,20
2022-05-20T12:28:41,3,17,0,20
2022-05-20T12:38:57,3,17,0,20
2022-05-20T12:49:12,3,17,0,20
2022-05-20T12:59:28,3,17,0,20
2022-05-20T13:09:55,3,17,0,20
2022-05-20T13:20:11,3,17,0,20
2022-05-20T13:30:28,3,17,0,20
2022-05-20T13:40:45,3,17,0,20
2022-05-20T13:51:00,3,17,0,20
2022-05-20T14:01:16,3,17,0,20
2022-05-20T14:11:42,3,17,0,20
2022-05-20T14:21:58,3,17,0,20
2022-05-20T14:32:14,3,17,0,20
2022-05-20T14:42:29,3,17,0,20
2022-05-20T14:52:44,3,17,0,20
2022-05-20T15:03:00,3,17,0,20
2022-05-20T15:13:26,3,17,0,20
2022-05-20T15:23:41,3,17,0,20
2022-05-20T15:33:57,3,17,0,20
2022-05-20T15:44:11,3,17,0,20
2022-05-20T15:54:26,3,17,0,20
2022-05-20T16:04:42,3,17,0,20
2022-05-20T16:14:56,3,17,0,20
2022-05-20T16:25:22,3,17,0,20
2022-05-20T16:35:36,3,17,0,20
2022-05-20T16:45:50,3,17,0,20
2022-05-20T16:56:05,3,17,0,20
2022-05-20T17:06:19,3,17,0,20
2022-05-20T17:16:34,3,17,0,20
2022-05-20T17:26:47,3,17,0,20
2022-05-20T17:37:01,3,17,0,20
2022-05-20T17:47:15,3,17,0,20
2022-05-20T17:57:29,3,17,0,20
2022-05-20T18:07:43,3,17,0,20
2022-05-20T18:18:06,3,17,0,20
2022-05-20T18:28:20,3,17,0,20
2022-05-20T18:38:33,3,17,0,20
2022-05-20T18:48:46,3,17,0,20
2022-05-20T18:59:00,3,17,0,20
2022-05-20T19:09:14,3,17,0,20
2022-05-20T19:19:28,3,17,0,20
2022-05-20T19:29:42,3,17,0,20
2022-05-20T19:39:57,3,17,0,20
2022-05-20T19:50:10,3,17,0,20
2022-05-20T20:00:33,3,17,0,20
2022-05-20T20:10:47,3,17,0,20
2022-05-20T20:21:01,3,17,0,20
2022-05-20T20:31:14,3,17,0,20
2022-05-20T20:41:28,3,17,0,20
2022-05-20T20:51:41,3,17,0,20
2022-05-20T21:01:55,3,17,0,20
2022-05-20T21:12:09,3,17,0,20
2022-05-20T21:22:22,3,17,0,20
2022-05-20T21:32:46,3,17,0,20
2022-05-20T21:43:00,3,17,0,20
2022-05-20T21:53:14,3,17,0,20
2022-05-20T22:03:28,3,17,0,20
2022-05-20T22:13:42,3,17,0,20
2022-05-20T22:23:57,3,17,0,20
2022-05-20T22:34:10,3,17,0,20
2022-05-20T22:44:23,3,17,0,20
2022-05-20T22:54:37,3,17,0,20
2022-05-20T23:04:51,3,17,0,20
2022-05-20T23:15:16,3,17,0,20
2022-05-20T23:25:29,3,17,0,20
2022-05-20T23:35:43,3,17,0,20
2022-05-20T23:45:57,3,17,0,20
2022-05-20T23:56:10,3,17,0,20
2022-05-21T00:06:25,3,17,0,20
2022-05-21T00:16:41,3,17,0,20
2022-05-21T00:26:57,3,17,0,20
2022-05-21T00:37:13,3,17,0,20
2022-05-21T00:47:28,3,17,0,20
2022-05-21T00:57:44,3,17,0,20
2022-05-21T01:07:59,3,17,0,20
2022-05-21T01:18:15,3,17,0,20
2022-05-21T01:28:29,3,17,0,20
2022-05-21T01:38:45,3,17,0,20
2022-05-21T01:49:00,3,17,0,20
2022-05-21T01:59:24,3,17,0,20
2022-05-21T02:09:38,3,17,0,20
2022-05-21T02:19:52,3,17,0,20
2022-05-21T02:30:05,3,17,0,20
2022-05-21T02:40:18,3,17,0,20
2022-05-21T02:50:31,3,17,0,20
2022-05-21T03:00:44,3,17,0,20
2022-05-21T03:10:57,3,17,0,20
2022-05-21T03:21:17,3,17,0,20
2022-05-21T03:31:32,3,17,0,20
2022-05-21T03:41:47,3,17,0,20
2022-05-21T03:52:03,3,17,0,20
2022-05-21T04:02:18,3,17,0,20
2022-05-21T04:27:54,3,17,0,20
2022-05-21T04:39:19,3,17,0,20
2022-05-21T04:49:51,3,17,0,20
2022-05-21T05:00:07,3,17,0,20
2022-05-21T05:10:22,3,17,0,20
2022-05-21T05:20:38,3,17,0,20
2022-05-21T05:30:54,3,17,0,20
2022-05-21T05:41:10,3,17,0,20
2022-05-21T05:51:26,3,17,0,20
2022-05-21T06:01:41,3,17,0,20
2022-05-21T06:11:56,3,17,0,20
2022-05-21T06:22:13,3,17,0,20
2022-05-21T06:32:28,3,17,0,20
2022-05-21T06:42:43,3,17,0,20
2022-05-21T06:52:59,3,17,0,20
2022-05-21T07:03:14,3,17,0,20
2022-05-21T07:13:30,3,17,0,20
2022-05-21T07:23:45,3,17,0,20
2022-05-21T07:34:00,3,17,0,20
2022-05-21T07:44:15,3,17,0,20
2022-05-21T07:54:29,3,17,0,20
2022-05-21T08:04:44,3,17,0,20
2022-05-21T08:15:01,3,17,0,20
2022-05-21T08:25:15,3,17,0,20
2022-05-21T08:35:30,3,17,0,20
2022-05-21T08:45:45,3,17,0,20
2022-05-21T08:56:21,3,17,0,20
2022-05-21T09:06:35,3,17,0,20
2022-05-21T09:16:47,3,17,0,20
2022-05-21T09:27:00,3,17,0,20
2022-05-21T09:37:13,3,17,0,20
2022-05-21T09:47:27,3,17,0,20
2022-05-21T09:57:40,3,17,0,20
2022-05-21T10:07:53,3,17,0,20
2022-05-21T10:18:07,3,17,0,20
2022-05-21T10:28:20,3,17,0,20
2022-05-21T10:38:33,3,17,0,20
2022-05-21T10:48:46,3,17,0,20
2022-05-21T10:58:59,3,17,0,20
2022-05-21T11:09:13,3,17,0,20
2022-05-21T11:19:37,3,17,0,20
2022-05-21T11:29:52,3,17,0,20
2022-05-21T11:40:05,3,17,0,20
2022-05-21T11:50:19,3,17,0,20
2022-05-21T12:00:32,3,17,0,20
2022-05-21T12:10:47,3,17,0,20
2022-05-21T12:21:01,3,17,0,20
2022-05-21T12:31:14,3,17,0,20
2022-05-21T12:41:47,3,17,0,20
2022-05-21T12:52:00,3,17,0,20
2022-05-21T13:02:14,3,17,0,20
2022-05-21T13:12:28,3,17,0,20
2022-05-21T13:22:41,3,17,0,20
2022-05-21T13:32:55,3,17,0,20
2022-05-21T13:43:08,3,17,0,20
2022-05-21T13:53:21,3,17,0,20
2022-05-21T14:03:35,3,17,0,20
2022-05-21T14:13:58,3,17,0,20
2022-05-21T14:24:11,3,17,0,20
2022-05-21T14:34:25,3,17,0,20
2022-05-21T14:44:39,3,17,0,20
2022-05-21T14:54:54,4,16,0,20
2022-05-21T15:05:08,4,16,0,20
2022-05-21T15:15:21,4,16,0,20
2022-05-21T15:25:44,4,16,0,20
2022-05-21T15:35:59,4,16,0,20
2022-05-21T15:46:12,4,16,0,20
2022-05-21T15:56:26,4,16,0,20
2022-05-21T16:06:39,4,16,0,20
2022-05-21T16:16:52,4,16,0,20
2022-05-21T16:27:06,4,16,0,20
2022-05-21T16:37:19,4,16,0,20
2022-05-21T16:47:33,4,16,0,20
2022-05-21T16:57:46,4,16,0,20
2022-05-21T17:08:18,4,16,0,20
2022-05-21T17:18:32,4,16,0,20
2022-05-21T17:28:46,4,16,0,20
2022-05-21T17:38:59,4,16,0,20
2022-05-21T17:49:13,4,16,0,20
2022-05-21T17:59:26,4,16,0,20
2022-05-21T18:09:39,4,16,0,20
2022-05-21T18:19:53,4,16,0,20
2022-05-21T18:30:07,4,16,0,20
2022-05-21T18:40:20,4,16,0,20
2022-05-21T18:51:02,4,16,0,20
2022-05-21T19:01:15,4,16,0,20
2022-05-21T19:11:28,4,16,0,20
2022-05-21T19:21:42,4,16,0,20
2022-05-21T19:31:55,4,16,0,20
2022-05-21T19:42:09,4,16,0,20
2022-05-21T19:52:24,4,16,0,20
2022-05-21T20:02:38,4,16,0,20
2022-05-21T20:12:52,4,16,0,20
2022-05-21T20:23:05,4,16,0,20
2022-05-21T20:33:30,4,16,0,20
2022-05-21T20:43:44,4,16,0,20
2022-05-21T20:53:57,4,16,0,20
2022-05-21T21:04:11,4,16,0,20
2022-05-21T21:14:24,4,16,0,20
2022-05-21T21:24:38,4,16,0,20
2022-05-21T21:34:51,4,16,0,20
2022-05-21T21:45:05,4,16,0,20
2022-05-21T21:55:18,4,16,0,20
2022-05-21T22:05:31,4,16,0,20
2022-05-21T22:16:07,4,16,0,20
2022-05-21T22:26:21,4,16,0,20
2022-05-21T22:36:34,4,16,0,20
2022-05-21T22:46:47,4,16,0,20
2022-05-21T22:57:00,4,16,0,20
2022-05-21T23:07:14,4,16,0,20
2022-05-21T23:17:27,4,16,0,20
2022-05-21T23:27:41,4,16,0,20
2022-05-21T23:37:53,4,16,0,20
2022-05-21T23:48:06,4,16,0,20
2022-05-21T23:58:19,4,16,0,20
2022-05-22T00:08:33,4,16,0,20
2022-05-22T00:18:49,4,16,0,20
2022-05-22T00:29:02,4,16,0,20
2022-05-22T00:39:29,4,16,0,20
2022-05-22T00:49:42,4,16,0,20
2022-05-22T00:59:55,4,16,0,20
2022-05-22T01:10:08,4,16,0,20
2022-05-22T01:20:20,4,16,0,20
2022-05-22T01:30:33,4,16,0,20
2022-05-22T01:40:45,4,16,0,20
2022-05-22T01:50:59,4,16,0,20
