time,enrolled,available,waitlisted,total
2022-05-20T04:28:47,0,50,0,50
2022-05-20T04:39:26,0,50,0,50
2022-05-20T04:49:43,0,50,0,50
2022-05-20T04:59:59,0,50,0,50
2022-05-20T05:10:15,0,50,0,50
2022-05-20T05:20:30,0,50,0,50
2022-05-20T05:30:45,0,50,0,50
2022-05-20T05:41:01,0,50,0,50
2022-05-20T05:51:17,0,50,0,50
2022-05-20T06:01:33,0,50,0,50
2022-05-20T06:11:47,0,50,0,50
2022-05-20T06:22:04,0,50,0,50
2022-05-20T06:32:18,0,50,0,50
2022-05-20T06:42:32,0,50,0,50
2022-05-20T06:52:46,0,50,0,50
2022-05-20T07:03:02,0,50,0,50
2022-05-20T07:13:16,0,50,0,50
2022-05-20T07:23:30,0,50,0,50
2022-05-20T07:33:43,0,50,0,50
2022-05-20T07:43:58,0,50,0,50
2022-05-20T07:54:12,0,50,0,50
2022-05-20T08:04:26,0,50,0,50
2022-05-20T08:14:40,0,50,0,50
2022-05-20T08:24:55,0,50,0,50
2022-05-20T08:35:10,0,50,0,50
2022-05-20T08:45:25,0,50,0,50
2022-05-20T08:55:39,0,50,0,50
2022-05-20T09:05:55,0,50,0,50
2022-05-20T09:16:23,0,50,0,50
2022-05-20T09:26:39,0,50,0,50
2022-05-20T09:36:54,0,50,0,50
2022-05-20T09:47:10,0,50,0,50
2022-05-20T09:57:26,0,50,0,50
2022-05-20T10:07:43,0,50,0,50
2022-05-20T10:17:59,0,50,0,50
2022-05-20T10:28:14,0,50,0,50
2022-05-20T10:38:30,0,50,0,50
2022-05-20T10:48:46,0,50,0,50
2022-05-20T10:59:15,0,50,0,50
2022-05-20T11:09:32,0,50,0,50
2022-05-20T11:19:48,0,50,0,50
2022-05-20T11:30:03,0,50,0,50
2022-05-20T11:40:20,0,50,0,50
2022-05-20T11:50:36,0,50,0,50
2022-05-20T12:01:05,0,50,0,50
2022-05-20T12:11:21,0,50,0,50
2022-05-20T12:21:36,0,50,0,50
2022-05-20T12:31:51,0,50,0,50
2022-05-20T12:42:07,0,50,0,50
2022-05-20T12:52:22,0,50,0,50
2022-05-20T13:02:49,0,50,0,50
2022-05-20T13:13:06,0,50,0,50
2022-05-20T13:23:22,0,50,0,50
2022-05-20T13:33:38,0,50,0,50
2022-05-20T13:43:55,0,50,0,50
2022-05-20T13:54:10,0,50,0,50
2022-05-20T14:04:26,0,50,0,50
2022-05-20T14:14:52,0,50,0,50
2022-05-20T14:25:08,0,50,0,50
2022-05-20T14:35:24,0,50,0,50
2022-05-20T14:45:39,0,50,0,50
2022-05-20T14:55:54,0,50,0,50
2022-05-20T15:06:20,0,50,0,50
2022-05-20T15:16:36,0,50,0,50
2022-05-20T15:26:51,0,50,0,50
2022-05-20T15:37:06,0,50,0,50
2022-05-20T15:47:21,0,50,0,50
2022-05-20T15:57:36,0,50,0,50
2022-05-20T16:07:51,0,50,0,50
2022-05-20T16:18:17,0,50,0,50
2022-05-20T16:28:31,0,50,0,50
2022-05-20T16:38:46,0,50,0,50
2022-05-20T16:49:00,0,50,0,50
2022-05-20T16:59:14,0,50,0,50
2022-05-20T17:09:29,0,50,0,50
2022-05-20T17:19:43,0,50,0,50
2022-05-20T17:29:57,0,50,0,50
2022-05-20T17:40:11,0,50,0,50
2022-05-20T17:50:25,0,50,0,50
2022-05-20T18:00:39,0,50,0,50
2022-05-20T18:11:02,0,50,0,50
2022-05-20T18:21:15,0,50,0,50
2022-05-20T18:31:29,0,50,0,50
2022-05-20T18:41:42,0,50,0,50
2022-05-20T18:51:56,0,50,0,50
2022-05-20T19:02:09,0,50,0,50
2022-05-20T19:12:24,0,50,0,50
2022-05-20T19:22:38,0,50,0,50
2022-05-20T19:32:51,0,50,0,50
2022-05-20T19:43:06,0,50,0,50
2022-05-20T19:53:19,0,50,0,50
2022-05-20T20:03:43,0,50,0,50
2022-05-20T20:13:56,0,50,0,50
2022-05-20T20:24:10,0,50,0,50
2022-05-20T20:34:24,0,50,0,50
2022-05-20T20:44:37,0,50,0,50
2022-05-20T20:54:51,0,50,0,50
2022-05-20T21:05:04,0,50,0,50
2022-05-20T21:15:18,0,50,0,50
2022-05-20T21:25:42,0,50,0,50
2022-05-20T21:35:56,0,50,0,50
2022-05-20T21:46:09,0,50,0,50
2022-05-20T21:56:23,0,50,0,50
2022-05-20T22:06:38,0,50,0,50
2022-05-20T22:16:51,0,50,0,50
2022-05-20T22:27:06,0,50,0,50
2022-05-20T22:37:19,0,50,0,50
2022-05-20T22:47:33,0,50,0,50
2022-05-20T22:57:46,0,50,0,50
2022-05-20T23:08:00,0,50,0,50
2022-05-20T23:18:25,0,50,0,50
2022-05-20T23:28:39,0,50,0,50
2022-05-20T23:38:52,0,50,0,50
2022-05-20T23:49:06,0,50,0,50
2022-05-20T23:59:19,0,50,0,50
2022-05-21T00:09:35,0,50,0,50
2022-05-21T00:19:51,0,50,0,50
2022-05-21T00:30:07,0,50,0,50
2022-05-21T00:40:23,0,50,0,50
2022-05-21T00:50:39,0,50,0,50
2022-05-21T01:00:54,0,50,0,50
2022-05-21T01:11:10,0,50,0,50
2022-05-21T01:21:24,0,50,0,50
2022-05-21T01:31:39,0,50,0,50
2022-05-21T01:41:55,0,50,0,50
2022-05-21T01:52:09,0,50,0,50
2022-05-21T02:02:33,0,50,0,50
2022-05-21T02:12:48,0,50,0,50
2022-05-21T02:23:01,0,50,0,50
2022-05-21T02:33:14,0,50,0,50
2022-05-21T02:43:27,0,50,0,50
2022-05-21T02:53:40,0,50,0,50
2022-05-21T03:03:53,0,50,0,50
2022-05-21T03:14:07,0,50,0,50
2022-05-21T03:24:26,0,50,0,50
2022-05-21T03:34:42,0,50,0,50
2022-05-21T03:44:58,0,50,0,50
2022-05-21T03:55:13,0,50,0,50
2022-05-21T04:05:28,0,50,0,50
2022-05-21T04:20:48,0,50,0,50
2022-05-21T04:31:36,0,50,0,50
2022-05-21T04:42:45,0,50,0,50
2022-05-21T04:53:01,0,50,0,50
2022-05-21T05:03:16,0,50,0,50
2022-05-21T05:13:32,0,50,0,50
2022-05-21T05:23:48,0,50,0,50
2022-05-21T05:34:04,0,50,0,50
2022-05-21T05:44:20,0,50,0,50
2022-05-21T05:54:36,0,50,0,50
2022-05-21T06:04:51,0,50,0,50
2022-05-21T06:15:06,0,50,0,50
2022-05-21T06:25:23,0,50,0,50
2022-05-21T06:35:38,0,50,0,50
2022-05-21T06:45:54,0,50,0,50
2022-05-21T06:56:09,0,50,0,50
2022-05-21T07:06:24,0,50,0,50
2022-05-21T07:16:40,0,50,0,50
2022-05-21T07:26:55,0,50,0,50
2022-05-21T07:37:10,0,50,0,50
2022-05-21T07:47:25,0,50,0,50
2022-05-21T07:57:39,0,50,0,50
2022-05-21T08:07:54,0,50,0,50
