time,enrolled,available,waitlisted,total
2022-05-20T04:36:22,0,30,0,30
2022-05-20T04:46:39,0,30,0,30
2022-05-20T04:56:55,0,30,0,30
2022-05-20T05:07:12,0,30,0,30
2022-05-20T05:17:27,0,30,0,30
2022-05-20T05:27:42,0,30,0,30
2022-05-20T05:37:58,0,30,0,30
2022-05-20T05:48:14,0,30,0,30
2022-05-20T05:58:29,0,30,0,30
2022-05-20T06:08:45,0,30,0,30
2022-05-20T06:18:59,0,30,0,30
2022-05-20T06:29:15,0,30,0,30
2022-05-20T06:39:29,0,30,0,30
2022-05-20T06:49:43,0,30,0,30
2022-05-20T06:59:57,0,30,0,30
2022-05-20T07:10:13,0,30,0,30
2022-05-20T07:20:27,0,30,0,30
2022-05-20T07:30:41,0,30,0,30
2022-05-20T07:40:55,0,30,0,30
2022-05-20T07:51:09,0,30,0,30
2022-05-20T08:01:23,0,30,0,30
2022-05-20T08:11:37,0,30,0,30
2022-05-20T08:21:52,0,30,0,30
2022-05-20T08:32:08,0,30,0,30
2022-05-20T08:42:22,0,30,0,30
2022-05-20T08:52:36,0,30,0,30
2022-05-20T09:02:52,0,30,0,30
2022-05-20T09:13:19,0,30,0,30
2022-05-20T09:23:35,0,30,0,30
2022-05-20T09:33:51,0,30,0,30
2022-05-20T09:44:07,0,30,0,30
2022-05-20T09:54:23,0,30,0,30
2022-05-20T10:04:40,0,30,0,30
2022-05-20T10:14:56,0,30,0,30
2022-05-20T10:25:11,0,30,0,30
2022-05-20T10:35:27,0,30,0,30
2022-05-20T10:45:43,0,30,0,30
2022-05-20T10:56:12,0,30,0,30
2022-05-20T11:06:28,0,30,0,30
2022-05-20T11:16:44,0,30,0,30
2022-05-20T11:27:00,0,30,0,30
2022-05-20T11:37:16,0,30,0,30
2022-05-20T11:47:32,0,30,0,30
2022-05-20T11:58:02,0,30,0,30
2022-05-20T12:08:18,0,30,0,30
2022-05-20T12:18:33,0,30,0,30
2022-05-20T12:28:48,0,30,0,30
2022-05-20T12:39:03,0,30,0,30
2022-05-20T12:49:19,0,30,0,30
2022-05-20T12:59:35,0,30,0,30
2022-05-20T13:10:02,0,30,0,30
2022-05-20T13:20:18,0,30,0,30
2022-05-20T13:30:35,0,30,0,30
2022-05-20T13:40:51,0,30,0,30
2022-05-20T13:51:07,0,30,0,30
2022-05-20T14:01:23,0,30,0,30
2022-05-20T14:11:49,0,30,0,30
2022-05-20T14:22:05,0,30,0,30
2022-05-20T14:32:21,0,30,0,30
2022-05-20T14:42:36,0,30,0,30
2022-05-20T14:52:51,0,30,0,30
2022-05-20T15:03:07,0,30,0,30
2022-05-20T15:13:33,0,30,0,30
2022-05-20T15:23:48,0,30,0,30
2022-05-20T15:34:03,0,30,0,30
2022-05-20T15:44:18,0,30,0,30
2022-05-20T15:54:33,0,30,0,30
2022-05-20T16:04:48,0,30,0,30
2022-05-20T16:15:03,0,30,0,30
2022-05-20T16:25:29,0,30,0,30
2022-05-20T16:35:43,0,30,0,30
2022-05-20T16:45:57,0,30,0,30
2022-05-20T16:56:11,0,30,0,30
2022-05-20T17:06:26,0,30,0,30
2022-05-20T17:16:40,0,30,0,30
2022-05-20T17:26:54,0,30,0,30
2022-05-20T17:37:08,0,30,0,30
2022-05-20T17:47:22,0,30,0,30
2022-05-20T17:57:36,0,30,0,30
2022-05-20T18:07:50,0,30,0,30
2022-05-20T18:18:13,0,30,0,30
2022-05-20T18:28:27,0,30,0,30
2022-05-20T18:38:40,0,30,0,30
2022-05-20T18:48:53,0,30,0,30
2022-05-20T18:59:07,0,30,0,30
2022-05-20T19:09:21,0,30,0,30
2022-05-20T19:19:35,0,30,0,30
2022-05-20T19:29:49,0,30,0,30
2022-05-20T19:40:03,0,30,0,30
2022-05-20T19:50:17,0,30,0,30
2022-05-20T20:00:40,0,30,0,30
2022-05-20T20:10:54,0,30,0,30
2022-05-20T20:21:07,0,30,0,30
2022-05-20T20:31:21,0,30,0,30
2022-05-20T20:41:34,0,30,0,30
2022-05-20T20:51:48,0,30,0,30
2022-05-20T21:02:02,0,30,0,30
2022-05-20T21:12:15,0,30,0,30
2022-05-20T21:22:29,0,30,0,30
2022-05-20T21:32:53,0,30,0,30
2022-05-20T21:43:07,0,30,0,30
2022-05-20T21:53:20,0,30,0,30
2022-05-20T22:03:35,0,30,0,30
2022-05-20T22:13:48,0,30,0,30
2022-05-20T22:24:04,0,30,0,30
2022-05-20T22:34:17,0,30,0,30
2022-05-20T22:44:30,0,30,0,30
2022-05-20T22:54:44,0,30,0,30
2022-05-20T23:04:58,0,30,0,30
