time,enrolled,available,waitlisted,total
2022-05-18T04:32:31,0,50,0,50
2022-05-18T04:43:04,0,50,0,50
2022-05-18T04:53:14,0,50,0,50
2022-05-18T05:03:26,0,50,0,50
2022-05-18T05:13:36,0,50,0,50
2022-05-18T05:23:46,0,50,0,50
2022-05-18T05:33:57,0,50,0,50
2022-05-18T05:44:07,0,50,0,50
2022-05-18T05:54:17,0,50,0,50
2022-05-18T06:04:31,0,50,0,50
2022-05-18T06:14:39,0,50,0,50
2022-05-18T06:24:47,0,50,0,50
2022-05-18T06:34:55,0,50,0,50
2022-05-18T06:45:03,0,50,0,50
2022-05-18T06:55:10,0,50,0,50
2022-05-18T07:05:19,0,50,0,50
2022-05-18T07:15:27,0,50,0,50
2022-05-18T07:25:35,0,50,0,50
2022-05-18T07:35:43,0,50,0,50
2022-05-18T07:45:51,0,50,0,50
2022-05-18T07:55:59,0,50,0,50
2022-05-18T08:06:07,0,50,0,50
2022-05-18T08:16:15,0,50,0,50
2022-05-18T08:26:23,0,50,0,50
2022-05-18T08:36:32,0,50,0,50
2022-05-18T08:46:42,0,50,0,50
2022-05-18T08:56:51,0,50,0,50
2022-05-18T09:07:12,0,50,0,50
2022-05-18T09:17:21,0,50,0,50
2022-05-18T09:27:30,0,50,0,50
2022-05-18T09:37:39,0,50,0,50
2022-05-18T09:47:48,0,50,0,50
2022-05-18T09:57:58,0,50,0,50
2022-05-18T10:08:10,0,50,0,50
2022-05-18T10:18:21,0,50,0,50
2022-05-18T10:28:32,0,50,0,50
2022-05-18T10:38:55,0,50,0,50
2022-05-18T10:49:05,0,50,0,50
2022-05-18T10:59:15,0,50,0,50
2022-05-18T11:09:25,0,50,0,50
2022-05-18T11:19:34,0,50,0,50
2022-05-18T11:29:43,0,50,0,50
2022-05-18T11:39:52,0,50,0,50
2022-05-18T11:50:01,0,50,0,50
2022-05-18T12:00:20,0,50,0,50
2022-05-18T12:10:28,0,50,0,50
2022-05-18T12:20:37,0,50,0,50
2022-05-18T12:30:47,0,50,0,50
2022-05-18T12:40:57,0,50,0,50
2022-05-18T12:51:08,0,50,0,50
2022-05-18T13:01:18,0,50,0,50
2022-05-18T13:11:39,0,50,0,50
2022-05-18T13:21:49,0,50,0,50
2022-05-18T13:31:59,0,50,0,50
2022-05-18T13:42:10,0,50,0,50
2022-05-18T13:52:21,0,50,0,50
2022-05-18T14:02:31,0,50,0,50
2022-05-18T14:12:42,0,50,0,50
2022-05-18T14:22:52,0,50,0,50
2022-05-18T14:33:14,0,50,0,50
2022-05-18T14:43:24,0,50,0,50
2022-05-18T14:53:34,0,50,0,50
2022-05-18T15:03:45,0,50,0,50
2022-05-18T15:13:57,0,50,0,50
2022-05-18T15:24:08,0,50,0,50
2022-05-18T15:34:29,0,50,0,50
2022-05-18T15:44:39,0,50,0,50
2022-05-18T15:54:50,0,50,0,50
2022-05-18T16:05:01,0,50,0,50
2022-05-18T16:15:12,0,50,0,50
2022-05-18T16:25:23,0,50,0,50
2022-05-18T16:35:33,0,50,0,50
2022-05-18T16:45:42,0,50,0,50
2022-05-18T16:55:52,0,50,0,50
2022-05-18T17:06:13,0,50,0,50
2022-05-18T17:16:23,0,50,0,50
2022-05-18T17:26:32,0,50,0,50
2022-05-18T17:36:42,0,50,0,50
2022-05-18T17:46:51,0,50,0,50
