time,enrolled,available,waitlisted,total
2022-05-20T04:36:34,3,41,0,44
2022-05-20T04:46:50,3,41,0,44
2022-05-20T04:57:07,3,41,0,44
2022-05-20T05:07:23,3,41,0,44
2022-05-20T05:17:38,3,41,0,44
2022-05-20T05:27:53,3,41,0,44
2022-05-20T05:38:09,3,41,0,44
2022-05-20T05:48:25,3,41,0,44
2022-05-20T05:58:41,3,41,0,44
2022-05-20T06:08:56,3,41,0,44
2022-05-20T06:19:10,3,41,0,44
2022-05-20T06:29:27,3,41,0,44
2022-05-20T06:39:41,3,41,0,44
2022-05-20T06:49:54,3,41,0,44
2022-05-20T07:00:08,3,41,0,44
2022-05-20T07:10:24,3,41,0,44
2022-05-20T07:20:38,3,41,0,44
2022-05-20T07:30:52,3,41,0,44
2022-05-20T07:41:06,3,41,0,44
2022-05-20T07:51:20,3,41,0,44
2022-05-20T08:01:34,3,41,0,44
2022-05-20T08:11:48,3,41,0,44
2022-05-20T08:22:03,3,41,0,44
2022-05-20T08:32:19,3,41,0,44
2022-05-20T08:42:33,3,41,0,44
2022-05-20T08:52:47,3,41,0,44
2022-05-20T09:03:03,3,41,0,44
2022-05-20T09:13:30,3,41,0,44
2022-05-20T09:23:46,3,41,0,44
2022-05-20T09:34:02,3,41,0,44
2022-05-20T09:44:18,3,41,0,44
2022-05-20T09:54:34,3,41,0,44
2022-05-20T10:04:51,3,41,0,44
2022-05-20T10:15:07,3,41,0,44
2022-05-20T10:25:22,3,41,0,44
2022-05-20T10:35:38,3,41,0,44
2022-05-20T10:45:54,4,40,0,44
2022-05-20T10:56:23,4,40,0,44
2022-05-20T11:06:39,4,40,0,44
2022-05-20T11:16:56,5,39,0,44
2022-05-20T11:27:12,5,39,0,44
2022-05-20T11:37:27,5,39,0,44
2022-05-20T11:47:44,6,38,0,44
2022-05-20T11:58:13,6,38,0,44
2022-05-20T12:08:29,7,37,0,44
2022-05-20T12:18:44,7,37,0,44
2022-05-20T12:28:59,7,37,0,44
2022-05-20T12:39:15,7,37,0,44
2022-05-20T12:49:30,8,36,0,44
2022-05-20T12:59:46,9,35,0,44
2022-05-20T13:10:13,9,35,0,44
2022-05-20T13:20:30,9,35,0,44
2022-05-20T13:30:46,9,35,0,44
2022-05-20T13:41:03,9,35,0,44
2022-05-20T13:51:18,9,0,0,0
2022-05-20T14:01:34,9,0,0,0
2022-05-20T14:12:00,9,0,0,0
2022-05-20T14:22:16,9,0,0,0
2022-05-20T14:32:32,9,0,0,0
2022-05-20T14:42:47,9,0,0,0
2022-05-20T14:53:02,9,0,0,0
2022-05-20T15:03:18,9,0,0,0
2022-05-20T15:13:44,9,0,0,0
2022-05-20T15:23:59,9,0,0,0
2022-05-20T15:34:15,9,0,0,0
2022-05-20T15:44:30,9,0,0,0
2022-05-20T15:54:44,9,0,0,0
2022-05-20T16:05:00,9,0,0,0
2022-05-20T16:15:14,9,0,0,0
2022-05-20T16:25:40,9,0,0,0
2022-05-20T16:35:54,9,0,0,0
2022-05-20T16:46:08,9,0,0,0
2022-05-20T16:56:23,9,0,0,0
2022-05-20T17:06:37,9,0,0,0
2022-05-20T17:16:52,9,0,0,0
2022-05-20T17:27:05,9,0,0,0
2022-05-20T17:37:19,9,0,0,0
2022-05-20T17:47:33,9,0,0,0
2022-05-20T17:57:47,9,0,0,0
2022-05-20T18:08:01,9,0,0,0
2022-05-20T18:18:24,9,0,0,0
2022-05-20T18:28:38,9,0,0,0
2022-05-20T18:38:51,9,0,0,0
2022-05-20T18:49:04,9,0,0,0
2022-05-20T18:59:18,9,0,0,0
2022-05-20T19:09:32,9,0,0,0
2022-05-20T19:19:46,9,0,0,0
2022-05-20T19:30:00,9,0,0,0
2022-05-20T19:40:15,9,0,0,0
2022-05-20T19:50:28,9,0,0,0
2022-05-20T20:00:51,9,0,0,0
2022-05-20T20:11:05,9,0,0,0
2022-05-20T20:21:19,9,0,0,0
2022-05-20T20:31:32,9,0,0,0
2022-05-20T20:41:46,9,0,0,0
2022-05-20T20:51:59,9,0,0,0
2022-05-20T21:02:13,9,0,0,0
2022-05-20T21:12:27,9,0,0,0
2022-05-20T21:22:40,9,0,0,0
2022-05-20T21:33:04,9,0,0,0
2022-05-20T21:43:18,9,0,0,0
2022-05-20T21:53:32,9,0,0,0
2022-05-20T22:03:46,9,0,0,0
2022-05-20T22:13:59,9,0,0,0
2022-05-20T22:24:15,9,0,0,0
2022-05-20T22:34:28,9,0,0,0
2022-05-20T22:44:41,9,0,0,0
2022-05-20T22:54:55,9,0,0,0
2022-05-20T23:05:09,9,0,0,0
2022-05-20T23:15:34,9,0,0,0
2022-05-20T23:25:47,9,0,0,0
2022-05-20T23:36:01,9,0,0,0
2022-05-20T23:46:14,9,0,0,0
2022-05-20T23:56:28,9,0,0,0
2022-05-21T00:06:43,9,0,0,0
2022-05-21T00:16:59,9,0,0,0
2022-05-21T00:27:15,9,0,0,0
2022-05-21T00:37:31,9,0,0,0
2022-05-21T00:47:47,9,0,0,0
2022-05-21T00:58:02,9,0,0,0
2022-05-21T01:08:17,9,0,0,0
2022-05-21T01:18:33,9,0,0,0
2022-05-21T01:28:47,9,0,0,0
2022-05-21T01:39:03,9,0,0,0
2022-05-21T01:49:18,9,0,0,0
2022-05-21T01:59:42,9,0,0,0
2022-05-21T02:09:56,9,0,0,0
2022-05-21T02:20:10,9,0,0,0
2022-05-21T02:30:23,9,0,0,0
2022-05-21T02:40:36,9,0,0,0
2022-05-21T02:50:49,9,0,0,0
2022-05-21T03:01:01,9,0,0,0
2022-05-21T03:11:15,9,0,0,0
2022-05-21T03:21:35,9,0,0,0
2022-05-21T03:31:50,9,0,0,0
2022-05-21T03:42:05,9,0,0,0
2022-05-21T03:52:21,9,0,0,0
2022-05-21T04:02:36,9,0,0,0
2022-05-21T04:28:12,9,0,0,0
2022-05-21T04:39:53,9,0,0,0
2022-05-21T04:50:09,9,0,0,0
2022-05-21T05:00:24,9,0,0,0
2022-05-21T05:10:40,9,0,0,0
2022-05-21T05:20:56,9,0,0,0
2022-05-21T05:31:12,9,0,0,0
2022-05-21T05:41:28,9,0,0,0
2022-05-21T05:51:44,9,0,0,0
2022-05-21T06:01:59,9,0,0,0
2022-05-21T06:12:15,9,0,0,0
2022-05-21T06:22:31,9,0,0,0
2022-05-21T06:32:46,9,0,0,0
2022-05-21T06:43:01,9,0,0,0
2022-05-21T06:53:17,9,0,0,0
2022-05-21T07:03:32,9,0,0,0
2022-05-21T07:13:48,9,0,0,0
2022-05-21T07:24:03,9,0,0,0
2022-05-21T07:34:18,9,0,0,0
2022-05-21T07:44:33,9,0,0,0
2022-05-21T07:54:47,9,0,0,0
2022-05-21T08:05:02,9,0,0,0
2022-05-21T08:15:19,9,0,0,0
2022-05-21T08:25:33,9,0,0,0
2022-05-21T08:35:48,9,0,0,0
2022-05-21T08:46:03,9,0,0,0
2022-05-21T08:56:39,9,0,0,0
