time,enrolled,available,waitlisted,total
2022-05-18T04:32:34,0,430,0,430
2022-05-18T04:43:07,0,430,0,430
2022-05-18T04:53:18,0,430,0,430
2022-05-18T05:03:29,0,430,0,430
2022-05-18T05:13:39,0,430,0,430
2022-05-18T05:23:50,0,430,0,430
2022-05-18T05:34:00,0,430,0,430
2022-05-18T05:44:10,0,430,0,430
2022-05-18T05:54:20,0,430,0,430
2022-05-18T06:04:34,0,430,0,430
2022-05-18T06:14:42,0,430,0,430
2022-05-18T06:24:50,0,430,0,430
2022-05-18T06:34:58,0,430,0,430
2022-05-18T06:45:06,0,430,0,430
2022-05-18T06:55:13,0,430,0,430
2022-05-18T07:05:22,0,430,0,430
2022-05-18T07:15:31,0,430,0,430
2022-05-18T07:25:38,0,430,0,430
2022-05-18T07:35:46,0,430,0,430
2022-05-18T07:45:54,0,430,0,430
2022-05-18T07:56:02,0,430,0,430
2022-05-18T08:06:10,0,430,0,430
2022-05-18T08:16:18,0,430,0,430
2022-05-18T08:26:27,0,430,0,430
2022-05-18T08:36:35,0,430,0,430
2022-05-18T08:46:45,0,430,0,430
2022-05-18T08:56:54,0,430,0,430
2022-05-18T09:07:15,0,430,0,430
2022-05-18T09:17:24,0,430,0,430
2022-05-18T09:27:33,0,430,0,430
2022-05-18T09:37:42,0,430,0,430
2022-05-18T09:47:51,0,430,0,430
2022-05-18T09:58:01,0,430,0,430
2022-05-18T10:08:13,0,430,0,430
2022-05-18T10:18:24,0,430,0,430
2022-05-18T10:28:36,0,430,0,430
2022-05-18T10:38:58,0,430,0,430
2022-05-18T10:49:08,0,430,0,430
2022-05-18T10:59:18,0,430,0,430
2022-05-18T11:09:28,0,430,0,430
2022-05-18T11:19:37,0,430,0,430
2022-05-18T11:29:46,0,430,0,430
2022-05-18T11:39:55,0,430,0,430
2022-05-18T11:50:04,0,430,0,430
2022-05-18T12:00:23,0,430,0,430
2022-05-18T12:10:31,0,430,0,430
2022-05-18T12:20:40,0,430,0,430
2022-05-18T12:30:50,0,430,0,430
2022-05-18T12:41:00,0,430,0,430
2022-05-18T12:51:11,0,430,0,430
2022-05-18T13:01:21,0,430,0,430
2022-05-18T13:11:42,0,430,0,430
2022-05-18T13:21:52,0,430,0,430
2022-05-18T13:32:02,0,430,0,430
2022-05-18T13:42:13,0,430,0,430
2022-05-18T13:52:24,0,430,0,430
2022-05-18T14:02:34,0,430,0,430
2022-05-18T14:12:45,0,430,0,430
2022-05-18T14:22:55,0,430,0,430
2022-05-18T14:33:17,0,430,0,430
2022-05-18T14:43:27,0,430,0,430
2022-05-18T14:53:37,0,430,0,430
2022-05-18T15:03:49,0,430,0,430
2022-05-18T15:14:00,0,430,0,430
2022-05-18T15:24:11,0,430,0,430
2022-05-18T15:34:32,0,430,0,430
2022-05-18T15:44:43,0,430,0,430
2022-05-18T15:54:53,0,430,0,430
2022-05-18T16:05:04,0,430,0,430
2022-05-18T16:15:16,0,430,0,430
2022-05-18T16:25:26,0,430,0,430
2022-05-18T16:35:36,0,430,0,430
2022-05-18T16:45:46,0,430,0,430
2022-05-18T16:55:55,0,430,0,430
2022-05-18T17:06:16,0,430,0,430
2022-05-18T17:16:26,0,430,0,430
2022-05-18T17:26:36,0,430,0,430
2022-05-18T17:36:45,0,430,0,430
2022-05-18T17:46:54,0,430,0,430
2022-05-18T17:57:03,0,430,0,430
2022-05-18T18:07:13,0,430,0,430
2022-05-18T18:17:22,0,430,0,430
2022-05-18T18:27:33,0,430,0,430
2022-05-18T18:37:53,0,430,0,430
2022-05-18T18:48:01,0,430,0,430
2022-05-18T18:58:10,0,430,0,430
2022-05-18T19:08:19,0,430,0,430
2022-05-18T19:18:28,0,430,0,430
2022-05-18T19:28:37,0,430,0,430
2022-05-18T19:38:47,0,430,0,430
2022-05-18T19:48:55,0,430,0,430
2022-05-18T19:59:05,0,430,0,430
2022-05-18T20:09:13,0,430,0,430
2022-05-18T20:19:33,0,430,0,430
2022-05-18T20:29:42,0,430,0,430
2022-05-18T20:39:51,0,430,0,430
2022-05-18T20:50:00,0,430,0,430
2022-05-18T21:00:08,0,430,0,430
2022-05-18T21:10:19,0,430,0,430
2022-05-18T21:20:28,0,430,0,430
2022-05-18T21:30:37,0,430,0,430
2022-05-18T21:40:45,0,430,0,430
2022-05-18T21:51:05,0,430,0,430
2022-05-18T22:01:13,0,430,0,430
2022-05-18T22:11:22,0,430,0,430
2022-05-18T22:21:31,0,430,0,430
2022-05-18T22:31:40,0,430,0,430
2022-05-18T22:41:49,0,430,0,430
2022-05-18T22:51:58,0,430,0,430
2022-05-18T23:02:07,0,430,0,430
2022-05-18T23:12:17,0,430,0,430
2022-05-18T23:22:27,0,430,0,430
2022-05-18T23:32:50,0,430,0,430
2022-05-18T23:42:59,0,430,0,430
2022-05-18T23:53:08,0,430,0,430
2022-05-19T00:03:17,0,430,0,430
2022-05-19T00:13:30,0,430,0,430
2022-05-19T00:23:42,0,430,0,430
2022-05-19T00:33:57,0,430,0,430
2022-05-19T00:44:11,0,430,0,430
2022-05-19T00:54:22,0,430,0,430
2022-05-19T01:04:32,0,430,0,430
2022-05-19T01:14:42,0,430,0,430
2022-05-19T01:24:51,0,430,0,430
2022-05-19T01:35:01,0,430,0,430
2022-05-19T01:45:11,0,430,0,430
2022-05-19T01:55:21,0,430,0,430
2022-05-19T02:05:41,0,430,0,430
2022-05-19T02:15:51,0,430,0,430
2022-05-19T02:25:59,0,430,0,430
2022-05-19T02:36:07,0,430,0,430
2022-05-19T02:46:15,0,430,0,430
2022-05-19T02:56:24,0,430,0,430
2022-05-19T03:06:32,0,430,0,430
2022-05-19T03:16:43,0,430,0,430
2022-05-19T03:27:03,0,430,0,430
2022-05-19T03:37:14,0,430,0,430
2022-05-19T03:47:25,0,430,0,430
2022-05-19T03:57:35,0,430,0,430
2022-05-19T04:07:47,0,430,0,430
2022-05-19T04:23:45,0,430,0,430
2022-05-19T04:35:06,0,430,0,430
2022-05-19T04:45:33,0,430,0,430
2022-05-19T04:55:44,0,430,0,430
2022-05-19T05:05:56,0,430,0,430
2022-05-19T05:16:08,0,430,0,430
2022-05-19T05:26:19,0,430,0,430
2022-05-19T05:36:30,0,430,0,430
2022-05-19T05:46:39,0,430,0,430
2022-05-19T05:56:50,0,430,0,430
2022-05-19T06:07:01,0,430,0,430
2022-05-19T06:17:13,0,430,0,430
2022-05-19T06:27:23,0,430,0,430
2022-05-19T06:37:35,0,430,0,430
2022-05-19T06:47:45,0,430,0,430
2022-05-19T06:57:55,0,430,0,430
2022-05-19T07:08:10,0,430,0,430
2022-05-19T07:18:20,0,430,0,430
2022-05-19T07:28:29,0,430,0,430
2022-05-19T07:38:39,0,430,0,430
2022-05-19T07:48:48,0,430,0,430
2022-05-19T07:58:57,0,430,0,430
2022-05-19T08:09:07,0,430,0,430
2022-05-19T08:19:16,0,430,0,430
2022-05-19T08:29:25,0,430,0,430
2022-05-19T08:39:36,0,430,0,430
2022-05-19T08:49:46,0,430,0,430
2022-05-19T08:59:57,0,430,0,430
2022-05-19T09:10:24,0,430,0,430
2022-05-19T09:20:33,0,430,0,430
2022-05-19T09:30:44,0,430,0,430
2022-05-19T09:40:55,0,430,0,430
2022-05-19T09:51:07,0,430,0,430
2022-05-19T10:01:18,0,430,0,430
2022-05-19T10:11:30,0,430,0,430
2022-05-19T10:21:41,0,430,0,430
2022-05-19T10:31:54,0,430,0,430
2022-05-19T10:42:11,0,430,0,430
2022-05-19T10:52:24,0,430,0,430
2022-05-19T11:02:37,0,430,0,430
2022-05-19T11:12:50,0,430,0,430
2022-05-19T11:23:16,0,430,0,430
2022-05-19T11:33:29,0,430,0,430
2022-05-19T11:43:41,0,430,0,430
2022-05-19T11:53:52,0,430,0,430
2022-05-19T12:04:05,0,430,0,430
2022-05-19T12:14:17,0,430,0,430
2022-05-19T12:24:29,0,430,0,430
2022-05-19T12:34:41,0,430,0,430
2022-05-19T12:45:14,0,430,0,430
2022-05-19T12:55:28,0,430,0,430
2022-05-19T13:05:42,0,430,0,430
2022-05-19T13:15:57,0,430,0,430
2022-05-19T13:26:11,0,430,0,430
2022-05-19T13:36:25,0,430,0,430
2022-05-19T13:46:39,0,430,0,430
2022-05-19T13:57:05,0,430,0,430
2022-05-19T14:07:20,0,430,0,430
2022-05-19T14:17:36,0,430,0,430
2022-05-19T14:27:51,0,430,0,430
2022-05-19T14:38:08,0,430,0,430
2022-05-19T14:48:25,0,430,0,430
2022-05-19T14:58:42,0,430,0,430
2022-05-19T15:09:18,0,430,0,430
2022-05-19T15:19:36,0,430,0,430
2022-05-19T15:29:54,0,430,0,430
2022-05-19T15:40:12,0,430,0,430
2022-05-19T15:50:31,0,430,0,430
2022-05-19T16:00:49,0,430,0,430
2022-05-19T16:11:06,0,430,0,430
2022-05-19T16:21:24,0,430,0,430
2022-05-19T16:31:43,0,430,0,430
2022-05-19T16:42:13,0,430,0,430
2022-05-19T16:52:30,0,430,0,430
2022-05-19T17:02:48,0,430,0,430
2022-05-19T17:13:05,0,430,0,430
2022-05-19T17:23:22,0,430,0,430
2022-05-19T17:33:38,0,430,0,430
2022-05-19T17:43:54,0,430,0,430
2022-05-19T17:54:09,0,430,0,430
2022-05-19T18:04:45,0,430,0,430
2022-05-19T18:15:01,0,430,0,430
2022-05-19T18:25:16,0,430,0,430
2022-05-19T18:35:32,0,430,0,430
2022-05-19T18:45:46,0,430,0,430
2022-05-19T18:56:06,0,430,0,430
2022-05-19T19:06:30,0,430,0,430
2022-05-19T19:16:57,0,430,0,430
2022-05-19T19:27:34,0,430,0,430
2022-05-19T19:38:04,0,430,0,430
2022-05-19T19:48:30,0,430,0,430
2022-05-19T19:58:55,0,430,0,430
2022-05-19T20:09:23,0,430,0,430
2022-05-19T20:19:45,0,430,0,430
2022-05-19T20:30:12,0,430,0,430
2022-05-19T20:40:29,0,430,0,430
2022-05-19T20:50:50,0,430,0,430
2022-05-19T21:01:13,0,430,0,430
2022-05-19T21:11:36,0,430,0,430
2022-05-19T21:21:58,0,430,0,430
2022-05-19T21:32:21,0,430,0,430
2022-05-19T21:42:44,0,430,0,430
2022-05-19T21:53:16,0,430,0,430
2022-05-19T22:03:38,0,430,0,430
2022-05-19T22:14:00,0,430,0,430
2022-05-19T22:24:18,0,430,0,430
2022-05-19T22:34:37,0,430,0,430
2022-05-19T22:44:53,0,430,0,430
2022-05-19T22:55:07,0,430,0,430
2022-05-19T23:05:22,0,430,0,430
2022-05-19T23:15:37,0,430,0,430
2022-05-19T23:25:57,0,430,0,430
2022-05-19T23:36:32,0,430,0,430
2022-05-19T23:46:46,0,430,0,430
2022-05-19T23:57:00,0,430,0,430
2022-05-20T00:07:17,0,430,0,430
2022-05-20T00:17:38,0,430,0,430
2022-05-20T00:27:53,0,430,0,430
2022-05-20T00:38:08,0,430,0,430
2022-05-20T00:48:24,0,430,0,430
2022-05-20T00:58:40,0,430,0,430
2022-05-20T01:08:57,0,430,0,430
2022-05-20T01:19:24,0,430,0,430
2022-05-20T01:29:38,0,430,0,430
2022-05-20T01:39:52,0,430,0,430
2022-05-20T01:50:07,0,430,0,430
2022-05-20T02:00:22,0,430,0,430
2022-05-20T02:10:36,0,430,0,430
2022-05-20T02:20:53,0,430,0,430
2022-05-20T02:31:16,0,430,0,430
2022-05-20T02:41:31,0,430,0,430
2022-05-20T02:51:46,0,430,0,430
2022-05-20T03:02:00,0,430,0,430
2022-05-20T03:12:15,1,429,0,430
2022-05-20T03:22:29,1,429,0,430
2022-05-20T03:32:43,1,429,0,430
2022-05-20T03:42:58,1,429,0,430
2022-05-20T03:53:13,1,429,0,430
2022-05-20T04:05:43,1,429,0,430
2022-05-20T04:29:10,1,429,0,430
2022-05-20T04:39:48,1,429,0,430
2022-05-20T04:50:05,1,429,0,430
2022-05-20T05:00:21,1,429,0,430
2022-05-20T05:10:38,1,429,0,430
2022-05-20T05:20:52,1,429,0,430
2022-05-20T05:31:08,1,429,0,430
2022-05-20T05:41:24,1,429,0,430
2022-05-20T05:51:40,1,429,0,430
2022-05-20T06:01:56,1,429,0,430
2022-05-20T06:12:10,1,429,0,430
2022-05-20T06:22:26,1,429,0,430
2022-05-20T06:32:41,1,429,0,430
2022-05-20T06:42:55,1,429,0,430
2022-05-20T06:53:08,1,429,0,430
2022-05-20T07:03:25,1,429,0,430
2022-05-20T07:13:39,1,429,0,430
2022-05-20T07:23:52,1,429,0,430
2022-05-20T07:34:06,1,429,0,430
2022-05-20T07:44:20,1,429,0,430
2022-05-20T07:54:34,1,429,0,430
2022-05-20T08:04:48,1,429,0,430
2022-05-20T08:15:03,1,429,0,430
2022-05-20T08:25:18,1,429,0,430
2022-05-20T08:35:33,1,429,0,430
2022-05-20T08:45:47,1,429,0,430
2022-05-20T08:56:02,1,429,0,430
2022-05-20T09:06:18,1,429,0,430
2022-05-20T09:16:46,1,429,0,430
2022-05-20T09:27:01,1,429,0,430
2022-05-20T09:37:17,1,429,0,430
2022-05-20T09:47:33,1,429,0,430
2022-05-20T09:57:49,1,429,0,430
2022-05-20T10:08:06,1,429,0,430
2022-05-20T10:18:21,1,429,0,430
2022-05-20T10:28:37,1,429,0,430
2022-05-20T10:38:53,1,429,0,430
2022-05-20T10:49:09,1,429,0,430
2022-05-20T10:59:38,1,429,0,430
2022-05-20T11:09:54,2,428,0,430
2022-05-20T11:20:11,3,427,0,430
2022-05-20T11:30:26,3,427,0,430
2022-05-20T11:40:42,3,427,0,430
2022-05-20T11:50:59,3,427,0,430
2022-05-20T12:01:28,3,427,0,430
2022-05-20T12:11:44,3,427,0,430
2022-05-20T12:21:59,3,427,0,430
2022-05-20T12:32:14,3,427,0,430
2022-05-20T12:42:29,4,426,0,430
2022-05-20T12:52:45,5,425,0,430
2022-05-20T13:03:12,6,424,0,430
2022-05-20T13:13:28,6,424,0,430
2022-05-20T13:23:44,6,424,0,430
2022-05-20T13:34:01,6,424,0,430
2022-05-20T13:44:18,6,424,0,430
2022-05-20T13:54:33,7,423,0,430
2022-05-20T14:04:49,7,423,0,430
2022-05-20T14:15:15,7,423,0,430
2022-05-20T14:25:30,7,423,0,430
2022-05-20T14:35:46,7,423,0,430
2022-05-20T14:46:02,7,423,0,430
2022-05-20T14:56:17,7,423,0,430
2022-05-20T15:06:43,7,423,0,430
2022-05-20T15:16:58,7,423,0,430
2022-05-20T15:27:14,7,423,0,430
2022-05-20T15:37:29,7,423,0,430
2022-05-20T15:47:44,7,423,0,430
2022-05-20T15:57:59,7,423,0,430
2022-05-20T16:08:14,7,423,0,430
2022-05-20T16:18:40,7,423,0,430
2022-05-20T16:28:54,7,423,0,430
2022-05-20T16:39:08,7,423,0,430
2022-05-20T16:49:23,7,423,0,430
2022-05-20T16:59:37,7,423,0,430
2022-05-20T17:09:52,7,423,0,430
2022-05-20T17:20:06,7,423,0,430
2022-05-20T17:30:19,7,423,0,430
2022-05-20T17:40:33,7,423,0,430
2022-05-20T17:50:48,7,423,0,430
2022-05-20T18:01:01,8,422,0,430
2022-05-20T18:11:25,8,422,0,430
2022-05-20T18:21:38,8,422,0,430
2022-05-20T18:31:52,8,422,0,430
2022-05-20T18:42:05,8,422,0,430
2022-05-20T18:52:18,8,422,0,430
2022-05-20T19:02:32,8,422,0,430
2022-05-20T19:12:46,8,422,0,430
2022-05-20T19:23:00,8,422,0,430
2022-05-20T19:33:14,8,422,0,430
2022-05-20T19:43:28,8,422,0,430
2022-05-20T19:53:42,8,422,0,430
2022-05-20T20:04:05,8,422,0,430
2022-05-20T20:14:19,8,422,0,430
2022-05-20T20:24:33,8,422,0,430
2022-05-20T20:34:46,8,422,0,430
2022-05-20T20:45:00,8,422,0,430
2022-05-20T20:55:13,8,422,0,430
2022-05-20T21:05:27,8,422,0,430
2022-05-20T21:15:41,8,422,0,430
2022-05-20T21:26:05,8,422,0,430
2022-05-20T21:36:18,8,422,0,430
2022-05-20T21:46:32,8,422,0,430
2022-05-20T21:56:46,8,422,0,430
2022-05-20T22:07:00,8,422,0,430
2022-05-20T22:17:14,8,422,0,430
2022-05-20T22:27:29,8,422,0,430
2022-05-20T22:37:42,8,422,0,430
2022-05-20T22:47:55,8,422,0,430
2022-05-20T22:58:09,8,422,0,430
2022-05-20T23:08:23,8,422,0,430
2022-05-20T23:18:48,8,422,0,430
2022-05-20T23:29:01,8,422,0,430
2022-05-20T23:39:15,8,422,0,430
2022-05-20T23:49:28,8,422,0,430
2022-05-20T23:59:42,8,422,0,430
2022-05-21T00:09:57,8,422,0,430
2022-05-21T00:20:14,8,422,0,430
2022-05-21T00:30:30,8,422,0,430
2022-05-21T00:40:46,8,422,0,430
2022-05-21T00:51:02,9,421,0,430
2022-05-21T01:01:17,9,421,0,430
2022-05-21T01:11:32,9,421,0,430
2022-05-21T01:21:47,9,421,0,430
2022-05-21T01:32:02,9,421,0,430
2022-05-21T01:42:17,9,421,0,430
2022-05-21T01:52:32,9,421,0,430
2022-05-21T02:02:56,9,421,0,430
2022-05-21T02:13:10,9,421,0,430
2022-05-21T02:23:24,9,421,0,430
2022-05-21T02:33:37,9,421,0,430
2022-05-21T02:43:50,9,421,0,430
2022-05-21T02:54:03,9,421,0,430
2022-05-21T03:04:15,9,421,0,430
2022-05-21T03:14:30,9,421,0,430
2022-05-21T03:24:49,9,421,0,430
2022-05-21T03:35:05,9,421,0,430
2022-05-21T03:45:20,9,421,0,430
2022-05-21T03:55:36,9,421,0,430
2022-05-21T04:05:51,9,421,0,430
2022-05-21T04:21:11,9,421,0,430
2022-05-21T04:32:20,9,421,0,430
2022-05-21T04:43:08,9,421,0,430
2022-05-21T04:53:24,9,421,0,430
2022-05-21T05:03:39,9,421,0,430
2022-05-21T05:13:55,9,421,0,430
2022-05-21T05:24:11,9,421,0,430
2022-05-21T05:34:27,9,421,0,430
2022-05-21T05:44:43,9,421,0,430
2022-05-21T05:54:59,9,421,0,430
2022-05-21T06:05:14,9,421,0,430
2022-05-21T06:15:29,9,421,0,430
2022-05-21T06:25:46,9,421,0,430
2022-05-21T06:36:01,9,421,0,430
2022-05-21T06:46:16,9,421,0,430
2022-05-21T06:56:32,9,421,0,430
2022-05-21T07:06:47,9,421,0,430
2022-05-21T07:17:03,9,421,0,430
2022-05-21T07:27:18,9,421,0,430
2022-05-21T07:37:33,9,421,0,430
2022-05-21T07:47:47,9,421,0,430
2022-05-21T07:58:02,9,421,0,430
2022-05-21T08:08:17,9,421,0,430
2022-05-21T08:18:33,9,421,0,430
2022-05-21T08:28:48,9,421,0,430
2022-05-21T08:39:02,9,421,0,430
2022-05-21T08:49:39,9,421,0,430
2022-05-21T08:59:53,9,421,0,430
2022-05-21T09:10:06,10,420,0,430
2022-05-21T09:20:19,10,420,0,430
2022-05-21T09:30:32,10,420,0,430
2022-05-21T09:40:45,10,420,0,430
2022-05-21T09:50:59,10,420,0,430
2022-05-21T10:01:12,10,420,0,430
2022-05-21T10:11:25,10,420,0,430
2022-05-21T10:21:38,10,420,0,430
2022-05-21T10:31:52,10,420,0,430
2022-05-21T10:42:05,10,420,0,430
2022-05-21T10:52:18,10,420,0,430
2022-05-21T11:02:31,10,420,0,430
2022-05-21T11:12:56,10,420,0,430
2022-05-21T11:23:10,10,420,0,430
2022-05-21T11:33:24,10,420,0,430
2022-05-21T11:43:38,10,420,0,430
2022-05-21T11:53:51,10,420,0,430
2022-05-21T12:04:04,10,420,0,430
2022-05-21T12:14:19,11,419,0,430
2022-05-21T12:24:33,11,419,0,430
2022-05-21T12:35:06,11,419,0,430
2022-05-21T12:45:19,11,419,0,430
2022-05-21T12:55:32,11,419,0,430
2022-05-21T13:05:46,11,419,0,430
2022-05-21T13:16:00,11,419,0,430
2022-05-21T13:26:13,11,419,0,430
2022-05-21T13:36:27,11,419,0,430
2022-05-21T13:46:40,11,419,0,430
2022-05-21T13:56:53,11,419,0,430
2022-05-21T14:07:07,11,419,0,430
