time,enrolled,available,waitlisted,total
2022-05-18T04:32:40,0,190,0,190
2022-05-18T04:43:14,0,190,0,190
2022-05-18T04:53:24,0,190,0,190
2022-05-18T05:03:35,0,190,0,190
2022-05-18T05:13:45,0,190,0,190
2022-05-18T05:23:56,0,190,0,190
2022-05-18T05:34:07,0,190,0,190
2022-05-18T05:44:16,0,190,0,190
2022-05-18T05:54:26,0,190,0,190
2022-05-18T06:04:40,0,190,0,190
2022-05-18T06:14:48,0,190,0,190
2022-05-18T06:24:57,0,190,0,190
2022-05-18T06:35:05,0,190,0,190
2022-05-18T06:45:12,0,190,0,190
2022-05-18T06:55:20,0,190,0,190
2022-05-18T07:05:28,0,190,0,190
2022-05-18T07:15:37,0,190,0,190
2022-05-18T07:25:44,0,190,0,190
2022-05-18T07:35:52,0,190,0,190
2022-05-18T07:46:01,0,190,0,190
2022-05-18T07:56:09,0,190,0,190
2022-05-18T08:06:17,0,190,0,190
2022-05-18T08:16:24,0,190,0,190
2022-05-18T08:26:33,0,190,0,190
2022-05-18T08:36:41,0,190,0,190
2022-05-18T08:46:51,0,190,0,190
2022-05-18T08:57:00,0,190,0,190
2022-05-18T09:07:22,0,190,0,190
2022-05-18T09:17:30,0,190,0,190
2022-05-18T09:27:39,0,190,0,190
2022-05-18T09:37:48,0,190,0,190
2022-05-18T09:47:57,0,190,0,190
2022-05-18T09:58:08,0,190,0,190
2022-05-18T10:08:20,0,190,0,190
2022-05-18T10:18:31,0,190,0,190
2022-05-18T10:28:42,0,190,0,190
2022-05-18T10:39:04,0,190,0,190
2022-05-18T10:49:14,0,190,0,190
2022-05-18T10:59:24,0,190,0,190
2022-05-18T11:09:34,0,190,0,190
2022-05-18T11:19:44,0,190,0,190
2022-05-18T11:29:53,0,190,0,190
2022-05-18T11:40:02,0,190,0,190
2022-05-18T11:50:10,0,190,0,190
2022-05-18T12:00:29,0,190,0,190
2022-05-18T12:10:38,0,190,0,190
2022-05-18T12:20:46,0,190,0,190
2022-05-18T12:30:57,0,190,0,190
2022-05-18T12:41:07,0,190,0,190
2022-05-18T12:51:17,0,190,0,190
2022-05-18T13:01:27,0,190,0,190
2022-05-18T13:11:48,0,190,0,190
2022-05-18T13:21:58,0,190,0,190
2022-05-18T13:32:08,0,190,0,190
2022-05-18T13:42:19,0,190,0,190
2022-05-18T13:52:30,0,190,0,190
2022-05-18T14:02:41,0,190,0,190
