time,enrolled,available,waitlisted,total
2022-05-18T04:32:46,0,50,0,50
2022-05-18T04:43:20,0,50,0,50
2022-05-18T04:53:30,0,50,0,50
2022-05-18T05:03:41,0,50,0,50
2022-05-18T05:13:51,0,50,0,50
2022-05-18T05:24:02,0,50,0,50
2022-05-18T05:34:13,0,50,0,50
2022-05-18T05:44:22,0,50,0,50
2022-05-18T05:54:32,0,50,0,50
2022-05-18T06:04:46,0,50,0,50
2022-05-18T06:14:54,0,50,0,50
2022-05-18T06:25:02,0,50,0,50
2022-05-18T06:35:11,0,50,0,50
2022-05-18T06:45:18,0,50,0,50
2022-05-18T06:55:25,0,50,0,50
2022-05-18T07:05:34,0,50,0,50
2022-05-18T07:15:43,0,50,0,50
2022-05-18T07:25:50,0,50,0,50
2022-05-18T07:35:58,0,50,0,50
2022-05-18T07:46:06,0,50,0,50
2022-05-18T07:56:14,0,50,0,50
2022-05-18T08:06:22,0,50,0,50
2022-05-18T08:16:30,0,50,0,50
2022-05-18T08:26:39,0,50,0,50
2022-05-18T08:36:47,0,50,0,50
2022-05-18T08:46:57,0,50,0,50
2022-05-18T08:57:06,0,50,0,50
2022-05-18T09:07:28,0,50,0,50
2022-05-18T09:17:36,0,50,0,50
2022-05-18T09:27:45,0,50,0,50
2022-05-18T09:37:54,0,50,0,50
2022-05-18T09:48:03,0,50,0,50
2022-05-18T09:58:14,0,50,0,50
2022-05-18T10:08:26,0,50,0,50
2022-05-18T10:18:37,0,50,0,50
2022-05-18T10:28:48,0,50,0,50
2022-05-18T10:39:10,0,50,0,50
2022-05-18T10:49:20,0,50,0,50
2022-05-18T10:59:30,0,50,0,50
2022-05-18T11:09:40,0,50,0,50
2022-05-18T11:19:49,0,50,0,50
2022-05-18T11:29:58,0,50,0,50
2022-05-18T11:40:07,0,50,0,50
2022-05-18T11:50:16,0,50,0,50
2022-05-18T12:00:35,0,50,0,50
2022-05-18T12:10:44,0,50,0,50
2022-05-18T12:20:52,0,50,0,50
2022-05-18T12:31:02,0,50,0,50
2022-05-18T12:41:12,0,50,0,50
2022-05-18T12:51:23,0,50,0,50
2022-05-18T13:01:33,0,50,0,50
2022-05-18T13:11:54,0,50,0,50
2022-05-18T13:22:04,0,50,0,50
2022-05-18T13:32:14,0,50,0,50
2022-05-18T13:42:25,0,50,0,50
2022-05-18T13:52:36,0,50,0,50
2022-05-18T14:02:47,0,50,0,50
2022-05-18T14:12:57,0,50,0,50
2022-05-18T14:23:07,0,50,0,50
2022-05-18T14:33:29,0,50,0,50
2022-05-18T14:43:39,0,50,0,50
2022-05-18T14:53:50,0,50,0,50
2022-05-18T15:04:01,0,50,0,50
2022-05-18T15:14:13,0,50,0,50
2022-05-18T15:24:23,0,50,0,50
2022-05-18T15:34:44,0,50,0,50
2022-05-18T15:44:55,0,50,0,50
2022-05-18T15:55:06,0,50,0,50
2022-05-18T16:05:17,0,50,0,50
2022-05-18T16:15:28,0,50,0,50
2022-05-18T16:25:38,0,50,0,50
2022-05-18T16:35:48,0,50,0,50
2022-05-18T16:45:58,0,50,0,50
2022-05-18T16:56:08,0,50,0,50
2022-05-18T17:06:28,0,50,0,50
2022-05-18T17:16:38,0,50,0,50
2022-05-18T17:26:48,0,50,0,50
2022-05-18T17:36:57,0,50,0,50
2022-05-18T17:47:06,0,50,0,50
2022-05-18T17:57:15,0,50,0,50
2022-05-18T18:07:25,0,50,0,50
2022-05-18T18:17:34,0,50,0,50
2022-05-18T18:27:45,0,50,0,50
2022-05-18T18:38:05,0,50,0,50
2022-05-18T18:48:13,0,50,0,50
2022-05-18T18:58:22,0,50,0,50
2022-05-18T19:08:31,0,50,0,50
2022-05-18T19:18:40,0,50,0,50
2022-05-18T19:28:50,0,50,0,50
2022-05-18T19:38:59,0,50,0,50
2022-05-18T19:49:08,0,50,0,50
2022-05-18T19:59:17,0,50,0,50
2022-05-18T20:09:26,0,50,0,50
2022-05-18T20:19:45,0,50,0,50
2022-05-18T20:29:54,0,50,0,50
2022-05-18T20:40:03,0,50,0,50
2022-05-18T20:50:12,0,50,0,50
2022-05-18T21:00:20,0,50,0,50
2022-05-18T21:10:31,0,50,0,50
2022-05-18T21:20:40,0,50,0,50
2022-05-18T21:30:49,0,50,0,50
2022-05-18T21:40:57,0,50,0,50
2022-05-18T21:51:17,0,50,0,50
2022-05-18T22:01:25,0,50,0,50
2022-05-18T22:11:34,0,50,0,50
2022-05-18T22:21:43,0,50,0,50
2022-05-18T22:31:52,0,50,0,50
2022-05-18T22:42:01,0,50,0,50
2022-05-18T22:52:10,0,50,0,50
2022-05-18T23:02:20,0,50,0,50
2022-05-18T23:12:29,0,50,0,50
2022-05-18T23:22:39,0,50,0,50
2022-05-18T23:33:02,0,50,0,50
2022-05-18T23:43:11,0,50,0,50
2022-05-18T23:53:20,0,50,0,50
2022-05-19T00:03:29,0,50,0,50
2022-05-19T00:13:43,0,50,0,50
2022-05-19T00:23:54,0,50,0,50
2022-05-19T00:34:09,0,50,0,50
2022-05-19T00:44:23,0,50,0,50
2022-05-19T00:54:34,0,50,0,50
2022-05-19T01:04:44,0,50,0,50
2022-05-19T01:14:54,0,50,0,50
2022-05-19T01:25:04,0,50,0,50
2022-05-19T01:35:13,0,50,0,50
2022-05-19T01:45:23,0,50,0,50
2022-05-19T01:55:33,0,50,0,50
2022-05-19T02:05:53,0,50,0,50
2022-05-19T02:16:03,0,50,0,50
2022-05-19T02:26:11,0,50,0,50
2022-05-19T02:36:19,0,50,0,50
2022-05-19T02:46:28,0,50,0,50
2022-05-19T02:56:36,0,50,0,50
2022-05-19T03:06:45,0,50,0,50
2022-05-19T03:16:56,0,50,0,50
2022-05-19T03:27:15,0,50,0,50
2022-05-19T03:37:26,0,50,0,50
2022-05-19T03:47:37,0,50,0,50
2022-05-19T03:57:47,0,50,0,50
2022-05-19T04:07:59,0,50,0,50
2022-05-19T04:23:57,0,50,0,50
2022-05-19T04:35:18,0,50,0,50
2022-05-19T04:45:45,0,50,0,50
2022-05-19T04:55:56,0,50,0,50
2022-05-19T05:06:08,0,50,0,50
2022-05-19T05:16:20,0,50,0,50
2022-05-19T05:26:31,0,50,0,50
2022-05-19T05:36:42,0,50,0,50
2022-05-19T05:46:51,0,50,0,50
2022-05-19T05:57:03,0,50,0,50
2022-05-19T06:07:13,0,50,0,50
2022-05-19T06:17:25,0,50,0,50
2022-05-19T06:27:36,0,50,0,50
2022-05-19T06:37:47,0,50,0,50
2022-05-19T06:47:57,0,50,0,50
2022-05-19T06:58:07,0,50,0,50
2022-05-19T07:08:22,0,50,0,50
2022-05-19T07:18:32,0,50,0,50
2022-05-19T07:28:41,0,50,0,50
2022-05-19T07:38:51,0,50,0,50
2022-05-19T07:49:00,0,50,0,50
2022-05-19T07:59:10,0,50,0,50
2022-05-19T08:09:19,0,50,0,50
2022-05-19T08:19:28,0,50,0,50
2022-05-19T08:29:37,0,50,0,50
2022-05-19T08:39:48,0,50,0,50
2022-05-19T08:49:59,0,50,0,50
2022-05-19T09:00:09,0,50,0,50
2022-05-19T09:10:36,0,50,0,50
2022-05-19T09:20:45,0,50,0,50
2022-05-19T09:30:56,0,50,0,50
2022-05-19T09:41:08,0,50,0,50
2022-05-19T09:51:19,0,50,0,50
2022-05-19T10:01:30,0,50,0,50
2022-05-19T10:11:42,0,50,0,50
2022-05-19T10:21:54,0,50,0,50
2022-05-19T10:32:06,0,50,0,50
2022-05-19T10:42:23,0,50,0,50
2022-05-19T10:52:36,0,50,0,50
2022-05-19T11:02:49,0,50,0,50
2022-05-19T11:13:03,0,50,0,50
2022-05-19T11:23:28,0,50,0,50
2022-05-19T11:33:41,0,50,0,50
2022-05-19T11:43:53,0,50,0,50
2022-05-19T11:54:05,0,50,0,50
2022-05-19T12:04:17,0,50,0,50
2022-05-19T12:14:29,0,50,0,50
2022-05-19T12:24:41,0,50,0,50
2022-05-19T12:34:53,0,50,0,50
2022-05-19T12:45:26,0,50,0,50
2022-05-19T12:55:40,0,50,0,50
2022-05-19T13:05:54,0,50,0,50
2022-05-19T13:16:09,0,50,0,50
2022-05-19T13:26:23,0,50,0,50
2022-05-19T13:36:37,0,50,0,50
2022-05-19T13:46:52,0,50,0,50
2022-05-19T13:57:17,0,50,0,50
2022-05-19T14:07:32,0,50,0,50
2022-05-19T14:17:48,0,50,0,50
2022-05-19T14:28:03,0,50,0,50
2022-05-19T14:38:21,0,50,0,50
2022-05-19T14:48:38,0,50,0,50
2022-05-19T14:58:54,0,50,0,50
2022-05-19T15:09:30,0,50,0,50
2022-05-19T15:19:48,0,50,0,50
2022-05-19T15:30:06,0,50,0,50
2022-05-19T15:40:24,0,50,0,50
2022-05-19T15:50:43,0,50,0,50
2022-05-19T16:01:01,0,50,0,50
2022-05-19T16:11:19,0,50,0,50
2022-05-19T16:21:36,0,50,0,50
2022-05-19T16:31:55,0,50,0,50
2022-05-19T16:42:25,0,50,0,50
2022-05-19T16:52:43,0,50,0,50
2022-05-19T17:03:00,0,50,0,50
2022-05-19T17:13:17,0,50,0,50
2022-05-19T17:23:34,0,50,0,50
2022-05-19T17:33:50,0,50,0,50
2022-05-19T17:44:06,0,50,0,50
2022-05-19T17:54:21,0,50,0,50
2022-05-19T18:04:57,0,50,0,50
2022-05-19T18:15:13,0,50,0,50
2022-05-19T18:25:28,0,50,0,50
2022-05-19T18:35:44,0,50,0,50
2022-05-19T18:45:59,0,50,0,50
2022-05-19T18:56:18,0,50,0,50
2022-05-19T19:06:42,0,50,0,50
2022-05-19T19:17:09,0,50,0,50
2022-05-19T19:27:47,0,50,0,50
2022-05-19T19:38:17,0,50,0,50
2022-05-19T19:48:43,0,50,0,50
2022-05-19T19:59:07,0,50,0,50
2022-05-19T20:09:35,0,50,0,50
2022-05-19T20:19:57,0,50,0,50
2022-05-19T20:30:24,0,50,0,50
2022-05-19T20:40:41,0,50,0,50
2022-05-19T20:51:02,0,50,0,50
