time,enrolled,available,waitlisted,total
2022-05-20T04:29:37,0,108,0,108
2022-05-20T04:40:15,0,108,0,108
2022-05-20T04:50:32,0,108,0,108
2022-05-20T05:00:48,0,108,0,108
2022-05-20T05:11:05,0,108,0,108
2022-05-20T05:21:19,0,108,0,108
2022-05-20T05:31:35,0,108,0,108
2022-05-20T05:41:51,0,108,0,108
2022-05-20T05:52:06,0,108,0,108
2022-05-20T06:02:23,0,108,0,108
2022-05-20T06:12:37,0,108,0,108
2022-05-20T06:22:53,0,108,0,108
2022-05-20T06:33:08,0,108,0,108
2022-05-20T06:43:22,0,108,0,108
2022-05-20T06:53:35,0,108,0,108
2022-05-20T07:03:52,0,108,0,108
2022-05-20T07:14:06,0,108,0,108
2022-05-20T07:24:19,0,108,0,108
2022-05-20T07:34:33,0,108,0,108
2022-05-20T07:44:47,0,108,0,108
2022-05-20T07:55:01,0,108,0,108
2022-05-20T08:05:15,0,108,0,108
2022-05-20T08:15:29,0,108,0,108
2022-05-20T08:25:45,0,108,0,108
2022-05-20T08:36:00,0,108,0,108
2022-05-20T08:46:14,0,108,0,108
2022-05-20T08:56:29,0,108,0,108
2022-05-20T09:06:45,0,108,0,108
2022-05-20T09:17:12,0,108,0,108
2022-05-20T09:27:28,0,108,0,108
2022-05-20T09:37:44,0,108,0,108
2022-05-20T09:48:00,0,108,0,108
2022-05-20T09:58:16,0,108,0,108
2022-05-20T10:08:33,0,108,0,108
2022-05-20T10:18:48,0,108,0,108
2022-05-20T10:29:04,0,108,0,108
2022-05-20T10:39:20,1,107,0,108
2022-05-20T10:49:36,2,106,0,108
2022-05-20T11:00:05,1,107,0,108
2022-05-20T11:10:21,1,107,0,108
2022-05-20T11:20:37,3,105,0,108
2022-05-20T11:30:53,3,105,0,108
2022-05-20T11:41:09,3,105,0,108
2022-05-20T11:51:39,3,105,0,108
2022-05-20T12:01:55,3,105,0,108
2022-05-20T12:12:10,3,105,0,108
2022-05-20T12:22:26,3,105,0,108
2022-05-20T12:32:41,3,105,0,108
2022-05-20T12:42:56,4,104,0,108
2022-05-20T12:53:12,5,103,0,108
2022-05-20T13:03:39,5,103,0,108
2022-05-20T13:13:55,5,103,0,108
2022-05-20T13:24:11,6,102,0,108
2022-05-20T13:34:28,6,102,0,108
2022-05-20T13:44:45,6,102,0,108
2022-05-20T13:55:00,6,102,0,108
2022-05-20T14:05:16,6,102,0,108
2022-05-20T14:15:42,6,102,0,108
2022-05-20T14:25:57,6,102,0,108
2022-05-20T14:36:13,6,102,0,108
2022-05-20T14:46:29,6,102,0,108
2022-05-20T14:56:44,6,102,0,108
2022-05-20T15:07:10,6,102,0,108
2022-05-20T15:17:25,6,102,0,108
2022-05-20T15:27:41,6,102,0,108
2022-05-20T15:37:56,6,102,0,108
2022-05-20T15:48:11,6,102,0,108
2022-05-20T15:58:26,6,102,0,108
2022-05-20T16:08:41,6,102,0,108
2022-05-20T16:19:07,6,102,0,108
2022-05-20T16:29:21,6,102,0,108
2022-05-20T16:39:35,6,102,0,108
2022-05-20T16:49:49,6,102,0,108
2022-05-20T17:00:04,6,102,0,108
2022-05-20T17:10:18,6,102,0,108
2022-05-20T17:20:32,6,102,0,108
2022-05-20T17:30:46,6,102,0,108
2022-05-20T17:41:00,6,102,0,108
2022-05-20T17:51:15,6,102,0,108
2022-05-20T18:01:28,6,102,0,108
2022-05-20T18:11:51,6,102,0,108
2022-05-20T18:22:05,6,102,0,108
2022-05-20T18:32:18,6,102,0,108
2022-05-20T18:42:32,6,102,0,108
2022-05-20T18:52:45,6,102,0,108
2022-05-20T19:02:59,6,102,0,108
2022-05-20T19:13:13,6,102,0,108
2022-05-20T19:23:27,6,102,0,108
2022-05-20T19:33:41,7,101,0,108
2022-05-20T19:43:55,7,101,0,108
2022-05-20T19:54:09,8,100,0,108
2022-05-20T20:04:32,8,100,0,108
2022-05-20T20:14:46,8,100,0,108
2022-05-20T20:25:00,8,100,0,108
2022-05-20T20:35:13,8,100,0,108
2022-05-20T20:45:26,8,100,0,108
2022-05-20T20:55:40,9,99,0,108
2022-05-20T21:05:54,9,99,0,108
2022-05-20T21:16:07,9,99,0,108
2022-05-20T21:26:32,9,99,0,108
2022-05-20T21:36:45,9,99,0,108
2022-05-20T21:46:59,9,99,0,108
2022-05-20T21:57:13,9,99,0,108
2022-05-20T22:07:27,9,99,0,108
2022-05-20T22:17:40,9,99,0,108
2022-05-20T22:27:56,9,99,0,108
2022-05-20T22:38:09,9,99,0,108
2022-05-20T22:48:22,9,99,0,108
2022-05-20T22:58:36,9,99,0,108
2022-05-20T23:08:50,9,99,0,108
2022-05-20T23:19:15,9,99,0,108
2022-05-20T23:29:28,9,99,0,108
2022-05-20T23:39:42,9,99,0,108
2022-05-20T23:49:55,9,99,0,108
2022-05-21T00:00:09,9,99,0,108
2022-05-21T00:10:24,9,99,0,108
2022-05-21T00:20:41,9,99,0,108
2022-05-21T00:30:57,9,99,0,108
2022-05-21T00:41:13,9,99,0,108
2022-05-21T00:51:29,9,99,0,108
2022-05-21T01:01:44,9,99,0,108
2022-05-21T01:11:59,9,99,0,108
2022-05-21T01:22:14,9,99,0,108
2022-05-21T01:32:29,9,99,0,108
2022-05-21T01:42:44,9,99,0,108
2022-05-21T01:52:59,9,99,0,108
2022-05-21T02:03:23,9,99,0,108
2022-05-21T02:13:37,9,99,0,108
2022-05-21T02:23:50,9,99,0,108
2022-05-21T02:34:04,9,99,0,108
2022-05-21T02:44:17,9,99,0,108
2022-05-21T02:54:30,9,99,0,108
2022-05-21T03:04:42,9,99,0,108
2022-05-21T03:14:57,9,99,0,108
2022-05-21T03:25:16,9,99,0,108
2022-05-21T03:35:31,9,99,0,108
2022-05-21T03:45:47,9,99,0,108
2022-05-21T03:56:02,9,99,0,108
2022-05-21T04:06:18,9,99,0,108
2022-05-21T04:21:38,9,99,0,108
2022-05-21T04:33:03,9,99,0,108
2022-05-21T04:43:35,9,99,0,108
2022-05-21T04:53:51,9,99,0,108
2022-05-21T05:04:06,9,99,0,108
2022-05-21T05:14:22,9,99,0,108
2022-05-21T05:24:38,9,99,0,108
2022-05-21T05:34:54,9,99,0,108
2022-05-21T05:45:10,9,99,0,108
2022-05-21T05:55:26,9,99,0,108
2022-05-21T06:05:41,9,99,0,108
2022-05-21T06:15:56,9,99,0,108
2022-05-21T06:26:13,9,99,0,108
2022-05-21T06:36:28,9,99,0,108
2022-05-21T06:46:43,9,99,0,108
2022-05-21T06:56:59,9,99,0,108
2022-05-21T07:07:14,9,99,0,108
2022-05-21T07:17:30,9,99,0,108
2022-05-21T07:27:45,9,99,0,108
2022-05-21T07:38:00,9,99,0,108
2022-05-21T07:48:14,9,99,0,108
2022-05-21T07:58:29,9,99,0,108
2022-05-21T08:08:44,9,99,0,108
2022-05-21T08:19:00,9,99,0,108
2022-05-21T08:29:15,9,99,0,108
2022-05-21T08:39:29,9,99,0,108
2022-05-21T08:50:06,9,99,0,108
2022-05-21T09:00:20,10,98,0,108
2022-05-21T09:10:33,10,98,0,108
