time,enrolled,available,waitlisted,total
2022-05-20T04:29:38,0,240,0,240
2022-05-20T04:40:16,0,240,0,240
2022-05-20T04:50:33,0,240,0,240
2022-05-20T05:00:49,0,240,0,240
2022-05-20T05:11:06,0,240,0,240
2022-05-20T05:21:20,0,240,0,240
2022-05-20T05:31:36,0,240,0,240
2022-05-20T05:41:52,0,240,0,240
2022-05-20T05:52:08,0,240,0,240
2022-05-20T06:02:24,0,240,0,240
2022-05-20T06:12:38,0,240,0,240
2022-05-20T06:22:54,0,240,0,240
2022-05-20T06:33:09,0,240,0,240
2022-05-20T06:43:23,0,240,0,240
2022-05-20T06:53:36,0,240,0,240
2022-05-20T07:03:53,0,240,0,240
2022-05-20T07:14:07,0,240,0,240
2022-05-20T07:24:20,0,240,0,240
2022-05-20T07:34:34,0,240,0,240
2022-05-20T07:44:48,0,240,0,240
2022-05-20T07:55:02,0,240,0,240
2022-05-20T08:05:16,0,240,0,240
2022-05-20T08:15:30,0,240,0,240
2022-05-20T08:25:46,0,240,0,240
2022-05-20T08:36:01,0,240,0,240
2022-05-20T08:46:16,0,240,0,240
2022-05-20T08:56:30,0,240,0,240
2022-05-20T09:06:46,0,240,0,240
2022-05-20T09:17:13,0,240,0,240
2022-05-20T09:27:29,0,240,0,240
2022-05-20T09:37:45,0,240,0,240
2022-05-20T09:48:01,0,240,0,240
2022-05-20T09:58:17,0,240,0,240
2022-05-20T10:08:34,0,240,0,240
2022-05-20T10:18:49,0,240,0,240
2022-05-20T10:29:06,0,240,0,240
2022-05-20T10:39:21,0,240,0,240
2022-05-20T10:49:37,0,240,0,240
2022-05-20T11:00:06,0,240,0,240
2022-05-20T11:10:22,0,240,0,240
2022-05-20T11:20:39,0,240,0,240
2022-05-20T11:30:54,0,240,0,240
2022-05-20T11:41:10,0,240,0,240
2022-05-20T11:51:40,0,240,0,240
2022-05-20T12:01:56,0,240,0,240
2022-05-20T12:12:12,0,240,0,240
2022-05-20T12:22:27,0,240,0,240
2022-05-20T12:32:42,0,240,0,240
2022-05-20T12:42:57,0,240,0,240
2022-05-20T12:53:13,0,240,0,240
2022-05-20T13:03:40,0,240,0,240
2022-05-20T13:13:56,0,240,0,240
2022-05-20T13:24:13,0,240,0,240
2022-05-20T13:34:29,0,240,0,240
2022-05-20T13:44:46,0,240,0,240
2022-05-20T13:55:01,0,240,0,240
2022-05-20T14:05:17,0,240,0,240
2022-05-20T14:15:43,0,240,0,240
2022-05-20T14:25:59,0,240,0,240
2022-05-20T14:36:14,0,240,0,240
2022-05-20T14:46:30,0,240,0,240
2022-05-20T14:56:45,0,240,0,240
2022-05-20T15:07:11,0,240,0,240
2022-05-20T15:17:26,0,240,0,240
2022-05-20T15:27:42,0,240,0,240
2022-05-20T15:37:57,0,240,0,240
2022-05-20T15:48:12,0,240,0,240
2022-05-20T15:58:27,0,240,0,240
2022-05-20T16:08:42,0,240,0,240
2022-05-20T16:19:08,0,240,0,240
2022-05-20T16:29:22,1,239,0,240
2022-05-20T16:39:36,1,239,0,240
2022-05-20T16:49:51,1,239,0,240
2022-05-20T17:00:05,1,239,0,240
2022-05-20T17:10:20,1,239,0,240
2022-05-20T17:20:33,1,239,0,240
2022-05-20T17:30:47,1,239,0,240
2022-05-20T17:41:01,1,239,0,240
2022-05-20T17:51:16,1,239,0,240
2022-05-20T18:01:29,1,239,0,240
2022-05-20T18:11:53,1,239,0,240
2022-05-20T18:22:06,1,239,0,240
2022-05-20T18:32:19,1,239,0,240
2022-05-20T18:42:33,1,239,0,240
2022-05-20T18:52:46,1,239,0,240
2022-05-20T19:03:00,1,239,0,240
2022-05-20T19:13:14,1,239,0,240
2022-05-20T19:23:28,1,239,0,240
2022-05-20T19:33:42,2,238,0,240
2022-05-20T19:43:56,3,237,0,240
2022-05-20T19:54:10,2,238,0,240
2022-05-20T20:04:33,2,238,0,240
2022-05-20T20:14:47,2,238,0,240
2022-05-20T20:25:01,2,238,0,240
2022-05-20T20:35:14,2,238,0,240
2022-05-20T20:45:27,2,238,0,240
2022-05-20T20:55:41,2,238,0,240
2022-05-20T21:05:55,2,238,0,240
2022-05-20T21:16:09,2,238,0,240
2022-05-20T21:26:33,2,238,0,240
2022-05-20T21:36:46,2,238,0,240
2022-05-20T21:47:00,2,238,0,240
2022-05-20T21:57:14,2,238,0,240
2022-05-20T22:07:28,2,238,0,240
2022-05-20T22:17:41,2,238,0,240
2022-05-20T22:27:57,2,238,0,240
2022-05-20T22:38:10,2,238,0,240
2022-05-20T22:48:23,2,238,0,240
2022-05-20T22:58:37,2,238,0,240
2022-05-20T23:08:51,2,238,0,240
2022-05-20T23:19:16,2,238,0,240
2022-05-20T23:29:29,2,238,0,240
2022-05-20T23:39:43,2,238,0,240
2022-05-20T23:49:56,2,238,0,240
2022-05-21T00:00:10,2,238,0,240
2022-05-21T00:10:25,2,238,0,240
2022-05-21T00:20:42,2,238,0,240
2022-05-21T00:30:58,2,238,0,240
2022-05-21T00:41:14,2,238,0,240
2022-05-21T00:51:30,2,238,0,240
2022-05-21T01:01:45,2,238,0,240
2022-05-21T01:12:00,2,238,0,240
2022-05-21T01:22:15,2,238,0,240
2022-05-21T01:32:30,2,238,0,240
2022-05-21T01:42:45,2,238,0,240
2022-05-21T01:53:00,2,238,0,240
2022-05-21T02:03:24,2,238,0,240
2022-05-21T02:13:38,2,238,0,240
2022-05-21T02:23:51,3,237,0,240
2022-05-21T02:34:05,3,237,0,240
2022-05-21T02:44:18,3,237,0,240
2022-05-21T02:54:31,3,237,0,240
2022-05-21T03:04:43,3,237,0,240
2022-05-21T03:14:58,3,237,0,240
2022-05-21T03:25:17,3,237,0,240
2022-05-21T03:35:32,3,237,0,240
2022-05-21T03:45:48,3,237,0,240
2022-05-21T03:56:04,3,237,0,240
2022-05-21T04:06:19,3,237,0,240
2022-05-21T04:21:39,3,237,0,240
2022-05-21T04:33:05,3,237,0,240
2022-05-21T04:43:36,3,237,0,240
2022-05-21T04:53:52,3,237,0,240
2022-05-21T05:04:07,3,237,0,240
2022-05-21T05:14:23,3,237,0,240
2022-05-21T05:24:39,3,237,0,240
2022-05-21T05:34:55,3,237,0,240
2022-05-21T05:45:11,3,237,0,240
2022-05-21T05:55:27,3,237,0,240
2022-05-21T06:05:42,3,237,0,240
2022-05-21T06:15:57,3,237,0,240
2022-05-21T06:26:14,3,237,0,240
2022-05-21T06:36:29,3,237,0,240
2022-05-21T06:46:44,3,237,0,240
2022-05-21T06:57:00,3,237,0,240
2022-05-21T07:07:15,3,237,0,240
2022-05-21T07:17:31,3,237,0,240
2022-05-21T07:27:46,3,237,0,240
2022-05-21T07:38:01,3,237,0,240
2022-05-21T07:48:15,3,237,0,240
2022-05-21T07:58:30,3,237,0,240
2022-05-21T08:08:45,3,237,0,240
2022-05-21T08:19:01,3,237,0,240
2022-05-21T08:29:16,3,237,0,240
2022-05-21T08:39:30,3,237,0,240
2022-05-21T08:50:07,3,237,0,240
2022-05-21T09:00:21,3,237,0,240
2022-05-21T09:10:34,3,237,0,240
2022-05-21T09:20:47,3,237,0,240
2022-05-21T09:31:00,3,237,0,240
2022-05-21T09:41:13,3,237,0,240
2022-05-21T09:51:26,3,237,0,240
2022-05-21T10:01:40,3,237,0,240
2022-05-21T10:11:53,3,237,0,240
2022-05-21T10:22:06,3,237,0,240
2022-05-21T10:32:20,3,237,0,240
2022-05-21T10:42:33,3,237,0,240
2022-05-21T10:52:46,3,237,0,240
2022-05-21T11:02:59,3,237,0,240
2022-05-21T11:13:24,3,237,0,240
2022-05-21T11:23:38,3,237,0,240
2022-05-21T11:33:52,3,237,0,240
2022-05-21T11:44:06,3,237,0,240
2022-05-21T11:54:19,3,237,0,240
2022-05-21T12:04:32,3,237,0,240
2022-05-21T12:14:47,3,237,0,240
2022-05-21T12:25:00,3,237,0,240
2022-05-21T12:35:34,3,237,0,240
2022-05-21T12:45:47,3,237,0,240
2022-05-21T12:56:00,3,237,0,240
2022-05-21T13:06:14,3,237,0,240
2022-05-21T13:16:28,3,237,0,240
2022-05-21T13:26:41,3,237,0,240
2022-05-21T13:36:54,3,237,0,240
2022-05-21T13:47:08,3,237,0,240
2022-05-21T13:57:21,3,237,0,240
2022-05-21T14:07:35,3,237,0,240
2022-05-21T14:17:58,3,237,0,240
2022-05-21T14:28:11,3,237,0,240
2022-05-21T14:38:25,3,237,0,240
2022-05-21T14:48:39,3,237,0,240
2022-05-21T14:58:54,3,237,0,240
2022-05-21T15:09:08,3,237,0,240
2022-05-21T15:19:21,3,237,0,240
2022-05-21T15:29:44,3,237,0,240
2022-05-21T15:39:59,3,237,0,240
2022-05-21T15:50:12,3,237,0,240
2022-05-21T16:00:25,3,237,0,240
2022-05-21T16:10:39,3,237,0,240
2022-05-21T16:20:53,3,237,0,240
2022-05-21T16:31:06,3,237,0,240
2022-05-21T16:41:19,3,237,0,240
2022-05-21T16:51:33,3,237,0,240
2022-05-21T17:02:05,3,237,0,240
2022-05-21T17:12:18,3,237,0,240
2022-05-21T17:22:32,3,237,0,240
2022-05-21T17:32:46,3,237,0,240
2022-05-21T17:42:59,3,237,0,240
2022-05-21T17:53:12,3,237,0,240
2022-05-21T18:03:26,3,237,0,240
2022-05-21T18:13:39,3,237,0,240
2022-05-21T18:23:53,3,237,0,240
2022-05-21T18:34:07,3,237,0,240
2022-05-21T18:44:20,3,237,0,240
2022-05-21T18:55:01,3,237,0,240
2022-05-21T19:05:15,3,237,0,240
2022-05-21T19:15:28,3,237,0,240
2022-05-21T19:25:41,3,237,0,240
2022-05-21T19:35:55,3,237,0,240
2022-05-21T19:46:09,3,237,0,240
2022-05-21T19:56:24,3,237,0,240
2022-05-21T20:06:38,3,237,0,240
2022-05-21T20:16:52,3,237,0,240
2022-05-21T20:27:05,3,237,0,240
2022-05-21T20:37:30,3,237,0,240
2022-05-21T20:47:44,3,237,0,240
