time,enrolled,available,waitlisted,total
2022-05-18T04:33:10,0,65,0,65
2022-05-18T04:43:43,0,65,0,65
2022-05-18T04:53:54,0,65,0,65
2022-05-18T05:04:05,0,65,0,65
2022-05-18T05:14:15,0,65,0,65
2022-05-18T05:24:26,0,65,0,65
2022-05-18T05:34:36,0,65,0,65
2022-05-18T05:44:46,0,65,0,65
2022-05-18T05:54:56,0,65,0,65
2022-05-18T06:05:10,0,65,0,65
2022-05-18T06:15:18,0,65,0,65
2022-05-18T06:25:26,0,65,0,65
2022-05-18T06:35:34,0,65,0,65
2022-05-18T06:45:42,0,65,0,65
2022-05-18T06:55:49,0,65,0,65
2022-05-18T07:05:58,0,65,0,65
2022-05-18T07:16:06,0,65,0,65
2022-05-18T07:26:14,0,65,0,65
2022-05-18T07:36:22,0,65,0,65
2022-05-18T07:46:30,0,65,0,65
2022-05-18T07:56:38,0,65,0,65
2022-05-18T08:06:46,0,65,0,65
2022-05-18T08:16:54,0,65,0,65
2022-05-18T08:27:03,0,65,0,65
2022-05-18T08:37:12,0,65,0,65
2022-05-18T08:47:21,0,65,0,65
2022-05-18T08:57:30,0,65,0,65
2022-05-18T09:07:51,0,65,0,65
2022-05-18T09:18:00,0,65,0,65
2022-05-18T09:28:09,0,65,0,65
2022-05-18T09:38:18,0,65,0,65
2022-05-18T09:48:27,0,65,0,65
2022-05-18T09:58:38,0,65,0,65
2022-05-18T10:08:50,0,65,0,65
2022-05-18T10:19:00,0,65,0,65
2022-05-18T10:29:12,0,65,0,65
2022-05-18T10:39:34,0,65,0,65
2022-05-18T10:49:44,0,65,0,65
2022-05-18T10:59:54,0,65,0,65
2022-05-18T11:10:04,0,65,0,65
2022-05-18T11:20:13,0,65,0,65
2022-05-18T11:30:22,0,65,0,65
2022-05-18T11:40:31,0,65,0,65
2022-05-18T11:50:40,0,65,0,65
2022-05-18T12:00:59,0,65,0,65
2022-05-18T12:11:07,0,65,0,65
2022-05-18T12:21:16,0,65,0,65
2022-05-18T12:31:26,0,65,0,65
2022-05-18T12:41:36,0,65,0,65
2022-05-18T12:51:46,0,65,0,65
2022-05-18T13:01:57,0,65,0,65
2022-05-18T13:12:18,0,65,0,65
2022-05-18T13:22:28,0,65,0,65
2022-05-18T13:32:38,0,65,0,65
2022-05-18T13:42:49,0,65,0,65
2022-05-18T13:53:00,0,65,0,65
2022-05-18T14:03:10,0,65,0,65
2022-05-18T14:13:21,0,65,0,65
2022-05-18T14:23:31,0,65,0,65
2022-05-18T14:33:53,0,65,0,65
2022-05-18T14:44:03,0,65,0,65
2022-05-18T14:54:13,0,65,0,65
2022-05-18T15:04:25,0,65,0,65
2022-05-18T15:14:36,0,65,0,65
2022-05-18T15:24:47,0,65,0,65
2022-05-18T15:35:08,0,65,0,65
2022-05-18T15:45:19,0,65,0,65
2022-05-18T15:55:29,0,65,0,65
2022-05-18T16:05:40,0,65,0,65
2022-05-18T16:15:51,0,65,0,65
2022-05-18T16:26:02,0,65,0,65
2022-05-18T16:36:12,0,65,0,65
2022-05-18T16:46:22,0,65,0,65
2022-05-18T16:56:31,0,65,0,65
2022-05-18T17:06:52,0,65,0,65
2022-05-18T17:17:02,0,65,0,65
2022-05-18T17:27:11,0,65,0,65
2022-05-18T17:37:21,0,65,0,65
2022-05-18T17:47:30,0,65,0,65
2022-05-18T17:57:39,0,65,0,65
2022-05-18T18:07:48,0,65,0,65
2022-05-18T18:17:58,0,65,0,65
2022-05-18T18:28:09,0,65,0,65
2022-05-18T18:38:28,0,65,0,65
2022-05-18T18:48:37,0,65,0,65
2022-05-18T18:58:46,0,65,0,65
2022-05-18T19:08:55,0,65,0,65
2022-05-18T19:19:04,0,65,0,65
2022-05-18T19:29:13,0,65,0,65
2022-05-18T19:39:22,0,65,0,65
2022-05-18T19:49:31,0,65,0,65
2022-05-18T19:59:41,0,65,0,65
2022-05-18T20:09:49,0,65,0,65
2022-05-18T20:20:09,0,65,0,65
2022-05-18T20:30:18,0,65,0,65
2022-05-18T20:40:26,0,65,0,65
2022-05-18T20:50:35,0,65,0,65
2022-05-18T21:00:44,0,65,0,65
2022-05-18T21:10:55,0,65,0,65
2022-05-18T21:21:04,0,65,0,65
2022-05-18T21:31:13,0,65,0,65
2022-05-18T21:41:21,0,65,0,65
2022-05-18T21:51:40,0,65,0,65
2022-05-18T22:01:49,0,65,0,65
2022-05-18T22:11:58,0,65,0,65
2022-05-18T22:22:07,0,65,0,65
2022-05-18T22:32:16,0,65,0,65
2022-05-18T22:42:25,0,65,0,65
