time,enrolled,available,waitlisted,total
2022-05-20T04:29:50,0,90,0,90
2022-05-20T04:40:29,0,90,0,90
2022-05-20T04:50:46,0,90,0,90
2022-05-20T05:01:01,0,90,0,90
2022-05-20T05:11:18,0,90,0,90
2022-05-20T05:21:32,0,90,0,90
2022-05-20T05:31:48,0,90,0,90
2022-05-20T05:42:04,0,90,0,90
2022-05-20T05:52:20,0,90,0,90
2022-05-20T06:02:36,0,90,0,90
2022-05-20T06:12:50,0,90,0,90
2022-05-20T06:23:06,0,90,0,90
2022-05-20T06:33:21,0,90,0,90
2022-05-20T06:43:35,0,90,0,90
2022-05-20T06:53:48,0,90,0,90
2022-05-20T07:04:05,0,90,0,90
2022-05-20T07:14:19,0,90,0,90
2022-05-20T07:24:32,0,90,0,90
2022-05-20T07:34:46,0,90,0,90
2022-05-20T07:45:00,0,90,0,90
2022-05-20T07:55:14,0,90,0,90
2022-05-20T08:05:28,0,90,0,90
2022-05-20T08:15:43,0,90,0,90
2022-05-20T08:25:58,0,90,0,90
2022-05-20T08:36:13,0,90,0,90
2022-05-20T08:46:28,0,90,0,90
2022-05-20T08:56:42,0,90,0,90
2022-05-20T09:06:58,0,90,0,90
2022-05-20T09:17:26,0,90,0,90
2022-05-20T09:27:41,0,90,0,90
2022-05-20T09:37:57,0,90,0,90
2022-05-20T09:48:13,0,90,0,90
2022-05-20T09:58:29,0,90,0,90
2022-05-20T10:08:46,0,90,0,90
2022-05-20T10:19:02,0,90,0,90
2022-05-20T10:29:18,0,90,0,90
2022-05-20T10:39:33,0,90,0,90
2022-05-20T10:49:49,0,90,0,90
2022-05-20T11:00:18,0,90,0,90
2022-05-20T11:10:34,0,90,0,90
2022-05-20T11:20:51,0,90,0,90
2022-05-20T11:31:06,1,89,0,90
2022-05-20T11:41:23,1,89,0,90
2022-05-20T11:51:52,1,89,0,90
2022-05-20T12:02:08,1,89,0,90
2022-05-20T12:12:24,1,89,0,90
2022-05-20T12:22:39,1,89,0,90
2022-05-20T12:32:54,1,89,0,90
2022-05-20T12:43:09,1,89,0,90
2022-05-20T12:53:25,1,89,0,90
2022-05-20T13:03:52,3,87,0,90
2022-05-20T13:14:08,3,87,0,90
2022-05-20T13:24:25,3,87,0,90
2022-05-20T13:34:41,4,86,0,90
2022-05-20T13:44:58,4,86,0,90
2022-05-20T13:55:13,4,86,0,90
2022-05-20T14:05:29,4,86,0,90
2022-05-20T14:15:55,4,86,0,90
2022-05-20T14:26:11,4,86,0,90
2022-05-20T14:36:26,4,86,0,90
2022-05-20T14:46:42,4,86,0,90
2022-05-20T14:56:57,4,86,0,90
2022-05-20T15:07:23,5,85,0,90
2022-05-20T15:17:38,4,86,0,90
2022-05-20T15:27:54,4,86,0,90
2022-05-20T15:38:09,4,86,0,90
2022-05-20T15:48:24,4,86,0,90
2022-05-20T15:58:39,4,86,0,90
2022-05-20T16:08:54,4,86,0,90
2022-05-20T16:19:20,4,86,0,90
2022-05-20T16:29:34,4,86,0,90
2022-05-20T16:39:49,4,86,0,90
2022-05-20T16:50:03,4,86,0,90
2022-05-20T17:00:17,4,86,0,90
2022-05-20T17:10:32,4,86,0,90
2022-05-20T17:20:46,4,86,0,90
2022-05-20T17:30:59,4,86,0,90
2022-05-20T17:41:13,4,86,0,90
2022-05-20T17:51:28,4,86,0,90
2022-05-20T18:01:42,4,86,0,90
2022-05-20T18:12:05,4,86,0,90
2022-05-20T18:22:18,4,86,0,90
2022-05-20T18:32:32,4,86,0,90
2022-05-20T18:42:45,4,86,0,90
2022-05-20T18:52:58,4,86,0,90
2022-05-20T19:03:12,4,86,0,90
2022-05-20T19:13:26,4,86,0,90
2022-05-20T19:23:40,4,86,0,90
2022-05-20T19:33:54,4,86,0,90
2022-05-20T19:44:08,4,86,0,90
2022-05-20T19:54:22,4,86,0,90
2022-05-20T20:04:45,4,86,0,90
2022-05-20T20:14:59,4,86,0,90
2022-05-20T20:25:13,4,86,0,90
2022-05-20T20:35:26,4,86,0,90
2022-05-20T20:45:40,4,86,0,90
2022-05-20T20:55:53,4,86,0,90
2022-05-20T21:06:07,4,86,0,90
2022-05-20T21:16:21,4,86,0,90
2022-05-20T21:26:45,4,86,0,90
2022-05-20T21:36:58,4,86,0,90
2022-05-20T21:47:12,4,86,0,90
2022-05-20T21:57:26,4,86,0,90
2022-05-20T22:07:40,4,86,0,90
2022-05-20T22:17:54,4,86,0,90
2022-05-20T22:28:09,4,86,0,90
2022-05-20T22:38:22,4,86,0,90
2022-05-20T22:48:35,4,86,0,90
2022-05-20T22:58:49,4,86,0,90
2022-05-20T23:09:03,4,86,0,90
2022-05-20T23:19:28,4,86,0,90
2022-05-20T23:29:41,4,86,0,90
2022-05-20T23:39:55,4,86,0,90
2022-05-20T23:50:08,4,86,0,90
2022-05-21T00:00:22,4,86,0,90
2022-05-21T00:10:38,4,86,0,90
2022-05-21T00:20:54,4,86,0,90
2022-05-21T00:31:10,4,86,0,90
2022-05-21T00:41:26,4,86,0,90
2022-05-21T00:51:42,4,86,0,90
2022-05-21T01:01:57,4,86,0,90
2022-05-21T01:12:13,4,86,0,90
2022-05-21T01:22:27,4,86,0,90
2022-05-21T01:32:42,4,86,0,90
2022-05-21T01:42:58,4,86,0,90
2022-05-21T01:53:12,4,86,0,90
2022-05-21T02:03:36,4,86,0,90
2022-05-21T02:13:50,4,86,0,90
2022-05-21T02:24:04,4,86,0,90
