time,enrolled,available,waitlisted,total
2022-05-18T04:33:20,0,80,0,80
2022-05-18T04:43:53,0,80,0,80
2022-05-18T04:54:04,0,80,0,80
2022-05-18T05:04:15,0,80,0,80
2022-05-18T05:14:25,0,80,0,80
2022-05-18T05:24:36,0,80,0,80
2022-05-18T05:34:46,0,80,0,80
2022-05-18T05:44:56,0,80,0,80
2022-05-18T05:55:06,0,80,0,80
2022-05-18T06:05:20,0,80,0,80
2022-05-18T06:15:28,0,80,0,80
2022-05-18T06:25:36,0,80,0,80
2022-05-18T06:35:44,0,80,0,80
2022-05-18T06:45:52,0,80,0,80
2022-05-18T06:55:59,0,80,0,80
2022-05-18T07:06:08,0,80,0,80
2022-05-18T07:16:16,0,80,0,80
2022-05-18T07:26:24,0,80,0,80
2022-05-18T07:36:32,0,80,0,80
2022-05-18T07:46:40,0,80,0,80
2022-05-18T07:56:48,0,80,0,80
2022-05-18T08:06:56,0,80,0,80
2022-05-18T08:17:04,0,80,0,80
2022-05-18T08:27:13,0,80,0,80
2022-05-18T08:37:22,0,80,0,80
2022-05-18T08:47:31,0,80,0,80
2022-05-18T08:57:40,0,80,0,80
2022-05-18T09:08:01,0,80,0,80
2022-05-18T09:18:10,0,80,0,80
2022-05-18T09:28:19,0,80,0,80
2022-05-18T09:38:28,0,80,0,80
2022-05-18T09:48:37,0,80,0,80
2022-05-18T09:58:48,0,80,0,80
2022-05-18T10:09:00,0,80,0,80
2022-05-18T10:19:11,0,80,0,80
2022-05-18T10:29:22,0,80,0,80
2022-05-18T10:39:44,0,80,0,80
2022-05-18T10:49:54,0,80,0,80
2022-05-18T11:00:04,0,80,0,80
2022-05-18T11:10:14,0,80,0,80
2022-05-18T11:20:23,0,80,0,80
2022-05-18T11:30:32,0,80,0,80
2022-05-18T11:40:41,0,80,0,80
2022-05-18T11:50:50,0,80,0,80
2022-05-18T12:01:09,0,80,0,80
2022-05-18T12:11:17,0,80,0,80
2022-05-18T12:21:26,0,80,0,80
2022-05-18T12:31:36,0,80,0,80
2022-05-18T12:41:46,0,80,0,80
2022-05-18T12:51:57,0,80,0,80
2022-05-18T13:02:07,0,80,0,80
2022-05-18T13:12:28,0,80,0,80
2022-05-18T13:22:38,0,80,0,80
2022-05-18T13:32:48,0,80,0,80
2022-05-18T13:42:59,0,80,0,80
2022-05-18T13:53:10,0,80,0,80
