time,enrolled,available,waitlisted,total
2022-05-18T04:33:26,0,50,0,50
2022-05-18T04:43:59,0,50,0,50
2022-05-18T04:54:09,0,50,0,50
2022-05-18T05:04:21,0,50,0,50
2022-05-18T05:14:30,0,50,0,50
2022-05-18T05:24:41,0,50,0,50
2022-05-18T05:34:52,0,50,0,50
2022-05-18T05:45:01,0,50,0,50
2022-05-18T05:55:12,0,50,0,50
2022-05-18T06:05:26,0,50,0,50
2022-05-18T06:15:34,0,50,0,50
2022-05-18T06:25:42,0,50,0,50
2022-05-18T06:35:50,0,50,0,50
2022-05-18T06:45:58,0,50,0,50
2022-05-18T06:56:05,0,50,0,50
2022-05-18T07:06:13,0,50,0,50
2022-05-18T07:16:22,0,50,0,50
2022-05-18T07:26:30,0,50,0,50
2022-05-18T07:36:38,0,50,0,50
2022-05-18T07:46:46,0,50,0,50
2022-05-18T07:56:54,0,50,0,50
2022-05-18T08:07:02,0,50,0,50
2022-05-18T08:17:10,0,50,0,50
2022-05-18T08:27:18,0,50,0,50
2022-05-18T08:37:27,0,50,0,50
2022-05-18T08:47:37,0,50,0,50
2022-05-18T08:57:46,0,50,0,50
2022-05-18T09:08:07,0,50,0,50
2022-05-18T09:18:16,0,50,0,50
2022-05-18T09:28:25,0,50,0,50
2022-05-18T09:38:34,0,50,0,50
2022-05-18T09:48:43,0,50,0,50
2022-05-18T09:58:54,0,50,0,50
2022-05-18T10:09:05,0,50,0,50
2022-05-18T10:19:16,0,50,0,50
2022-05-18T10:29:27,0,50,0,50
2022-05-18T10:39:50,0,50,0,50
2022-05-18T10:50:00,0,50,0,50
2022-05-18T11:00:10,0,50,0,50
2022-05-18T11:10:20,0,50,0,50
2022-05-18T11:20:29,0,50,0,50
2022-05-18T11:30:38,0,50,0,50
2022-05-18T11:40:47,0,50,0,50
2022-05-18T11:50:55,0,50,0,50
2022-05-18T12:01:15,0,50,0,50
2022-05-18T12:11:23,0,50,0,50
2022-05-18T12:21:31,0,50,0,50
2022-05-18T12:31:42,0,50,0,50
2022-05-18T12:41:52,0,50,0,50
2022-05-18T12:52:02,0,50,0,50
2022-05-18T13:02:13,0,50,0,50
2022-05-18T13:12:34,0,50,0,50
2022-05-18T13:22:44,0,50,0,50
2022-05-18T13:32:53,0,50,0,50
2022-05-18T13:43:05,0,50,0,50
2022-05-18T13:53:16,0,50,0,50
2022-05-18T14:03:26,0,50,0,50
2022-05-18T14:13:37,0,50,0,50
2022-05-18T14:23:47,0,50,0,50
2022-05-18T14:34:09,0,50,0,50
2022-05-18T14:44:19,0,50,0,50
2022-05-18T14:54:29,0,50,0,50
2022-05-18T15:04:41,0,50,0,50
2022-05-18T15:14:52,0,50,0,50
2022-05-18T15:25:03,0,50,0,50
2022-05-18T15:35:24,0,50,0,50
2022-05-18T15:45:34,0,50,0,50
2022-05-18T15:55:45,0,50,0,50
2022-05-18T16:05:56,0,50,0,50
2022-05-18T16:16:07,0,50,0,50
2022-05-18T16:26:18,0,50,0,50
2022-05-18T16:36:27,0,50,0,50
2022-05-18T16:46:37,0,50,0,50
2022-05-18T16:56:47,0,50,0,50
2022-05-18T17:07:08,0,50,0,50
2022-05-18T17:17:18,0,50,0,50
2022-05-18T17:27:27,0,50,0,50
2022-05-18T17:37:36,0,50,0,50
2022-05-18T17:47:46,0,50,0,50
2022-05-18T17:57:55,0,50,0,50
2022-05-18T18:08:04,0,50,0,50
2022-05-18T18:18:14,0,50,0,50
2022-05-18T18:28:24,0,50,0,50
2022-05-18T18:38:44,0,50,0,50
2022-05-18T18:48:53,0,50,0,50
2022-05-18T18:59:02,0,50,0,50
2022-05-18T19:09:11,0,50,0,50
2022-05-18T19:19:20,0,50,0,50
2022-05-18T19:29:29,0,50,0,50
2022-05-18T19:39:38,0,50,0,50
2022-05-18T19:49:47,0,50,0,50
2022-05-18T19:59:56,0,50,0,50
2022-05-18T20:10:05,0,50,0,50
2022-05-18T20:20:25,0,50,0,50
2022-05-18T20:30:34,0,50,0,50
2022-05-18T20:40:42,0,50,0,50
2022-05-18T20:50:51,0,50,0,50
2022-05-18T21:01:00,0,50,0,50
2022-05-18T21:11:11,0,50,0,50
2022-05-18T21:21:19,0,50,0,50
2022-05-18T21:31:28,0,50,0,50
2022-05-18T21:41:37,0,50,0,50
2022-05-18T21:51:56,0,50,0,50
2022-05-18T22:02:05,0,50,0,50
2022-05-18T22:12:14,0,50,0,50
2022-05-18T22:22:23,0,50,0,50
2022-05-18T22:32:32,0,50,0,50
2022-05-18T22:42:41,0,50,0,50
2022-05-18T22:52:50,0,50,0,50
2022-05-18T23:02:59,0,0,0,0
2022-05-18T23:13:09,0,0,0,0
2022-05-18T23:23:19,0,0,0,0
2022-05-18T23:33:42,0,0,0,0
2022-05-18T23:43:51,0,0,0,0
2022-05-18T23:53:59,0,0,0,0
2022-05-19T00:04:09,0,0,0,0
2022-05-19T00:14:22,0,0,0,0
2022-05-19T00:24:34,0,0,0,0
2022-05-19T00:34:49,0,0,0,0
2022-05-19T00:45:03,0,0,0,0
2022-05-19T00:55:14,0,0,0,0
