time,enrolled,available,waitlisted,total
2022-05-18T04:33:32,0,64,0,64
2022-05-18T04:44:06,0,64,0,64
2022-05-18T04:54:16,0,64,0,64
2022-05-18T05:04:27,0,64,0,64
2022-05-18T05:14:37,0,64,0,64
2022-05-18T05:24:48,0,64,0,64
2022-05-18T05:34:58,0,64,0,64
2022-05-18T05:45:08,0,64,0,64
2022-05-18T05:55:18,0,64,0,64
2022-05-18T06:05:32,0,64,0,64
2022-05-18T06:15:40,0,64,0,64
2022-05-18T06:25:48,0,64,0,64
2022-05-18T06:35:56,0,64,0,64
2022-05-18T06:46:04,0,64,0,64
2022-05-18T06:56:11,0,64,0,64
2022-05-18T07:06:20,0,64,0,64
2022-05-18T07:16:29,0,64,0,64
2022-05-18T07:26:36,0,64,0,64
2022-05-18T07:36:44,0,64,0,64
2022-05-18T07:46:52,0,64,0,64
2022-05-18T07:57:00,0,64,0,64
2022-05-18T08:07:08,0,64,0,64
2022-05-18T08:17:16,0,64,0,64
2022-05-18T08:27:25,0,64,0,64
2022-05-18T08:37:34,0,64,0,64
2022-05-18T08:47:43,0,64,0,64
2022-05-18T08:57:52,0,64,0,64
2022-05-18T09:08:13,0,64,0,64
2022-05-18T09:18:22,0,64,0,64
2022-05-18T09:28:31,0,64,0,64
2022-05-18T09:38:40,0,64,0,64
2022-05-18T09:48:49,0,64,0,64
2022-05-18T09:59:00,0,64,0,64
2022-05-18T10:09:12,0,64,0,64
2022-05-18T10:19:23,0,64,0,64
2022-05-18T10:29:34,0,64,0,64
2022-05-18T10:39:56,0,64,0,64
2022-05-18T10:50:06,0,64,0,64
2022-05-18T11:00:16,0,64,0,64
2022-05-18T11:10:26,0,64,0,64
2022-05-18T11:20:35,0,64,0,64
2022-05-18T11:30:44,0,64,0,64
2022-05-18T11:40:53,0,64,0,64
2022-05-18T11:51:02,0,64,0,64
2022-05-18T12:01:21,0,64,0,64
2022-05-18T12:11:30,0,64,0,64
2022-05-18T12:21:38,0,64,0,64
2022-05-18T12:31:48,0,64,0,64
