time,enrolled,available,waitlisted,total
2022-05-20T04:30:26,0,20,0,20
2022-05-20T04:40:54,0,20,0,20
2022-05-20T04:51:11,0,20,0,20
2022-05-20T05:01:27,0,20,0,20
2022-05-20T05:11:43,0,20,0,20
2022-05-20T05:21:58,0,20,0,20
2022-05-20T05:32:14,0,20,0,20
2022-05-20T05:42:29,0,20,0,20
2022-05-20T05:52:45,0,20,0,20
2022-05-20T06:03:01,0,20,0,20
2022-05-20T06:13:15,0,20,0,20
2022-05-20T06:23:31,0,20,0,20
2022-05-20T06:33:46,0,20,0,20
2022-05-20T06:44:00,0,20,0,20
2022-05-20T06:54:14,0,20,0,20
2022-05-20T07:04:30,0,20,0,20
2022-05-20T07:14:44,0,20,0,20
2022-05-20T07:24:58,0,20,0,20
2022-05-20T07:35:11,0,20,0,20
2022-05-20T07:45:26,0,20,0,20
2022-05-20T07:55:40,0,20,0,20
2022-05-20T08:05:54,0,20,0,20
2022-05-20T08:16:08,0,20,0,20
2022-05-20T08:26:24,0,20,0,20
2022-05-20T08:36:38,0,20,0,20
2022-05-20T08:46:53,0,20,0,20
2022-05-20T08:57:08,0,20,0,20
2022-05-20T09:07:23,0,20,0,20
2022-05-20T09:17:51,0,20,0,20
2022-05-20T09:28:07,0,20,0,20
2022-05-20T09:38:22,0,20,0,20
2022-05-20T09:48:38,0,20,0,20
2022-05-20T09:58:55,0,20,0,20
2022-05-20T10:09:11,0,20,0,20
2022-05-20T10:19:27,0,20,0,20
2022-05-20T10:29:43,0,20,0,20
2022-05-20T10:39:58,0,20,0,20
2022-05-20T10:50:27,0,20,0,20
2022-05-20T11:00:43,0,20,0,20
2022-05-20T11:11:00,0,20,0,20
2022-05-20T11:21:16,0,20,0,20
2022-05-20T11:31:32,0,20,0,20
2022-05-20T11:41:48,0,20,0,20
2022-05-20T11:52:17,0,20,0,20
2022-05-20T12:02:34,0,20,0,20
2022-05-20T12:12:49,0,20,0,20
2022-05-20T12:23:04,0,20,0,20
2022-05-20T12:33:19,0,20,0,20
2022-05-20T12:43:35,0,20,0,20
2022-05-20T12:53:50,0,20,0,20
2022-05-20T13:04:18,0,20,0,20
2022-05-20T13:14:34,0,20,0,20
2022-05-20T13:24:50,0,20,0,20
2022-05-20T13:35:07,0,20,0,20
2022-05-20T13:45:23,0,20,0,20
2022-05-20T13:55:39,0,20,0,20
2022-05-20T14:06:05,0,20,0,20
2022-05-20T14:16:21,0,20,0,20
2022-05-20T14:26:36,0,20,0,20
2022-05-20T14:36:52,0,20,0,20
2022-05-20T14:47:07,0,20,0,20
2022-05-20T14:57:23,0,20,0,20
2022-05-20T15:07:48,0,20,0,20
2022-05-20T15:18:04,0,20,0,20
2022-05-20T15:28:19,0,20,0,20
2022-05-20T15:38:34,0,20,0,20
2022-05-20T15:48:49,0,20,0,20
2022-05-20T15:59:04,0,20,0,20
2022-05-20T16:09:19,0,20,0,20
2022-05-20T16:19:45,0,20,0,20
2022-05-20T16:30:00,0,20,0,20
2022-05-20T16:40:14,0,20,0,20
2022-05-20T16:50:28,0,20,0,20
2022-05-20T17:00:42,0,20,0,20
2022-05-20T17:10:57,0,20,0,20
2022-05-20T17:21:11,0,20,0,20
2022-05-20T17:31:25,0,20,0,20
2022-05-20T17:41:39,0,20,0,20
2022-05-20T17:51:53,0,20,0,20
2022-05-20T18:02:07,0,20,0,20
2022-05-20T18:12:30,0,20,0,20
2022-05-20T18:22:43,0,20,0,20
2022-05-20T18:32:57,0,20,0,20
2022-05-20T18:43:10,0,20,0,20
2022-05-20T18:53:24,0,20,0,20
2022-05-20T19:03:37,0,20,0,20
2022-05-20T19:13:52,0,20,0,20
2022-05-20T19:24:06,0,20,0,20
2022-05-20T19:34:19,0,20,0,20
2022-05-20T19:44:34,0,20,0,20
2022-05-20T19:54:47,0,20,0,20
2022-05-20T20:05:11,0,20,0,20
2022-05-20T20:15:24,0,20,0,20
2022-05-20T20:25:38,0,20,0,20
2022-05-20T20:35:52,0,20,0,20
2022-05-20T20:46:05,0,20,0,20
2022-05-20T20:56:19,0,20,0,20
2022-05-20T21:06:32,0,20,0,20
2022-05-20T21:16:46,0,20,0,20
2022-05-20T21:27:10,0,20,0,20
2022-05-20T21:37:24,0,20,0,20
2022-05-20T21:47:37,0,20,0,20
2022-05-20T21:57:51,0,20,0,20
2022-05-20T22:08:05,0,20,0,20
2022-05-20T22:18:19,0,20,0,20
2022-05-20T22:28:34,0,20,0,20
2022-05-20T22:38:47,0,20,0,20
2022-05-20T22:49:01,0,20,0,20
2022-05-20T22:59:14,0,20,0,20
2022-05-20T23:09:28,0,20,0,20
2022-05-20T23:19:53,0,20,0,20
2022-05-20T23:30:07,0,20,0,20
2022-05-20T23:40:20,0,20,0,20
2022-05-20T23:50:34,0,20,0,20
2022-05-21T00:00:47,0,20,0,20
2022-05-21T00:11:03,0,20,0,20
2022-05-21T00:21:19,0,20,0,20
2022-05-21T00:31:35,0,20,0,20
2022-05-21T00:41:51,0,20,0,20
2022-05-21T00:52:07,0,20,0,20
2022-05-21T01:02:22,0,20,0,20
2022-05-21T01:12:38,0,20,0,20
2022-05-21T01:22:52,0,20,0,20
2022-05-21T01:33:07,0,20,0,20
2022-05-21T01:43:23,0,20,0,20
2022-05-21T01:53:37,0,20,0,20
2022-05-21T02:04:02,0,20,0,20
2022-05-21T02:14:16,0,20,0,20
2022-05-21T02:24:29,0,20,0,20
2022-05-21T02:34:42,0,20,0,20
2022-05-21T02:44:55,0,20,0,20
2022-05-21T02:55:08,0,20,0,20
2022-05-21T03:05:21,0,20,0,20
2022-05-21T03:15:36,0,20,0,20
2022-05-21T03:25:55,0,20,0,20
2022-05-21T03:36:10,0,20,0,20
2022-05-21T03:46:26,0,20,0,20
2022-05-21T03:56:41,0,20,0,20
2022-05-21T04:06:56,0,20,0,20
2022-05-21T04:22:17,0,20,0,20
2022-05-21T04:33:42,0,20,0,20
2022-05-21T04:44:14,0,20,0,20
2022-05-21T04:54:29,0,20,0,20
2022-05-21T05:04:45,0,20,0,20
2022-05-21T05:15:00,0,20,0,20
2022-05-21T05:25:16,0,20,0,20
2022-05-21T05:35:32,0,20,0,20
2022-05-21T05:45:48,0,20,0,20
2022-05-21T05:56:04,0,20,0,20
2022-05-21T06:06:20,0,20,0,20
2022-05-21T06:16:34,0,20,0,20
2022-05-21T06:26:51,0,20,0,20
2022-05-21T06:37:06,0,20,0,20
2022-05-21T06:47:22,0,20,0,20
2022-05-21T06:57:37,0,20,0,20
2022-05-21T07:07:53,0,20,0,20
2022-05-21T07:18:08,0,20,0,20
2022-05-21T07:28:23,0,20,0,20
2022-05-21T07:38:38,0,20,0,20
2022-05-21T07:48:53,0,20,0,20
2022-05-21T07:59:07,0,20,0,20
2022-05-21T08:09:22,0,20,0,20
2022-05-21T08:19:39,0,20,0,20
2022-05-21T08:29:53,0,20,0,20
2022-05-21T08:40:08,0,20,0,20
2022-05-21T08:50:45,0,20,0,20
2022-05-21T09:00:58,0,20,0,20
2022-05-21T09:11:12,0,20,0,20
2022-05-21T09:21:24,0,20,0,20
2022-05-21T09:31:37,0,20,0,20
2022-05-21T09:41:50,0,20,0,20
2022-05-21T09:52:04,0,20,0,20
2022-05-21T10:02:17,0,20,0,20
2022-05-21T10:12:31,0,20,0,20
2022-05-21T10:22:44,0,20,0,20
2022-05-21T10:32:57,0,20,0,20
2022-05-21T10:43:10,0,20,0,20
2022-05-21T10:53:23,0,20,0,20
2022-05-21T11:03:37,0,20,0,20
2022-05-21T11:14:02,0,20,0,20
2022-05-21T11:24:15,0,20,0,20
2022-05-21T11:34:29,0,20,0,20
2022-05-21T11:44:43,0,20,0,20
2022-05-21T11:54:56,0,20,0,20
2022-05-21T12:05:10,0,20,0,20
2022-05-21T12:15:24,0,20,0,20
2022-05-21T12:25:38,0,20,0,20
2022-05-21T12:36:11,0,20,0,20
2022-05-21T12:46:24,0,20,0,20
2022-05-21T12:56:38,0,20,0,20
2022-05-21T13:06:52,0,20,0,20
2022-05-21T13:17:05,0,20,0,20
2022-05-21T13:27:18,0,20,0,20
2022-05-21T13:37:32,0,20,0,20
2022-05-21T13:47:45,0,20,0,20
2022-05-21T13:57:58,0,20,0,20
2022-05-21T14:08:12,0,20,0,20
2022-05-21T14:18:35,0,20,0,20
2022-05-21T14:28:49,0,20,0,20
2022-05-21T14:39:02,0,20,0,20
2022-05-21T14:49:16,0,20,0,20
2022-05-21T14:59:31,0,20,0,20
2022-05-21T15:09:45,0,20,0,20
2022-05-21T15:19:59,0,20,0,20
2022-05-21T15:30:22,0,20,0,20
2022-05-21T15:40:36,0,20,0,20
2022-05-21T15:50:49,0,20,0,20
2022-05-21T16:01:03,0,20,0,20
2022-05-21T16:11:16,0,20,0,20
2022-05-21T16:21:30,0,20,0,20
2022-05-21T16:31:43,0,20,0,20
2022-05-21T16:41:57,0,20,0,20
2022-05-21T16:52:10,0,20,0,20
2022-05-21T17:02:42,0,20,0,20
2022-05-21T17:12:56,0,20,0,20
2022-05-21T17:23:10,0,20,0,20
2022-05-21T17:33:24,0,20,0,20
2022-05-21T17:43:37,0,20,0,20
2022-05-21T17:53:50,0,20,0,20
2022-05-21T18:04:03,0,20,0,20
2022-05-21T18:14:17,1,19,0,20
2022-05-21T18:24:30,1,19,0,20
