time,enrolled,available,waitlisted,total
2022-05-20T04:30:39,0,0,0,0
2022-05-20T04:40:57,0,0,0,0
2022-05-20T04:51:14,0,0,0,0
2022-05-20T05:01:30,0,0,0,0
2022-05-20T05:11:46,0,0,0,0
2022-05-20T05:22:00,0,0,0,0
2022-05-20T05:32:16,0,0,0,0
2022-05-20T05:42:32,0,0,0,0
2022-05-20T05:52:48,0,0,0,0
2022-05-20T06:03:04,0,0,0,0
2022-05-20T06:13:18,0,0,0,0
2022-05-20T06:23:34,0,0,0,0
2022-05-20T06:33:49,0,0,0,0
2022-05-20T06:44:03,0,0,0,0
2022-05-20T06:54:16,0,0,0,0
2022-05-20T07:04:33,0,0,0,0
2022-05-20T07:14:47,0,0,0,0
2022-05-20T07:25:00,0,0,0,0
2022-05-20T07:35:14,0,0,0,0
2022-05-20T07:45:28,0,0,0,0
2022-05-20T07:55:42,0,0,0,0
2022-05-20T08:05:56,0,0,0,0
2022-05-20T08:16:10,0,0,0,0
2022-05-20T08:26:26,0,0,0,0
2022-05-20T08:36:41,0,0,0,0
2022-05-20T08:46:56,0,0,0,0
2022-05-20T08:57:10,0,0,0,0
2022-05-20T09:07:26,0,0,0,0
2022-05-20T09:17:54,0,0,0,0
2022-05-20T09:28:09,0,0,0,0
2022-05-20T09:38:25,0,0,0,0
2022-05-20T09:48:41,0,0,0,0
2022-05-20T09:58:57,0,0,0,0
2022-05-20T10:09:14,0,0,0,0
2022-05-20T10:19:29,0,0,0,0
2022-05-20T10:29:46,0,0,0,0
2022-05-20T10:40:01,0,0,0,0
2022-05-20T10:50:30,0,0,0,0
2022-05-20T11:00:46,0,0,0,0
2022-05-20T11:11:03,0,0,0,0
2022-05-20T11:21:19,0,0,0,0
2022-05-20T11:31:34,0,0,0,0
2022-05-20T11:41:51,0,0,0,0
2022-05-20T11:52:20,0,0,0,0
2022-05-20T12:02:36,0,0,0,0
2022-05-20T12:12:52,0,0,0,0
2022-05-20T12:23:07,0,0,0,0
2022-05-20T12:33:22,0,0,0,0
2022-05-20T12:43:37,0,0,0,0
2022-05-20T12:53:53,0,0,0,0
2022-05-20T13:04:20,0,0,0,0
2022-05-20T13:14:37,0,0,0,0
2022-05-20T13:24:53,0,0,0,0
2022-05-20T13:35:09,0,0,0,0
2022-05-20T13:45:26,0,0,0,0
2022-05-20T13:55:41,0,0,0,0
2022-05-20T14:06:08,0,0,0,0
2022-05-20T14:16:23,0,0,0,0
2022-05-20T14:26:39,0,0,0,0
2022-05-20T14:36:54,0,0,0,0
2022-05-20T14:47:10,0,0,0,0
2022-05-20T14:57:25,0,0,0,0
2022-05-20T15:07:51,0,0,0,0
2022-05-20T15:18:06,0,0,0,0
2022-05-20T15:28:22,0,0,0,0
2022-05-20T15:38:37,0,0,0,0
2022-05-20T15:48:52,0,0,0,0
2022-05-20T15:59:07,0,0,0,0
2022-05-20T16:09:22,0,0,0,0
2022-05-20T16:19:48,0,0,0,0
2022-05-20T16:30:02,0,0,0,0
2022-05-20T16:40:16,0,0,0,0
2022-05-20T16:50:31,0,0,0,0
2022-05-20T17:00:45,0,0,0,0
2022-05-20T17:11:00,0,0,0,0
2022-05-20T17:21:13,0,0,0,0
2022-05-20T17:31:27,0,0,0,0
2022-05-20T17:41:41,0,0,0,0
2022-05-20T17:51:56,0,0,0,0
2022-05-20T18:02:09,0,0,0,0
2022-05-20T18:12:33,0,0,0,0
2022-05-20T18:22:46,0,0,0,0
2022-05-20T18:32:59,0,0,0,0
2022-05-20T18:43:13,0,0,0,0
2022-05-20T18:53:26,0,0,0,0
2022-05-20T19:03:40,0,0,0,0
2022-05-20T19:13:54,0,0,0,0
2022-05-20T19:24:08,0,0,0,0
2022-05-20T19:34:22,0,0,0,0
2022-05-20T19:44:36,0,0,0,0
2022-05-20T19:54:50,0,0,0,0
2022-05-20T20:05:13,0,0,0,0
2022-05-20T20:15:27,0,0,0,0
2022-05-20T20:25:41,0,0,0,0
2022-05-20T20:35:54,0,0,0,0
2022-05-20T20:46:07,0,0,0,0
2022-05-20T20:56:21,0,0,0,0
2022-05-20T21:06:35,0,0,0,0
2022-05-20T21:16:48,0,0,0,0
2022-05-20T21:27:13,0,0,0,0
2022-05-20T21:37:26,0,0,0,0
2022-05-20T21:47:40,0,0,0,0
2022-05-20T21:57:54,0,0,0,0
2022-05-20T22:08:08,0,0,0,0
2022-05-20T22:18:22,0,0,0,0
2022-05-20T22:28:37,0,0,0,0
2022-05-20T22:38:50,0,0,0,0
2022-05-20T22:49:03,0,0,0,0
2022-05-20T22:59:17,0,0,0,0
2022-05-20T23:09:31,0,0,0,0
2022-05-20T23:19:56,0,0,0,0
2022-05-20T23:30:09,0,0,0,0
2022-05-20T23:40:23,0,0,0,0
2022-05-20T23:50:36,0,0,0,0
2022-05-21T00:00:50,0,0,0,0
2022-05-21T00:11:06,0,0,0,0
2022-05-21T00:21:22,0,0,0,0
2022-05-21T00:31:38,0,0,0,0
2022-05-21T00:41:54,0,0,0,0
2022-05-21T00:52:10,0,0,0,0
2022-05-21T01:02:25,0,0,0,0
2022-05-21T01:12:41,0,0,0,0
2022-05-21T01:22:55,0,0,0,0
2022-05-21T01:33:10,0,0,0,0
2022-05-21T01:43:26,0,0,0,0
2022-05-21T01:53:40,0,0,0,0
2022-05-21T02:04:04,0,0,0,0
2022-05-21T02:14:18,0,0,0,0
2022-05-21T02:24:31,0,0,0,0
2022-05-21T02:34:45,0,0,0,0
2022-05-21T02:44:58,0,0,0,0
2022-05-21T02:55:11,0,0,0,0
2022-05-21T03:05:23,0,0,0,0
2022-05-21T03:15:38,0,0,0,0
2022-05-21T03:25:57,0,0,0,0
2022-05-21T03:36:13,0,0,0,0
2022-05-21T03:46:28,0,0,0,0
2022-05-21T03:56:44,0,0,0,0
2022-05-21T04:06:59,0,0,0,0
