time,enrolled,available,waitlisted,total
2022-05-20T04:30:40,0,424,0,424
2022-05-20T04:40:57,0,424,0,424
2022-05-20T04:51:14,0,424,0,424
2022-05-20T05:01:30,0,424,0,424
2022-05-20T05:11:46,0,424,0,424
2022-05-20T05:22:01,0,424,0,424
2022-05-20T05:32:17,0,424,0,424
2022-05-20T05:42:33,0,424,0,424
2022-05-20T05:52:48,0,424,0,424
2022-05-20T06:03:04,0,424,0,424
2022-05-20T06:13:19,0,424,0,424
2022-05-20T06:23:35,0,424,0,424
2022-05-20T06:33:49,0,424,0,424
2022-05-20T06:44:04,0,424,0,424
2022-05-20T06:54:17,0,424,0,424
2022-05-20T07:04:34,0,424,0,424
2022-05-20T07:14:47,0,424,0,424
2022-05-20T07:25:01,0,424,0,424
2022-05-20T07:35:14,0,424,0,424
2022-05-20T07:45:29,0,424,0,424
2022-05-20T07:55:43,0,424,0,424
2022-05-20T08:05:57,0,424,0,424
2022-05-20T08:16:11,0,424,0,424
2022-05-20T08:26:27,0,424,0,424
2022-05-20T08:36:42,0,424,0,424
2022-05-20T08:46:56,0,424,0,424
2022-05-20T08:57:11,1,423,0,424
2022-05-20T09:07:27,1,423,0,424
2022-05-20T09:17:54,1,423,0,424
2022-05-20T09:28:10,1,423,0,424
2022-05-20T09:38:26,2,422,0,424
2022-05-20T09:48:42,2,422,0,424
2022-05-20T09:58:58,3,421,0,424
2022-05-20T10:09:15,3,421,0,424
2022-05-20T10:19:30,3,421,0,424
2022-05-20T10:29:46,3,421,0,424
2022-05-20T10:40:02,3,421,0,424
2022-05-20T10:50:30,3,421,0,424
2022-05-20T11:00:47,3,421,0,424
2022-05-20T11:11:03,3,421,0,424
2022-05-20T11:21:19,4,420,0,424
2022-05-20T11:31:35,4,420,0,424
2022-05-20T11:41:51,4,420,0,424
2022-05-20T11:52:21,4,420,0,424
2022-05-20T12:02:37,5,419,0,424
2022-05-20T12:12:52,5,419,0,424
2022-05-20T12:23:07,5,419,0,424
2022-05-20T12:33:22,5,419,0,424
2022-05-20T12:43:38,5,419,0,424
2022-05-20T12:53:54,5,419,0,424
2022-05-20T13:04:21,5,419,0,424
2022-05-20T13:14:37,5,419,0,424
2022-05-20T13:24:53,5,419,0,424
2022-05-20T13:35:10,5,419,0,424
2022-05-20T13:45:26,7,417,0,424
2022-05-20T13:55:42,8,416,0,424
2022-05-20T14:06:08,8,416,0,424
2022-05-20T14:16:24,8,416,0,424
2022-05-20T14:26:39,8,416,0,424
2022-05-20T14:36:55,8,416,0,424
2022-05-20T14:47:11,8,416,0,424
2022-05-20T14:57:26,8,416,0,424
2022-05-20T15:07:52,8,416,0,424
2022-05-20T15:18:07,8,416,0,424
2022-05-20T15:28:23,8,416,0,424
2022-05-20T15:38:38,8,416,0,424
2022-05-20T15:48:53,8,416,0,424
2022-05-20T15:59:07,8,416,0,424
2022-05-20T16:09:23,9,415,0,424
2022-05-20T16:19:48,9,415,0,424
2022-05-20T16:30:03,9,415,0,424
2022-05-20T16:40:17,9,415,0,424
2022-05-20T16:50:31,9,415,0,424
2022-05-20T17:00:45,9,415,0,424
2022-05-20T17:11:00,9,415,0,424
2022-05-20T17:21:14,9,415,0,424
2022-05-20T17:31:28,9,415,0,424
2022-05-20T17:41:42,9,415,0,424
2022-05-20T17:51:56,9,415,0,424
2022-05-20T18:02:10,9,415,0,424
2022-05-20T18:12:33,9,415,0,424
2022-05-20T18:22:47,9,415,0,424
2022-05-20T18:33:00,9,415,0,424
2022-05-20T18:43:13,9,415,0,424
2022-05-20T18:53:27,9,415,0,424
2022-05-20T19:03:41,9,415,0,424
2022-05-20T19:13:55,9,415,0,424
2022-05-20T19:24:09,9,415,0,424
2022-05-20T19:34:22,9,415,0,424
2022-05-20T19:44:37,9,415,0,424
2022-05-20T19:54:50,9,415,0,424
2022-05-20T20:05:14,9,415,0,424
2022-05-20T20:15:28,9,415,0,424
2022-05-20T20:25:41,9,415,0,424
2022-05-20T20:35:55,9,415,0,424
2022-05-20T20:46:08,9,415,0,424
2022-05-20T20:56:22,9,415,0,424
2022-05-20T21:06:35,9,415,0,424
2022-05-20T21:16:49,9,415,0,424
2022-05-20T21:27:13,9,415,0,424
2022-05-20T21:37:27,9,415,0,424
2022-05-20T21:47:40,9,415,0,424
2022-05-20T21:57:55,9,415,0,424
