time,enrolled,available,waitlisted,total
2022-05-20T04:30:42,0,30,0,30
2022-05-20T04:41:00,0,30,0,30
2022-05-20T04:51:17,0,30,0,30
2022-05-20T05:01:33,0,30,0,30
2022-05-20T05:11:49,0,30,0,30
2022-05-20T05:22:04,0,30,0,30
2022-05-20T05:32:20,0,30,0,30
2022-05-20T05:42:35,0,30,0,30
2022-05-20T05:52:51,0,30,0,30
2022-05-20T06:03:07,0,30,0,30
2022-05-20T06:13:21,0,30,0,30
2022-05-20T06:23:37,0,30,0,30
2022-05-20T06:33:52,0,30,0,30
2022-05-20T06:44:06,0,30,0,30
2022-05-20T06:54:19,0,30,0,30
2022-05-20T07:04:36,0,30,0,30
2022-05-20T07:14:50,0,30,0,30
2022-05-20T07:25:03,0,30,0,30
2022-05-20T07:35:17,0,30,0,30
2022-05-20T07:45:31,0,30,0,30
2022-05-20T07:55:46,0,30,0,30
2022-05-20T08:06:00,0,30,0,30
2022-05-20T08:16:14,0,30,0,30
2022-05-20T08:26:29,0,30,0,30
2022-05-20T08:36:44,0,30,0,30
2022-05-20T08:46:59,0,30,0,30
2022-05-20T08:57:13,0,30,0,30
2022-05-20T09:07:29,0,30,0,30
2022-05-20T09:17:57,0,30,0,30
2022-05-20T09:28:13,0,30,0,30
2022-05-20T09:38:28,0,30,0,30
2022-05-20T09:48:44,0,30,0,30
2022-05-20T09:59:00,0,30,0,30
2022-05-20T10:09:17,0,30,0,30
2022-05-20T10:19:33,0,30,0,30
2022-05-20T10:29:49,0,30,0,30
2022-05-20T10:40:04,0,30,0,30
2022-05-20T10:50:33,0,30,0,30
2022-05-20T11:00:49,0,30,0,30
2022-05-20T11:11:06,0,30,0,30
2022-05-20T11:21:22,0,30,0,30
2022-05-20T11:31:38,0,30,0,30
2022-05-20T11:41:54,0,30,0,30
2022-05-20T11:52:23,0,30,0,30
2022-05-20T12:02:39,0,30,0,30
2022-05-20T12:12:55,0,30,0,30
2022-05-20T12:23:10,0,30,0,30
2022-05-20T12:33:25,0,30,0,30
2022-05-20T12:43:41,0,30,0,30
2022-05-20T12:53:56,0,30,0,30
2022-05-20T13:04:23,0,30,0,30
2022-05-20T13:14:40,0,30,0,30
2022-05-20T13:24:56,0,30,0,30
2022-05-20T13:35:12,0,30,0,30
2022-05-20T13:45:29,0,30,0,30
2022-05-20T13:55:44,0,30,0,30
2022-05-20T14:06:11,0,30,0,30
2022-05-20T14:16:26,0,30,0,30
2022-05-20T14:26:42,0,30,0,30
2022-05-20T14:36:58,0,30,0,30
2022-05-20T14:47:13,0,30,0,30
2022-05-20T14:57:28,0,30,0,30
2022-05-20T15:07:54,0,30,0,30
2022-05-20T15:18:10,0,30,0,30
2022-05-20T15:28:25,0,30,0,30
2022-05-20T15:38:40,0,30,0,30
2022-05-20T15:48:55,0,30,0,30
2022-05-20T15:59:10,0,30,0,30
2022-05-20T16:09:25,0,30,0,30
2022-05-20T16:19:51,0,30,0,30
2022-05-20T16:30:05,0,30,0,30
2022-05-20T16:40:20,0,30,0,30
2022-05-20T16:50:34,0,30,0,30
2022-05-20T17:00:48,0,30,0,30
2022-05-20T17:11:03,0,30,0,30
2022-05-20T17:21:17,0,30,0,30
2022-05-20T17:31:31,0,30,0,30
2022-05-20T17:41:45,0,30,0,30
2022-05-20T17:51:59,0,30,0,30
2022-05-20T18:02:13,0,30,0,30
2022-05-20T18:12:36,0,30,0,30
2022-05-20T18:22:49,0,30,0,30
2022-05-20T18:33:03,0,30,0,30
2022-05-20T18:43:16,0,30,0,30
2022-05-20T18:53:29,0,30,0,30
2022-05-20T19:03:43,0,30,0,30
2022-05-20T19:13:57,0,30,0,30
2022-05-20T19:24:12,0,30,0,30
2022-05-20T19:34:25,0,30,0,30
2022-05-20T19:44:39,0,30,0,30
2022-05-20T19:54:53,0,30,0,30
2022-05-20T20:05:17,0,30,0,30
2022-05-20T20:15:30,0,30,0,30
2022-05-20T20:25:44,0,30,0,30
2022-05-20T20:35:58,0,30,0,30
2022-05-20T20:46:11,0,30,0,30
2022-05-20T20:56:24,0,30,0,30
2022-05-20T21:06:38,0,30,0,30
2022-05-20T21:16:52,0,30,0,30
2022-05-20T21:27:16,0,30,0,30
2022-05-20T21:37:29,0,30,0,30
2022-05-20T21:47:43,0,30,0,30
2022-05-20T21:57:57,0,30,0,30
2022-05-20T22:08:11,0,30,0,30
2022-05-20T22:18:25,0,30,0,30
2022-05-20T22:28:40,0,30,0,30
2022-05-20T22:38:53,0,30,0,30
2022-05-20T22:49:07,0,30,0,30
2022-05-20T22:59:20,0,30,0,30
2022-05-20T23:09:34,0,30,0,30
2022-05-20T23:19:59,0,30,0,30
2022-05-20T23:30:13,0,30,0,30
2022-05-20T23:40:26,0,30,0,30
2022-05-20T23:50:39,0,30,0,30
2022-05-21T00:00:53,0,30,0,30
2022-05-21T00:11:09,0,30,0,30
2022-05-21T00:21:25,0,30,0,30
2022-05-21T00:31:41,0,30,0,30
2022-05-21T00:41:57,0,30,0,30
2022-05-21T00:52:13,0,30,0,30
2022-05-21T01:02:28,0,30,0,30
2022-05-21T01:12:44,0,30,0,30
2022-05-21T01:22:58,0,30,0,30
2022-05-21T01:33:13,0,30,0,30
2022-05-21T01:43:29,0,30,0,30
2022-05-21T01:53:43,0,30,0,30
2022-05-21T02:04:07,0,30,0,30
2022-05-21T02:14:21,0,30,0,30
2022-05-21T02:24:35,0,30,0,30
2022-05-21T02:34:48,0,30,0,30
2022-05-21T02:45:01,0,30,0,30
2022-05-21T02:55:14,0,30,0,30
2022-05-21T03:05:26,0,30,0,30
2022-05-21T03:15:42,0,30,0,30
2022-05-21T03:26:00,0,30,0,30
2022-05-21T03:36:16,0,30,0,30
2022-05-21T03:46:32,0,30,0,30
2022-05-21T03:56:47,0,30,0,30
2022-05-21T04:07:02,0,30,0,30
2022-05-21T04:22:22,0,30,0,30
2022-05-21T04:33:48,0,30,0,30
2022-05-21T04:44:19,0,30,0,30
2022-05-21T04:54:35,0,30,0,30
2022-05-21T05:04:50,0,30,0,30
2022-05-21T05:15:06,0,30,0,30
2022-05-21T05:25:22,0,30,0,30
2022-05-21T05:35:38,0,30,0,30
2022-05-21T05:45:54,0,30,0,30
2022-05-21T05:56:10,0,30,0,30
2022-05-21T06:06:26,0,30,0,30
2022-05-21T06:16:40,0,30,0,30
2022-05-21T06:26:57,0,30,0,30
2022-05-21T06:37:12,0,30,0,30
2022-05-21T06:47:28,0,30,0,30
2022-05-21T06:57:43,0,30,0,30
2022-05-21T07:07:58,0,30,0,30
2022-05-21T07:18:14,0,30,0,30
2022-05-21T07:28:29,0,30,0,30
2022-05-21T07:38:44,0,30,0,30
2022-05-21T07:48:59,0,30,0,30
2022-05-21T07:59:13,0,30,0,30
2022-05-21T08:09:28,0,30,0,30
2022-05-21T08:19:45,0,30,0,30
2022-05-21T08:29:59,0,30,0,30
2022-05-21T08:40:14,0,30,0,30
2022-05-21T08:50:50,0,30,0,30
2022-05-21T09:01:04,0,30,0,30
2022-05-21T09:11:17,0,30,0,30
2022-05-21T09:21:30,0,30,0,30
2022-05-21T09:31:43,0,30,0,30
2022-05-21T09:41:56,0,30,0,30
2022-05-21T09:52:10,0,30,0,30
2022-05-21T10:02:23,0,30,0,30
2022-05-21T10:12:36,0,30,0,30
2022-05-21T10:22:50,0,30,0,30
2022-05-21T10:33:03,0,30,0,30
2022-05-21T10:43:16,0,30,0,30
2022-05-21T10:53:29,0,30,0,30
2022-05-21T11:03:43,0,30,0,30
2022-05-21T11:14:07,0,30,0,30
2022-05-21T11:24:21,0,30,0,30
2022-05-21T11:34:35,0,30,0,30
2022-05-21T11:44:49,0,30,0,30
2022-05-21T11:55:02,0,30,0,30
2022-05-21T12:05:16,0,30,0,30
2022-05-21T12:15:30,0,30,0,30
2022-05-21T12:25:44,0,30,0,30
2022-05-21T12:36:17,0,30,0,30
2022-05-21T12:46:30,0,30,0,30
2022-05-21T12:56:43,0,30,0,30
2022-05-21T13:06:57,0,30,0,30
2022-05-21T13:17:11,0,30,0,30
2022-05-21T13:27:24,0,30,0,30
2022-05-21T13:37:38,0,30,0,30
2022-05-21T13:47:51,0,30,0,30
2022-05-21T13:58:04,0,30,0,30
2022-05-21T14:08:18,0,30,0,30
2022-05-21T14:18:41,0,30,0,30
2022-05-21T14:28:55,0,30,0,30
2022-05-21T14:39:08,0,30,0,30
2022-05-21T14:49:22,0,30,0,30
2022-05-21T14:59:37,0,30,0,30
2022-05-21T15:09:51,0,30,0,30
2022-05-21T15:20:04,0,30,0,30
2022-05-21T15:30:28,0,30,0,30
2022-05-21T15:40:42,0,30,0,30
2022-05-21T15:50:55,0,30,0,30
2022-05-21T16:01:09,0,30,0,30
2022-05-21T16:11:22,0,30,0,30
2022-05-21T16:21:36,0,30,0,30
2022-05-21T16:31:49,0,30,0,30
2022-05-21T16:42:02,0,30,0,30
2022-05-21T16:52:16,0,30,0,30
2022-05-21T17:02:48,0,30,0,30
2022-05-21T17:13:02,0,30,0,30
2022-05-21T17:23:16,0,30,0,30
2022-05-21T17:33:29,0,30,0,30
2022-05-21T17:43:42,0,30,0,30
2022-05-21T17:53:56,0,30,0,30
2022-05-21T18:04:09,0,30,0,30
2022-05-21T18:14:22,0,30,0,30
2022-05-21T18:24:36,0,30,0,30
2022-05-21T18:34:50,0,30,0,30
2022-05-21T18:45:04,0,30,0,30
2022-05-21T18:55:44,0,30,0,30
2022-05-21T19:05:58,0,30,0,30
2022-05-21T19:16:11,0,30,0,30
2022-05-21T19:26:25,0,30,0,30
2022-05-21T19:36:38,0,30,0,30
2022-05-21T19:46:53,0,30,0,30
2022-05-21T19:57:07,0,30,0,30
2022-05-21T20:07:22,0,30,0,30
2022-05-21T20:17:35,0,30,0,30
2022-05-21T20:27:48,0,30,0,30
2022-05-21T20:38:13,0,30,0,30
2022-05-21T20:48:27,0,30,0,30
2022-05-21T20:58:40,0,30,0,30
2022-05-21T21:08:54,0,30,0,30
2022-05-21T21:19:07,0,30,0,30
2022-05-21T21:29:21,0,30,0,30
2022-05-21T21:39:34,0,30,0,30
2022-05-21T21:49:47,0,30,0,30
2022-05-21T22:00:01,0,30,0,30
2022-05-21T22:10:14,0,30,0,30
2022-05-21T22:20:51,0,30,0,30
2022-05-21T22:31:03,0,30,0,30
2022-05-21T22:41:17,0,30,0,30
2022-05-21T22:51:30,0,30,0,30
2022-05-21T23:01:43,0,30,0,30
2022-05-21T23:11:57,0,30,0,30
2022-05-21T23:22:11,0,30,0,30
2022-05-21T23:32:23,0,30,0,30
2022-05-21T23:42:36,0,30,0,30
2022-05-21T23:52:49,0,30,0,30
2022-05-22T00:03:03,0,30,0,30
2022-05-22T00:13:17,0,30,0,30
2022-05-22T00:23:32,0,30,0,30
2022-05-22T00:33:58,0,30,0,30
2022-05-22T00:44:12,0,30,0,30
2022-05-22T00:54:25,0,30,0,30
2022-05-22T01:04:37,0,30,0,30
2022-05-22T01:14:50,0,30,0,30
2022-05-22T01:25:03,0,30,0,30
2022-05-22T01:35:16,0,30,0,30
2022-05-22T01:45:29,0,30,0,30
2022-05-22T01:55:41,0,30,0,30
2022-05-22T02:05:54,0,30,0,30
2022-05-22T02:16:07,0,30,0,30
2022-05-22T02:26:21,0,30,0,30
2022-05-22T02:36:38,0,30,0,30
2022-05-22T02:46:54,0,30,0,30
2022-05-22T02:57:09,0,30,0,30
2022-05-22T03:08:19,0,30,0,30
2022-05-22T03:18:35,0,30,0,30
2022-05-22T03:28:51,0,30,0,30
2022-05-22T03:39:07,0,30,0,30
2022-05-22T03:49:31,0,30,0,30
2022-05-22T03:59:45,0,30,0,30
2022-05-22T04:20:30,0,30,0,30
2022-05-22T04:31:12,0,30,0,30
2022-05-22T04:41:28,0,30,0,30
2022-05-22T04:51:44,0,30,0,30
2022-05-22T05:01:59,0,30,0,30
2022-05-22T05:12:16,0,30,0,30
2022-05-22T05:22:31,0,30,0,30
2022-05-22T05:32:46,0,30,0,30
2022-05-22T05:43:01,0,30,0,30
2022-05-22T05:53:18,0,30,0,30
2022-05-22T06:03:33,0,30,0,30
2022-05-22T06:13:48,0,30,0,30
2022-05-22T06:24:03,0,30,0,30
2022-05-22T06:34:18,0,30,0,30
2022-05-22T06:44:33,0,30,0,30
2022-05-22T06:54:46,0,30,0,30
2022-05-22T07:05:00,0,30,0,30
2022-05-22T07:15:14,0,30,0,30
2022-05-22T07:25:27,0,30,0,30
2022-05-22T07:35:40,0,30,0,30
2022-05-22T07:45:53,0,30,0,30
2022-05-22T07:56:07,0,30,0,30
2022-05-22T08:06:19,0,30,0,30
2022-05-22T08:16:32,0,30,0,30
2022-05-22T08:26:46,0,30,0,30
2022-05-22T08:36:59,0,30,0,30
2022-05-22T08:47:12,0,30,0,30
2022-05-22T08:57:24,0,30,0,30
2022-05-22T09:07:37,0,30,0,30
2022-05-22T09:17:51,0,30,0,30
2022-05-22T09:28:04,0,30,0,30
2022-05-22T09:38:18,0,30,0,30
2022-05-22T09:48:31,0,30,0,30
2022-05-22T09:58:44,0,30,0,30
2022-05-22T10:08:57,0,30,0,30
2022-05-22T10:19:10,0,30,0,30
2022-05-22T10:29:25,0,30,0,30
