time,enrolled,available,waitlisted,total
2022-05-20T04:30:44,0,0,0,0
2022-05-20T04:41:02,0,0,0,0
2022-05-20T04:51:19,0,0,0,0
2022-05-20T05:01:35,0,0,0,0
2022-05-20T05:11:51,0,0,0,0
2022-05-20T05:22:06,0,0,0,0
2022-05-20T05:32:22,0,0,0,0
2022-05-20T05:42:37,0,0,0,0
2022-05-20T05:52:53,0,0,0,0
2022-05-20T06:03:09,0,0,0,0
2022-05-20T06:13:23,0,0,0,0
2022-05-20T06:23:40,0,0,0,0
2022-05-20T06:33:54,0,0,0,0
2022-05-20T06:44:08,0,0,0,0
2022-05-20T06:54:22,0,0,0,0
2022-05-20T07:04:38,0,0,0,0
2022-05-20T07:14:52,0,0,0,0
2022-05-20T07:25:06,0,0,0,0
2022-05-20T07:35:19,0,0,0,0
2022-05-20T07:45:34,0,0,0,0
2022-05-20T07:55:48,0,0,0,0
2022-05-20T08:06:02,0,0,0,0
2022-05-20T08:16:16,0,0,0,0
2022-05-20T08:26:32,0,0,0,0
2022-05-20T08:36:46,0,0,0,0
2022-05-20T08:47:01,0,0,0,0
2022-05-20T08:57:15,0,0,0,0
2022-05-20T09:07:31,0,0,0,0
2022-05-20T09:17:59,0,0,0,0
2022-05-20T09:28:15,0,0,0,0
2022-05-20T09:38:30,0,0,0,0
2022-05-20T09:48:46,0,0,0,0
2022-05-20T09:59:02,0,0,0,0
2022-05-20T10:09:19,0,0,0,0
2022-05-20T10:19:35,0,0,0,0
2022-05-20T10:29:51,0,0,0,0
2022-05-20T10:40:06,0,0,0,0
2022-05-20T10:50:35,0,0,0,0
2022-05-20T11:00:51,0,0,0,0
2022-05-20T11:11:08,0,0,0,0
2022-05-20T11:21:24,0,0,0,0
2022-05-20T11:31:40,0,0,0,0
2022-05-20T11:41:56,0,0,0,0
2022-05-20T11:52:25,0,0,0,0
2022-05-20T12:02:42,0,0,0,0
2022-05-20T12:12:57,0,0,0,0
2022-05-20T12:23:12,0,0,0,0
2022-05-20T12:33:27,0,0,0,0
2022-05-20T12:43:43,0,0,0,0
2022-05-20T12:53:58,0,0,0,0
2022-05-20T13:04:26,0,0,0,0
2022-05-20T13:14:42,0,0,0,0
2022-05-20T13:24:58,0,0,0,0
2022-05-20T13:35:15,0,0,0,0
2022-05-20T13:45:31,0,0,0,0
2022-05-20T13:55:46,0,0,0,0
2022-05-20T14:06:13,0,0,0,0
2022-05-20T14:16:28,0,0,0,0
