time,enrolled,available,waitlisted,total
2022-05-20T04:30:45,0,40,0,40
2022-05-20T04:41:03,0,40,0,40
2022-05-20T04:51:19,0,40,0,40
2022-05-20T05:01:36,0,40,0,40
2022-05-20T05:11:52,0,40,0,40
2022-05-20T05:22:06,0,40,0,40
2022-05-20T05:32:22,0,40,0,40
2022-05-20T05:42:38,0,40,0,40
2022-05-20T05:52:53,0,40,0,40
2022-05-20T06:03:10,0,40,0,40
2022-05-20T06:13:24,0,40,0,40
2022-05-20T06:23:40,0,40,0,40
2022-05-20T06:33:55,0,40,0,40
2022-05-20T06:44:09,0,40,0,40
2022-05-20T06:54:22,0,40,0,40
2022-05-20T07:04:39,0,40,0,40
2022-05-20T07:14:52,0,40,0,40
2022-05-20T07:25:06,0,40,0,40
2022-05-20T07:35:20,0,40,0,40
2022-05-20T07:45:34,0,40,0,40
2022-05-20T07:55:48,0,40,0,40
2022-05-20T08:06:02,0,40,0,40
2022-05-20T08:16:16,0,40,0,40
2022-05-20T08:26:32,0,40,0,40
2022-05-20T08:36:47,0,40,0,40
2022-05-20T08:47:02,0,40,0,40
2022-05-20T08:57:16,0,40,0,40
2022-05-20T09:07:32,0,40,0,40
2022-05-20T09:17:59,0,40,0,40
2022-05-20T09:28:15,0,40,0,40
2022-05-20T09:38:31,0,40,0,40
2022-05-20T09:48:47,0,40,0,40
2022-05-20T09:59:03,0,40,0,40
2022-05-20T10:09:20,0,40,0,40
2022-05-20T10:19:35,0,40,0,40
2022-05-20T10:29:52,0,40,0,40
2022-05-20T10:40:07,0,40,0,40
2022-05-20T10:50:36,0,40,0,40
2022-05-20T11:00:52,0,40,0,40
2022-05-20T11:11:08,1,39,0,40
2022-05-20T11:21:25,1,39,0,40
2022-05-20T11:31:40,1,39,0,40
2022-05-20T11:41:56,1,39,0,40
2022-05-20T11:52:26,1,39,0,40
2022-05-20T12:02:42,1,39,0,40
2022-05-20T12:12:57,1,39,0,40
2022-05-20T12:23:13,1,39,0,40
2022-05-20T12:33:28,1,39,0,40
2022-05-20T12:43:43,1,39,0,40
2022-05-20T12:53:59,1,39,0,40
2022-05-20T13:04:26,1,39,0,40
2022-05-20T13:14:42,1,39,0,40
2022-05-20T13:24:58,1,39,0,40
2022-05-20T13:35:15,1,39,0,40
2022-05-20T13:45:32,1,39,0,40
2022-05-20T13:55:47,1,39,0,40
2022-05-20T14:06:14,1,39,0,40
2022-05-20T14:16:29,1,39,0,40
2022-05-20T14:26:45,1,39,0,40
2022-05-20T14:37:00,1,39,0,40
2022-05-20T14:47:16,1,39,0,40
2022-05-20T14:57:31,1,39,0,40
2022-05-20T15:07:57,1,39,0,40
2022-05-20T15:18:12,1,39,0,40
2022-05-20T15:28:28,1,39,0,40
2022-05-20T15:38:43,1,39,0,40
2022-05-20T15:48:58,1,39,0,40
2022-05-20T15:59:13,1,39,0,40
2022-05-20T16:09:28,1,39,0,40
2022-05-20T16:19:53,1,39,0,40
2022-05-20T16:30:08,1,39,0,40
2022-05-20T16:40:22,1,39,0,40
2022-05-20T16:50:36,1,39,0,40
2022-05-20T17:00:51,1,39,0,40
2022-05-20T17:11:06,1,39,0,40
2022-05-20T17:21:19,1,39,0,40
2022-05-20T17:31:33,1,39,0,40
