time,enrolled,available,waitlisted,total
2022-05-20T04:30:47,0,28,0,28
2022-05-20T04:41:04,0,28,0,28
2022-05-20T04:51:21,0,28,0,28
2022-05-20T05:01:37,0,28,0,28
2022-05-20T05:11:53,0,28,0,28
2022-05-20T05:22:08,0,28,0,28
2022-05-20T05:32:24,0,28,0,28
2022-05-20T05:42:39,0,28,0,28
2022-05-20T05:52:55,0,28,0,28
2022-05-20T06:03:11,0,28,0,28
2022-05-20T06:13:25,0,28,0,28
2022-05-20T06:23:42,0,28,0,28
2022-05-20T06:33:56,0,28,0,28
2022-05-20T06:44:10,0,28,0,28
2022-05-20T06:54:24,0,28,0,28
2022-05-20T07:04:40,0,28,0,28
2022-05-20T07:14:54,0,28,0,28
2022-05-20T07:25:08,0,28,0,28
2022-05-20T07:35:21,0,28,0,28
2022-05-20T07:45:36,0,28,0,28
2022-05-20T07:55:50,0,28,0,28
2022-05-20T08:06:04,0,28,0,28
2022-05-20T08:16:18,0,28,0,28
2022-05-20T08:26:34,0,28,0,28
2022-05-20T08:36:48,0,28,0,28
2022-05-20T08:47:03,0,28,0,28
2022-05-20T08:57:18,0,28,0,28
2022-05-20T09:07:33,0,28,0,28
2022-05-20T09:18:01,0,28,0,28
2022-05-20T09:28:17,0,28,0,28
2022-05-20T09:38:32,0,28,0,28
2022-05-20T09:48:48,0,28,0,28
2022-05-20T09:59:05,0,28,0,28
2022-05-20T10:09:21,0,28,0,28
2022-05-20T10:19:37,0,28,0,28
2022-05-20T10:29:53,0,28,0,28
2022-05-20T10:40:09,0,28,0,28
2022-05-20T10:50:37,0,28,0,28
2022-05-20T11:00:54,0,28,0,28
2022-05-20T11:11:10,0,28,0,28
2022-05-20T11:21:26,0,28,0,28
2022-05-20T11:31:42,0,28,0,28
2022-05-20T11:41:58,0,28,0,28
2022-05-20T11:52:28,0,28,0,28
2022-05-20T12:02:44,0,28,0,28
2022-05-20T12:12:59,0,28,0,28
2022-05-20T12:23:14,0,28,0,28
2022-05-20T12:33:29,0,28,0,28
2022-05-20T12:43:45,0,28,0,28
2022-05-20T12:54:00,0,28,0,28
2022-05-20T13:04:28,0,28,0,28
2022-05-20T13:14:44,0,28,0,28
2022-05-20T13:25:00,0,28,0,28
2022-05-20T13:35:17,0,28,0,28
2022-05-20T13:45:33,0,28,0,28
2022-05-20T13:55:49,0,28,0,28
2022-05-20T14:06:15,0,28,0,28
2022-05-20T14:16:31,0,28,0,28
2022-05-20T14:26:46,0,28,0,28
2022-05-20T14:37:02,0,28,0,28
2022-05-20T14:47:18,0,28,0,28
2022-05-20T14:57:33,0,28,0,28
2022-05-20T15:07:59,0,28,0,28
2022-05-20T15:18:14,0,28,0,28
2022-05-20T15:28:30,0,28,0,28
2022-05-20T15:38:44,0,28,0,28
2022-05-20T15:49:00,0,28,0,28
2022-05-20T15:59:14,0,28,0,28
2022-05-20T16:09:29,0,28,0,28
2022-05-20T16:19:55,0,28,0,28
2022-05-20T16:30:10,0,28,0,28
2022-05-20T16:40:24,0,28,0,28
2022-05-20T16:50:38,0,28,0,28
2022-05-20T17:00:52,0,28,0,28
2022-05-20T17:11:07,0,28,0,28
2022-05-20T17:21:21,0,28,0,28
2022-05-20T17:31:35,0,28,0,28
2022-05-20T17:41:49,0,28,0,28
