time,enrolled,available,waitlisted,total
2022-05-20T04:30:55,0,10,0,10
2022-05-20T04:41:12,0,10,0,10
2022-05-20T04:51:28,0,10,0,10
2022-05-20T05:01:45,0,10,0,10
2022-05-20T05:12:01,0,10,0,10
2022-05-20T05:22:15,0,10,0,10
2022-05-20T05:32:31,0,10,0,10
2022-05-20T05:42:47,0,10,0,10
2022-05-20T05:53:02,0,10,0,10
2022-05-20T06:03:18,0,10,0,10
2022-05-20T06:13:33,0,10,0,10
2022-05-20T06:23:49,0,10,0,10
2022-05-20T06:34:04,0,10,0,10
2022-05-20T06:44:18,0,10,0,10
2022-05-20T06:54:31,0,10,0,10
2022-05-20T07:04:48,0,10,0,10
2022-05-20T07:15:01,0,10,0,10
2022-05-20T07:25:15,0,10,0,10
2022-05-20T07:35:28,0,10,0,10
2022-05-20T07:45:43,0,10,0,10
2022-05-20T07:55:57,0,10,0,10
2022-05-20T08:06:11,0,10,0,10
2022-05-20T08:16:25,0,10,0,10
2022-05-20T08:26:41,0,10,0,10
2022-05-20T08:36:56,0,10,0,10
2022-05-20T08:47:10,0,10,0,10
2022-05-20T08:57:25,0,10,0,10
2022-05-20T09:07:41,0,10,0,10
2022-05-20T09:18:08,0,10,0,10
2022-05-20T09:28:24,0,10,0,10
2022-05-20T09:38:40,0,10,0,10
2022-05-20T09:48:56,0,10,0,10
2022-05-20T09:59:12,0,10,0,10
2022-05-20T10:09:29,0,10,0,10
2022-05-20T10:19:44,0,10,0,10
2022-05-20T10:30:01,0,10,0,10
2022-05-20T10:40:16,0,10,0,10
2022-05-20T10:50:45,0,10,0,10
2022-05-20T11:01:01,0,10,0,10
2022-05-20T11:11:18,0,10,0,10
2022-05-20T11:21:34,0,10,0,10
2022-05-20T11:31:49,0,10,0,10
2022-05-20T11:42:06,0,10,0,10
2022-05-20T11:52:35,0,10,0,10
2022-05-20T12:02:51,0,10,0,10
2022-05-20T12:13:06,0,10,0,10
2022-05-20T12:23:22,0,10,0,10
2022-05-20T12:33:37,0,10,0,10
2022-05-20T12:43:52,0,10,0,10
2022-05-20T12:54:08,0,10,0,10
2022-05-20T13:04:35,0,10,0,10
2022-05-20T13:14:51,0,10,0,10
2022-05-20T13:25:07,0,10,0,10
2022-05-20T13:35:24,0,10,0,10
2022-05-20T13:45:41,0,10,0,10
2022-05-20T13:55:56,0,10,0,10
2022-05-20T14:06:23,0,10,0,10
2022-05-20T14:16:38,0,10,0,10
2022-05-20T14:26:54,0,10,0,10
2022-05-20T14:37:09,0,10,0,10
2022-05-20T14:47:25,0,10,0,10
2022-05-20T14:57:40,0,10,0,10
2022-05-20T15:08:06,0,10,0,10
2022-05-20T15:18:21,0,10,0,10
2022-05-20T15:28:37,0,10,0,10
2022-05-20T15:38:52,0,10,0,10
2022-05-20T15:49:07,0,10,0,10
2022-05-20T15:59:22,0,10,0,10
2022-05-20T16:09:37,0,10,0,10
2022-05-20T16:20:02,0,10,0,10
2022-05-20T16:30:17,0,10,0,10
2022-05-20T16:40:31,0,10,0,10
2022-05-20T16:50:45,0,10,0,10
2022-05-20T17:01:00,0,10,0,10
2022-05-20T17:11:14,0,10,0,10
2022-05-20T17:21:28,0,10,0,10
2022-05-20T17:31:42,0,10,0,10
2022-05-20T17:41:56,0,10,0,10
2022-05-20T17:52:11,0,10,0,10
2022-05-20T18:02:24,0,10,0,10
2022-05-20T18:12:47,0,10,0,10
2022-05-20T18:23:01,0,10,0,10
2022-05-20T18:33:14,0,10,0,10
2022-05-20T18:43:27,0,10,0,10
2022-05-20T18:53:41,0,10,0,10
2022-05-20T19:03:55,0,10,0,10
2022-05-20T19:14:09,0,10,0,10
2022-05-20T19:24:23,0,10,0,10
2022-05-20T19:34:37,0,10,0,10
2022-05-20T19:44:51,0,10,0,10
2022-05-20T19:55:04,0,10,0,10
2022-05-20T20:05:28,0,10,0,10
2022-05-20T20:15:42,0,10,0,10
2022-05-20T20:25:56,0,10,0,10
2022-05-20T20:36:09,0,10,0,10
2022-05-20T20:46:22,0,10,0,10
2022-05-20T20:56:36,0,10,0,10
2022-05-20T21:06:50,0,10,0,10
2022-05-20T21:17:03,0,10,0,10
2022-05-20T21:27:28,0,10,0,10
2022-05-20T21:37:41,0,10,0,10
2022-05-20T21:47:54,0,10,0,10
2022-05-20T21:58:09,0,10,0,10
2022-05-20T22:08:23,0,10,0,10
2022-05-20T22:18:37,0,10,0,10
2022-05-20T22:28:52,0,10,0,10
2022-05-20T22:39:05,0,10,0,10
2022-05-20T22:49:18,0,10,0,10
2022-05-20T22:59:31,0,10,0,10
2022-05-20T23:09:46,0,10,0,10
2022-05-20T23:20:10,0,10,0,10
2022-05-20T23:30:24,0,10,0,10
2022-05-20T23:40:38,0,10,0,10
2022-05-20T23:50:51,0,10,0,10
2022-05-21T00:01:05,0,10,0,10
2022-05-21T00:11:20,0,10,0,10
2022-05-21T00:21:37,0,10,0,10
2022-05-21T00:31:53,0,10,0,10
2022-05-21T00:42:09,0,10,0,10
2022-05-21T00:52:25,0,10,0,10
2022-05-21T01:02:40,0,10,0,10
2022-05-21T01:12:55,0,10,0,10
2022-05-21T01:23:10,0,10,0,10
2022-05-21T01:33:25,0,10,0,10
2022-05-21T01:43:40,0,10,0,10
2022-05-21T01:53:55,0,10,0,10
2022-05-21T02:04:19,0,10,0,10
2022-05-21T02:14:33,0,10,0,10
2022-05-21T02:24:46,0,10,0,10
2022-05-21T02:35:00,0,10,0,10
2022-05-21T02:45:13,0,10,0,10
2022-05-21T02:55:25,0,10,0,10
2022-05-21T03:05:38,0,10,0,10
2022-05-21T03:15:53,0,10,0,10
2022-05-21T03:26:12,0,10,0,10
2022-05-21T03:36:27,0,10,0,10
2022-05-21T03:46:43,0,10,0,10
2022-05-21T03:56:58,0,10,0,10
2022-05-21T04:07:14,0,10,0,10
2022-05-21T04:22:34,0,10,0,10
2022-05-21T04:33:59,0,10,0,10
2022-05-21T04:44:31,0,10,0,10
2022-05-21T04:54:47,0,10,0,10
2022-05-21T05:05:02,0,10,0,10
2022-05-21T05:15:18,0,10,0,10
2022-05-21T05:25:34,0,10,0,10
2022-05-21T05:35:50,0,10,0,10
2022-05-21T05:46:06,0,10,0,10
2022-05-21T05:56:22,0,10,0,10
2022-05-21T06:06:37,0,10,0,10
2022-05-21T06:16:52,0,10,0,10
2022-05-21T06:27:09,0,10,0,10
2022-05-21T06:37:24,0,10,0,10
2022-05-21T06:47:39,0,10,0,10
2022-05-21T06:57:55,0,10,0,10
2022-05-21T07:08:10,0,10,0,10
2022-05-21T07:18:26,0,10,0,10
2022-05-21T07:28:41,0,10,0,10
2022-05-21T07:38:56,0,10,0,10
2022-05-21T07:49:10,0,10,0,10
2022-05-21T07:59:25,0,10,0,10
2022-05-21T08:09:39,0,10,0,10
2022-05-21T08:19:56,0,10,0,10
2022-05-21T08:30:11,0,10,0,10
2022-05-21T08:40:25,0,10,0,10
2022-05-21T08:51:02,0,10,0,10
2022-05-21T09:01:16,0,10,0,10
2022-05-21T09:11:29,0,10,0,10
2022-05-21T09:21:42,0,10,0,10
2022-05-21T09:31:55,0,10,0,10
2022-05-21T09:42:08,0,10,0,10
2022-05-21T09:52:21,0,10,0,10
2022-05-21T10:02:35,0,10,0,10
2022-05-21T10:12:48,0,10,0,10
2022-05-21T10:23:01,0,10,0,10
2022-05-21T10:33:14,0,10,0,10
2022-05-21T10:43:27,0,10,0,10
2022-05-21T10:53:41,0,10,0,10
2022-05-21T11:03:54,0,10,0,10
2022-05-21T11:14:19,0,10,0,10
2022-05-21T11:24:32,0,10,0,10
2022-05-21T11:34:47,0,10,0,10
2022-05-21T11:45:00,0,10,0,10
2022-05-21T11:55:13,0,10,0,10
2022-05-21T12:05:27,0,10,0,10
2022-05-21T12:15:42,0,10,0,10
2022-05-21T12:25:55,0,10,0,10
2022-05-21T12:36:29,0,10,0,10
2022-05-21T12:46:42,0,10,0,10
2022-05-21T12:56:55,0,10,0,10
2022-05-21T13:07:09,0,10,0,10
2022-05-21T13:17:22,0,10,0,10
2022-05-21T13:27:36,0,10,0,10
2022-05-21T13:37:49,0,10,0,10
2022-05-21T13:48:02,0,10,0,10
2022-05-21T13:58:16,0,10,0,10
2022-05-21T14:08:29,0,10,0,10
2022-05-21T14:18:53,0,10,0,10
2022-05-21T14:29:06,0,10,0,10
2022-05-21T14:39:20,0,10,0,10
2022-05-21T14:49:34,0,10,0,10
2022-05-21T14:59:49,0,10,0,10
2022-05-21T15:10:02,0,10,0,10
2022-05-21T15:20:16,0,10,0,10
2022-05-21T15:30:40,0,10,0,10
2022-05-21T15:40:53,0,10,0,10
2022-05-21T15:51:07,0,10,0,10
2022-05-21T16:01:20,0,10,0,10
2022-05-21T16:11:34,0,10,0,10
2022-05-21T16:21:47,0,10,0,10
2022-05-21T16:32:01,0,10,0,10
2022-05-21T16:42:14,0,10,0,10
2022-05-21T16:52:28,0,10,0,10
2022-05-21T17:02:59,0,10,0,10
2022-05-21T17:13:13,0,10,0,10
2022-05-21T17:23:27,0,10,0,10
2022-05-21T17:33:41,0,10,0,10
2022-05-21T17:43:54,0,10,0,10
2022-05-21T17:54:07,0,10,0,10
2022-05-21T18:04:21,0,10,0,10
2022-05-21T18:14:34,0,10,0,10
2022-05-21T18:24:48,0,10,0,10
2022-05-21T18:35:02,0,10,0,10
2022-05-21T18:45:15,0,10,0,10
2022-05-21T18:55:56,0,10,0,10
2022-05-21T19:06:09,0,10,0,10
2022-05-21T19:16:23,0,10,0,10
2022-05-21T19:26:36,0,10,0,10
2022-05-21T19:36:49,0,10,0,10
2022-05-21T19:47:04,0,10,0,10
2022-05-21T19:57:19,0,10,0,10
2022-05-21T20:07:33,0,10,0,10
2022-05-21T20:17:47,0,10,0,10
2022-05-21T20:28:00,0,10,0,10
2022-05-21T20:38:25,0,10,0,10
2022-05-21T20:48:39,0,10,0,10
2022-05-21T20:58:52,0,10,0,10
2022-05-21T21:09:06,0,10,0,10
2022-05-21T21:19:19,0,10,0,10
2022-05-21T21:29:32,0,10,0,10
2022-05-21T21:39:46,0,10,0,10
2022-05-21T21:49:59,0,10,0,10
2022-05-21T22:00:12,0,10,0,10
2022-05-21T22:10:26,0,10,0,10
2022-05-21T22:21:02,0,10,0,10
2022-05-21T22:31:15,0,10,0,10
2022-05-21T22:41:28,0,10,0,10
2022-05-21T22:51:41,0,10,0,10
2022-05-21T23:01:55,0,10,0,10
2022-05-21T23:12:08,0,10,0,10
2022-05-21T23:22:22,0,10,0,10
2022-05-21T23:32:35,0,10,0,10
2022-05-21T23:42:47,0,10,0,10
2022-05-21T23:53:01,0,10,0,10
2022-05-22T00:03:14,0,10,0,10
2022-05-22T00:13:29,0,10,0,10
2022-05-22T00:23:44,0,10,0,10
2022-05-22T00:34:10,0,10,0,10
2022-05-22T00:44:23,0,10,0,10
2022-05-22T00:54:36,0,10,0,10
2022-05-22T01:04:49,0,10,0,10
2022-05-22T01:15:02,0,10,0,10
2022-05-22T01:25:14,0,10,0,10
2022-05-22T01:35:27,0,10,0,10
2022-05-22T01:45:40,0,10,0,10
2022-05-22T01:55:53,0,10,0,10
2022-05-22T02:06:06,0,10,0,10
2022-05-22T02:16:19,0,10,0,10
2022-05-22T02:26:33,0,10,0,10
2022-05-22T02:36:49,0,10,0,10
2022-05-22T02:47:05,0,10,0,10
2022-05-22T02:57:20,0,10,0,10
2022-05-22T03:08:31,0,10,0,10
2022-05-22T03:18:47,0,10,0,10
2022-05-22T03:29:02,0,10,0,10
2022-05-22T03:39:18,0,10,0,10
2022-05-22T03:49:43,0,10,0,10
2022-05-22T03:59:57,0,10,0,10
2022-05-22T04:20:41,0,10,0,10
2022-05-22T04:31:24,0,10,0,10
2022-05-22T04:41:39,0,10,0,10
2022-05-22T04:51:55,0,10,0,10
2022-05-22T05:02:11,0,10,0,10
2022-05-22T05:12:27,0,10,0,10
2022-05-22T05:22:43,0,10,0,10
2022-05-22T05:32:58,0,10,0,10
2022-05-22T05:43:13,0,10,0,10
2022-05-22T05:53:29,0,10,0,10
2022-05-22T06:03:44,0,10,0,10
2022-05-22T06:13:59,0,10,0,10
2022-05-22T06:24:14,0,10,0,10
2022-05-22T06:34:30,0,10,0,10
2022-05-22T06:44:44,0,10,0,10
2022-05-22T06:54:58,0,10,0,10
2022-05-22T07:05:12,0,10,0,10
2022-05-22T07:15:25,0,10,0,10
2022-05-22T07:25:38,0,10,0,10
2022-05-22T07:35:52,0,10,0,10
2022-05-22T07:46:05,0,10,0,10
2022-05-22T07:56:18,0,10,0,10
2022-05-22T08:06:31,0,10,0,10
2022-05-22T08:16:44,0,10,0,10
2022-05-22T08:26:57,0,10,0,10
2022-05-22T08:37:11,0,10,0,10
2022-05-22T08:47:23,0,10,0,10
2022-05-22T08:57:36,0,10,0,10
2022-05-22T09:07:49,0,10,0,10
2022-05-22T09:18:03,0,10,0,10
2022-05-22T09:28:16,0,10,0,10
2022-05-22T09:38:29,0,10,0,10
2022-05-22T09:48:42,0,10,0,10
2022-05-22T09:58:55,0,10,0,10
2022-05-22T10:09:08,0,10,0,10
2022-05-22T10:19:22,0,10,0,10
2022-05-22T10:29:36,0,10,0,10
