time,enrolled,available,waitlisted,total
2022-05-20T04:31:04,0,28,0,28
2022-05-20T04:41:20,0,28,0,28
2022-05-20T04:51:37,0,28,0,28
2022-05-20T05:01:54,0,28,0,28
2022-05-20T05:12:09,0,28,0,28
2022-05-20T05:22:24,0,28,0,28
2022-05-20T05:32:40,0,28,0,28
2022-05-20T05:42:56,0,28,0,28
2022-05-20T05:53:11,0,28,0,28
2022-05-20T06:03:27,0,28,0,28
2022-05-20T06:13:42,0,28,0,28
2022-05-20T06:23:58,0,28,0,28
2022-05-20T06:34:13,0,28,0,28
2022-05-20T06:44:27,0,28,0,28
2022-05-20T06:54:40,0,28,0,28
2022-05-20T07:04:57,0,28,0,28
2022-05-20T07:15:10,0,28,0,28
2022-05-20T07:25:24,0,28,0,28
2022-05-20T07:35:37,0,28,0,28
2022-05-20T07:45:52,0,28,0,28
2022-05-20T07:56:06,0,28,0,28
2022-05-20T08:06:20,0,28,0,28
2022-05-20T08:16:34,0,28,0,28
2022-05-20T08:26:50,0,28,0,28
2022-05-20T08:37:05,0,28,0,28
2022-05-20T08:47:19,0,28,0,28
2022-05-20T08:57:34,0,28,0,28
2022-05-20T09:08:01,0,28,0,28
2022-05-20T09:18:17,0,28,0,28
2022-05-20T09:28:33,0,28,0,28
2022-05-20T09:38:49,0,28,0,28
2022-05-20T09:49:05,0,28,0,28
2022-05-20T09:59:21,0,28,0,28
2022-05-20T10:09:38,0,28,0,28
2022-05-20T10:19:53,0,28,0,28
2022-05-20T10:30:09,0,28,0,28
2022-05-20T10:40:25,0,28,0,28
2022-05-20T10:50:54,0,28,0,28
2022-05-20T11:01:10,0,28,0,28
2022-05-20T11:11:26,0,28,0,28
2022-05-20T11:21:43,0,28,0,28
2022-05-20T11:31:58,0,28,0,28
2022-05-20T11:42:15,0,28,0,28
2022-05-20T11:52:44,0,28,0,28
2022-05-20T12:03:00,0,28,0,28
2022-05-20T12:13:15,0,28,0,28
2022-05-20T12:23:31,0,28,0,28
2022-05-20T12:33:46,0,28,0,28
2022-05-20T12:44:01,0,28,0,28
2022-05-20T12:54:17,0,28,0,28
2022-05-20T13:04:44,0,28,0,28
2022-05-20T13:15:00,0,28,0,28
2022-05-20T13:25:16,0,28,0,28
2022-05-20T13:35:33,0,28,0,28
2022-05-20T13:45:50,0,28,0,28
2022-05-20T13:56:05,0,28,0,28
2022-05-20T14:06:32,0,28,0,28
2022-05-20T14:16:47,0,28,0,28
2022-05-20T14:27:02,0,28,0,28
2022-05-20T14:37:18,0,28,0,28
2022-05-20T14:47:34,0,28,0,28
2022-05-20T14:57:49,0,28,0,28
2022-05-20T15:08:15,0,28,0,28
2022-05-20T15:18:30,0,28,0,28
2022-05-20T15:28:46,0,28,0,28
2022-05-20T15:39:01,0,28,0,28
2022-05-20T15:49:16,0,28,0,28
2022-05-20T15:59:31,0,28,0,28
2022-05-20T16:09:46,0,28,0,28
2022-05-20T16:20:11,0,28,0,28
2022-05-20T16:30:26,0,28,0,28
2022-05-20T16:40:40,0,28,0,28
2022-05-20T16:50:54,0,28,0,28
2022-05-20T17:01:09,0,28,0,28
2022-05-20T17:11:23,0,28,0,28
2022-05-20T17:21:37,0,28,0,28
2022-05-20T17:31:51,0,28,0,28
2022-05-20T17:42:05,0,28,0,28
2022-05-20T17:52:19,0,28,0,28
2022-05-20T18:02:33,0,28,0,28
2022-05-20T18:12:56,0,28,0,28
2022-05-20T18:23:10,1,27,0,28
2022-05-20T18:33:23,1,27,0,28
2022-05-20T18:43:36,1,27,0,28
2022-05-20T18:53:50,1,27,0,28
2022-05-20T19:04:04,1,27,0,28
2022-05-20T19:14:18,1,27,0,28
2022-05-20T19:24:32,1,27,0,28
2022-05-20T19:34:45,1,27,0,28
2022-05-20T19:45:00,1,27,0,28
2022-05-20T19:55:13,1,27,0,28
2022-05-20T20:05:37,1,27,0,28
2022-05-20T20:15:51,1,27,0,28
2022-05-20T20:26:05,1,27,0,28
2022-05-20T20:36:18,1,27,0,28
2022-05-20T20:46:31,1,27,0,28
2022-05-20T20:56:45,1,27,0,28
2022-05-20T21:06:59,1,27,0,28
2022-05-20T21:17:12,1,27,0,28
2022-05-20T21:27:37,1,27,0,28
2022-05-20T21:37:50,1,27,0,28
2022-05-20T21:48:03,1,27,0,28
2022-05-20T21:58:18,1,27,0,28
2022-05-20T22:08:32,1,27,0,28
2022-05-20T22:18:46,1,27,0,28
2022-05-20T22:29:00,1,27,0,28
2022-05-20T22:39:14,1,27,0,28
2022-05-20T22:49:27,1,27,0,28
2022-05-20T22:59:40,1,27,0,28
2022-05-20T23:09:55,1,27,0,28
2022-05-20T23:20:19,1,27,0,28
2022-05-20T23:30:33,1,27,0,28
2022-05-20T23:40:47,1,27,0,28
2022-05-20T23:51:00,1,27,0,28
2022-05-21T00:01:14,1,27,0,28
2022-05-21T00:11:29,1,27,0,28
2022-05-21T00:21:46,1,27,0,28
2022-05-21T00:32:02,1,27,0,28
2022-05-21T00:42:18,1,27,0,28
2022-05-21T00:52:34,1,27,0,28
2022-05-21T01:02:49,1,27,0,28
2022-05-21T01:13:04,1,27,0,28
2022-05-21T01:23:19,1,27,0,28
2022-05-21T01:33:34,1,27,0,28
2022-05-21T01:43:49,1,27,0,28
2022-05-21T01:54:04,1,27,0,28
2022-05-21T02:04:28,1,27,0,28
2022-05-21T02:14:42,1,27,0,28
2022-05-21T02:24:55,1,27,0,28
2022-05-21T02:35:08,1,27,0,28
2022-05-21T02:45:22,1,27,0,28
2022-05-21T02:55:34,1,27,0,28
2022-05-21T03:05:47,1,27,0,28
2022-05-21T03:16:02,1,27,0,28
2022-05-21T03:26:21,1,27,0,28
2022-05-21T03:36:36,1,27,0,28
2022-05-21T03:46:52,1,27,0,28
