time,enrolled,available,waitlisted,total
2022-05-20T04:31:10,0,84,0,84
2022-05-20T04:41:26,0,84,0,84
2022-05-20T04:51:43,0,84,0,84
2022-05-20T05:01:59,0,84,0,84
2022-05-20T05:12:15,0,84,0,84
2022-05-20T05:22:30,0,84,0,84
2022-05-20T05:32:46,0,84,0,84
2022-05-20T05:43:02,0,84,0,84
2022-05-20T05:53:17,0,84,0,84
2022-05-20T06:03:33,0,84,0,84
2022-05-20T06:13:48,0,84,0,84
2022-05-20T06:24:04,0,84,0,84
2022-05-20T06:34:18,0,84,0,84
2022-05-20T06:44:32,0,84,0,84
2022-05-20T06:54:46,0,84,0,84
2022-05-20T07:05:03,0,84,0,84
2022-05-20T07:15:16,0,84,0,84
2022-05-20T07:25:30,0,84,0,84
2022-05-20T07:35:43,0,84,0,84
2022-05-20T07:45:58,0,84,0,84
2022-05-20T07:56:12,0,84,0,84
2022-05-20T08:06:26,0,84,0,84
2022-05-20T08:16:40,0,84,0,84
2022-05-20T08:26:56,0,84,0,84
2022-05-20T08:37:11,0,84,0,84
2022-05-20T08:47:25,0,84,0,84
2022-05-20T08:57:40,0,84,0,84
2022-05-20T09:08:07,0,84,0,84
2022-05-20T09:18:23,0,84,0,84
2022-05-20T09:28:39,0,84,0,84
2022-05-20T09:38:55,0,84,0,84
2022-05-20T09:49:11,0,84,0,84
2022-05-20T09:59:27,0,84,0,84
2022-05-20T10:09:44,0,84,0,84
2022-05-20T10:19:59,0,84,0,84
2022-05-20T10:30:15,0,84,0,84
2022-05-20T10:40:31,2,82,0,84
2022-05-20T10:50:59,2,82,0,84
2022-05-20T11:01:16,2,82,0,84
2022-05-20T11:11:32,3,81,0,84
2022-05-20T11:21:48,3,81,0,84
2022-05-20T11:32:04,3,81,0,84
2022-05-20T11:42:20,4,80,0,84
2022-05-20T11:52:50,5,79,0,84
2022-05-20T12:03:06,5,79,0,84
2022-05-20T12:13:21,5,79,0,84
2022-05-20T12:23:36,5,79,0,84
2022-05-20T12:33:51,5,79,0,84
2022-05-20T12:44:07,5,79,0,84
2022-05-20T12:54:23,5,79,0,84
2022-05-20T13:04:50,5,79,0,84
2022-05-20T13:15:06,5,79,0,84
2022-05-20T13:25:22,5,79,0,84
2022-05-20T13:35:39,5,79,0,84
2022-05-20T13:45:55,5,79,0,84
2022-05-20T13:56:11,5,79,0,84
2022-05-20T14:06:37,5,79,0,84
2022-05-20T14:16:53,5,79,0,84
2022-05-20T14:27:08,5,79,0,84
2022-05-20T14:37:24,5,79,0,84
2022-05-20T14:47:40,5,79,0,84
2022-05-20T14:57:55,5,79,0,84
2022-05-20T15:08:21,5,79,0,84
2022-05-20T15:18:36,5,79,0,84
2022-05-20T15:28:52,5,79,0,84
2022-05-20T15:39:07,5,79,0,84
2022-05-20T15:49:22,5,79,0,84
2022-05-20T15:59:37,5,79,0,84
2022-05-20T16:09:52,5,79,0,84
2022-05-20T16:20:17,5,79,0,84
2022-05-20T16:30:32,5,79,0,84
2022-05-20T16:40:46,5,79,0,84
2022-05-20T16:51:00,5,79,0,84
2022-05-20T17:01:15,5,79,0,84
2022-05-20T17:11:29,5,79,0,84
2022-05-20T17:21:43,5,79,0,84
2022-05-20T17:31:57,5,79,0,84
2022-05-20T17:42:11,5,79,0,84
2022-05-20T17:52:25,5,79,0,84
2022-05-20T18:02:39,5,79,0,84
2022-05-20T18:13:02,5,79,0,84
2022-05-20T18:23:16,5,79,0,84
2022-05-20T18:33:29,5,79,0,84
2022-05-20T18:43:42,5,79,0,84
2022-05-20T18:53:56,5,79,0,84
2022-05-20T19:04:10,5,79,0,84
2022-05-20T19:14:24,6,78,0,84
2022-05-20T19:24:38,6,78,0,84
2022-05-20T19:34:51,6,78,0,84
2022-05-20T19:45:06,6,78,0,84
2022-05-20T19:55:19,6,78,0,84
2022-05-20T20:05:43,6,78,0,84
2022-05-20T20:15:56,6,78,0,84
2022-05-20T20:26:10,6,78,0,84
2022-05-20T20:36:24,6,78,0,84
2022-05-20T20:46:37,6,78,0,84
2022-05-20T20:56:51,6,78,0,84
2022-05-20T21:07:04,6,78,0,84
2022-05-20T21:17:18,6,78,0,84
2022-05-20T21:27:42,6,78,0,84
2022-05-20T21:37:56,6,78,0,84
2022-05-20T21:48:09,6,78,0,84
2022-05-20T21:58:24,6,78,0,84
2022-05-20T22:08:38,6,78,0,84
2022-05-20T22:18:52,6,78,0,84
2022-05-20T22:29:06,6,78,0,84
2022-05-20T22:39:19,6,78,0,84
2022-05-20T22:49:33,6,78,0,84
2022-05-20T22:59:46,6,78,0,84
2022-05-20T23:10:01,6,78,0,84
2022-05-20T23:20:25,6,78,0,84
2022-05-20T23:30:39,6,78,0,84
2022-05-20T23:40:53,6,78,0,84
2022-05-20T23:51:06,6,78,0,84
2022-05-21T00:01:20,6,78,0,84
2022-05-21T00:11:35,6,78,0,84
2022-05-21T00:21:52,6,78,0,84
2022-05-21T00:32:07,6,78,0,84
2022-05-21T00:42:24,6,78,0,84
2022-05-21T00:52:40,6,78,0,84
2022-05-21T01:02:54,6,78,0,84
2022-05-21T01:13:10,6,78,0,84
2022-05-21T01:23:25,6,78,0,84
2022-05-21T01:33:40,6,78,0,84
2022-05-21T01:43:55,6,78,0,84
2022-05-21T01:54:10,6,78,0,84
2022-05-21T02:04:34,6,78,0,84
2022-05-21T02:14:48,6,78,0,84
2022-05-21T02:25:01,6,78,0,84
2022-05-21T02:35:14,6,78,0,84
2022-05-21T02:45:27,6,78,0,84
2022-05-21T02:55:40,6,78,0,84
2022-05-21T03:05:53,6,78,0,84
2022-05-21T03:16:08,6,78,0,84
