time,enrolled,available,waitlisted,total
2022-05-18T04:34:12,0,84,0,84
2022-05-18T04:44:45,0,84,0,84
2022-05-18T04:54:55,0,84,0,84
2022-05-18T05:05:07,0,84,0,84
2022-05-18T05:15:16,0,84,0,84
2022-05-18T05:25:27,0,84,0,84
2022-05-18T05:35:38,0,84,0,84
2022-05-18T05:45:47,0,84,0,84
2022-05-18T05:55:58,0,84,0,84
2022-05-18T06:06:11,0,84,0,84
2022-05-18T06:16:19,0,84,0,84
2022-05-18T06:26:28,0,84,0,84
2022-05-18T06:36:36,0,84,0,84
2022-05-18T06:46:43,0,84,0,84
2022-05-18T06:56:51,0,84,0,84
2022-05-18T07:07:00,0,84,0,84
2022-05-18T07:17:08,0,84,0,84
2022-05-18T07:27:16,0,84,0,84
2022-05-18T07:37:24,0,84,0,84
2022-05-18T07:47:32,0,84,0,84
2022-05-18T07:57:40,0,84,0,84
2022-05-18T08:07:48,0,84,0,84
2022-05-18T08:17:56,0,84,0,84
2022-05-18T08:28:04,0,84,0,84
2022-05-18T08:38:13,0,84,0,84
2022-05-18T08:48:23,0,84,0,84
2022-05-18T08:58:32,0,84,0,84
2022-05-18T09:08:53,0,84,0,84
2022-05-18T09:19:02,0,84,0,84
2022-05-18T09:29:11,0,84,0,84
2022-05-18T09:39:20,0,84,0,84
2022-05-18T09:49:29,0,84,0,84
2022-05-18T09:59:40,0,84,0,84
2022-05-18T10:09:52,0,84,0,84
2022-05-18T10:20:03,0,84,0,84
2022-05-18T10:30:13,0,84,0,84
2022-05-18T10:40:36,0,84,0,84
2022-05-18T10:50:46,0,84,0,84
2022-05-18T11:00:56,0,84,0,84
2022-05-18T11:11:06,0,84,0,84
2022-05-18T11:21:15,0,84,0,84
2022-05-18T11:31:24,0,84,0,84
2022-05-18T11:41:33,0,84,0,84
2022-05-18T11:51:41,0,84,0,84
2022-05-18T12:02:01,0,84,0,84
2022-05-18T12:12:09,0,84,0,84
2022-05-18T12:22:17,0,84,0,84
2022-05-18T12:32:28,0,84,0,84
2022-05-18T12:42:38,0,84,0,84
2022-05-18T12:52:48,0,84,0,84
2022-05-18T13:02:59,0,84,0,84
2022-05-18T13:13:20,0,84,0,84
2022-05-18T13:23:30,0,84,0,84
2022-05-18T13:33:40,0,84,0,84
2022-05-18T13:43:51,0,84,0,84
2022-05-18T13:54:02,0,84,0,84
2022-05-18T14:04:12,0,84,0,84
2022-05-18T14:14:23,0,84,0,84
2022-05-18T14:24:33,0,84,0,84
2022-05-18T14:34:55,0,84,0,84
2022-05-18T14:45:05,0,84,0,84
2022-05-18T14:55:15,0,84,0,84
2022-05-18T15:05:27,0,84,0,84
2022-05-18T15:15:38,0,84,0,84
2022-05-18T15:25:49,0,84,0,84
2022-05-18T15:36:10,0,84,0,84
2022-05-18T15:46:20,0,84,0,84
2022-05-18T15:56:31,0,84,0,84
2022-05-18T16:06:42,0,84,0,84
2022-05-18T16:16:53,0,84,0,84
2022-05-18T16:27:04,0,84,0,84
2022-05-18T16:37:13,0,84,0,84
2022-05-18T16:47:23,0,84,0,84
2022-05-18T16:57:33,0,84,0,84
2022-05-18T17:07:54,0,84,0,84
2022-05-18T17:18:04,0,84,0,84
2022-05-18T17:28:13,0,84,0,84
2022-05-18T17:38:22,0,84,0,84
2022-05-18T17:48:31,0,84,0,84
2022-05-18T17:58:41,0,84,0,84
2022-05-18T18:08:50,0,84,0,84
2022-05-18T18:19:00,0,84,0,84
2022-05-18T18:29:10,0,84,0,84
2022-05-18T18:39:30,0,84,0,84
2022-05-18T18:49:39,0,84,0,84
2022-05-18T18:59:48,0,84,0,84
2022-05-18T19:09:57,0,84,0,84
2022-05-18T19:20:06,0,84,0,84
2022-05-18T19:30:15,0,84,0,84
2022-05-18T19:40:24,0,84,0,84
2022-05-18T19:50:33,0,84,0,84
2022-05-18T20:00:42,0,84,0,84
2022-05-18T20:10:51,0,84,0,84
2022-05-18T20:21:11,0,84,0,84
2022-05-18T20:31:19,0,84,0,84
2022-05-18T20:41:28,0,84,0,84
2022-05-18T20:51:37,0,84,0,84
2022-05-18T21:01:46,0,84,0,84
2022-05-18T21:11:56,0,84,0,84
2022-05-18T21:22:05,0,84,0,84
2022-05-18T21:32:14,0,84,0,84
2022-05-18T21:42:23,0,84,0,84
2022-05-18T21:52:42,0,84,0,84
2022-05-18T22:02:51,0,84,0,84
2022-05-18T22:13:00,0,84,0,84
2022-05-18T22:23:09,0,84,0,84
