time,enrolled,available,waitlisted,total
2022-05-18T04:34:13,0,56,0,56
2022-05-18T04:44:46,0,56,0,56
2022-05-18T04:54:56,0,56,0,56
2022-05-18T05:05:08,0,56,0,56
2022-05-18T05:15:18,0,56,0,56
2022-05-18T05:25:28,0,56,0,56
2022-05-18T05:35:39,0,56,0,56
2022-05-18T05:45:49,0,56,0,56
2022-05-18T05:55:59,0,56,0,56
2022-05-18T06:06:13,0,56,0,56
2022-05-18T06:16:21,0,56,0,56
2022-05-18T06:26:29,0,56,0,56
2022-05-18T06:36:37,0,56,0,56
2022-05-18T06:46:45,0,56,0,56
2022-05-18T06:56:52,0,56,0,56
2022-05-18T07:07:01,0,56,0,56
2022-05-18T07:17:09,0,56,0,56
2022-05-18T07:27:17,0,56,0,56
2022-05-18T07:37:25,0,56,0,56
2022-05-18T07:47:33,0,56,0,56
2022-05-18T07:57:41,0,56,0,56
2022-05-18T08:07:49,0,56,0,56
2022-05-18T08:17:57,0,56,0,56
2022-05-18T08:28:05,0,56,0,56
2022-05-18T08:38:14,0,56,0,56
2022-05-18T08:48:24,0,56,0,56
2022-05-18T08:58:33,0,56,0,56
2022-05-18T09:08:54,0,56,0,56
2022-05-18T09:19:03,0,56,0,56
2022-05-18T09:29:12,0,56,0,56
2022-05-18T09:39:21,0,56,0,56
2022-05-18T09:49:30,0,56,0,56
2022-05-18T09:59:41,0,56,0,56
2022-05-18T10:09:53,0,56,0,56
2022-05-18T10:20:04,0,56,0,56
2022-05-18T10:30:14,0,56,0,56
2022-05-18T10:40:37,0,56,0,56
2022-05-18T10:50:47,0,56,0,56
2022-05-18T11:00:57,0,56,0,56
2022-05-18T11:11:07,0,56,0,56
2022-05-18T11:21:16,0,56,0,56
2022-05-18T11:31:25,0,56,0,56
2022-05-18T11:41:34,0,56,0,56
2022-05-18T11:51:43,0,56,0,56
2022-05-18T12:02:02,0,56,0,56
2022-05-18T12:12:10,0,56,0,56
2022-05-18T12:22:18,0,56,0,56
2022-05-18T12:32:29,0,56,0,56
2022-05-18T12:42:39,0,56,0,56
2022-05-18T12:52:49,0,56,0,56
2022-05-18T13:03:00,0,56,0,56
2022-05-18T13:13:21,0,56,0,56
2022-05-18T13:23:31,0,56,0,56
2022-05-18T13:33:41,0,56,0,56
2022-05-18T13:43:52,0,56,0,56
2022-05-18T13:54:03,0,56,0,56
2022-05-18T14:04:13,0,56,0,56
2022-05-18T14:14:24,0,56,0,56
2022-05-18T14:24:34,0,56,0,56
2022-05-18T14:34:56,0,56,0,56
2022-05-18T14:45:06,0,56,0,56
2022-05-18T14:55:16,0,56,0,56
2022-05-18T15:05:28,0,56,0,56
2022-05-18T15:15:39,0,56,0,56
2022-05-18T15:25:50,0,56,0,56
2022-05-18T15:36:11,0,56,0,56
2022-05-18T15:46:21,0,56,0,56
2022-05-18T15:56:32,0,56,0,56
2022-05-18T16:06:43,0,56,0,56
2022-05-18T16:16:55,0,56,0,56
2022-05-18T16:27:05,0,56,0,56
2022-05-18T16:37:14,0,56,0,56
2022-05-18T16:47:24,0,56,0,56
2022-05-18T16:57:34,0,56,0,56
2022-05-18T17:07:55,0,56,0,56
2022-05-18T17:18:05,0,56,0,56
2022-05-18T17:28:14,0,56,0,56
2022-05-18T17:38:23,0,56,0,56
2022-05-18T17:48:32,0,56,0,56
2022-05-18T17:58:42,0,56,0,56
2022-05-18T18:08:51,0,56,0,56
2022-05-18T18:19:01,0,56,0,56
2022-05-18T18:29:12,0,56,0,56
2022-05-18T18:39:31,0,56,0,56
2022-05-18T18:49:40,0,56,0,56
2022-05-18T18:59:49,0,56,0,56
2022-05-18T19:09:58,0,56,0,56
2022-05-18T19:20:07,0,56,0,56
2022-05-18T19:30:16,0,56,0,56
2022-05-18T19:40:25,0,56,0,56
2022-05-18T19:50:34,0,56,0,56
2022-05-18T20:00:43,0,56,0,56
2022-05-18T20:10:52,0,56,0,56
2022-05-18T20:21:12,0,56,0,56
2022-05-18T20:31:20,0,56,0,56
2022-05-18T20:41:29,0,56,0,56
2022-05-18T20:51:38,0,56,0,56
2022-05-18T21:01:47,0,56,0,56
2022-05-18T21:11:57,0,56,0,56
2022-05-18T21:22:06,0,56,0,56
2022-05-18T21:32:15,0,56,0,56
2022-05-18T21:42:24,0,56,0,56
2022-05-18T21:52:43,0,56,0,56
2022-05-18T22:02:52,0,56,0,56
2022-05-18T22:13:01,0,56,0,56
2022-05-18T22:23:10,0,56,0,56
2022-05-18T22:33:19,0,56,0,56
2022-05-18T22:43:28,0,56,0,56
2022-05-18T22:53:37,0,56,0,56
2022-05-18T23:03:46,0,56,0,56
2022-05-18T23:13:56,0,56,0,56
2022-05-18T23:24:06,0,56,0,56
2022-05-18T23:34:29,0,56,0,56
2022-05-18T23:44:38,0,56,0,56
2022-05-18T23:54:46,0,56,0,56
2022-05-19T00:04:56,0,56,0,56
2022-05-19T00:15:10,0,56,0,56
2022-05-19T00:25:21,0,56,0,56
2022-05-19T00:35:37,0,56,0,56
2022-05-19T00:45:50,0,56,0,56
2022-05-19T00:56:01,0,56,0,56
2022-05-19T01:06:11,0,56,0,56
2022-05-19T01:16:21,0,56,0,56
2022-05-19T01:26:30,0,56,0,56
2022-05-19T01:36:39,0,56,0,56
2022-05-19T01:46:49,0,56,0,56
2022-05-19T01:57:10,0,56,0,56
2022-05-19T02:07:20,0,56,0,56
2022-05-19T02:17:29,0,56,0,56
2022-05-19T02:27:38,0,56,0,56
2022-05-19T02:37:46,0,56,0,56
2022-05-19T02:47:54,0,56,0,56
2022-05-19T02:58:02,0,56,0,56
2022-05-19T03:08:11,0,56,0,56
2022-05-19T03:18:23,0,56,0,56
2022-05-19T03:28:42,0,56,0,56
2022-05-19T03:38:53,0,56,0,56
2022-05-19T03:49:04,0,56,0,56
2022-05-19T03:59:14,0,56,0,56
2022-05-19T04:09:25,0,56,0,56
2022-05-19T04:25:24,0,56,0,56
2022-05-19T04:36:45,0,56,0,56
2022-05-19T04:47:11,0,56,0,56
2022-05-19T04:57:23,0,56,0,56
2022-05-19T05:07:35,0,56,0,56
2022-05-19T05:17:47,0,56,0,56
2022-05-19T05:27:58,0,56,0,56
2022-05-19T05:38:08,0,56,0,56
2022-05-19T05:48:18,0,56,0,56
2022-05-19T05:58:29,0,56,0,56
2022-05-19T06:08:40,0,56,0,56
2022-05-19T06:18:51,0,56,0,56
2022-05-19T06:29:02,0,56,0,56
2022-05-19T06:39:14,0,56,0,56
2022-05-19T06:49:24,0,56,0,56
2022-05-19T06:59:34,0,56,0,56
2022-05-19T07:09:49,0,56,0,56
2022-05-19T07:19:59,0,56,0,56
2022-05-19T07:30:08,0,56,0,56
