time,enrolled,available,waitlisted,total
2022-05-18T04:34:17,0,20,0,20
2022-05-18T04:44:51,0,20,0,20
2022-05-18T04:55:01,0,20,0,20
2022-05-18T05:05:12,0,20,0,20
2022-05-18T05:15:22,0,20,0,20
2022-05-18T05:25:33,0,20,0,20
2022-05-18T05:35:43,0,20,0,20
2022-05-18T05:45:53,0,20,0,20
2022-05-18T05:56:03,0,20,0,20
2022-05-18T06:06:17,0,20,0,20
2022-05-18T06:16:25,0,20,0,20
2022-05-18T06:26:33,0,20,0,20
2022-05-18T06:36:41,0,20,0,20
2022-05-18T06:46:49,0,20,0,20
2022-05-18T06:56:56,0,20,0,20
2022-05-18T07:07:06,0,20,0,20
2022-05-18T07:17:13,0,20,0,20
2022-05-18T07:27:21,0,20,0,20
2022-05-18T07:37:29,0,20,0,20
2022-05-18T07:47:37,0,20,0,20
2022-05-18T07:57:45,0,20,0,20
2022-05-18T08:07:53,0,20,0,20
2022-05-18T08:18:01,0,20,0,20
2022-05-18T08:28:10,0,20,0,20
2022-05-18T08:38:19,0,20,0,20
2022-05-18T08:48:28,0,20,0,20
2022-05-18T08:58:37,0,20,0,20
2022-05-18T09:08:58,0,20,0,20
2022-05-18T09:19:07,0,20,0,20
2022-05-18T09:29:16,0,20,0,20
2022-05-18T09:39:25,0,20,0,20
2022-05-18T09:49:34,0,20,0,20
2022-05-18T09:59:45,0,20,0,20
2022-05-18T10:09:57,0,20,0,20
2022-05-18T10:20:08,0,20,0,20
2022-05-18T10:30:19,0,20,0,20
2022-05-18T10:40:41,0,20,0,20
2022-05-18T10:50:51,0,20,0,20
2022-05-18T11:01:01,0,20,0,20
2022-05-18T11:11:11,0,20,0,20
2022-05-18T11:21:20,0,20,0,20
2022-05-18T11:31:29,0,20,0,20
2022-05-18T11:41:38,0,20,0,20
2022-05-18T11:51:47,0,20,0,20
2022-05-18T12:02:06,0,20,0,20
2022-05-18T12:12:14,0,20,0,20
2022-05-18T12:22:23,0,20,0,20
