time,enrolled,available,waitlisted,total
2022-05-20T04:31:13,0,140,0,140
2022-05-20T04:41:30,0,140,0,140
2022-05-20T04:51:47,0,140,0,140
2022-05-20T05:02:03,0,140,0,140
2022-05-20T05:12:19,0,140,0,140
2022-05-20T05:22:34,0,140,0,140
2022-05-20T05:32:50,0,140,0,140
2022-05-20T05:43:05,0,140,0,140
2022-05-20T05:53:21,0,140,0,140
2022-05-20T06:03:37,0,140,0,140
2022-05-20T06:13:51,0,140,0,140
2022-05-20T06:24:07,0,140,0,140
2022-05-20T06:34:22,0,140,0,140
2022-05-20T06:44:36,0,140,0,140
2022-05-20T06:54:49,0,140,0,140
2022-05-20T07:05:06,0,140,0,140
2022-05-20T07:15:20,0,140,0,140
2022-05-20T07:25:33,0,140,0,140
2022-05-20T07:35:47,0,140,0,140
2022-05-20T07:46:02,0,140,0,140
2022-05-20T07:56:16,0,140,0,140
2022-05-20T08:06:30,0,140,0,140
2022-05-20T08:16:44,0,140,0,140
2022-05-20T08:27:00,0,140,0,140
2022-05-20T08:37:14,0,140,0,140
2022-05-20T08:47:29,0,140,0,140
2022-05-20T08:57:44,1,139,0,140
2022-05-20T09:08:11,1,139,0,140
2022-05-20T09:18:27,1,139,0,140
2022-05-20T09:28:43,1,139,0,140
2022-05-20T09:38:59,1,139,0,140
2022-05-20T09:49:14,1,139,0,140
2022-05-20T09:59:31,1,139,0,140
2022-05-20T10:09:47,1,139,0,140
2022-05-20T10:20:03,1,139,0,140
2022-05-20T10:30:19,1,139,0,140
2022-05-20T10:40:35,1,139,0,140
2022-05-20T10:51:03,1,139,0,140
2022-05-20T11:01:20,1,139,0,140
2022-05-20T11:11:36,2,138,0,140
2022-05-20T11:21:52,3,137,0,140
2022-05-20T11:32:08,3,137,0,140
2022-05-20T11:42:24,3,137,0,140
2022-05-20T11:52:54,3,137,0,140
2022-05-20T12:03:10,3,137,0,140
2022-05-20T12:13:25,3,137,0,140
2022-05-20T12:23:40,3,137,0,140
2022-05-20T12:33:55,3,137,0,140
2022-05-20T12:44:11,3,137,0,140
