time,enrolled,available,waitlisted,total
2022-05-20T04:31:17,0,40,0,40
2022-05-20T04:41:34,0,40,0,40
2022-05-20T04:51:51,0,40,0,40
2022-05-20T05:02:07,0,40,0,40
2022-05-20T05:12:23,0,40,0,40
2022-05-20T05:22:37,0,40,0,40
2022-05-20T05:32:53,0,40,0,40
2022-05-20T05:43:09,0,40,0,40
2022-05-20T05:53:25,0,40,0,40
2022-05-20T06:03:41,0,40,0,40
2022-05-20T06:13:55,0,40,0,40
2022-05-20T06:24:11,0,40,0,40
2022-05-20T06:34:26,0,40,0,40
2022-05-20T06:44:40,0,40,0,40
2022-05-20T06:54:53,0,40,0,40
2022-05-20T07:05:10,0,40,0,40
2022-05-20T07:15:24,0,40,0,40
2022-05-20T07:25:37,0,40,0,40
2022-05-20T07:35:51,0,40,0,40
2022-05-20T07:46:05,0,40,0,40
2022-05-20T07:56:19,0,40,0,40
2022-05-20T08:06:33,0,40,0,40
2022-05-20T08:16:47,0,40,0,40
2022-05-20T08:27:03,0,40,0,40
2022-05-20T08:37:18,0,40,0,40
2022-05-20T08:47:33,0,40,0,40
2022-05-20T08:57:47,0,40,0,40
2022-05-20T09:08:15,0,40,0,40
2022-05-20T09:18:31,0,40,0,40
2022-05-20T09:28:46,0,40,0,40
2022-05-20T09:39:02,0,40,0,40
2022-05-20T09:49:18,0,40,0,40
2022-05-20T09:59:34,0,40,0,40
2022-05-20T10:09:51,0,40,0,40
2022-05-20T10:20:06,0,40,0,40
2022-05-20T10:30:23,0,40,0,40
2022-05-20T10:40:38,0,40,0,40
2022-05-20T10:51:07,0,40,0,40
2022-05-20T11:01:23,0,40,0,40
2022-05-20T11:11:40,0,40,0,40
2022-05-20T11:21:56,0,40,0,40
2022-05-20T11:32:11,0,40,0,40
2022-05-20T11:42:28,0,40,0,40
2022-05-20T11:52:57,0,40,0,40
2022-05-20T12:03:13,0,40,0,40
2022-05-20T12:13:29,0,40,0,40
2022-05-20T12:23:44,0,40,0,40
2022-05-20T12:33:59,0,40,0,40
2022-05-20T12:44:14,0,40,0,40
2022-05-20T12:54:30,0,40,0,40
2022-05-20T13:04:57,0,40,0,40
2022-05-20T13:15:14,0,40,0,40
2022-05-20T13:25:30,0,40,0,40
2022-05-20T13:35:46,0,40,0,40
2022-05-20T13:46:03,0,40,0,40
2022-05-20T13:56:18,0,40,0,40
2022-05-20T14:06:45,0,40,0,40
2022-05-20T14:17:00,0,40,0,40
2022-05-20T14:27:16,0,40,0,40
2022-05-20T14:37:31,0,40,0,40
2022-05-20T14:47:47,0,40,0,40
2022-05-20T14:58:02,0,40,0,40
2022-05-20T15:08:28,0,40,0,40
2022-05-20T15:18:44,0,40,0,40
2022-05-20T15:28:59,0,40,0,40
2022-05-20T15:39:14,0,40,0,40
2022-05-20T15:49:29,0,40,0,40
2022-05-20T15:59:44,0,40,0,40
2022-05-20T16:09:59,0,40,0,40
2022-05-20T16:20:25,0,40,0,40
2022-05-20T16:30:39,0,40,0,40
2022-05-20T16:40:53,0,40,0,40
2022-05-20T16:51:07,0,40,0,40
2022-05-20T17:01:22,0,40,0,40
2022-05-20T17:11:37,0,40,0,40
2022-05-20T17:21:50,0,40,0,40
2022-05-20T17:32:04,0,40,0,40
2022-05-20T17:42:18,0,40,0,40
2022-05-20T17:52:33,0,40,0,40
2022-05-20T18:02:46,1,39,0,40
2022-05-20T18:13:09,0,40,0,40
2022-05-20T18:23:23,0,40,0,40
2022-05-20T18:33:36,0,40,0,40
2022-05-20T18:43:50,0,40,0,40
2022-05-20T18:54:03,0,40,0,40
2022-05-20T19:04:17,0,40,0,40
