time,enrolled,available,waitlisted,total
2022-05-20T04:31:20,4,116,0,120
2022-05-20T04:41:37,4,116,0,120
2022-05-20T04:51:54,4,116,0,120
2022-05-20T05:02:10,4,116,0,120
2022-05-20T05:12:26,4,116,0,120
2022-05-20T05:22:41,4,116,0,120
2022-05-20T05:32:57,4,116,0,120
2022-05-20T05:43:12,4,116,0,120
2022-05-20T05:53:28,4,116,0,120
2022-05-20T06:03:44,4,116,0,120
2022-05-20T06:13:58,4,116,0,120
2022-05-20T06:24:14,4,116,0,120
2022-05-20T06:34:29,4,116,0,120
2022-05-20T06:44:43,4,116,0,120
2022-05-20T06:54:56,4,116,0,120
2022-05-20T07:05:13,4,116,0,120
2022-05-20T07:15:27,4,116,0,120
2022-05-20T07:25:40,4,116,0,120
2022-05-20T07:35:54,4,116,0,120
2022-05-20T07:46:08,4,116,0,120
2022-05-20T07:56:22,4,116,0,120
2022-05-20T08:06:36,4,116,0,120
2022-05-20T08:16:51,4,116,0,120
2022-05-20T08:27:06,4,116,0,120
2022-05-20T08:37:21,4,116,0,120
2022-05-20T08:47:36,4,116,0,120
2022-05-20T08:57:50,4,116,0,120
2022-05-20T09:08:18,4,116,0,120
2022-05-20T09:18:34,4,116,0,120
2022-05-20T09:28:50,5,115,0,120
2022-05-20T09:39:05,5,115,0,120
2022-05-20T09:49:21,5,115,0,120
2022-05-20T09:59:37,5,115,0,120
2022-05-20T10:09:54,5,115,0,120
2022-05-20T10:20:10,5,115,0,120
2022-05-20T10:30:26,7,113,0,120
2022-05-20T10:40:41,7,113,0,120
2022-05-20T10:51:10,7,113,0,120
2022-05-20T11:01:27,7,113,0,120
2022-05-20T11:11:43,7,113,0,120
2022-05-20T11:21:59,7,113,0,120
2022-05-20T11:32:15,7,113,0,120
2022-05-20T11:42:31,7,113,0,120
2022-05-20T11:53:00,7,113,0,120
2022-05-20T12:03:17,7,113,0,120
2022-05-20T12:13:32,7,113,0,120
2022-05-20T12:23:47,7,113,0,120
2022-05-20T12:34:02,7,113,0,120
2022-05-20T12:44:17,7,113,0,120
2022-05-20T12:54:33,7,113,0,120
2022-05-20T13:05:00,7,113,0,120
2022-05-20T13:15:17,7,113,0,120
2022-05-20T13:25:33,7,113,0,120
2022-05-20T13:35:50,7,113,0,120
2022-05-20T13:46:06,7,113,0,120
2022-05-20T13:56:22,7,113,0,120
2022-05-20T14:06:48,7,113,0,120
2022-05-20T14:17:03,7,113,0,120
2022-05-20T14:27:19,7,113,0,120
2022-05-20T14:37:35,7,113,0,120
2022-05-20T14:47:50,7,113,0,120
2022-05-20T14:58:05,7,113,0,120
2022-05-20T15:08:31,7,113,0,120
2022-05-20T15:18:47,7,113,0,120
2022-05-20T15:29:02,7,113,0,120
2022-05-20T15:39:17,7,113,0,120
2022-05-20T15:49:32,7,113,0,120
2022-05-20T15:59:47,7,113,0,120
2022-05-20T16:10:02,7,113,0,120
2022-05-20T16:20:28,7,113,0,120
2022-05-20T16:30:42,7,113,0,120
2022-05-20T16:40:57,7,113,0,120
2022-05-20T16:51:11,7,113,0,120
2022-05-20T17:01:26,7,113,0,120
2022-05-20T17:11:40,7,113,0,120
2022-05-20T17:21:53,7,113,0,120
2022-05-20T17:32:07,7,113,0,120
2022-05-20T17:42:22,7,113,0,120
2022-05-20T17:52:36,7,113,0,120
2022-05-20T18:02:50,7,113,0,120
2022-05-20T18:13:13,7,113,0,120
2022-05-20T18:23:26,7,113,0,120
2022-05-20T18:33:39,7,113,0,120
2022-05-20T18:43:53,7,113,0,120
2022-05-20T18:54:06,7,113,0,120
2022-05-20T19:04:20,7,113,0,120
2022-05-20T19:14:34,7,113,0,120
2022-05-20T19:24:48,7,113,0,120
2022-05-20T19:35:02,7,113,0,120
2022-05-20T19:45:16,7,113,0,120
2022-05-20T19:55:30,7,113,0,120
2022-05-20T20:05:54,7,113,0,120
2022-05-20T20:16:07,7,113,0,120
2022-05-20T20:26:21,7,113,0,120
2022-05-20T20:36:34,7,113,0,120
2022-05-20T20:46:48,7,113,0,120
2022-05-20T20:57:01,7,113,0,120
2022-05-20T21:07:15,7,113,0,120
2022-05-20T21:17:28,7,113,0,120
2022-05-20T21:27:53,7,113,0,120
2022-05-20T21:38:06,7,113,0,120
2022-05-20T21:48:20,8,112,0,120
2022-05-20T21:58:34,8,112,0,120
2022-05-20T22:08:48,8,112,0,120
2022-05-20T22:19:02,8,112,0,120
2022-05-20T22:29:17,8,112,0,120
2022-05-20T22:39:30,8,112,0,120
2022-05-20T22:49:43,8,112,0,120
2022-05-20T22:59:57,9,111,0,120
2022-05-20T23:10:11,9,111,0,120
2022-05-20T23:20:36,9,111,0,120
2022-05-20T23:30:49,9,111,0,120
2022-05-20T23:41:03,9,111,0,120
2022-05-20T23:51:16,9,111,0,120
2022-05-21T00:01:30,9,111,0,120
2022-05-21T00:11:46,9,111,0,120
2022-05-21T00:22:02,9,111,0,120
2022-05-21T00:32:18,9,111,0,120
2022-05-21T00:42:34,9,111,0,120
2022-05-21T00:52:50,9,111,0,120
2022-05-21T01:03:05,9,111,0,120
2022-05-21T01:13:21,9,111,0,120
2022-05-21T01:23:35,9,111,0,120
2022-05-21T01:33:50,9,111,0,120
2022-05-21T01:44:06,9,111,0,120
2022-05-21T01:54:20,9,111,0,120
2022-05-21T02:04:44,9,111,0,120
2022-05-21T02:14:58,9,111,0,120
2022-05-21T02:25:12,9,111,0,120
2022-05-21T02:35:25,9,111,0,120
2022-05-21T02:45:38,9,111,0,120
2022-05-21T02:55:51,9,111,0,120
2022-05-21T03:06:03,9,111,0,120
2022-05-21T03:16:19,9,111,0,120
2022-05-21T03:26:37,9,111,0,120
2022-05-21T03:36:53,9,111,0,120
2022-05-21T03:47:09,9,111,0,120
2022-05-21T03:57:24,9,111,0,120
2022-05-21T04:07:39,9,111,0,120
