time,enrolled,available,waitlisted,total
2022-05-20T04:31:22,0,40,0,40
2022-05-20T04:41:39,0,40,0,40
2022-05-20T04:51:56,0,40,0,40
2022-05-20T05:02:12,0,40,0,40
2022-05-20T05:12:28,0,40,0,40
2022-05-20T05:22:43,0,40,0,40
2022-05-20T05:32:59,0,40,0,40
2022-05-20T05:43:14,0,40,0,40
2022-05-20T05:53:30,0,40,0,40
2022-05-20T06:03:46,0,40,0,40
2022-05-20T06:14:00,0,40,0,40
2022-05-20T06:24:16,0,40,0,40
2022-05-20T06:34:31,0,40,0,40
2022-05-20T06:44:45,0,40,0,40
2022-05-20T06:54:58,0,40,0,40
2022-05-20T07:05:15,0,40,0,40
2022-05-20T07:15:29,0,40,0,40
2022-05-20T07:25:42,0,40,0,40
2022-05-20T07:35:56,0,40,0,40
2022-05-20T07:46:10,0,40,0,40
2022-05-20T07:56:25,0,40,0,40
2022-05-20T08:06:39,0,40,0,40
2022-05-20T08:16:53,0,40,0,40
2022-05-20T08:27:08,0,40,0,40
2022-05-20T08:37:23,0,40,0,40
2022-05-20T08:47:38,0,40,0,40
2022-05-20T08:57:53,0,40,0,40
2022-05-20T09:08:20,0,40,0,40
2022-05-20T09:18:36,0,40,0,40
2022-05-20T09:28:52,0,40,0,40
2022-05-20T09:39:07,0,40,0,40
2022-05-20T09:49:23,0,40,0,40
2022-05-20T09:59:40,0,40,0,40
2022-05-20T10:09:56,0,40,0,40
2022-05-20T10:20:12,0,40,0,40
2022-05-20T10:30:28,0,40,0,40
2022-05-20T10:40:44,0,40,0,40
2022-05-20T10:51:12,0,40,0,40
2022-05-20T11:01:29,0,40,0,40
2022-05-20T11:11:45,0,40,0,40
2022-05-20T11:22:01,0,40,0,40
2022-05-20T11:32:17,0,40,0,40
2022-05-20T11:42:33,0,40,0,40
2022-05-20T11:53:03,0,40,0,40
2022-05-20T12:03:19,0,40,0,40
2022-05-20T12:13:34,0,40,0,40
2022-05-20T12:23:49,0,40,0,40
2022-05-20T12:34:04,0,40,0,40
2022-05-20T12:44:20,0,40,0,40
2022-05-20T12:54:35,0,40,0,40
2022-05-20T13:05:03,0,40,0,40
2022-05-20T13:15:19,0,40,0,40
2022-05-20T13:25:35,0,40,0,40
2022-05-20T13:35:52,0,40,0,40
2022-05-20T13:46:08,0,40,0,40
2022-05-20T13:56:24,0,40,0,40
2022-05-20T14:06:50,0,40,0,40
2022-05-20T14:17:05,0,40,0,40
2022-05-20T14:27:21,1,39,0,40
2022-05-20T14:37:37,1,39,0,40
2022-05-20T14:47:52,1,39,0,40
2022-05-20T14:58:08,1,39,0,40
2022-05-20T15:08:33,1,39,0,40
2022-05-20T15:18:49,1,39,0,40
2022-05-20T15:29:04,1,39,0,40
2022-05-20T15:39:19,1,39,0,40
2022-05-20T15:49:34,1,39,0,40
2022-05-20T15:59:49,1,39,0,40
2022-05-20T16:10:04,1,39,0,40
2022-05-20T16:20:30,1,39,0,40
2022-05-20T16:30:44,1,39,0,40
2022-05-20T16:40:59,1,39,0,40
2022-05-20T16:51:13,1,39,0,40
2022-05-20T17:01:28,1,39,0,40
2022-05-20T17:11:42,1,39,0,40
2022-05-20T17:21:56,1,39,0,40
2022-05-20T17:32:10,1,39,0,40
2022-05-20T17:42:24,1,39,0,40
2022-05-20T17:52:38,1,39,0,40
2022-05-20T18:02:52,1,39,0,40
2022-05-20T18:13:15,1,39,0,40
2022-05-20T18:23:28,1,39,0,40
2022-05-20T18:33:42,1,39,0,40
2022-05-20T18:43:55,1,39,0,40
2022-05-20T18:54:08,1,39,0,40
2022-05-20T19:04:22,1,39,0,40
2022-05-20T19:14:36,1,39,0,40
2022-05-20T19:24:50,1,39,0,40
2022-05-20T19:35:04,1,39,0,40
2022-05-20T19:45:18,1,39,0,40
2022-05-20T19:55:32,1,39,0,40
2022-05-20T20:05:56,1,39,0,40
2022-05-20T20:16:09,1,39,0,40
2022-05-20T20:26:23,1,39,0,40
2022-05-20T20:36:36,1,39,0,40
2022-05-20T20:46:50,1,39,0,40
2022-05-20T20:57:03,1,39,0,40
2022-05-20T21:07:17,1,39,0,40
2022-05-20T21:17:31,1,39,0,40
2022-05-20T21:27:55,1,39,0,40
2022-05-20T21:38:08,1,39,0,40
2022-05-20T21:48:22,1,39,0,40
2022-05-20T21:58:36,1,39,0,40
2022-05-20T22:08:50,1,39,0,40
2022-05-20T22:19:04,1,39,0,40
2022-05-20T22:29:19,1,39,0,40
2022-05-20T22:39:32,1,39,0,40
2022-05-20T22:49:45,1,39,0,40
2022-05-20T22:59:59,1,39,0,40
2022-05-20T23:10:13,1,39,0,40
2022-05-20T23:20:38,1,39,0,40
