time,enrolled,available,waitlisted,total
2022-05-18T04:34:30,0,30,0,30
2022-05-18T04:45:03,0,30,0,30
2022-05-18T04:55:13,0,30,0,30
2022-05-18T05:05:25,0,30,0,30
2022-05-18T05:15:34,0,30,0,30
2022-05-18T05:25:45,0,30,0,30
2022-05-18T05:35:56,0,30,0,30
2022-05-18T05:46:06,0,30,0,30
2022-05-18T05:56:16,0,30,0,30
2022-05-18T06:06:29,0,30,0,30
2022-05-18T06:16:37,0,30,0,30
2022-05-18T06:26:46,0,30,0,30
2022-05-18T06:36:54,0,30,0,30
2022-05-18T06:47:01,0,30,0,30
2022-05-18T06:57:09,0,30,0,30
2022-05-18T07:07:18,0,30,0,30
2022-05-18T07:17:26,0,30,0,30
2022-05-18T07:27:33,0,30,0,30
2022-05-18T07:37:42,0,30,0,30
2022-05-18T07:47:50,0,30,0,30
2022-05-18T07:57:58,0,30,0,30
2022-05-18T08:08:06,0,30,0,30
2022-05-18T08:18:14,0,30,0,30
2022-05-18T08:28:22,0,30,0,30
2022-05-18T08:38:31,0,30,0,30
2022-05-18T08:48:41,0,30,0,30
2022-05-18T08:58:50,0,30,0,30
2022-05-18T09:09:11,0,30,0,30
2022-05-18T09:19:19,0,30,0,30
2022-05-18T09:29:29,0,30,0,30
2022-05-18T09:39:38,0,30,0,30
2022-05-18T09:49:47,0,30,0,30
2022-05-18T09:59:58,0,30,0,30
2022-05-18T10:10:10,0,30,0,30
2022-05-18T10:20:21,0,30,0,30
2022-05-18T10:30:31,0,30,0,30
2022-05-18T10:40:54,0,30,0,30
2022-05-18T10:51:04,0,30,0,30
2022-05-18T11:01:14,0,30,0,30
2022-05-18T11:11:24,0,30,0,30
2022-05-18T11:21:33,0,30,0,30
2022-05-18T11:31:42,0,30,0,30
2022-05-18T11:41:51,0,30,0,30
2022-05-18T11:51:59,0,30,0,30
2022-05-18T12:02:19,0,30,0,30
2022-05-18T12:12:27,0,30,0,30
2022-05-18T12:22:35,0,30,0,30
2022-05-18T12:32:46,0,30,0,30
2022-05-18T12:42:56,0,30,0,30
2022-05-18T12:53:06,0,30,0,30
2022-05-18T13:03:17,0,30,0,30
2022-05-18T13:13:38,0,30,0,30
2022-05-18T13:23:47,0,30,0,30
2022-05-18T13:33:58,0,30,0,30
2022-05-18T13:44:09,0,30,0,30
2022-05-18T13:54:20,0,30,0,30
2022-05-18T14:04:30,0,30,0,30
2022-05-18T14:14:41,0,30,0,30
2022-05-18T14:24:51,0,30,0,30
2022-05-18T14:35:13,0,30,0,30
2022-05-18T14:45:23,0,30,0,30
2022-05-18T14:55:33,0,30,0,30
2022-05-18T15:05:45,0,30,0,30
2022-05-18T15:15:56,0,30,0,30
2022-05-18T15:26:07,0,30,0,30
2022-05-18T15:36:28,0,30,0,30
2022-05-18T15:46:38,0,30,0,30
2022-05-18T15:56:49,0,30,0,30
2022-05-18T16:07:00,0,30,0,30
2022-05-18T16:17:11,0,30,0,30
2022-05-18T16:27:22,0,30,0,30
2022-05-18T16:37:31,0,30,0,30
2022-05-18T16:47:41,0,30,0,30
2022-05-18T16:57:51,0,30,0,30
2022-05-18T17:08:11,0,30,0,30
2022-05-18T17:18:22,0,30,0,30
2022-05-18T17:28:31,0,30,0,30
2022-05-18T17:38:40,0,30,0,30
2022-05-18T17:48:49,0,30,0,30
2022-05-18T17:58:59,0,30,0,30
2022-05-18T18:09:08,0,30,0,30
2022-05-18T18:19:18,0,30,0,30
2022-05-18T18:29:28,0,30,0,30
2022-05-18T18:39:48,0,30,0,30
2022-05-18T18:49:57,0,30,0,30
