time,enrolled,available,waitlisted,total
2022-05-20T04:31:32,0,25,0,25
2022-05-20T04:41:49,0,25,0,25
2022-05-20T04:52:06,0,25,0,25
2022-05-20T05:02:22,0,25,0,25
2022-05-20T05:12:38,0,25,0,25
2022-05-20T05:22:53,0,25,0,25
2022-05-20T05:33:09,0,25,0,25
2022-05-20T05:43:24,0,25,0,25
2022-05-20T05:53:40,0,25,0,25
2022-05-20T06:03:56,0,25,0,25
2022-05-20T06:14:10,0,25,0,25
2022-05-20T06:24:26,0,25,0,25
2022-05-20T06:34:41,0,25,0,25
2022-05-20T06:44:55,0,25,0,25
2022-05-20T06:55:08,0,25,0,25
2022-05-20T07:05:25,0,25,0,25
2022-05-20T07:15:39,0,25,0,25
2022-05-20T07:25:52,0,25,0,25
2022-05-20T07:36:06,0,25,0,25
2022-05-20T07:46:21,0,25,0,25
2022-05-20T07:56:35,0,25,0,25
2022-05-20T08:06:49,0,25,0,25
2022-05-20T08:17:03,0,25,0,25
2022-05-20T08:27:19,0,25,0,25
2022-05-20T08:37:33,1,24,0,25
2022-05-20T08:47:48,1,24,0,25
2022-05-20T08:58:03,1,24,0,25
2022-05-20T09:08:30,1,24,0,25
2022-05-20T09:18:46,1,24,0,25
2022-05-20T09:29:02,1,24,0,25
2022-05-20T09:39:18,1,24,0,25
2022-05-20T09:49:33,1,24,0,25
2022-05-20T09:59:50,1,24,0,25
2022-05-20T10:10:06,1,24,0,25
2022-05-20T10:20:22,1,24,0,25
2022-05-20T10:30:38,1,24,0,25
2022-05-20T10:40:54,1,24,0,25
2022-05-20T10:51:22,1,24,0,25
2022-05-20T11:01:39,1,24,0,25
2022-05-20T11:11:55,1,24,0,25
2022-05-20T11:22:11,1,24,0,25
2022-05-20T11:32:27,1,24,0,25
2022-05-20T11:42:43,1,24,0,25
2022-05-20T11:53:13,1,24,0,25
2022-05-20T12:03:29,1,24,0,25
2022-05-20T12:13:44,1,24,0,25
2022-05-20T12:23:59,1,24,0,25
2022-05-20T12:34:14,1,24,0,25
2022-05-20T12:44:30,1,24,0,25
2022-05-20T12:54:45,1,24,0,25
2022-05-20T13:05:13,1,24,0,25
2022-05-20T13:15:29,1,24,0,25
2022-05-20T13:25:45,1,24,0,25
2022-05-20T13:36:02,1,24,0,25
2022-05-20T13:46:18,1,24,0,25
2022-05-20T13:56:34,1,24,0,25
2022-05-20T14:07:00,1,24,0,25
2022-05-20T14:17:15,1,24,0,25
2022-05-20T14:27:31,1,24,0,25
2022-05-20T14:37:47,1,24,0,25
2022-05-20T14:48:02,1,24,0,25
2022-05-20T14:58:18,1,24,0,25
2022-05-20T15:08:43,1,24,0,25
2022-05-20T15:18:59,1,24,0,25
2022-05-20T15:29:14,1,24,0,25
2022-05-20T15:39:29,1,24,0,25
2022-05-20T15:49:44,1,24,0,25
2022-05-20T15:59:59,1,24,0,25
2022-05-20T16:10:14,1,24,0,25
2022-05-20T16:20:40,1,24,0,25
2022-05-20T16:30:55,1,24,0,25
2022-05-20T16:41:09,1,24,0,25
2022-05-20T16:51:23,1,24,0,25
2022-05-20T17:01:38,1,24,0,25
2022-05-20T17:11:52,1,24,0,25
2022-05-20T17:22:06,1,24,0,25
2022-05-20T17:32:20,1,24,0,25
2022-05-20T17:42:34,1,24,0,25
2022-05-20T17:52:48,1,24,0,25
2022-05-20T18:03:02,1,24,0,25
2022-05-20T18:13:25,1,24,0,25
2022-05-20T18:23:38,1,24,0,25
2022-05-20T18:33:52,1,24,0,25
2022-05-20T18:44:05,1,24,0,25
2022-05-20T18:54:18,1,24,0,25
2022-05-20T19:04:32,1,24,0,25
2022-05-20T19:14:46,1,24,0,25
2022-05-20T19:25:00,1,24,0,25
2022-05-20T19:35:14,1,24,0,25
2022-05-20T19:45:29,1,24,0,25
2022-05-20T19:55:42,1,24,0,25
2022-05-20T20:06:06,1,24,0,25
2022-05-20T20:16:19,1,24,0,25
2022-05-20T20:26:33,1,24,0,25
2022-05-20T20:36:47,1,24,0,25
2022-05-20T20:47:00,1,24,0,25
2022-05-20T20:57:13,1,24,0,25
2022-05-20T21:07:27,1,24,0,25
2022-05-20T21:17:41,1,24,0,25
2022-05-20T21:28:05,1,24,0,25
2022-05-20T21:38:18,1,24,0,25
2022-05-20T21:48:32,1,24,0,25
2022-05-20T21:58:46,1,24,0,25
2022-05-20T22:09:00,1,24,0,25
2022-05-20T22:19:14,1,24,0,25
2022-05-20T22:29:29,1,24,0,25
2022-05-20T22:39:42,1,24,0,25
2022-05-20T22:49:56,1,24,0,25
2022-05-20T23:00:09,1,24,0,25
2022-05-20T23:10:23,1,24,0,25
2022-05-20T23:20:48,1,24,0,25
2022-05-20T23:31:01,1,24,0,25
2022-05-20T23:41:15,1,24,0,25
2022-05-20T23:51:28,1,24,0,25
2022-05-21T00:01:43,1,24,0,25
