time,enrolled,available,waitlisted,total
2022-05-20T04:31:34,0,15,0,15
2022-05-20T04:41:51,0,15,0,15
2022-05-20T04:52:08,0,15,0,15
2022-05-20T05:02:24,0,15,0,15
2022-05-20T05:12:40,0,15,0,15
2022-05-20T05:22:54,0,15,0,15
2022-05-20T05:33:10,0,15,0,15
2022-05-20T05:43:26,0,15,0,15
2022-05-20T05:53:42,0,15,0,15
2022-05-20T06:03:57,0,15,0,15
2022-05-20T06:14:12,0,15,0,15
2022-05-20T06:24:28,0,15,0,15
2022-05-20T06:34:43,0,15,0,15
2022-05-20T06:44:57,0,15,0,15
2022-05-20T06:55:10,0,15,0,15
2022-05-20T07:05:27,0,15,0,15
2022-05-20T07:15:40,0,15,0,15
2022-05-20T07:25:54,0,15,0,15
2022-05-20T07:36:08,0,15,0,15
2022-05-20T07:46:22,0,15,0,15
2022-05-20T07:56:36,0,15,0,15
2022-05-20T08:06:50,0,15,0,15
2022-05-20T08:17:04,0,15,0,15
2022-05-20T08:27:20,0,15,0,15
2022-05-20T08:37:35,0,15,0,15
2022-05-20T08:47:50,0,15,0,15
2022-05-20T08:58:04,0,15,0,15
2022-05-20T09:08:32,0,15,0,15
2022-05-20T09:18:47,0,15,0,15
2022-05-20T09:29:03,0,15,0,15
2022-05-20T09:39:19,0,15,0,15
2022-05-20T09:49:35,0,15,0,15
2022-05-20T09:59:51,0,15,0,15
2022-05-20T10:10:08,0,15,0,15
2022-05-20T10:20:23,0,15,0,15
2022-05-20T10:30:40,0,15,0,15
2022-05-20T10:40:55,0,15,0,15
2022-05-20T10:51:24,0,15,0,15
2022-05-20T11:01:40,0,15,0,15
2022-05-20T11:11:57,0,15,0,15
2022-05-20T11:22:13,0,15,0,15
2022-05-20T11:32:28,0,15,0,15
2022-05-20T11:42:45,0,15,0,15
2022-05-20T11:53:14,0,15,0,15
2022-05-20T12:03:30,0,15,0,15
2022-05-20T12:13:46,0,15,0,15
2022-05-20T12:24:01,0,15,0,15
2022-05-20T12:34:16,0,15,0,15
2022-05-20T12:44:31,0,15,0,15
