time,enrolled,available,waitlisted,total
2022-05-18T04:34:38,0,25,0,25
2022-05-18T04:45:11,0,25,0,25
2022-05-18T04:55:21,0,25,0,25
2022-05-18T05:05:33,0,25,0,25
2022-05-18T05:15:42,0,25,0,25
2022-05-18T05:25:53,0,25,0,25
2022-05-18T05:36:04,0,25,0,25
2022-05-18T05:46:13,0,25,0,25
2022-05-18T05:56:24,0,25,0,25
2022-05-18T06:06:37,0,25,0,25
2022-05-18T06:16:45,0,25,0,25
2022-05-18T06:26:54,0,25,0,25
2022-05-18T06:37:02,0,25,0,25
2022-05-18T06:47:09,0,25,0,25
2022-05-18T06:57:17,0,25,0,25
2022-05-18T07:07:26,0,25,0,25
2022-05-18T07:17:34,0,25,0,25
2022-05-18T07:27:41,0,25,0,25
2022-05-18T07:37:49,0,25,0,25
2022-05-18T07:47:58,0,25,0,25
2022-05-18T07:58:06,0,25,0,25
2022-05-18T08:08:14,0,25,0,25
2022-05-18T08:18:21,0,25,0,25
2022-05-18T08:28:30,0,25,0,25
2022-05-18T08:38:39,0,25,0,25
2022-05-18T08:48:49,0,25,0,25
2022-05-18T08:58:58,0,25,0,25
2022-05-18T09:09:19,0,25,0,25
2022-05-18T09:19:27,0,25,0,25
2022-05-18T09:29:37,0,25,0,25
2022-05-18T09:39:46,0,25,0,25
2022-05-18T09:49:55,0,25,0,25
2022-05-18T10:00:06,0,25,0,25
2022-05-18T10:10:18,0,25,0,25
2022-05-18T10:20:28,0,25,0,25
2022-05-18T10:30:39,0,25,0,25
2022-05-18T10:41:02,0,25,0,25
2022-05-18T10:51:12,0,25,0,25
2022-05-18T11:01:22,0,25,0,25
2022-05-18T11:11:32,0,25,0,25
2022-05-18T11:21:41,0,25,0,25
2022-05-18T11:31:50,0,25,0,25
2022-05-18T11:41:59,0,25,0,25
2022-05-18T11:52:18,0,25,0,25
2022-05-18T12:02:26,0,25,0,25
2022-05-18T12:12:35,0,25,0,25
2022-05-18T12:22:43,0,25,0,25
2022-05-18T12:32:54,0,25,0,25
2022-05-18T12:43:04,0,25,0,25
2022-05-18T12:53:14,0,25,0,25
2022-05-18T13:03:25,0,25,0,25
2022-05-18T13:13:46,0,25,0,25
2022-05-18T13:23:55,0,25,0,25
2022-05-18T13:34:06,0,25,0,25
2022-05-18T13:44:17,0,25,0,25
2022-05-18T13:54:28,0,25,0,25
2022-05-18T14:04:38,0,25,0,25
2022-05-18T14:14:49,0,25,0,25
2022-05-18T14:24:59,0,25,0,25
2022-05-18T14:35:21,0,25,0,25
