time,enrolled,available,waitlisted,total
2022-06-03T09:06:05,0,25,0,25
2022-06-03T09:16:30,0,25,0,25
2022-06-03T09:27:06,0,25,0,25
2022-06-03T09:37:29,0,25,0,25
2022-06-03T09:47:53,0,25,0,25
2022-06-03T09:58:16,0,25,0,25
2022-06-03T10:08:40,0,25,0,25
2022-06-03T10:19:04,0,25,0,25
2022-06-03T10:29:28,0,25,0,25
2022-06-03T10:39:53,0,25,0,25
2022-06-03T10:50:18,0,25,0,25
2022-06-03T11:00:43,0,25,0,25
2022-06-03T11:11:21,0,25,0,25
2022-06-03T11:21:47,0,25,0,25
2022-06-03T11:32:11,0,25,0,25
2022-06-03T11:42:36,0,25,0,25
2022-06-03T11:53:00,0,25,0,25
2022-06-03T12:03:25,0,25,0,25
2022-06-03T12:13:50,0,25,0,25
2022-06-03T12:24:14,0,25,0,25
2022-06-03T12:34:38,0,25,0,25
2022-06-03T12:45:03,0,25,0,25
2022-06-03T12:55:27,0,25,0,25
2022-06-03T13:05:52,0,25,0,25
2022-06-03T13:16:16,0,25,0,25
2022-06-03T13:26:53,0,25,0,25
2022-06-03T13:37:17,0,25,0,25
2022-06-03T13:47:49,0,25,0,25
2022-06-03T13:58:14,0,25,0,25
2022-06-03T14:08:40,0,25,0,25
2022-06-03T14:19:40,0,25,0,25
2022-06-03T14:30:08,0,25,0,25
2022-06-03T14:40:46,0,25,0,25
2022-06-03T14:51:14,0,25,0,25
2022-06-03T15:01:40,0,25,0,25
2022-06-03T15:12:05,0,25,0,25
2022-06-03T15:22:29,0,25,0,25
2022-06-03T15:32:54,0,25,0,25
2022-06-03T15:43:19,0,25,0,25
2022-06-03T15:53:43,0,25,0,25
2022-06-03T16:04:07,0,25,0,25
2022-06-03T16:14:33,0,25,0,25
2022-06-03T16:24:56,0,25,0,25
2022-06-03T16:35:21,0,25,0,25
2022-06-03T16:45:57,0,25,0,25
2022-06-03T16:56:21,0,25,0,25
2022-06-03T17:06:45,0,25,0,25
2022-06-03T17:17:09,0,25,0,25
2022-06-03T17:27:32,0,25,0,25
2022-06-03T17:38:01,0,25,0,25
2022-06-03T17:48:24,0,25,0,25
2022-06-03T17:58:47,0,25,0,25
2022-06-03T18:09:21,0,25,0,25
2022-06-03T18:19:44,0,25,0,25
2022-06-03T18:30:07,0,25,0,25
2022-06-03T18:40:30,0,25,0,25
2022-06-03T18:50:53,0,25,0,25
2022-06-03T19:01:16,0,25,0,25
2022-06-03T19:11:38,0,25,0,25
2022-06-03T19:22:01,0,25,0,25
2022-06-03T19:32:24,0,25,0,25
2022-06-03T19:42:47,0,25,0,25
2022-06-03T19:53:09,0,25,0,25
2022-06-03T20:03:44,0,25,0,25
2022-06-03T20:14:07,0,25,0,25
2022-06-03T20:24:30,0,25,0,25
2022-06-03T20:34:53,0,25,0,25
2022-06-03T20:45:16,0,25,0,25
2022-06-03T20:55:39,0,25,0,25
2022-06-03T21:06:01,0,25,0,25
2022-06-03T21:16:24,0,25,0,25
2022-06-03T21:26:47,0,25,0,25
2022-06-03T21:37:09,0,25,0,25
2022-06-03T21:47:42,0,25,0,25
2022-06-03T21:58:04,0,25,0,25
2022-06-03T22:08:27,0,25,0,25
2022-06-03T22:18:52,0,25,0,25
2022-06-03T22:29:19,0,25,0,25
2022-06-03T22:39:49,0,25,0,25
2022-06-03T22:50:15,0,25,0,25
2022-06-03T23:00:45,0,25,0,25
2022-06-03T23:11:28,0,25,0,25
2022-06-03T23:21:59,0,25,0,25
2022-06-03T23:32:28,0,25,0,25
2022-06-03T23:42:54,0,25,0,25
2022-06-03T23:53:24,0,25,0,25
2022-06-04T00:03:53,0,25,0,25
2022-06-04T00:14:19,0,25,0,25
2022-06-04T00:24:50,0,25,0,25
