time,enrolled,available,waitlisted,total
2022-06-03T10:39:51,0,25,0,25
2022-06-03T10:50:15,0,25,0,25
2022-06-03T11:00:41,0,25,0,25
2022-06-03T11:11:19,0,25,0,25
2022-06-03T11:21:45,0,25,0,25
2022-06-03T11:32:09,0,25,0,25
2022-06-03T11:42:34,0,25,0,25
2022-06-03T11:52:58,0,25,0,25
2022-06-03T12:03:23,0,25,0,25
2022-06-03T12:13:47,0,25,0,25
2022-06-03T12:24:12,0,25,0,25
2022-06-03T12:34:36,0,25,0,25
2022-06-03T12:45:01,0,25,0,25
2022-06-03T12:55:25,0,25,0,25
2022-06-03T13:05:49,0,25,0,25
2022-06-03T13:16:14,0,25,0,25
2022-06-03T13:26:51,0,25,0,25
2022-06-03T13:37:15,0,25,0,25
2022-06-03T13:47:47,0,25,0,25
2022-06-03T13:58:12,0,25,0,25
2022-06-03T14:08:38,0,25,0,25
2022-06-03T14:19:37,0,25,0,25
2022-06-03T14:30:06,0,25,0,25
2022-06-03T14:40:44,0,25,0,25
2022-06-03T14:51:12,0,25,0,25
2022-06-03T15:01:37,0,25,0,25
2022-06-03T15:12:03,0,25,0,25
2022-06-03T15:22:27,0,25,0,25
2022-06-03T15:32:52,0,25,0,25
2022-06-03T15:43:17,0,25,0,25
2022-06-03T15:53:41,0,25,0,25
2022-06-03T16:04:05,0,25,0,25
2022-06-03T16:14:30,0,25,0,25
2022-06-03T16:24:54,0,25,0,25
2022-06-03T16:35:18,0,25,0,25
2022-06-03T16:45:55,0,25,0,25
2022-06-03T16:56:19,0,25,0,25
2022-06-03T17:06:43,0,25,0,25
2022-06-03T17:17:07,0,25,0,25
2022-06-03T17:27:30,0,25,0,25
2022-06-03T17:37:59,0,25,0,25
2022-06-03T17:48:22,0,25,0,25
2022-06-03T17:58:44,0,25,0,25
2022-06-03T18:09:18,0,25,0,25
2022-06-03T18:19:42,0,25,0,25
2022-06-03T18:30:05,0,25,0,25
2022-06-03T18:40:28,0,25,0,25
2022-06-03T18:50:51,0,25,0,25
2022-06-03T19:01:13,0,25,0,25
2022-06-03T19:11:36,0,25,0,25
2022-06-03T19:21:59,0,25,0,25
2022-06-03T19:32:22,0,25,0,25
2022-06-03T19:42:45,0,25,0,25
2022-06-03T19:53:07,0,25,0,25
2022-06-03T20:03:42,0,25,0,25
2022-06-03T20:14:05,0,25,0,25
2022-06-03T20:24:28,0,25,0,25
2022-06-03T20:34:51,0,25,0,25
2022-06-03T20:45:14,0,25,0,25
2022-06-03T20:55:37,0,25,0,25
2022-06-03T21:05:59,0,25,0,25
2022-06-03T21:16:22,0,25,0,25
2022-06-03T21:26:44,0,25,0,25
2022-06-03T21:37:07,0,25,0,25
2022-06-03T21:47:40,0,25,0,25
2022-06-03T21:58:02,0,25,0,25
2022-06-03T22:08:25,0,25,0,25
2022-06-03T22:18:50,0,25,0,25
2022-06-03T22:29:17,0,25,0,25
2022-06-03T22:39:47,0,25,0,25
2022-06-03T22:50:13,0,25,0,25
2022-06-03T23:00:43,0,25,0,25
