time,enrolled,available,waitlisted,total
2022-05-20T04:31:38,0,40,0,40
2022-05-20T04:41:55,0,40,0,40
2022-05-20T04:52:12,0,40,0,40
2022-05-20T05:02:28,0,40,0,40
2022-05-20T05:12:44,0,40,0,40
2022-05-20T05:22:59,0,40,0,40
2022-05-20T05:33:15,0,40,0,40
2022-05-20T05:43:30,0,40,0,40
2022-05-20T05:53:46,0,40,0,40
2022-05-20T06:04:02,0,40,0,40
2022-05-20T06:14:16,0,40,0,40
2022-05-20T06:24:32,0,40,0,40
2022-05-20T06:34:47,0,40,0,40
2022-05-20T06:45:01,0,40,0,40
2022-05-20T06:55:14,0,40,0,40
2022-05-20T07:05:31,0,40,0,40
2022-05-20T07:15:45,0,40,0,40
2022-05-20T07:25:58,0,40,0,40
2022-05-20T07:36:12,0,40,0,40
2022-05-20T07:46:26,0,40,0,40
2022-05-20T07:56:40,0,40,0,40
2022-05-20T08:06:54,0,40,0,40
2022-05-20T08:17:09,0,40,0,40
2022-05-20T08:27:24,0,40,0,40
2022-05-20T08:37:39,0,40,0,40
2022-05-20T08:47:54,0,40,0,40
2022-05-20T08:58:08,0,40,0,40
2022-05-20T09:08:36,0,40,0,40
2022-05-20T09:18:52,0,40,0,40
2022-05-20T09:29:08,0,40,0,40
2022-05-20T09:39:23,0,40,0,40
2022-05-20T09:49:39,0,40,0,40
2022-05-20T09:59:55,0,40,0,40
2022-05-20T10:10:12,0,40,0,40
2022-05-20T10:20:27,0,40,0,40
2022-05-20T10:30:44,0,40,0,40
2022-05-20T10:40:59,0,40,0,40
2022-05-20T10:51:28,0,40,0,40
2022-05-20T11:01:44,0,40,0,40
2022-05-20T11:12:01,0,40,0,40
2022-05-20T11:22:17,0,40,0,40
2022-05-20T11:32:33,0,40,0,40
2022-05-20T11:42:49,0,40,0,40
2022-05-20T11:53:18,0,40,0,40
2022-05-20T12:03:34,0,40,0,40
2022-05-20T12:13:50,0,40,0,40
2022-05-20T12:24:05,0,40,0,40
2022-05-20T12:34:20,0,40,0,40
2022-05-20T12:44:35,0,40,0,40
2022-05-20T12:54:51,0,40,0,40
2022-05-20T13:05:18,0,40,0,40
2022-05-20T13:15:35,0,40,0,40
2022-05-20T13:25:51,0,40,0,40
2022-05-20T13:36:08,0,40,0,40
2022-05-20T13:46:24,0,40,0,40
2022-05-20T13:56:39,0,40,0,40
2022-05-20T14:07:06,0,40,0,40
2022-05-20T14:17:21,0,40,0,40
2022-05-20T14:27:37,0,40,0,40
2022-05-20T14:37:53,0,40,0,40
2022-05-20T14:48:08,0,40,0,40
2022-05-20T14:58:23,0,40,0,40
2022-05-20T15:08:49,0,40,0,40
2022-05-20T15:19:05,0,40,0,40
2022-05-20T15:29:20,0,40,0,40
2022-05-20T15:39:35,0,40,0,40
2022-05-20T15:49:50,0,40,0,40
2022-05-20T16:00:05,0,40,0,40
2022-05-20T16:10:20,0,40,0,40
2022-05-20T16:20:46,0,40,0,40
2022-05-20T16:31:00,0,40,0,40
2022-05-20T16:41:14,0,40,0,40
2022-05-20T16:51:29,0,40,0,40
2022-05-20T17:01:43,0,40,0,40
2022-05-20T17:11:58,0,40,0,40
2022-05-20T17:22:11,0,40,0,40
2022-05-20T17:32:25,0,40,0,40
2022-05-20T17:42:39,0,40,0,40
2022-05-20T17:52:54,0,40,0,40
2022-05-20T18:03:07,0,40,0,40
2022-05-20T18:13:30,0,40,0,40
2022-05-20T18:23:44,0,40,0,40
2022-05-20T18:33:57,0,40,0,40
2022-05-20T18:44:11,0,40,0,40
2022-05-20T18:54:24,0,40,0,40
2022-05-20T19:04:38,0,40,0,40
2022-05-20T19:14:52,0,40,0,40
2022-05-20T19:25:06,0,40,0,40
2022-05-20T19:35:20,0,40,0,40
2022-05-20T19:45:34,0,40,0,40
2022-05-20T19:55:48,0,40,0,40
2022-05-20T20:06:11,0,40,0,40
2022-05-20T20:16:25,0,40,0,40
2022-05-20T20:26:39,0,40,0,40
2022-05-20T20:36:52,0,40,0,40
2022-05-20T20:47:06,0,40,0,40
2022-05-20T20:57:19,0,40,0,40
2022-05-20T21:07:33,0,40,0,40
2022-05-20T21:17:46,0,40,0,40
2022-05-20T21:28:11,0,40,0,40
2022-05-20T21:38:24,0,40,0,40
2022-05-20T21:48:38,0,40,0,40
2022-05-20T21:58:52,0,40,0,40
2022-05-20T22:09:06,0,40,0,40
2022-05-20T22:19:20,0,40,0,40
2022-05-20T22:29:35,0,40,0,40
2022-05-20T22:39:48,0,40,0,40
2022-05-20T22:50:01,0,40,0,40
2022-05-20T23:00:15,0,40,0,40
