time,enrolled,available,waitlisted,total
2022-05-18T04:34:44,0,32,0,32
2022-05-18T04:45:17,0,32,0,32
2022-05-18T04:55:27,0,32,0,32
2022-05-18T05:05:39,0,32,0,32
2022-05-18T05:15:48,0,32,0,32
2022-05-18T05:25:59,0,32,0,32
2022-05-18T05:36:10,0,32,0,32
2022-05-18T05:46:19,0,32,0,32
2022-05-18T05:56:29,0,32,0,32
2022-05-18T06:06:43,0,32,0,32
2022-05-18T06:16:51,0,32,0,32
2022-05-18T06:27:00,0,32,0,32
2022-05-18T06:37:08,0,32,0,32
2022-05-18T06:47:15,0,32,0,32
2022-05-18T06:57:23,0,32,0,32
2022-05-18T07:07:32,0,32,0,32
2022-05-18T07:17:40,0,32,0,32
2022-05-18T07:27:47,0,32,0,32
2022-05-18T07:37:55,0,32,0,32
2022-05-18T07:48:03,0,32,0,32
2022-05-18T07:58:11,0,32,0,32
2022-05-18T08:08:19,0,32,0,32
2022-05-18T08:18:27,0,32,0,32
2022-05-18T08:28:36,0,32,0,32
2022-05-18T08:38:45,0,32,0,32
2022-05-18T08:48:54,0,32,0,32
2022-05-18T08:59:04,0,32,0,32
2022-05-18T09:09:25,0,32,0,32
2022-05-18T09:19:33,0,32,0,32
2022-05-18T09:29:42,0,32,0,32
2022-05-18T09:39:51,0,32,0,32
2022-05-18T09:50:00,0,32,0,32
2022-05-18T10:00:12,0,32,0,32
2022-05-18T10:10:23,0,32,0,32
2022-05-18T10:20:34,0,32,0,32
2022-05-18T10:30:45,0,32,0,32
2022-05-18T10:41:08,0,32,0,32
2022-05-18T10:51:17,0,32,0,32
2022-05-18T11:01:28,0,32,0,32
2022-05-18T11:11:38,0,32,0,32
2022-05-18T11:21:47,0,32,0,32
2022-05-18T11:31:56,0,32,0,32
2022-05-18T11:42:04,0,32,0,32
2022-05-18T11:52:24,0,32,0,32
2022-05-18T12:02:32,0,32,0,32
2022-05-18T12:12:41,0,32,0,32
2022-05-18T12:22:49,0,32,0,32
2022-05-18T12:33:00,0,32,0,32
2022-05-18T12:43:10,0,32,0,32
2022-05-18T12:53:20,0,32,0,32
2022-05-18T13:03:30,0,32,0,32
2022-05-18T13:13:51,0,32,0,32
2022-05-18T13:24:01,0,32,0,32
2022-05-18T13:34:11,0,32,0,32
2022-05-18T13:44:23,0,32,0,32
2022-05-18T13:54:34,0,32,0,32
2022-05-18T14:04:44,0,32,0,32
2022-05-18T14:14:54,0,32,0,32
2022-05-18T14:25:05,0,32,0,32
2022-05-18T14:35:27,0,32,0,32
2022-05-18T14:45:37,0,32,0,32
2022-05-18T14:55:47,0,32,0,32
2022-05-18T15:05:59,0,32,0,32
2022-05-18T15:16:10,0,32,0,32
2022-05-18T15:26:20,0,32,0,32
2022-05-18T15:36:42,0,32,0,32
2022-05-18T15:46:52,0,32,0,32
2022-05-18T15:57:03,0,32,0,32
2022-05-18T16:07:14,0,32,0,32
2022-05-18T16:17:25,0,32,0,32
2022-05-18T16:27:35,0,32,0,32
2022-05-18T16:37:45,0,32,0,32
2022-05-18T16:47:55,0,32,0,32
2022-05-18T16:58:15,0,32,0,32
2022-05-18T17:08:25,0,32,0,32
2022-05-18T17:18:35,0,32,0,32
2022-05-18T17:28:45,0,32,0,32
2022-05-18T17:38:54,0,32,0,32
2022-05-18T17:49:03,0,32,0,32
2022-05-18T17:59:12,0,32,0,32
2022-05-18T18:09:22,0,32,0,32
2022-05-18T18:19:32,0,32,0,32
2022-05-18T18:29:42,0,32,0,32
2022-05-18T18:40:02,0,32,0,32
2022-05-18T18:50:10,0,32,0,32
2022-05-18T19:00:19,0,32,0,32
2022-05-18T19:10:28,0,32,0,32
2022-05-18T19:20:37,0,32,0,32
2022-05-18T19:30:47,0,32,0,32
2022-05-18T19:40:56,0,32,0,32
2022-05-18T19:51:04,0,32,0,32
2022-05-18T20:01:14,0,32,0,32
2022-05-18T20:11:23,0,32,0,32
2022-05-18T20:21:42,0,32,0,32
2022-05-18T20:31:51,0,32,0,32
2022-05-18T20:42:00,0,32,0,32
2022-05-18T20:52:09,0,32,0,32
2022-05-18T21:02:17,0,32,0,32
2022-05-18T21:12:28,0,32,0,32
2022-05-18T21:22:37,0,32,0,32
2022-05-18T21:32:46,0,32,0,32
2022-05-18T21:42:55,0,32,0,32
2022-05-18T21:53:14,0,32,0,32
2022-05-18T22:03:22,0,32,0,32
2022-05-18T22:13:31,0,32,0,32
2022-05-18T22:23:40,0,32,0,32
2022-05-18T22:33:50,0,32,0,32
2022-05-18T22:43:58,0,32,0,32
2022-05-18T22:54:07,0,32,0,32
2022-05-18T23:04:17,0,32,0,32
2022-05-18T23:14:26,0,32,0,32
2022-05-18T23:24:36,0,32,0,32
2022-05-18T23:34:59,0,32,0,32
2022-05-18T23:45:08,0,32,0,32
2022-05-18T23:55:17,0,32,0,32
2022-05-19T00:05:28,0,32,0,32
2022-05-19T00:15:40,0,32,0,32
2022-05-19T00:25:52,0,32,0,32
2022-05-19T00:36:08,0,32,0,32
2022-05-19T00:46:21,0,32,0,32
2022-05-19T00:56:32,0,32,0,32
2022-05-19T01:06:41,0,32,0,32
2022-05-19T01:16:51,0,32,0,32
2022-05-19T01:27:01,0,32,0,32
2022-05-19T01:37:10,0,32,0,32
2022-05-19T01:47:20,0,32,0,32
2022-05-19T01:57:40,0,32,0,32
2022-05-19T02:07:51,0,32,0,32
2022-05-19T02:18:00,0,32,0,32
2022-05-19T02:28:08,0,32,0,32
2022-05-19T02:38:16,0,32,0,32
2022-05-19T02:48:24,0,32,0,32
2022-05-19T02:58:33,0,32,0,32
2022-05-19T03:08:42,0,32,0,32
2022-05-19T03:18:53,0,32,0,32
2022-05-19T03:29:12,0,32,0,32
2022-05-19T03:39:24,0,32,0,32
2022-05-19T03:49:34,0,32,0,32
2022-05-19T03:59:45,0,32,0,32
2022-05-19T04:09:56,0,32,0,32
2022-05-19T04:25:55,0,32,0,32
2022-05-19T04:37:30,0,32,0,32
2022-05-19T04:47:42,0,32,0,32
2022-05-19T04:57:53,0,32,0,32
2022-05-19T05:08:06,0,32,0,32
2022-05-19T05:18:17,0,32,0,32
2022-05-19T05:28:28,0,32,0,32
2022-05-19T05:38:39,0,32,0,32
2022-05-19T05:48:48,0,32,0,32
2022-05-19T05:59:00,0,32,0,32
2022-05-19T06:09:11,0,32,0,32
2022-05-19T06:19:22,0,32,0,32
2022-05-19T06:29:33,0,32,0,32
2022-05-19T06:39:44,0,32,0,32
2022-05-19T06:49:55,0,32,0,32
2022-05-19T07:00:04,0,32,0,32
2022-05-19T07:10:19,0,32,0,32
2022-05-19T07:20:29,0,32,0,32
2022-05-19T07:30:39,0,32,0,32
2022-05-19T07:40:48,0,32,0,32
2022-05-19T07:50:57,0,32,0,32
2022-05-19T08:01:07,0,32,0,32
2022-05-19T08:11:16,0,32,0,32
2022-05-19T08:21:25,0,32,0,32
2022-05-19T08:31:35,0,32,0,32
2022-05-19T08:41:45,0,32,0,32
2022-05-19T08:51:56,0,32,0,32
2022-05-19T09:02:06,0,32,0,32
