time,enrolled,available,waitlisted,total
2022-05-18T04:34:51,0,320,0,320
2022-05-18T04:45:24,0,320,0,320
2022-05-18T04:55:34,0,320,0,320
2022-05-18T05:05:46,0,320,0,320
2022-05-18T05:15:55,0,320,0,320
2022-05-18T05:26:06,0,320,0,320
2022-05-18T05:36:17,0,320,0,320
2022-05-18T05:46:26,0,320,0,320
2022-05-18T05:56:36,0,320,0,320
2022-05-18T06:06:50,0,320,0,320
2022-05-18T06:16:58,0,320,0,320
2022-05-18T06:27:06,0,320,0,320
2022-05-18T06:37:14,0,320,0,320
2022-05-18T06:47:22,0,320,0,320
2022-05-18T06:57:29,0,320,0,320
2022-05-18T07:07:39,0,320,0,320
2022-05-18T07:17:47,0,320,0,320
2022-05-18T07:27:54,0,320,0,320
2022-05-18T07:38:02,0,320,0,320
2022-05-18T07:48:10,0,320,0,320
2022-05-18T07:58:18,0,320,0,320
2022-05-18T08:08:26,0,320,0,320
2022-05-18T08:18:34,0,320,0,320
2022-05-18T08:28:43,0,320,0,320
2022-05-18T08:38:52,0,320,0,320
2022-05-18T08:49:01,0,320,0,320
2022-05-18T08:59:10,0,320,0,320
2022-05-18T09:09:32,0,320,0,320
2022-05-18T09:19:40,0,320,0,320
2022-05-18T09:29:49,0,320,0,320
2022-05-18T09:39:58,0,320,0,320
2022-05-18T09:50:07,0,320,0,320
2022-05-18T10:00:19,0,320,0,320
2022-05-18T10:10:30,0,320,0,320
2022-05-18T10:20:41,0,320,0,320
2022-05-18T10:30:52,0,320,0,320
2022-05-18T10:41:14,0,320,0,320
2022-05-18T10:51:24,0,320,0,320
2022-05-18T11:01:35,0,320,0,320
2022-05-18T11:11:44,0,320,0,320
2022-05-18T11:21:53,0,320,0,320
2022-05-18T11:32:03,0,320,0,320
2022-05-18T11:42:11,0,320,0,320
2022-05-18T11:52:31,0,320,0,320
2022-05-18T12:02:39,0,320,0,320
2022-05-18T12:12:48,0,320,0,320
2022-05-18T12:22:56,0,320,0,320
2022-05-18T12:33:06,0,320,0,320
2022-05-18T12:43:17,0,320,0,320
2022-05-18T12:53:27,0,320,0,320
2022-05-18T13:03:37,0,320,0,320
2022-05-18T13:13:58,0,320,0,320
2022-05-18T13:24:08,0,320,0,320
2022-05-18T13:34:18,0,320,0,320
2022-05-18T13:44:29,0,320,0,320
2022-05-18T13:54:41,0,320,0,320
2022-05-18T14:04:51,0,320,0,320
2022-05-18T14:15:01,0,320,0,320
2022-05-18T14:25:12,0,320,0,320
2022-05-18T14:35:33,0,320,0,320
2022-05-18T14:45:44,0,320,0,320
2022-05-18T14:55:54,0,320,0,320
2022-05-18T15:06:05,0,320,0,320
2022-05-18T15:16:17,0,320,0,320
2022-05-18T15:26:27,0,320,0,320
2022-05-18T15:36:49,0,320,0,320
2022-05-18T15:46:59,0,320,0,320
2022-05-18T15:57:10,0,320,0,320
2022-05-18T16:07:21,0,320,0,320
2022-05-18T16:17:32,0,320,0,320
2022-05-18T16:27:42,0,320,0,320
2022-05-18T16:37:52,0,320,0,320
2022-05-18T16:48:02,0,320,0,320
2022-05-18T16:58:22,0,320,0,320
2022-05-18T17:08:32,0,320,0,320
2022-05-18T17:18:42,0,320,0,320
2022-05-18T17:28:52,0,320,0,320
2022-05-18T17:39:01,0,320,0,320
2022-05-18T17:49:10,0,320,0,320
2022-05-18T17:59:19,0,320,0,320
2022-05-18T18:09:29,0,320,0,320
2022-05-18T18:19:38,0,320,0,320
2022-05-18T18:29:49,0,320,0,320
2022-05-18T18:40:09,0,320,0,320
2022-05-18T18:50:17,0,320,0,320
2022-05-18T19:00:26,0,320,0,320
2022-05-18T19:10:35,0,320,0,320
2022-05-18T19:20:44,0,320,0,320
2022-05-18T19:30:53,0,320,0,320
2022-05-18T19:41:03,0,320,0,320
2022-05-18T19:51:11,0,320,0,320
2022-05-18T20:01:21,0,320,0,320
2022-05-18T20:11:30,0,320,0,320
2022-05-18T20:21:49,0,320,0,320
2022-05-18T20:31:58,0,320,0,320
2022-05-18T20:42:07,0,320,0,320
2022-05-18T20:52:15,0,320,0,320
2022-05-18T21:02:24,0,320,0,320
2022-05-18T21:12:35,0,320,0,320
2022-05-18T21:22:44,0,320,0,320
2022-05-18T21:32:53,0,320,0,320
2022-05-18T21:43:02,0,320,0,320
2022-05-18T21:53:20,0,320,0,320
2022-05-18T22:03:29,0,320,0,320
2022-05-18T22:13:38,0,320,0,320
2022-05-18T22:23:47,0,320,0,320
