time,enrolled,available,waitlisted,total
2022-05-20T04:36:40,0,8,0,8
2022-05-20T04:46:56,0,8,0,8
2022-05-20T04:57:13,0,8,0,8
2022-05-20T05:07:29,0,8,0,8
2022-05-20T05:17:44,0,8,0,8
2022-05-20T05:28:00,0,8,0,8
2022-05-20T05:38:15,0,8,0,8
2022-05-20T05:48:31,0,8,0,8
2022-05-20T05:58:47,0,8,0,8
2022-05-20T06:09:02,0,8,0,8
2022-05-20T06:19:16,0,8,0,8
2022-05-20T06:29:33,0,8,0,8
2022-05-20T06:39:47,0,8,0,8
2022-05-20T06:50:01,0,8,0,8
2022-05-20T07:00:14,0,8,0,8
2022-05-20T07:10:31,0,8,0,8
2022-05-20T07:20:44,0,8,0,8
2022-05-20T07:30:58,0,8,0,8
2022-05-20T07:41:12,0,8,0,8
2022-05-20T07:51:27,0,8,0,8
2022-05-20T08:01:40,0,8,0,8
2022-05-20T08:11:55,0,8,0,8
2022-05-20T08:22:09,0,8,0,8
2022-05-20T08:32:25,0,8,0,8
2022-05-20T08:42:39,0,8,0,8
2022-05-20T08:52:54,0,8,0,8
2022-05-20T09:03:09,0,8,0,8
2022-05-20T09:13:37,0,8,0,8
2022-05-20T09:23:53,1,7,0,8
2022-05-20T09:34:08,1,7,0,8
2022-05-20T09:44:24,1,7,0,8
2022-05-20T09:54:40,1,7,0,8
2022-05-20T10:04:57,1,7,0,8
2022-05-20T10:15:13,1,7,0,8
2022-05-20T10:25:28,1,7,0,8
2022-05-20T10:35:45,1,7,0,8
2022-05-20T10:46:00,1,7,0,8
2022-05-20T10:56:29,1,7,0,8
2022-05-20T11:06:46,1,7,0,8
2022-05-20T11:17:02,1,7,0,8
2022-05-20T11:27:18,1,7,0,8
2022-05-20T11:37:34,1,7,0,8
2022-05-20T11:47:50,1,7,0,8
2022-05-20T11:58:19,1,7,0,8
2022-05-20T12:08:35,1,7,0,8
2022-05-20T12:18:50,1,7,0,8
2022-05-20T12:29:05,1,7,0,8
2022-05-20T12:39:21,1,7,0,8
2022-05-20T12:49:36,1,7,0,8
2022-05-20T12:59:53,1,7,0,8
2022-05-20T13:10:19,1,7,0,8
2022-05-20T13:20:36,1,7,0,8
2022-05-20T13:30:52,1,7,0,8
2022-05-20T13:41:09,1,7,0,8
2022-05-20T13:51:25,1,7,0,8
2022-05-20T14:01:41,1,7,0,8
2022-05-20T14:12:07,1,7,0,8
2022-05-20T14:22:22,1,7,0,8
2022-05-20T14:32:38,2,6,0,8
2022-05-20T14:42:53,2,6,0,8
2022-05-20T14:53:09,2,6,0,8
2022-05-20T15:03:24,2,6,0,8
2022-05-20T15:13:50,2,6,0,8
2022-05-20T15:24:05,2,6,0,8
2022-05-20T15:34:21,2,6,0,8
2022-05-20T15:44:36,2,6,0,8
2022-05-20T15:54:51,2,6,0,8
2022-05-20T16:05:06,2,6,0,8
2022-05-20T16:15:21,2,6,0,8
2022-05-20T16:25:46,2,6,0,8
