time,enrolled,available,waitlisted,total
2022-05-20T04:36:53,0,10,0,10
2022-05-20T04:47:09,0,10,0,10
2022-05-20T04:57:26,0,10,0,10
2022-05-20T05:07:42,0,10,0,10
2022-05-20T05:17:57,0,10,0,10
2022-05-20T05:28:12,0,10,0,10
2022-05-20T05:38:28,0,10,0,10
2022-05-20T05:48:44,0,10,0,10
2022-05-20T05:58:59,0,10,0,10
2022-05-20T06:09:15,0,10,0,10
2022-05-20T06:19:29,0,10,0,10
2022-05-20T06:29:45,0,10,0,10
2022-05-20T06:40:00,0,10,0,10
2022-05-20T06:50:13,0,10,0,10
2022-05-20T07:00:27,0,10,0,10
2022-05-20T07:10:43,0,10,0,10
2022-05-20T07:20:57,0,10,0,10
2022-05-20T07:31:11,0,10,0,10
2022-05-20T07:41:25,0,10,0,10
2022-05-20T07:51:39,0,10,0,10
2022-05-20T08:01:53,0,10,0,10
2022-05-20T08:12:07,0,10,0,10
2022-05-20T08:22:22,0,10,0,10
2022-05-20T08:32:38,0,10,0,10
2022-05-20T08:42:52,0,10,0,10
2022-05-20T08:53:06,0,10,0,10
2022-05-20T09:03:22,0,10,0,10
2022-05-20T09:13:50,0,10,0,10
2022-05-20T09:24:05,0,10,0,10
2022-05-20T09:34:21,0,10,0,10
2022-05-20T09:44:37,0,10,0,10
2022-05-20T09:54:53,0,10,0,10
2022-05-20T10:05:10,0,10,0,10
2022-05-20T10:15:26,0,10,0,10
2022-05-20T10:25:41,0,10,0,10
2022-05-20T10:35:57,0,10,0,10
2022-05-20T10:46:13,0,10,0,10
2022-05-20T10:56:42,0,10,0,10
2022-05-20T11:06:58,0,10,0,10
2022-05-20T11:17:15,0,10,0,10
2022-05-20T11:27:31,0,10,0,10
2022-05-20T11:37:46,0,10,0,10
2022-05-20T11:48:03,0,10,0,10
2022-05-20T11:58:32,0,10,0,10
2022-05-20T12:08:48,0,10,0,10
2022-05-20T12:19:03,0,10,0,10
2022-05-20T12:29:18,0,10,0,10
2022-05-20T12:39:34,0,10,0,10
2022-05-20T12:49:49,0,10,0,10
2022-05-20T13:00:05,0,10,0,10
2022-05-20T13:10:32,0,10,0,10
2022-05-20T13:20:49,0,10,0,10
2022-05-20T13:31:05,0,10,0,10
2022-05-20T13:41:22,0,10,0,10
2022-05-20T13:51:37,0,10,0,10
2022-05-20T14:01:53,0,10,0,10
2022-05-20T14:12:19,0,10,0,10
2022-05-20T14:22:35,0,10,0,10
2022-05-20T14:32:51,0,10,0,10
2022-05-20T14:43:06,0,10,0,10
2022-05-20T14:53:21,0,10,0,10
2022-05-20T15:03:37,0,10,0,10
2022-05-20T15:14:03,0,10,0,10
2022-05-20T15:24:18,0,10,0,10
2022-05-20T15:34:33,0,10,0,10
2022-05-20T15:44:49,0,10,0,10
2022-05-20T15:55:03,0,10,0,10
2022-05-20T16:05:19,0,10,0,10
2022-05-20T16:15:33,0,10,0,10
2022-05-20T16:25:59,0,10,0,10
2022-05-20T16:36:13,0,10,0,10
2022-05-20T16:46:27,0,10,0,10
2022-05-20T16:56:42,0,10,0,10
2022-05-20T17:06:56,0,10,0,10
2022-05-20T17:17:11,0,10,0,10
2022-05-20T17:27:24,0,10,0,10
2022-05-20T17:37:38,0,10,0,10
2022-05-20T17:47:52,0,10,0,10
2022-05-20T17:58:06,0,10,0,10
2022-05-20T18:08:20,0,10,0,10
2022-05-20T18:18:43,0,10,0,10
2022-05-20T18:28:57,0,10,0,10
2022-05-20T18:39:10,0,10,0,10
2022-05-20T18:49:23,0,10,0,10
2022-05-20T18:59:37,0,10,0,10
2022-05-20T19:09:51,0,10,0,10
2022-05-20T19:20:05,0,10,0,10
2022-05-20T19:30:19,1,9,0,10
2022-05-20T19:40:34,1,9,0,10
2022-05-20T19:50:47,1,9,0,10
2022-05-20T20:01:10,1,9,0,10
2022-05-20T20:11:24,1,9,0,10
2022-05-20T20:21:38,1,9,0,10
2022-05-20T20:31:51,1,9,0,10
2022-05-20T20:42:05,1,9,0,10
2022-05-20T20:52:18,1,9,0,10
2022-05-20T21:02:32,1,9,0,10
2022-05-20T21:12:45,1,9,0,10
2022-05-20T21:22:59,1,9,0,10
2022-05-20T21:33:23,1,9,0,10
2022-05-20T21:43:37,1,9,0,10
2022-05-20T21:53:50,1,9,0,10
2022-05-20T22:04:05,1,9,0,10
2022-05-20T22:14:18,1,9,0,10
2022-05-20T22:24:34,1,9,0,10
2022-05-20T22:34:47,1,9,0,10
2022-05-20T22:45:00,1,9,0,10
2022-05-20T22:55:14,1,9,0,10
2022-05-20T23:05:28,1,9,0,10
2022-05-20T23:15:53,1,9,0,10
2022-05-20T23:26:06,1,9,0,10
2022-05-20T23:36:20,1,9,0,10
2022-05-20T23:46:33,1,9,0,10
2022-05-20T23:56:46,1,9,0,10
2022-05-21T00:07:02,1,9,0,10
2022-05-21T00:17:18,1,9,0,10
2022-05-21T00:27:34,1,9,0,10
2022-05-21T00:37:50,1,9,0,10
2022-05-21T00:48:06,1,9,0,10
2022-05-21T00:58:21,1,9,0,10
2022-05-21T01:08:36,1,9,0,10
2022-05-21T01:18:52,1,9,0,10
2022-05-21T01:29:06,1,9,0,10
2022-05-21T01:39:22,1,9,0,10
2022-05-21T01:49:37,1,9,0,10
2022-05-21T02:00:01,1,9,0,10
2022-05-21T02:10:15,1,9,0,10
2022-05-21T02:20:29,1,9,0,10
2022-05-21T02:30:42,1,9,0,10
2022-05-21T02:40:55,1,9,0,10
2022-05-21T02:51:08,1,9,0,10
2022-05-21T03:01:20,1,9,0,10
2022-05-21T03:11:34,1,9,0,10
2022-05-21T03:21:54,1,9,0,10
2022-05-21T03:32:09,1,9,0,10
2022-05-21T03:42:24,1,9,0,10
2022-05-21T03:52:40,1,9,0,10
2022-05-21T04:02:55,1,9,0,10
2022-05-21T04:28:31,1,9,0,10
2022-05-21T04:40:12,1,9,0,10
2022-05-21T04:50:28,1,9,0,10
2022-05-21T05:00:43,1,9,0,10
2022-05-21T05:10:59,1,9,0,10
2022-05-21T05:21:15,1,9,0,10
2022-05-21T05:31:31,1,9,0,10
2022-05-21T05:41:47,1,9,0,10
2022-05-21T05:52:03,1,9,0,10
2022-05-21T06:02:18,1,9,0,10
2022-05-21T06:12:33,1,9,0,10
2022-05-21T06:22:50,1,9,0,10
2022-05-21T06:33:05,1,9,0,10
2022-05-21T06:43:20,1,9,0,10
2022-05-21T06:53:36,1,9,0,10
2022-05-21T07:03:51,1,9,0,10
2022-05-21T07:14:07,1,9,0,10
2022-05-21T07:24:22,1,9,0,10
2022-05-21T07:34:37,1,9,0,10
2022-05-21T07:44:52,1,9,0,10
2022-05-21T07:55:06,1,9,0,10
2022-05-21T08:05:21,1,9,0,10
2022-05-21T08:15:38,1,9,0,10
2022-05-21T08:25:52,1,9,0,10
2022-05-21T08:36:07,1,9,0,10
2022-05-21T08:46:44,1,9,0,10
2022-05-21T08:56:58,1,9,0,10
2022-05-21T09:07:12,1,9,0,10
2022-05-21T09:17:24,1,9,0,10
2022-05-21T09:27:37,1,9,0,10
2022-05-21T09:37:50,1,9,0,10
2022-05-21T09:48:04,1,9,0,10
2022-05-21T09:58:17,1,9,0,10
2022-05-21T10:08:30,1,9,0,10
2022-05-21T10:18:44,1,9,0,10
2022-05-21T10:28:57,1,9,0,10
2022-05-21T10:39:10,1,9,0,10
2022-05-21T10:49:23,1,9,0,10
2022-05-21T10:59:36,1,9,0,10
2022-05-21T11:09:50,1,9,0,10
2022-05-21T11:20:14,1,9,0,10
2022-05-21T11:30:29,1,9,0,10
2022-05-21T11:40:42,1,9,0,10
2022-05-21T11:50:56,1,9,0,10
2022-05-21T12:01:09,1,9,0,10
2022-05-21T12:11:24,1,9,0,10
2022-05-21T12:21:38,1,9,0,10
2022-05-21T12:31:51,1,9,0,10
2022-05-21T12:42:24,1,9,0,10
2022-05-21T12:52:37,1,9,0,10
2022-05-21T13:02:51,1,9,0,10
2022-05-21T13:13:05,1,9,0,10
2022-05-21T13:23:18,1,9,0,10
2022-05-21T13:33:31,1,9,0,10
2022-05-21T13:43:45,1,9,0,10
2022-05-21T13:53:58,1,9,0,10
2022-05-21T14:04:11,1,9,0,10
2022-05-21T14:14:35,1,9,0,10
2022-05-21T14:24:48,1,9,0,10
2022-05-21T14:35:02,1,9,0,10
2022-05-21T14:45:15,1,9,0,10
